"exam_type","hash_id","DOCTOR_ID","USER_ANSWER[K: <= 2.5]","USER_ANSWER[K: 2.5 ~ 3.5]","USER_ANSWER[K: 3.5 ~ 5.5]","USER_ANSWER[K: 5.5 ~ 6.5]","USER_ANSWER[K: >= 6.5]"
"dyskalemia","0012f4de4fb5910c230dbfa455a59143","CV-V10",0,0,0,1,0
"dyskalemia","004fb5435c891c89c83ee4bf6d893b29","CV-V10",1,0,0,0,0
"dyskalemia","0080b1d7e0d27a54c4bcf1363ef470bd","CV-V10",0,0,0,1,0
"dyskalemia","009bd0366d8e37773e6e4798c70a730d","CV-V10",0,0,1,0,0
"dyskalemia","02a09fb1c17bad4338d618391d78d274","CV-V10",1,0,0,0,0
"dyskalemia","02aca7289feb4ac7ba67b558825883f1","CV-V10",0,0,1,0,0
"dyskalemia","0363d856797aad510a059f4e4e24287d","CV-V10",0,1,0,0,0
"dyskalemia","04baca884895b4243b180e78941fa27a","CV-V10",0,0,1,0,0
"dyskalemia","04e93522cf1cbf1503221f330adc0a78","CV-V10",1,0,0,0,0
"dyskalemia","068d2b4731d7aba5be59dda839856f11","CV-V10",0,0,0,0,1
"dyskalemia","0829313869840629109dfa9a0ab9a581","CV-V10",0,0,1,0,0
"dyskalemia","09dbbd4d42c74c45b4caba83249eda7a","CV-V10",0,0,0,1,0
"dyskalemia","09f3b6dfe81634ce5ae284d0e729ee68","CV-V10",1,0,0,0,0
"dyskalemia","0a31a7801565454d2def9ddaeafdd347","CV-V10",0,0,1,0,0
"dyskalemia","0a700a5aef06a357ad46cafc8b88e9a9","CV-V10",0,0,0,1,0
"dyskalemia","0bf34169043649f58278d7fe27cfe1bc","CV-V10",0,0,0,1,0
"dyskalemia","0d13e7f0d16452bb9c524bdaf9fc43c4","CV-V10",0,0,0,1,0
"dyskalemia","0d5ef4248ab23e9b83fdc5fe12ba34f6","CV-V10",0,0,1,0,0
"dyskalemia","0dd72614d137749604fee14db1786697","CV-V10",0,0,1,0,0
"dyskalemia","0f5dcfb1248f19d1d9f14a5618bcb507","CV-V10",1,0,0,0,0
"dyskalemia","0f9c98d6f8ef97d99f32268a0e7162e2","CV-V10",0,1,0,0,0
"dyskalemia","109986deebd86a200d0f5d9a1ce1811e","CV-V10",0,1,0,0,0
"dyskalemia","11ddfebc98823deb4e6f6ee92cf2695f","CV-V10",0,0,1,0,0
"dyskalemia","11e0f16ffc8952065034d83a36f1090b","CV-V10",0,0,1,0,0
"dyskalemia","12f152b728ef78a99d1e48b9ab4ef593","CV-V10",0,1,0,0,0
"dyskalemia","1319d643a92f79fc87b513140506d5b9","CV-V10",0,0,1,0,0
"dyskalemia","136b1d3cc8ad42c72f0825c20da8fef0","CV-V10",0,0,1,0,0
"dyskalemia","136fe829703511e59c0d79ba6caf058f","CV-V10",1,0,0,0,0
"dyskalemia","13ddf16c427590667a22e74d22fa20cd","CV-V10",0,1,0,0,0
"dyskalemia","13f1b5c86b7cd6a1241349a092a80b15","CV-V10",0,1,0,0,0
"dyskalemia","1474ffe8a2bb50b0813d381da482f5d2","CV-V10",0,0,1,0,0
"dyskalemia","15bd31a9fc8ceeed787ae9af361cec10","CV-V10",0,0,1,0,0
"dyskalemia","16a0f33e32d926db11b5b43c4c90f171","CV-V10",0,1,0,0,0
"dyskalemia","1744375da2f9bfd6a9b5608a67c56a23","CV-V10",0,0,0,1,0
"dyskalemia","18339812020f720cf63a45aaeca0519d","CV-V10",1,0,0,0,0
"dyskalemia","18339812020f720cf63a45aaeca0519d","CV-V10",1,0,0,0,0
"dyskalemia","186997069e4481adacd5d6f19092e306","CV-V10",0,1,0,0,0
"dyskalemia","1ddb3816340a45be56460a87283b1e4a","CV-V10",1,0,0,0,0
"dyskalemia","1e02bce52aeb237dca5adcf149732682","CV-V10",0,0,1,0,0
"dyskalemia","1e5538eed565b7bc19007f4f3a5191e5","CV-V10",0,0,0,0,1
"dyskalemia","1ed402b47681a51bbe18b564d586246f","CV-V10",0,0,0,1,0
"dyskalemia","1f07bfbd06ec625035a244a8b6c8a42c","CV-V10",0,0,0,1,0
"dyskalemia","206ab8149c3af9e39387a33b296f8310","CV-V10",0,0,0,1,0
"dyskalemia","221a193bf2d493fb2e38af83e4875709","CV-V10",0,0,1,0,0
"dyskalemia","22985c683728f8aee7ab977253e3f39f","CV-V10",0,0,1,0,0
"dyskalemia","23565bf82fa5bdbeb75f8aea5e0a7d4a","CV-V10",0,1,0,0,0
"dyskalemia","2446aa0401699521a3b02b0a63724a13","CV-V10",0,0,1,0,0
"dyskalemia","244ef41b98956f42fc68133a3ffffc1f","CV-V10",0,0,1,0,0
"dyskalemia","24752747fb6e27890cb2184d70bb222d","CV-V10",0,0,1,0,0
"dyskalemia","2501b8b56e7c0e52950dfbf723c1b9a8","CV-V10",0,1,0,0,0
"dyskalemia","27692ccf538eb3b3da7f363eac79b3fe","CV-V10",0,0,0,0,1
"dyskalemia","2a83b02bd966863ca8679b92a805670e","CV-V10",0,1,0,0,0
"dyskalemia","2c08835465c698822ec3dd4c03197c9e","CV-V10",0,1,0,0,0
"dyskalemia","2da040c7fc73c1eeaebe60997b9a00a1","CV-V10",1,0,0,0,0
