leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,0,-6,1,0,0
1,1,0,-1,1,0,-1,0,-16,2,-1,0
1,0,0,-1,1,0,-1,0,-22,3,-2,-1
2,0,-1,-1,2,0,-1,0,-26,3,-2,-1
2,0,-2,-1,2,-1,-1,0,-28,3,-2,-1
3,0,-2,-1,3,-1,0,0,-30,3,-2,-1
3,0,-2,-1,3,-1,0,0,-30,3,-2,-1
3,0,-2,-2,3,-1,0,1,-31,3,-1,-1
3,0,-2,-2,3,-1,0,1,-31,3,-1,-1
3,0,-2,-2,3,-1,0,1,-31,3,-1,-1
3,0,-2,-2,3,-1,0,1,-31,3,-1,-1
3,0,-2,-2,3,-1,0,1,-31,3,-1,-1
3,0,-3,-2,3,-1,-1,1,-31,3,-2,-1
3,0,-3,-2,3,-1,-1,1,-31,3,-2,-1
2,0,-2,-1,2,-1,-1,1,-31,3,-1,-1
2,0,-1,-1,2,0,-1,1,-31,3,-1,0
3,0,-2,-1,3,-1,-2,1,-31,3,-1,-1
4,0,-3,-1,4,-1,-3,1,-31,3,-2,-1
4,0,-3,-1,4,-1,-3,1,-31,3,-2,-1
3,0,-3,-1,3,-1,-3,1,-31,3,-2,-1
3,0,-3,-1,3,-1,-3,2,-31,3,-2,-1
3,0,-3,-2,4,-1,-3,2,-31,3,-2,-1
3,0,-3,-2,4,-2,-3,2,-31,3,-2,-1
3,-1,-3,-1,4,-2,-3,2,-31,3,-2,-1
3,-1,-4,-1,4,-2,-3,2,-31,3,-2,-1
3,-1,-4,-1,4,-2,-3,2,-30,3,-2,-1
3,-1,-4,-1,3,-2,-3,2,-30,3,-2,-1
3,-1,-4,-1,3,-2,-3,2,-30,3,-2,-1
3,0,-5,-1,4,-2,-3,2,-30,3,-2,-1
3,0,-5,-1,4,-2,-3,3,-30,3,-1,-1
2,-1,-4,0,3,-2,-3,3,-29,4,-1,-1
2,-1,-3,0,3,-2,-3,5,-27,5,-1,0
3,-1,-4,-1,5,-2,-3,9,-22,7,-1,0
5,0,-6,-2,6,-3,-2,16,-14,11,0,0
7,0,-6,-3,7,-3,-1,29,-1,18,1,0
9,1,-7,-5,8,-2,0,43,15,28,5,2
11,5,-6,-7,9,0,0,55,34,42,10,5
13,9,-5,-10,10,2,-1,62,52,59,17,10
16,13,-3,-14,10,5,-3,66,68,77,26,17
18,19,0,-18,9,10,-5,64,81,96,36,24
21,26,5,-23,8,16,-8,56,88,116,47,33
24,34,11,-29,7,23,-12,41,89,137,60,43
26,43,17,-34,6,31,-19,19,84,159,74,54
28,52,24,-40,3,39,-26,-7,73,179,88,65
29,61,32,-44,-1,46,-33,-36,57,194,100,75
29,69,39,-48,-4,54,-40,-65,37,205,111,85
30,76,46,-52,-7,61,-47,-89,15,208,119,93
29,82,53,-55,-10,67,-51,-109,-9,202,123,98
26,85,58,-55,-15,71,-53,-126,-36,183,122,99
19,83,64,-51,-21,73,-51,-143,-70,151,114,95
9,78,69,-44,-29,73,-45,-156,-108,106,100,86
-1,70,71,-34,-35,70,-38,-165,-142,54,80,74
-10,60,70,-25,-39,65,-31,-170,-169,9,60,61
-15,50,65,-17,-40,58,-27,-173,-185,-25,42,48
-19,38,57,-9,-38,48,-24,-170,-193,-51,24,35
-21,26,48,-2,-34,37,-19,-163,-193,-70,8,22
-22,16,39,3,-30,27,-15,-151,-188,-82,-5,10
-22,9,32,6,-26,20,-12,-137,-177,-86,-14,1
-20,5,25,7,-22,14,-13,-122,-164,-83,-18,-2
-17,3,20,7,-18,11,-15,-107,-149,-76,-19,-4
-14,2,15,6,-14,8,-17,-91,-133,-68,-19,-4
