leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,0,1,0,-1,0,0,1,0,-1,-2
-2,-3,-1,3,0,-2,-1,1,2,1,-2,-4
-2,-5,-2,4,0,-4,-2,1,3,2,-3,-5
-1,-5,-3,3,1,-4,-1,2,4,2,-4,-6
-1,-5,-4,3,2,-5,-1,2,5,3,-4,-6
0,-4,-4,2,2,-4,-1,3,5,3,-4,-6
1,-2,-2,0,2,-2,0,4,6,4,-3,-6
0,0,0,0,0,0,0,5,6,4,-1,-5
-1,0,1,1,-1,0,0,4,6,4,-1,-6
-3,-2,1,3,-1,-1,-1,3,5,3,-3,-7
-3,-4,0,4,-1,-2,-2,3,4,2,-4,-8
-2,-3,0,3,0,-2,-1,3,5,2,-4,-8
0,-2,-1,1,1,-2,-1,3,5,2,-4,-7
0,-2,-1,1,1,-2,-2,3,4,2,-4,-7
0,-1,-1,1,0,-1,-1,3,4,2,-4,-7
0,0,0,0,0,0,0,3,5,2,-4,-7
1,0,0,0,0,0,0,3,4,2,-3,-7
1,0,0,0,1,0,0,2,3,1,-3,-7
0,-1,-1,0,1,-1,-1,2,3,1,-4,-7
0,-2,-2,0,1,-2,-1,1,3,0,-4,-7
1,-2,-2,1,2,-2,-1,1,3,0,-5,-7
1,-3,-3,1,2,-3,-1,1,3,0,-5,-7
1,-2,-2,1,2,-2,-1,2,4,0,-4,-7
2,0,-2,0,3,-1,0,3,4,1,-3,-6
3,1,-1,-2,3,0,1,4,5,2,-2,-5
3,1,-1,-2,3,0,0,4,4,1,-2,-5
2,0,-2,0,3,-1,-1,3,3,0,-3,-6
1,-1,-3,0,3,-2,-1,3,3,0,-3,-6
1,-2,-3,0,3,-2,-1,3,2,0,-3,-6
1,-3,-3,0,3,-3,-1,2,2,0,-3,-6
1,-3,-3,1,2,-4,-1,2,1,0,-3,-6
1,-2,-3,0,2,-3,-1,2,1,0,-3,-6
3,0,-2,-2,3,-1,0,3,2,0,-2,-5
5,2,-2,-3,4,0,0,3,2,0,-1,-5
4,1,-2,-2,3,0,-1,3,2,0,-2,-5
2,0,-2,-1,2,-1,-1,2,2,0,-2,-5
2,-1,-2,-1,2,-2,-1,2,2,0,-1,-4
4,0,-3,-2,4,-2,-1,2,2,0,-1,-4
5,0,-4,-2,5,-2,-1,2,2,0,-1,-4
3,-1,-3,-1,4,-2,-1,2,2,0,-1,-4
3,0,-2,-1,3,-2,0,3,2,0,-1,-4
4,1,-2,-2,4,-1,0,3,2,0,0,-4
3,0,-2,-1,3,-1,-1,2,1,0,-1,-4
1,-2,-2,0,2,-2,-2,1,1,-1,-1,-4
0,-3,-3,1,1,-3,-3,1,1,-1,-2,-5
1,-4,-3,1,2,-4,-3,1,1,-2,-2,-5
2,-3,-3,0,3,-3,-3,1,1,-2,-1,-5
2,-1,-2,0,3,-2,-2,1,1,-1,-1,-5
3,0,-2,-1,3,-1,-1,1,1,-1,0,-4
4,1,-3,-2,4,-1,0,1,1,-1,0,-4
4,0,-3,-2,4,-1,-1,1,1,-1,0,-4
3,-1,-3,-1,4,-2,-1,1,1,-1,0,-4
3,-1,-3,-1,3,-2,-1,1,1,0,0,-3
3,0,-3,-1,3,-1,0,2,2,0,0,-2
2,0,-3,-1,3,-1,0,2,2,0,1,-2
2,0,-3,0,3,-1,-1,1,2,0,0,-2
3,0,-3,-1,3,-1,-1,1,3,0,0,-2
6,3,-3,-4,4,0,0,1,3,1,1,-1
7,4,-3,-6,5,0,0,1,4,2,2,-1
7,4,-3,-6,5,0,0,1,4,3,2,0
7,4,-2,-6,4,1,0,1,5,3,3,0
8,5,-1,-7,4,2,0,1,6,4,4,1
8,6,-1,-7,5,2,0,0,6,4,5,1
8,6,-1,-6,5,2,0,0,6,4,5,1
7,6,-1,-6,4,2,-1,-1,6,4,4,0
8,7,0,-7,5,3,-1,-2,6,4,5,0
9,9,0,-9,5,4,-2,-2,6,4,5,0
9,8,0,-8,5,3,-3,-3,6,4,4,0
8,7,0,-7,4,3,-3,-4,5,4,4,0
8,7,0,-7,4,3,-3,-4,6,4,5,1
8,7,-1,-7,5,3,-3,-4,6,4,5,2
8,6,-1,-7,5,2,-4,-4,5,4,5,2
8,6,-1,-7,5,2,-5,-5,5,4,5,2
10,8,-1,-9,6,3,-5,-5,5,4,5,2
12,10,0,-11,7,4,-5,-5,5,4,6,3
12,11,0,-11,6,5,-6,-6,4,4,7,3
11,10,0,-10,6,5,-7,-7,4,4,7,4
10,10,0,-10,6,5,-7,-7,3,4,7,4
11,10,0,-11,6,5,-7,-8,3,4,7,5
13,11,0,-12,7,5,-7,-8,2,4,8,6
12,11,0,-11,7,5,-8,-9,1,3,7,5
11,10,0,-10,6,5,-8,-9,0,2,7,5
11,11,0,-10,5,5,-8,-9,0,2,7,5
11,12,1,-11,5,6,-8,-9,0,1,7,5
11,12,1,-11,5,7,-9,-10,-1,1,7,5
