leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,-1,0,0,-1,2
-1,0,1,0,-1,1,1,-2,0,2,-1,7
0,3,3,-2,-2,4,3,-1,0,4,0,11
4,9,5,-6,-1,7,4,0,2,6,1,14
7,13,5,-10,0,9,5,0,3,8,2,16
8,13,5,-10,0,9,5,0,3,8,2,17
5,10,5,-7,-1,8,5,0,2,7,1,16
0,6,6,-3,-3,6,6,-1,1,7,0,16
-4,2,6,1,-5,4,6,-2,0,6,0,15
-5,0,5,3,-5,2,6,-3,0,5,-1,14
-3,0,4,1,-3,2,5,-3,0,4,-1,13
2,2,1,-2,0,2,5,-3,0,4,-1,13
7,6,0,-7,2,3,6,-2,0,5,-1,14
8,10,2,-9,2,5,7,-1,1,6,0,15
5,12,6,-9,-1,8,8,0,2,8,2,16
0,10,9,-6,-5,9,9,1,3,9,2,17
-3,7,10,-2,-7,8,8,1,4,9,2,17
-6,4,9,1,-8,7,7,1,3,8,1,16
-5,3,8,1,-7,6,6,0,3,7,0,15
-1,4,6,-1,-4,6,6,0,2,7,0,15
3,6,4,-4,-1,6,6,-1,2,6,0,14
7,8,2,-7,1,5,6,-1,1,6,0,14
8,9,2,-8,2,5,6,-1,1,6,-1,14
4,8,4,-6,0,6,7,0,2,6,0,14
-3,5,7,-1,-5,7,8,0,2,6,0,15
-7,2,8,2,-8,6,8,0,2,6,0,15
-7,1,8,3,-7,5,8,0,2,6,0,15
-3,3,7,0,-5,6,8,0,2,6,0,15
1,6,6,-3,-3,6,8,1,2,7,1,15
2,8,7,-5,-2,7,8,1,3,7,1,16
3,10,7,-6,-2,8,9,1,3,8,2,16
2,10,8,-6,-3,8,8,1,4,8,2,16
-1,7,8,-4,-4,7,8,1,4,8,1,16
-4,5,8,-1,-5,7,8,1,3,7,1,16
-4,4,7,-1,-5,6,8,0,3,7,1,15
-2,4,5,-1,-3,5,7,0,3,7,0,15
0,3,4,-2,-1,4,6,0,2,6,0,14
0,2,3,-2,-2,3,6,-1,1,5,-1,13
0,2,3,-1,-2,3,5,-2,0,5,-1,12
-2,2,4,0,-3,3,5,-2,0,4,-1,12
-3,2,5,0,-5,4,5,-1,0,5,0,12
-2,5,6,-1,-5,6,6,0,1,7,1,14
-1,6,6,-3,-3,7,7,1,1,7,2,15
0,6,5,-3,-2,7,8,1,1,7,2,15
2,7,5,-4,-2,7,9,1,2,8,2,15
3,8,6,-5,-2,8,9,1,2,8,3,15
3,9,6,-6,-2,8,9,2,3,9,3,16
4,9,6,-7,-2,8,8,1,2,8,2,15
3,8,5,-6,-1,7,7,0,1,7,1,14
0,6,5,-3,-3,6,6,-1,0,6,0,13
-3,4,6,0,-5,5,6,-1,0,6,0,13
-5,3,7,1,-7,6,6,-1,0,7,1,14
-6,3,9,1,-7,6,6,-1,1,7,2,15
-4,4,9,0,-6,6,6,-1,1,7,2,15
-1,5,8,-2,-5,6,6,-1,1,7,2,15
1,7,7,-4,-3,6,6,-1,1,7,2,15
1,7,6,-4,-3,6,6,-1,0,7,2,14
-1,4,6,-2,-3,5,5,-1,0,7,1,14
-3,2,6,0,-4,4,5,-1,0,6,1,13
-4,3,6,0,-5,5,5,-1,0,7,1,14
-1,7,8,-2,-5,7,6,0,1,8,3,15
2,11,8,-6,-4,9,6,1,2,9,4,16
4,11,8,-7,-3,9,6,0,2,9,4,16
4,10,7,-7,-2,9,6,0,1,9,4,15
3,9,6,-6,-2,8,6,0,1,8,3,15
1,6,5,-3,-2,6,6,-1,0,8,2,14
-2,2,4,0,-2,4,4,-2,-1,6,0,13
-3,-1,2,2,-2,1,3,-3,-2,4,-1,11
-4,-2,1,3,-2,0,3,-4,-2,3,-1,10
-2,-1,1,2,-2,1,4,-4,-2,4,-1,10
0,3,3,-1,-2,3,5,-3,-1,5,0,11
2,6,4,-4,-2,6,6,-2,0,6,1,12
2,7,5,-5,-2,6,6,-2,0,6,1,12
1,6,6,-4,-2,6,6,-1,0,7,1,12
1,6,6,-3,-2,6,5,-1,1,7,1,13
0,5,5,-2,-2,5,5,-1,1,7,1,12
0,3,4,-1,-2,4,4,-2,0,5,0,11
1,4,3,-2,-1,3,3,-2,0,5,0,11
3,6,3,-4,0,4,3,-2,0,5,1,11
3,7,4,-5,-1,5,4,-2,0,6,1,11
2,7,5,-5,-2,5,4,-2,0,6,1,11
2,7,5,-5,-2,6,5,-2,0,6,2,12
1,7,5,-4,-1,6,5,-2,0,6,2,12
1,6,4,-4,0,5,5,-2,0,6,2,12
1,5,3,-3,0,5,4,-2,0,6,2,12
2,5,2,-3,0,4,4,-3,-1,5,2,11
3,5,2,-4,0,3,4,-3,-2,5,2,11
3,5,2,-4,0,3,4,-4,-2,4,2,11
1,4,3,-3,-2,3,4,-4,-2,4,2,11
0,4,4,-2,-3,4,4,-3,-1,5,2,11
-1,5,5,-2,-3,6,5,-2,0,6,2,11
-1,6,7,-3,-4,7,6,-1,1,7,3,12
-2,8,9,-3,-5,9,6,0,2,8,4,13
-2,8,10,-3,-6,10,7,0,2,8,4,13
