leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,0,0,0,1,0,0,0,0,0,0,0
2,1,-1,-1,2,0,0,-1,-1,-1,-1,0
3,1,-1,-2,3,0,0,-1,-2,-2,-2,0
3,1,-2,-2,4,0,0,-1,-2,-2,-2,0
2,0,-2,-1,4,-1,0,-1,-2,-2,-2,0
1,-1,-3,0,3,-2,0,-1,-2,-2,-2,0
0,-3,-3,1,3,-3,0,-1,-2,-2,-2,-1
0,-4,-4,2,3,-4,0,-1,-2,-2,-2,-1
0,-4,-4,2,3,-4,0,-1,-2,-2,-2,-1
0,-3,-4,1,3,-4,0,-1,-2,-2,-2,-2
1,-2,-4,0,3,-3,0,-1,-2,-2,-3,-2
1,-2,-4,0,4,-3,-1,-1,-2,-2,-3,-2
1,-2,-4,0,4,-3,-1,-1,-2,-2,-3,-2
0,-3,-4,1,4,-4,-2,-1,-2,-2,-3,-2
0,-4,-4,2,4,-4,-2,-1,-2,-2,-3,-2
-1,-5,-4,3,4,-5,-2,-2,-2,-2,-3,-2
-1,-5,-4,3,4,-5,-2,-2,-2,-3,-3,-2
0,-4,-5,2,4,-5,-2,-2,-2,-3,-3,-2
0,-4,-5,2,4,-5,-2,-2,-2,-3,-2,-2
0,-4,-5,2,3,-5,-2,-2,-2,-3,-2,-1
0,-4,-5,2,3,-5,-2,-2,-2,-3,-2,-1
-1,-5,-5,3,3,-5,-2,-2,-2,-3,-2,-1
-1,-6,-5,4,3,-6,-2,-2,-3,-3,-2,-1
-2,-7,-5,4,3,-6,-2,-2,-3,-3,-2,-2
-2,-7,-5,4,3,-6,-2,-2,-3,-3,-2,-2
-2,-7,-5,4,3,-6,-2,-2,-3,-3,-2,-2
-2,-7,-5,4,3,-6,-2,-2,-3,-3,-2,-2
-2,-7,-5,4,2,-6,-2,-2,-3,-3,-2,-2
-2,-7,-5,4,2,-6,-1,-2,-4,-4,-3,-2
-2,-8,-5,4,2,-6,-1,-2,-4,-4,-3,-3
-2,-7,-5,4,2,-6,-1,-2,-4,-5,-4,-3
-2,-7,-4,4,2,-6,-1,-2,-4,-5,-4,-4
-2,-7,-4,5,2,-6,-1,-2,-4,-5,-4,-4
-2,-7,-5,5,2,-6,-1,-3,-4,-5,-4,-4
-2,-7,-5,5,2,-6,-2,-3,-4,-5,-4,-4
-2,-7,-5,4,2,-6,-2,-3,-5,-5,-4,-5
-2,-7,-5,4,2,-5,-2,-3,-5,-5,-4,-5
-2,-7,-5,4,2,-5,-3,-3,-4,-5,-4,-5
-2,-7,-5,5,2,-6,-3,-3,-4,-5,-4,-5
-2,-7,-5,5,2,-6,-3,-4,-4,-5,-4,-5
-2,-7,-5,5,2,-6,-3,-4,-4,-5,-4,-5
-2,-7,-5,5,2,-6,-3,-4,-4,-5,-4,-5
-2,-7,-5,5,2,-6,-3,-4,-4,-5,-4,-5
-2,-7,-5,5,2,-6,-3,-4,-4,-5,-3,-5
-2,-8,-5,5,2,-6,-3,-4,-4,-5,-3,-4
-2,-8,-5,5,2,-6,-2,-4,-4,-4,-3,-4
-2,-9,-6,5,2,-7,-2,-4,-4,-4,-3,-3
-3,-9,-6,6,2,-7,-2,-3,-4,-4,-3,-3
-3,-9,-6,6,2,-7,-2,-3,-4,-4,-3,-3
-3,-9,-6,6,2,-7,-2,-3,-4,-4,-3,-3
-3,-9,-6,6,2,-7,-1,-2,-4,-4,-2,-3
-3,-9,-6,5,2,-7,-1,-2,-4,-4,-2,-3
-2,-9,-7,5,2,-7,-1,-1,-4,-4,-1,-3
-1,-8,-7,5,3,-7,0,-1,-4,-4,-1,-3
-1,-8,-7,4,3,-7,0,-1,-4,-4,-1,-3
-1,-8,-7,4,3,-7,0,-1,-4,-4,-2,-3
-1,-8,-7,4,3,-7,0,-1,-4,-4,-2,-3
-1,-8,-7,4,3,-7,0,-1,-3,-4,-2,-3
-1,-8,-7,4,3,-7,0,-1,-3,-4,-2,-3
-1,-8,-7,5,3,-7,-1,-1,-3,-4,-2,-3
-1,-8,-7,5,3,-7,-1,-2,-3,-4,-2,-3
-1,-9,-7,5,3,-7,-1,-2,-3,-5,-2,-3
-1,-9,-7,5,3,-7,-2,-3,-4,-5,-3,-4
-1,-8,-7,5,3,-7,-2,-3,-4,-5,-3,-4
-1,-8,-6,5,3,-7,-3,-4,-4,-5,-4,-4
-1,-7,-6,4,3,-7,-3,-4,-4,-5,-4,-5
-1,-7,-6,4,3,-6,-4,-4,-4,-5,-4,-5
-1,-6,-6,3,3,-6,-4,-5,-4,-5,-4,-6
-1,-6,-6,3,3,-6,-4,-5,-5,-5,-4,-6
0,-6,-6,2,3,-6,-4,-5,-5,-5,-4,-6
0,-6,-6,2,3,-6,-4,-5,-5,-4,-4,-5
0,-6,-6,2,3,-6,-3,-4,-5,-4,-3,-5
0,-6,-7,2,3,-6,-2,-4,-4,-3,-3,-4
0,-6,-7,2,3,-6,-1,-4,-4,-3,-3,-4
0,-6,-7,2,3,-6,-1,-3,-4,-3,-3,-4
0,-7,-7,3,3,-7,0,-3,-4,-3,-2,-3
0,-7,-8,3,3,-7,0,-2,-4,-3,-2,-3
0,-8,-8,3,4,-8,0,-1,-3,-2,-2,-2
0,-8,-9,3,4,-8,0,-1,-3,-2,-2,-2
0,-9,-9,3,4,-8,0,-1,-2,-2,-2,-2
0,-9,-9,3,4,-8,1,0,-2,-2,-2,-2
0,-9,-9,4,4,-8,2,0,-2,-2,-2,-2
0,-8,-9,4,4,-8,2,0,-2,-2,-2,-2
0,-8,-9,4,4,-8,2,0,-2,-3,-2,-1
0,-8,-9,4,4,-8,1,0,-2,-3,-2,-1
0,-8,-9,4,4,-8,1,-1,-2,-3,-2,-1
0,-8,-9,4,4,-8,0,-1,-2,-3,-2,-1
0,-8,-9,3,4,-8,0,-2,-2,-3,-2,-1
0,-8,-9,3,4,-8,-1,-2,-3,-4,-2,-1
0,-8,-9,4,4,-8,-1,-3,-3,-4,-3,-2
0,-8,-9,4,4,-8,-2,-3,-3,-4,-4,-3
