leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-2,0,2,1,-2,1,0,1,-1,0,0,0
-4,0,3,2,-3,1,0,1,-2,-1,1,1
-3,-1,2,2,-2,0,0,1,-4,-1,1,0
-3,-2,1,2,-2,0,0,0,-5,-2,1,0
-4,-3,1,4,-3,-1,-2,-1,-7,-3,0,-1
-7,-5,2,6,-5,-1,-3,-2,-9,-3,0,-1
-10,-7,4,8,-7,-1,-3,-1,-9,-3,0,-1
-14,-8,5,11,-10,-1,-2,0,-8,-3,1,-1
-15,-6,8,10,-11,1,-2,0,-8,-2,1,0
-13,-3,10,8,-11,3,-2,0,-8,-3,1,-1
-11,-2,8,6,-9,3,-2,-2,-9,-4,-1,-3
-9,-2,6,5,-7,2,-2,-2,-10,-5,-2,-4
-7,-3,3,4,-5,1,-1,-1,-9,-5,-2,-3
-5,-4,1,4,-3,0,0,0,-9,-4,-1,-2
-5,-6,-1,5,-2,-2,-3,-1,-11,-6,-2,-3
-4,-7,-3,5,0,-4,-5,-3,-13,-8,-4,-4
-1,-6,-4,3,2,-5,-6,-3,-13,-8,-4,-4
1,-4,-4,1,3,-4,-5,-3,-12,-7,-3,-4
0,-2,-2,1,1,-2,-4,-2,-11,-5,-1,-2
-3,-2,1,3,-2,0,-1,0,-8,-3,1,-1
-6,-3,2,5,-4,0,0,1,-7,-1,2,0
-7,-3,3,5,-5,0,1,1,-5,-1,3,0
-5,-1,4,3,-5,1,2,1,-4,0,3,1
-5,0,5,2,-6,3,3,2,-3,0,4,2
-6,1,8,3,-8,4,4,2,-4,0,4,2
-7,2,9,2,-9,5,4,2,-5,-1,3,2
-8,2,10,3,-9,5,3,2,-6,-1,3,2
-11,0,10,5,-10,5,3,2,-6,-2,3,2
-13,-1,11,7,-11,4,2,2,-6,-2,3,2
-14,-2,11,8,-12,4,1,1,-5,-3,2,2
-14,-4,10,8,-11,3,0,0,-6,-3,1,2
-12,-4,8,8,-10,2,-1,0,-7,-4,1,1
-9,-3,7,6,-8,1,-1,-1,-8,-4,0,0
-7,-3,4,5,-6,0,-2,-2,-10,-5,0,0
-6,-5,2,5,-4,-2,-3,-2,-10,-5,0,-1
-5,-4,1,4,-3,-2,-2,-2,-9,-4,1,-2
-3,-2,1,2,-2,-1,-2,-2,-9,-4,1,-2
-2,-2,1,1,-1,0,-2,-3,-9,-6,0,-2
-3,-3,1,3,-2,-1,-3,-3,-10,-6,-1,-1
-3,-4,0,3,-1,-1,-3,-3,-10,-5,-1,0
-4,-4,1,4,-2,-1,-2,-3,-10,-5,-1,0
-7,-3,5,5,-6,1,-1,-2,-9,-4,0,2
-9,-3,7,6,-8,2,-1,-3,-9,-4,0,3
-10,-5,5,7,-7,0,-3,-4,-10,-5,-1,2
-11,-7,3,9,-7,-2,-5,-6,-11,-7,-2,2
-9,-5,4,7,-6,0,-4,-5,-11,-6,-1,3
-5,1,6,1,-5,4,-1,-2,-9,-3,2,6
-3,4,7,-1,-5,6,0,0,-8,-2,4,7
-4,1,5,1,-4,4,-1,-1,-9,-3,3,6
-3,-1,2,2,-2,0,-2,-2,-9,-4,2,4
0,-1,0,0,0,0,-2,-2,-10,-5,1,2
2,0,-2,0,1,-1,-3,-3,-11,-7,0,0
1,-1,-3,0,2,-2,-4,-4,-12,-7,-1,-1
