leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
16,1,-14,-9,15,-6,-5,-13,-5,-28,65,10
42,4,-37,-23,40,-17,-12,-34,-14,-72,170,22
58,5,-51,-32,55,-23,-17,-47,-19,-97,236,23
68,6,-61,-37,64,-27,-20,-55,-23,-112,278,18
74,6,-68,-40,71,-31,-22,-60,-26,-120,306,11
76,6,-70,-41,73,-32,-23,-63,-27,-124,326,3
76,5,-71,-40,73,-33,-23,-65,-28,-126,341,-5
77,5,-72,-41,74,-34,-23,-66,-29,-126,353,-13
79,5,-74,-42,76,-35,-24,-68,-30,-126,362,-21
78,5,-72,-42,75,-34,-23,-68,-30,-125,371,-28
75,5,-70,-40,72,-33,-23,-68,-29,-124,383,-34
72,4,-68,-38,70,-32,-22,-68,-29,-124,394,-39
72,4,-68,-38,70,-32,-22,-68,-29,-124,404,-44
72,4,-68,-38,70,-32,-22,-68,-28,-123,411,-45
70,4,-66,-37,68,-31,-22,-69,-28,-121,415,-57
69,3,-65,-36,67,-31,-22,-69,-29,-121,413,-72
69,3,-66,-36,68,-32,-22,-70,-30,-121,408,160
70,3,-67,-37,69,-33,-22,-71,-31,-122,415,90
71,3,-67,-37,69,-33,-22,-71,-31,-122,440,-277
71,3,-67,-37,69,-33,-22,-71,-31,-121,475,-475
70,3,-67,-37,68,-32,-22,-71,-31,-119,512,-783
69,3,-66,-36,67,-32,-22,-71,-31,-118,547,-1122
68,2,-65,-35,66,-31,-22,-71,-31,-115,578,-1452
66,2,-64,-34,65,-31,-21,-71,-30,-110,607,-927
66,2,-65,-34,65,-32,-21,-72,-30,-105,636,120
68,2,-66,-35,67,-32,-22,-72,-30,-99,668,653
66,3,-63,-35,65,-30,-21,-71,-28,-92,705,894
62,3,-58,-33,61,-28,-20,-70,-26,-85,745,969
59,3,-56,-31,58,-27,-19,-69,-25,-79,790,956
58,2,-56,-30,57,-27,-19,-69,-24,-75,845,897
59,2,-59,-31,59,-29,-19,-69,-25,-74,893,881
62,1,-62,-31,62,-31,-20,-70,-25,-74,910,664
60,0,-61,-30,60,-30,-20,-70,-24,-73,901,97
54,0,-55,-27,54,-27,-18,-68,-22,-69,876,-121
50,0,-50,-25,50,-25,-17,-66,-20,-65,830,-198
51,0,-50,-26,51,-25,-17,-66,-19,-63,761,-42
52,0,-51,-27,52,-25,-17,-65,-19,-61,679,247
52,0,-50,-26,51,-25,-16,-65,-19,-61,588,325
52,0,-52,-26,52,-26,-17,-65,-20,-61,493,723
55,0,-56,-27,55,-28,-18,-65,-21,-61,403,576
57,0,-59,-28,57,-29,-18,-66,-21,-61,326,259
57,0,-59,-28,58,-30,-18,-65,-21,-59,262,-27
56,-1,-58,-27,57,-30,-18,-65,-21,-57,210,-179
