leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,1,-1,0,0,1,0,0,0,0
-3,-3,0,3,-2,-2,1,3,0,0,0,0
-4,-4,-1,4,-2,-3,1,4,1,1,0,0
-5,-5,-1,5,-3,-4,2,5,1,3,1,1
-6,-6,-1,6,-3,-4,3,6,2,5,2,1
-6,-7,-1,7,-4,-4,3,7,2,5,3,1
-7,-7,-1,7,-4,-4,3,7,2,5,3,1
-7,-7,0,7,-4,-4,3,8,2,4,3,1
-6,-7,0,6,-4,-3,3,8,2,3,2,1
-6,-6,0,6,-3,-3,3,7,2,2,1,1
-7,-6,0,6,-4,-2,3,7,2,2,0,1
-8,-5,1,6,-5,-2,3,8,2,3,0,1
-8,-5,2,6,-6,-1,3,8,2,4,1,1
-8,-4,3,5,-6,0,4,8,2,5,1,1
-8,-4,4,5,-6,0,5,8,2,5,1,1
-8,-3,4,5,-6,0,6,9,3,5,1,2
-7,-2,5,5,-7,1,7,10,4,4,1,2
-7,0,6,4,-7,3,9,11,5,5,2,3
-6,0,6,3,-7,3,9,11,5,6,4,5
-6,0,5,3,-5,2,7,9,5,8,6,7
-5,0,4,2,-4,2,3,4,3,12,10,10
-4,0,4,1,-4,2,-4,-3,-2,15,13,13
-3,1,5,0,-4,3,-14,-14,-11,17,17,16
-3,2,5,0,-4,3,-24,-27,-22,18,19,18
-3,3,6,0,-4,4,-34,-40,-37,17,21,20
-3,4,7,-1,-5,5,-43,-54,-54,13,21,22
-4,4,8,-1,-6,6,-50,-67,-73,7,21,22
-4,5,9,0,-7,7,-55,-78,-93,-2,18,21
-5,5,10,0,-7,7,-59,-88,-114,-16,14,18
-5,5,10,0,-8,7,-64,-97,-135,-31,9,16
-6,5,11,1,-9,7,-71,-107,-154,-46,4,14
-7,4,10,1,-9,6,-78,-116,-166,-57,0,13
-7,1,8,2,-7,4,-85,-122,-171,-64,-1,11
-6,-1,4,3,-5,1,-91,-126,-168,-65,-2,9
-5,-5,0,5,-3,-3,-93,-125,-160,-61,-3,7
-5,-9,-4,7,-1,-6,-92,-120,-148,-55,-4,4
-5,-11,-6,9,0,-8,-87,-114,-138,-50,-6,0
-7,-13,-6,11,-1,-9,-80,-107,-131,-48,-10,-4
-8,-14,-5,12,-2,-9,-73,-99,-125,-48,-13,-7
-10,-14,-3,13,-4,-9,-66,-91,-118,-48,-16,-9
-13,-14,-1,14,-7,-7,-59,-82,-109,-48,-18,-10
-15,-13,2,14,-9,-5,-52,-72,-99,-49,-20,-11
-16,-11,5,13,-11,-3,-46,-64,-88,-49,-22,-11
-16,-9,7,13,-12,-1,-40,-56,-77,-46,-22,-11
-16,-7,9,12,-13,1,-35,-49,-67,-41,-20,-9
-16,-5,11,10,-14,3,-29,-42,-57,-35,-17,-8
-14,-3,12,9,-14,4,-24,-35,-47,-29,-14,-6
-13,-1,12,7,-13,5,-19,-29,-38,-23,-11,-4
-11,-1,11,6,-12,5,-14,-22,-30,-17,-8,-2
-11,-1,10,5,-11,4,-11,-17,-22,-13,-6,-1
-10,-1,9,5,-10,4,-8,-12,-16,-10,-4,0
-9,-1,8,5,-9,3,-6,-8,-12,-7,-3,0
-8,-2,6,4,-7,2,-4,-5,-7,-5,-1,1
-7,-2,5,4,-6,2,-2,-1,-3,-1,0,1
-7,-3,4,5,-5,1,0,3,0,1,1,1
-7,-3,3,5,-5,0,2,6,4,4,2,2
-6,-3,2,4,-4,0,3,8,6,6,3,2
-5,-4,2,4,-4,-1,4,9,8,7,4,2
-6,-4,2,4,-4,-1,5,10,9,8,4,2
-6,-5,2,5,-4,-1,5,11,10,8,4,2
-6,-4,2,5,-4,-1,6,12,10,9,4,2
-6,-4,1,5,-4,-1,6,13,11,10,4,2
-5,-4,0,5,-3,-2,7,14,12,11,5,2
-4,-5,0,5,-2,-3,8,15,13,12,6,2
-4,-5,-1,5,-2,-4,9,16,14,13,7,2
-5,-6,-1,5,-2,-4,9,16,15,14,8,3
-5,-6,-1,5,-2,-4,8,16,15,14,8,3
-4,-6,-2,5,-1,-4,8,16,15,14,7,3
-4,-5,-2,4,-1,-4,7,16,15,13,7,3
-3,-4,-1,4,-1,-3,7,16,15,13,7,3
-3,-3,0,3,-2,-2,7,16,15,14,7,3
-3,-3,0,3,-2,-1,7,16,16,15,8,3
-3,-3,0,3,-2,-2,8,17,16,16,8,3
-2,-3,-1,3,-1,-2,8,17,17,17,9,3
-2,-4,-2,3,0,-3,8,18,17,17,10,3
-3,-5,-2,4,0,-4,8,18,18,17,10,3
-3,-6,-3,4,0,-4,8,18,18,17,10,4
-3,-6,-3,4,0,-4,8,18,18,17,10,4
-3,-5,-3,4,0,-3,8,18,18,17,10,5
-2,-5,-3,3,0,-3,8,18,18,17,9,5
-2,-4,-2,3,0,-3,8,18,18,17,9,5
-3,-4,-1,3,-1,-3,9,18,18,18,9,5
-4,-4,-1,3,-1,-3,9,19,19,18,9,5
-3,-4,-1,3,-1,-2,9,19,19,18,9,5
-3,-3,-1,3,-1,-2,9,19,19,18,9,5
-3,-4,-1,3,-1,-2,9,19,19,17,9,5
-3,-4,-2,4,-1,-3,9,19,19,17,9,5
-3,-5,-2,4,-1,-3,9,19,19,17,9,5
-2,-4,-2,3,0,-3,9,19,20,17,9,5
-1,-4,-3,3,0,-4,9,19,20,17,9,5
-1,-4,-3,2,0,-4,9,19,19,16,8,4
-1,-4,-3,2,0,-4,9,18,19,15,8,4
-1,-3,-3,2,0,-3,9,18,19,14,7,3
-1,-3,-2,2,0,-3,9,18,19,13,7,3
-2,-3,-2,2,0,-2,9,18,20,13,7,4
-2,-2,-1,2,-1,-2,9,19,20,14,7,4
-1,-1,-1,1,-1,-2,9,19,20,14,7,4
0,-1,-1,0,0,-1,9,20,20,14,7,4
0,0,-1,0,0,-1,10,20,20,13,7,5
0,-1,-1,0,0,-1,11,20,21,13,7,5
-1,-1,-1,1,0,-1,11,21,21,13,7,5
-1,-2,-1,1,0,-1,11,21,21,13,7,5
0,-2,-2,0,0,-1,11,21,21,13,7,5
0,-2,-2,0,0,-1,11,21,21,13,7,5
0,-2,-2,1,0,-1,11,21,21,14,7,4
0,-2,-2,1,0,-2,11,21,22,14,8,4
0,-1,-2,0,0,-2,12,21,22,15,8,4
0,0,0,0,0,0,12,21,22,15,9,4
0,1,1,0,-1,1,12,21,22,15,9,4
0,1,2,-1,-2,2,12,21,22,15,9,4
0,1,2,-1,-2,2,13,21,22,15,9,4
0,0,1,0,-1,1,14,22,23,16,9,4
0,0,0,0,-1,0,14,22,23,17,10,5
0,0,0,0,-1,0,15,23,23,18,11,6
0,1,0,-1,-1,0,15,23,23,18,12,6
0,1,0,-1,0,0,16,24,24,19,12,6
0,1,1,0,-1,1,16,24,24,19,13,6
0,1,1,0,-1,1,17,24,24,18,12,6
0,1,0,-1,-1,1,17,24,24,18,12,6
1,1,0,-1,0,1,18,24,23,17,12,6
1,1,0,-2,0,1,18,24,23,17,11,6
1,2,1,-2,0,1,19,24,23,16,11,6
0,2,2,-2,-1,2,19,24,23,16,10,6
0,3,4,-2,-2,3,19,24,22,15,10,5
1,5,4,-3,-2,4,19,24,22,15,9,5
1,6,4,-4,-2,5,19,24,22,14,9,5
1,6,4,-4,-2,5,20,24,22,14,10,6
2,7,5,-5,-2,6,20,24,21,14,10,7
2,7,5,-5,-2,6,20,24,21,14,10,8
2,6,4,-5,-1,6,21,25,21,14,10,9
2,6,4,-4,-1,6,21,25,20,13,10,9
2,6,5,-4,-1,6,22,24,20,13,9,8
2,6,4,-4,-1,5,22,24,20,12,9,8
2,6,3,-4,-1,5,22,24,19,11,9,9
2,6,3,-4,-1,5,22,24,18,10,9,9
1,6,4,-3,-2,5,22,23,17,9,8,9
1,8,6,-4,-3,7,21,22,16,8,7,8
2,9,7,-6,-3,8,21,21,14,7,6,8
3,10,7,-7,-2,9,20,21,14,6,6,8
3,10,7,-7,-2,9,20,20,13,6,5,7
3,11,7,-7,-2,9,20,19,12,5,5,7
3,11,7,-7,-3,9,19,18,11,4,5,7
3,11,7,-7,-3,9,18,17,10,3,4,7
3,11,7,-7,-3,10,18,17,9,3,4,8
3,11,8,-7,-3,10,17,16,8,3,5,8
3,11,8,-7,-3,10,17,16,7,3,5,9
2,10,8,-7,-4,10,17,15,7,2,6,9
2,10,8,-6,-3,9,16,15,6,2,6,9
3,10,7,-6,-2,8,15,14,6,1,5,9
3,9,6,-6,-2,8,14,13,5,0,5,9
2,9,7,-6,-2,8,14,12,4,0,4,8
2,9,6,-6,-2,8,13,11,3,0,4,8
3,9,5,-6,-1,7,12,10,2,-1,3,7
3,8,5,-6,-1,6,10,9,1,-1,3,7
4,8,5,-6,-1,6,9,8,1,-1,3,7
4,8,4,-6,0,6,8,7,1,-1,3,7
4,7,3,-6,0,5,8,7,1,0,4,7
4,6,2,-5,0,4,8,6,1,0,4,7
5,5,1,-5,1,3,7,6,1,0,5,7
5,4,0,-5,2,2,6,6,1,0,5,7
5,3,-1,-5,3,2,6,5,1,0,5,8
4,2,-1,-4,3,1,5,5,1,0,5,8
3,1,-1,-3,2,1,4,4,1,0,5,8
3,2,-1,-3,2,1,3,4,1,0,5,7
4,3,0,-4,2,2,2,3,1,0,4,7
5,4,0,-5,3,2,2,3,1,0,4,6
5,4,0,-5,3,2,1,3,1,0,3,5
5,4,-1,-5,3,2,0,3,2,0,3,5
5,4,-1,-4,3,1,0,2,2,0,2,4
5,3,-2,-4,3,0,0,2,3,0,2,4
5,2,-2,-4,4,0,0,3,3,0,1,4
5,2,-3,-4,4,0,0,3,3,0,1,4
5,1,-4,-3,5,-1,0,3,3,0,1,4
5,0,-5,-3,5,-2,-1,3,4,0,1,4
5,0,-6,-3,5,-3,-1,3,4,0,2,4
6,-1,-7,-3,6,-4,-2,3,4,0,2,5
6,-2,-7,-2,6,-4,-2,2,4,0,3,5
6,-2,-8,-2,6,-4,-2,2,4,0,3,6
6,-2,-8,-3,7,-4,-2,1,5,1,3,6
7,-1,-8,-3,7,-4,-2,1,5,1,3,6
6,-1,-7,-3,7,-4,-2,1,6,1,3,6
6,-1,-7,-3,6,-4,-2,1,6,1,2,6
5,-1,-6,-2,5,-4,-2,1,6,1,2,6
5,-1,-6,-2,5,-4,-2,1,6,1,1,6
6,-1,-7,-2,6,-4,-2,1,6,1,1,5
6,-1,-8,-2,7,-4,-2,1,6,1,1,5
6,-2,-8,-2,7,-5,-2,1,6,1,2,5
6,-3,-8,-2,7,-5,-2,2,6,2,2,5
6,-3,-9,-2,7,-6,-2,2,6,2,2,5
6,-3,-9,-2,8,-6,-2,3,6,2,2,5
7,-3,-10,-2,8,-6,-2,3,6,1,2,5
6,-3,-10,-2,7,-6,-2,3,6,1,1,5
5,-3,-10,-1,7,-6,-2,2,6,2,1,5
5,-3,-9,-1,7,-6,-2,2,6,2,0,5
5,-3,-9,-1,7,-6,-2,2,7,2,0,5
6,-2,-9,-2,7,-5,-3,2,7,2,0,4
6,-2,-8,-2,7,-5,-3,2,7,1,0,4
6,-1,-8,-2,7,-5,-3,1,7,1,-1,3
6,-1,-7,-2,6,-4,-4,1,7,1,-1,3
6,-1,-7,-2,6,-4,-4,1,7,1,-1,3
5,-1,-7,-2,6,-4,-3,1,7,1,0,4
5,-2,-8,-1,7,-5,-3,1,7,1,0,4
5,-2,-8,-1,7,-5,-3,2,7,2,1,5
5,-1,-8,-2,7,-5,-3,2,7,2,1,5
5,-1,-8,-2,7,-5,-3,2,7,2,1,5
5,-2,-8,-1,7,-6,-3,2,7,1,1,5
5,-3,-8,-1,6,-6,-2,2,7,1,2,5
5,-3,-8,-2,7,-5,-2,2,8,1,2,5
6,-3,-9,-2,7,-6,-2,2,8,1,3,6
6,-3,-9,-2,8,-6,-2,2,8,1,3,6
5,-3,-9,-1,7,-6,-2,2,8,2,3,5
4,-4,-9,0,7,-7,-2,2,9,2,3,5
4,-5,-9,0,7,-7,-1,2,9,2,3,5
5,-5,-10,0,7,-8,-1,2,9,1,3,5
5,-5,-10,0,8,-8,-1,2,9,1,2,5
6,-5,-11,0,8,-8,-1,2,10,1,2,5
6,-5,-10,0,8,-8,-1,3,10,1,2,5
6,-4,-10,0,8,-7,0,3,11,1,1,4
6,-4,-10,0,8,-7,0,3,11,1,1,4
6,-4,-10,0,8,-7,0,3,11,1,1,4
6,-3,-10,-1,8,-7,0,3,11,0,0,4
6,-3,-10,-1,8,-7,0,3,11,0,0,4
6,-4,-11,0,9,-7,1,3,11,0,0,4
6,-5,-12,0,9,-8,1,4,12,0,0,4
5,-6,-12,0,9,-9,1,4,11,0,0,4
5,-6,-11,0,8,-9,1,4,11,0,0,4
5,-6,-11,0,8,-9,1,4,11,0,0,4
6,-5,-11,0,8,-9,1,4,12,0,0,4
6,-5,-11,0,8,-9,1,4,12,0,0,4
5,-6,-11,0,8,-9,1,4,12,-1,1,4
5,-5,-10,0,7,-8,1,4,12,-1,1,4
5,-4,-9,0,7,-7,2,4,12,-1,1,4
4,-4,-9,0,7,-7,2,4,12,-1,1,4
4,-5,-10,0,7,-7,2,5,12,-1,1,4
5,-5,-10,0,8,-7,2,5,13,-2,1,4
5,-4,-10,0,7,-7,3,5,13,-2,1,4
5,-4,-10,0,7,-7,3,5,13,-3,0,4
5,-5,-10,0,7,-7,3,5,13,-3,0,4
5,-6,-11,0,8,-8,3,6,13,-3,0,4
5,-7,-12,1,8,-9,3,6,14,-3,0,4
4,-7,-12,1,8,-9,4,6,14,-4,-1,4
4,-8,-12,2,8,-10,4,5,13,-4,-1,4
4,-7,-12,1,8,-9,3,5,13,-4,-2,3
5,-6,-12,1,8,-9,3,5,13,-4,-2,3
5,-5,-10,0,8,-8,4,5,13,-4,-3,3
5,-3,-9,0,7,-6,4,5,13,-4,-3,3
5,-2,-7,-1,6,-5,4,5,13,-4,-3,3
5,-1,-6,-2,6,-4,4,5,13,-3,-3,3
6,0,-6,-2,6,-3,4,5,14,-3,-2,3
6,0,-6,-2,6,-3,5,6,14,-2,-2,4
5,0,-6,-2,6,-3,5,6,15,-1,-1,4
5,0,-7,-2,6,-4,6,7,16,-1,-1,5
6,-1,-8,-2,7,-4,6,7,16,0,0,5
6,-1,-8,-2,7,-5,6,7,16,0,0,6
7,-1,-8,-3,7,-5,6,7,16,0,0,6
7,0,-7,-3,7,-4,5,7,16,0,-1,6
7,1,-6,-4,7,-3,5,7,16,0,-1,5
8,3,-5,-5,6,-1,4,7,16,0,-1,5
9,5,-4,-6,7,0,4,6,15,0,-1,5
10,6,-4,-7,6,1,3,6,15,0,-1,5
9,6,-4,-7,6,1,3,6,15,0,-1,6
9,5,-4,-7,6,0,3,6,15,0,-1,6
9,4,-5,-6,6,0,3,5,15,0,-1,6
7,3,-4,-5,5,-1,3,5,15,0,0,6
6,3,-3,-4,4,0,3,4,14,0,0,6
6,3,-3,-4,4,0,2,4,13,0,0,6
6,4,-2,-4,4,1,1,3,12,-1,0,6
6,4,-3,-4,4,1,0,2,11,-1,-1,6
6,4,-3,-4,4,1,0,1,9,-2,-1,6
6,4,-2,-5,4,1,-1,0,8,-2,-1,6
6,4,-1,-5,3,2,-2,0,8,-2,-1,6
6,5,0,-5,3,2,-2,0,8,-2,-1,6
6,5,-1,-5,4,1,-2,-1,8,-3,-1,6
6,4,-1,-4,4,1,-2,-1,8,-4,-1,6
5,5,0,-4,3,2,-2,-1,8,-4,-1,6
5,5,1,-5,2,3,-2,-1,8,-5,-1,6
5,6,1,-5,1,3,-2,0,8,-5,-2,6
4,6,1,-5,1,3,-2,0,8,-6,-2,5
4,5,1,-5,1,3,-2,0,8,-6,-3,5
4,5,1,-4,1,3,-2,0,8,-7,-3,4
4,4,0,-4,2,2,-2,0,7,-7,-3,4
4,2,-1,-3,2,0,-2,0,7,-7,-3,4
3,0,-3,-2,3,-2,-1,1,8,-7,-4,3
3,-2,-5,-1,4,-4,-1,2,8,-8,-4,3
3,-3,-6,0,4,-5,0,2,8,-8,-4,3
3,-4,-7,0,4,-6,-1,2,7,-9,-5,3
3,-5,-7,1,4,-6,-1,1,6,-10,-6,2
2,-5,-6,1,4,-6,-2,1,6,-10,-7,1
3,-5,-7,1,5,-6,-2,1,6,-10,-7,0
3,-5,-7,1,5,-6,-1,2,6,-10,-7,-1
3,-5,-7,1,5,-6,-1,2,6,-10,-7,-1
