leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-2,-1,1,1,-1,0,0,0,0,1,0,-2
-5,-3,2,4,-3,0,0,0,2,3,0,-5
-5,-3,2,4,-4,0,0,0,2,4,1,-6
-3,-1,2,2,-3,0,0,0,3,4,3,-3
0,2,2,-1,-2,2,0,0,3,4,6,3
2,5,3,-3,-1,3,0,0,4,4,9,11
3,5,2,-4,0,3,0,-1,3,3,11,16
3,4,1,-3,0,2,0,-1,2,2,11,16
0,2,1,0,-1,1,0,-2,2,1,9,12
-2,-1,1,2,-2,0,0,-2,2,0,7,5
-4,-2,2,4,-3,0,0,-3,1,-1,6,0
-3,0,4,2,-4,2,0,-3,0,-3,7,-2
0,4,4,-1,-2,4,0,-4,-1,-4,9,2
2,6,4,-4,-1,5,-1,-5,-2,-6,11,10
3,7,4,-4,0,5,-2,-6,-4,-8,12,17
2,5,4,-3,-1,4,-3,-7,-6,-11,11,18
1,2,2,-1,0,2,-4,-9,-7,-15,8,13
0,1,1,0,0,1,-4,-10,-8,-17,5,6
-2,0,2,2,-2,1,-4,-11,-9,-18,4,1
-4,0,4,2,-4,1,-4,-12,-9,-19,5,1
-2,2,4,1,-3,2,-4,-12,-9,-19,8,5
0,4,3,-1,-2,2,-4,-12,-9,-21,10,12
2,6,3,-3,-1,3,-5,-13,-10,-23,11,18
2,6,3,-3,-1,4,-5,-15,-12,-26,10,18
1,5,4,-2,-2,4,-6,-16,-14,-30,7,14
0,4,4,-1,-3,4,-6,-17,-16,-33,5,8
-2,3,4,0,-4,4,-7,-18,-18,-35,4,2
-2,1,3,1,-3,2,-7,-19,-19,-35,4,0
0,1,0,0,-1,1,-7,-20,-19,-36,5,3
1,1,0,0,0,0,-8,-20,-20,-37,6,8
2,2,0,-1,0,0,-8,-21,-22,-39,6,13
2,2,0,-1,0,0,-8,-22,-23,-42,6,16
2,1,-1,-1,1,0,-8,-23,-24,-44,5,15
