leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-3,0,2,1,-2,0,1,-1,-3,6,8,3
-7,-2,5,4,-6,1,4,-3,-8,15,22,9
-10,-3,6,6,-7,0,6,-4,-11,20,30,13
-11,-4,6,7,-8,0,8,-4,-11,24,35,16
-10,-3,7,6,-8,1,10,-3,-11,26,38,18
-7,0,7,3,-7,3,11,-3,-10,27,40,20
-5,1,7,2,-6,4,10,-3,-10,27,41,21
-7,1,8,3,-7,4,9,-3,-10,26,41,21
-8,0,8,4,-8,4,8,-4,-11,25,40,20
-8,-1,7,5,-8,3,8,-4,-11,24,37,19
-9,-2,7,6,-8,3,8,-4,-11,23,35,18
-9,-2,7,6,-8,3,8,-4,-11,22,33,18
-10,-2,8,6,-9,3,9,-3,-9,22,31,18
-10,0,9,5,-10,4,10,-2,-7,22,31,19
-7,3,10,2,-9,6,11,0,-5,23,31,21
-4,7,11,-1,-7,8,12,1,-3,24,32,22
-3,8,11,-2,-6,9,12,2,-2,23,31,23
-2,6,8,-1,-5,7,12,1,-2,22,30,22
-4,2,6,1,-5,4,11,0,-3,20,28,20
-7,-2,6,4,-6,2,10,0,-4,18,26,19
-10,-4,7,7,-8,1,10,0,-4,17,25,18
-11,-3,8,7,-9,2,10,0,-4,16,23,17
-9,-1,7,5,-7,3,10,0,-4,15,22,16
-6,-1,5,4,-5,2,9,0,-4,14,20,15
-4,-1,3,3,-3,1,9,0,-4,13,19,15
-2,0,3,1,-2,1,9,0,-3,12,18,15
-1,1,3,0,-2,2,9,1,-2,12,18,16
-2,1,3,1,-3,3,10,1,-1,12,18,16
-3,0,4,1,-3,3,10,1,0,12,18,15
-3,1,4,0,-3,3,9,1,0,11,18,15
-3,2,4,0,-3,3,9,1,1,11,18,15
-3,3,5,0,-4,4,9,2,3,11,18,15
-4,2,7,1,-5,4,10,2,4,11,18,16
-6,2,9,2,-7,5,10,3,6,12,18,16
-6,3,10,1,-8,6,11,4,7,12,18,16
-4,6,11,-1,-8,8,11,5,9,13,18,16
-3,7,12,-2,-8,9,12,6,10,13,18,16
-3,7,11,-2,-7,9,12,6,10,12,17,16
-4,5,9,-1,-6,7,12,5,10,12,16,16
-5,2,7,1,-6,5,12,5,10,11,15,15
-7,-1,5,4,-6,2,12,4,10,11,14,15
-6,-3,3,5,-5,0,12,4,11,10,13,14
-3,-2,2,3,-3,0,12,4,11,9,12,13
-1,1,2,0,-2,2,12,4,11,9,12,13
0,4,4,-2,-2,4,11,3,12,9,11,13
-1,5,6,-2,-3,5,12,3,13,9,11,13
-2,5,6,-1,-4,5,12,3,14,9,11,13
-2,4,6,-1,-4,5,10,3,14,8,11,13
-4,3,7,0,-5,4,9,2,14,7,11,13
-8,1,9,3,-8,4,9,3,15,7,11,13
-10,0,10,5,-9,4,10,3,16,7,12,14
-10,-2,8,6,-8,2,10,3,17,6,11,13
-9,-2,6,5,-7,1,9,2,17,5,10,12
-8,-3,4,5,-5,0,9,1,17,4,9,11
-6,-5,1,5,-3,-2,9,0,17,3,8,10
-5,-5,0,5,-2,-2,9,0,17,3,7,10
-5,-4,1,4,-3,-1,10,1,20,4,8,11
-4,0,4,2,-4,2,12,3,23,6,9,13
-1,4,6,-1,-4,5,13,5,26,7,11,15
1,8,7,-4,-3,7,14,6,27,8,12,16
2,10,7,-6,-2,8,14,6,28,9,12,16
2,10,7,-6,-2,8,14,6,28,8,11,16
0,7,7,-4,-3,7,14,6,28,7,11,15
-3,3,6,0,-4,4,14,5,28,6,10,14
-4,0,5,2,-4,2,13,4,27,5,9,13
-3,0,3,2,-3,0,12,4,26,4,8,12
-2,0,2,1,-2,0,12,4,27,4,8,12
-1,1,3,0,-2,1,11,4,28,4,8,13
0,3,3,-2,-1,2,11,4,28,4,8,13
2,5,3,-3,-1,3,11,4,28,4,8,13
4,6,2,-5,0,3,12,4,28,3,8,12
7,6,-1,-6,4,2,12,3,28,2,7,11
9,5,-6,-7,8,0,11,1,27,0,5,10
11,3,-9,-7,10,-3,10,0,26,-1,3,9
10,2,-8,-6,10,-3,10,0,27,-1,2,9
6,1,-4,-4,6,-1,10,0,28,0,1,9
1,0,0,-1,1,0,10,0,29,0,1,9
-4,-1,2,2,-2,0,10,1,29,0,0,9
-6,-3,3,4,-4,0,11,2,31,0,0,10
-5,-1,4,3,-4,1,12,3,33,2,1,12
-3,2,5,0,-4,3,13,5,35,3,2,13
-2,5,6,-1,-5,6,14,6,36,3,2,14
-1,6,7,-1,-5,7,13,6,37,3,2,15
0,6,6,-3,-3,7,13,6,38,3,1,14
3,7,5,-5,-1,6,12,6,38,3,1,14
3,7,4,-5,0,6,12,6,38,3,1,14
3,7,4,-5,-1,6,12,5,38,2,1,13
1,6,5,-4,-2,6,12,4,38,1,0,13
-1,5,6,-2,-3,5,12,4,38,1,0,12
0,5,5,-2,-3,4,12,4,39,0,0,12
2,5,3,-3,-1,3,11,3,39,0,-1,12
1,3,2,-1,0,2,10,2,39,-2,-2,11
-3,-1,3,2,-4,1,10,2,39,-3,-3,10
-7,-3,4,5,-6,0,10,2,39,-3,-3,10
-9,-5,3,7,-6,0,9,1,40,-3,-3,10
-9,-5,3,7,-6,-1,8,0,40,-3,-3,10
-8,-4,3,6,-5,-1,8,0,41,-3,-3,11
-8,-3,4,6,-6,0,9,2,42,-2,-3,12
-8,-2,6,5,-7,1,9,3,44,-2,-2,13
-8,-1,7,5,-7,2,10,4,45,-1,-3,13
-6,0,7,3,-6,3,10,4,45,-1,-3,13
-3,1,5,0,-4,3,10,4,45,-2,-3,13
-1,2,4,-1,-2,3,9,4,45,-2,-3,13
-1,2,3,-1,-1,3,9,3,45,-2,-3,13
-2,1,3,0,-2,2,8,3,44,-3,-4,12
-2,1,2,0,-2,1,9,2,45,-4,-5,11
0,1,2,0,-1,1,10,3,45,-4,-5,11
1,3,2,-2,0,2,10,3,45,-4,-5,12
2,4,3,-3,0,3,10,3,45,-4,-5,12
2,5,4,-4,-1,4,10,3,45,-3,-5,12
2,5,4,-4,-1,4,9,4,46,-3,-5,12
0,4,4,-2,-2,4,9,5,47,-2,-5,12
