leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,1,0,-1,0,0,2,0,-1,-1
-2,-4,-1,3,0,-3,1,-1,6,0,-2,-2
-1,-5,-3,3,1,-4,1,-2,8,-3,-3,-3
-1,-5,-4,3,1,-4,1,-3,9,-5,-4,-4
0,-3,-3,2,1,-3,2,-4,9,-7,-4,-5
0,-4,-3,2,1,-3,2,-4,10,-7,-4,-5
-2,-5,-2,3,0,-3,3,-3,11,-7,-4,-5
-3,-5,-2,4,0,-3,3,-3,12,-7,-4,-5
-3,-7,-3,5,0,-4,4,-2,13,-7,-4,-5
-3,-7,-3,4,0,-5,4,-2,13,-7,-4,-5
-3,-5,-2,3,0,-3,4,-2,12,-7,-4,-5
-3,-4,-1,3,-1,-2,4,-2,12,-7,-3,-5
-4,-5,-1,4,-1,-3,4,-2,12,-7,-3,-5
-2,-6,-3,4,0,-4,4,-2,12,-8,-4,-5
-1,-6,-4,4,1,-5,4,-2,12,-9,-5,-5
-1,-7,-5,4,2,-6,4,-3,12,-9,-5,-5
-1,-8,-6,4,2,-7,4,-3,12,-9,-5,-5
0,-7,-7,3,3,-7,4,-3,11,-10,-5,-6
0,-7,-7,3,3,-7,4,-3,11,-10,-5,-6
0,-6,-6,2,3,-6,4,-3,11,-9,-4,-6
1,-5,-6,2,3,-5,4,-3,11,-8,-4,-6
2,-5,-7,1,4,-5,3,-4,10,-8,-5,-6
1,-5,-6,2,4,-5,3,-4,10,-8,-5,-6
0,-6,-6,2,3,-5,2,-4,10,-8,-5,-6
0,-6,-5,3,2,-5,2,-3,11,-8,-5,-6
-2,-5,-3,3,0,-4,3,-2,11,-7,-4,-5
-4,-4,-1,4,-1,-3,3,-2,12,-7,-4,-5
-4,-4,0,4,-2,-2,4,-2,12,-7,-4,-5
-3,-4,-1,4,-1,-3,4,-2,12,-7,-4,-5
-4,-5,-1,5,-1,-3,4,-1,12,-6,-3,-4
-5,-6,0,5,-2,-3,5,-1,13,-6,-3,-4
-5,-6,0,5,-2,-3,5,-1,13,-5,-3,-4
-4,-5,-1,4,-1,-3,5,-2,12,-6,-3,-4
-2,-3,-1,2,0,-2,4,-3,11,-6,-4,-5
-1,-2,-2,1,0,-2,3,-4,11,-6,-4,-5
-1,-3,-1,2,0,-2,3,-3,12,-5,-2,-4
-3,-2,1,3,-2,-1,4,-1,14,-3,1,-2
-2,-1,2,2,-2,0,4,0,16,-1,4,0
-1,-1,0,1,0,0,4,2,18,1,8,3
1,-2,-2,0,1,-1,4,5,20,4,13,5
5,-1,-6,-1,5,-3,4,10,24,8,20,8
11,0,-11,-5,11,-5,3,16,30,13,28,12
18,1,-17,-10,17,-7,1,20,34,19,37,19
26,4,-21,-15,23,-8,-2,21,35,24,47,27
34,9,-25,-21,29,-7,-8,17,31,27,56,35
41,14,-26,-27,33,-6,-15,11,25,27,61,41
46,19,-27,-32,36,-4,-21,3,18,23,57,43
48,21,-27,-34,37,-3,-25,-5,9,14,43,39
48,20,-28,-34,38,-4,-27,-12,0,2,25,32
47,17,-30,-32,38,-6,-28,-17,-9,-11,5,23
45,13,-33,-29,39,-9,-27,-22,-17,-24,-13,13
41,6,-35,-24,38,-14,-23,-26,-26,-39,-30,1
34,-2,-35,-16,35,-18,-18,-31,-33,-52,-44,-9
22,-8,-30,-7,26,-18,-11,-37,-40,-62,-54,-18
8,-12,-19,2,14,-15,-6,-45,-48,-70,-61,-24
-5,-14,-8,9,1,-11,-2,-53,-58,-76,-66,-28
-18,-15,3,16,-11,-6,1,-58,-63,-78,-67,-32
-30,-15,14,22,-22,0,5,-58,-62,-74,-64,-33
-36,-15,21,25,-29,3,7,-56,-58,-68,-59,-31
-35,-15,20,25,-28,3,8,-53,-52,-62,-52,-29
-30,-14,15,22,-23,1,7,-47,-44,-55,-45,-26
-23,-12,11,18,-17,0,6,-39,-35,-46,-37,-21
-18,-9,8,14,-13,0,4,-31,-26,-37,-29,-16
-14,-6,8,11,-11,1,3,-24,-17,-29,-21,-12
-13,-5,8,9,-10,1,3,-17,-8,-21,-14,-8
-10,-4,6,7,-8,1,2,-12,-2,-15,-9,-5
-5,-3,3,4,-4,0,1,-9,2,-12,-6,-4
-3,-2,2,2,-2,1,1,-7,5,-9,-4,-3
-2,0,3,1,-3,2,2,-5,8,-7,-2,-3
-2,1,4,1,-3,3,2,-3,9,-5,-1,-2
-1,1,4,0,-2,3,2,-1,11,-4,0,-2
-1,0,2,0,-1,1,2,0,12,-2,1,-1
0,0,-1,0,1,0,2,1,13,-1,1,-1
2,0,-3,-1,3,-1,1,1,13,-1,1,-1
3,0,-2,-2,3,-1,1,1,14,0,2,0
0,0,0,0,0,0,2,3,16,1,3,1
-1,0,2,0,-1,1,3,3,16,2,4,1
