leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,1,0,-1,0,1,19,2,2,1,1,5
2,3,1,-3,1,2,45,6,7,2,2,12
3,4,1,-4,1,2,41,6,9,3,2,8
5,5,0,-5,2,2,3,1,12,3,1,-9
6,6,0,-6,4,2,-51,-4,14,4,1,-33
7,6,-1,-6,5,2,-93,-8,16,5,2,-51
8,5,-2,-6,6,1,-102,-7,18,7,4,-55
8,4,-4,-6,7,0,-73,-2,20,9,7,-42
9,3,-5,-6,8,-1,-22,5,21,11,12,-17
10,3,-7,-7,9,-1,22,11,22,14,16,7
11,5,-7,-8,9,-1,36,11,23,16,20,21
13,8,-6,-10,10,0,12,6,23,17,23,19
16,12,-4,-14,10,4,-39,-1,21,17,24,6
18,17,-2,-17,10,8,-91,-10,17,14,23,-9
19,21,1,-20,10,11,-116,-16,10,9,20,-14
20,22,2,-22,9,13,-104,-18,3,2,16,-7
20,22,3,-22,9,13,-61,-17,-4,-4,9,9
19,21,2,-21,9,12,-13,-14,-10,-10,1,24
19,19,0,-19,10,9,12,-14,-15,-16,-8,28
18,13,-5,-16,11,4,0,-17,-19,-22,-18,15
16,6,-10,-12,13,-1,-43,-22,-22,-27,-29,-12
13,0,-14,-7,13,-6,-93,-27,-23,-32,-39,-44
10,-4,-15,-3,13,-9,-124,-29,-25,-36,-47,-68
7,-7,-15,0,11,-11,-119,-27,-27,-39,-51,-73
4,-8,-13,1,9,-10,-79,-22,-28,-39,-50,-61
3,-7,-10,1,8,-9,-26,-16,-27,-37,-47,-39
3,-5,-8,0,6,-7,11,-11,-25,-34,-42,-22
4,-1,-5,-1,5,-4,14,-10,-22,-30,-36,-16
5,2,-3,-3,4,-1,-20,-13,-18,-26,-31,-25
6,5,-1,-5,4,2,-72,-17,-14,-22,-26,-43
6,7,0,-6,4,4,-112,-19,-11,-18,-22,-58
7,8,0,-7,4,5,-119,-17,-7,-14,-18,-60
8,9,1,-8,4,5,-89,-12,-4,-11,-13,-48
8,9,1,-8,4,5,-37,-5,-2,-8,-10,-28
7,8,1,-8,4,4,7,0,0,-6,-8,-10
7,7,1,-7,3,4,22,1,1,-5,-7,-3
6,7,1,-6,3,4,-1,0,3,-4,-7,-12
6,6,0,-5,3,3,-50,-5,5,-4,-7,-32
6,5,0,-5,3,2,-98,-8,6,-3,-7,-52
5,3,-2,-4,4,1,-118,-9,8,-2,-6,-62
4,2,-2,-3,4,0,-100,-7,8,-1,-5,-57
3,1,-2,-2,4,0,-53,-3,9,0,-3,-39
3,0,-2,-1,3,-1,-4,0,9,0,-2,-20
2,0,-2,-1,3,-1,20,1,9,0,-2,-10
2,0,-3,-1,3,-2,8,-1,9,0,-2,-13
2,0,-3,-1,3,-2,-35,-7,9,0,-2,-30
2,0,-3,-1,3,-2,-85,-11,10,0,-2,-50
2,0,-3,-1,3,-2,-115,-14,10,1,-2,-63
2,0,-3,-1,3,-2,-110,-14,10,1,-2,-63
2,-1,-3,0,3,-2,-70,-10,10,2,-1,-49
1,-1,-3,0,3,-2,-18,-5,10,3,0,-29
1,-2,-3,0,3,-3,18,-3,11,3,0,-15
1,-2,-4,0,4,-3,19,-3,11,3,-1,-13
1,-2,-4,0,4,-3,-15,-7,11,3,-1,-26
1,-3,-4,1,4,-4,-66,-12,11,3,-2,-46
0,-4,-5,2,3,-4,-105,-14,11,3,-2,-61
0,-4,-5,2,3,-5,-112,-15,11,3,-1,-66
0,-5,-5,3,3,-5,-83,-13,10,3,0,-56
0,-5,-5,3,3,-5,-33,-9,10,3,0,-37
0,-6,-5,3,3,-5,9,-6,10,3,0,-21
0,-5,-5,3,3,-5,23,-6,10,3,1,-14
0,-5,-5,3,3,-5,0,-8,10,3,1,-22
0,-5,-5,3,3,-6,-49,-13,10,3,1,-40
0,-5,-5,3,3,-6,-95,-17,10,4,1,-57
0,-6,-5,3,2,-5,-114,-18,10,4,1,-65
0,-6,-5,3,2,-5,-96,-17,10,4,2,-60
0,-6,-5,3,3,-6,-50,-14,10,4,2,-44
-1,-6,-4,3,3,-6,-3,-12,10,4,1,-27
-1,-6,-4,3,2,-6,20,-10,10,4,1,-17
-1,-6,-5,4,2,-6,8,-11,10,4,2,-20
-2,-7,-5,4,2,-6,-34,-14,10,4,2,-35
-2,-7,-4,5,1,-6,-83,-16,10,3,2,-53
-3,-7,-4,5,1,-6,-113,-17,10,3,2,-64
-3,-7,-4,4,1,-6,-107,-16,10,3,2,-64
-3,-7,-4,4,1,-6,-69,-13,10,3,3,-50
-3,-7,-4,4,1,-6,-19,-9,10,3,4,-32
-3,-7,-3,4,1,-6,14,-7,10,3,4,-18
-2,-7,-3,4,1,-6,15,-6,10,3,4,-16
-2,-7,-4,4,1,-6,-20,-8,10,3,4,-28
-3,-8,-4,5,1,-6,-70,-11,10,3,4,-46
-3,-8,-4,5,1,-6,-108,-13,10,3,5,-59
-3,-7,-4,5,1,-6,-115,-14,10,3,6,-63
-3,-7,-4,4,1,-6,-85,-12,10,4,7,-53
-3,-6,-3,4,1,-5,-36,-10,10,4,7,-34
-3,-5,-1,4,0,-4,5,-10,10,5,8,-19
-3,-4,0,3,0,-3,18,-10,10,5,9,-12
-3,-3,0,3,0,-2,-5,-14,10,6,9,-19
-3,-3,0,3,-1,-2,-52,-18,11,7,10,-34
-2,-2,0,3,-1,-1,-95,-22,11,8,11,-48
-2,-2,0,2,-1,-1,-113,-24,11,8,11,-55
-3,-2,0,2,-1,-1,-95,-25,11,9,11,-50
-3,-2,1,3,-2,-1,-50,-24,11,9,12,-34
-2,-2,1,2,-1,-1,-4,-23,11,10,13,-17
-2,-1,2,2,-1,0,19,-23,11,11,14,-6
-3,0,3,2,-2,0,8,-25,11,11,14,-7
-3,0,4,1,-3,1,-34,-28,11,12,15,-20
-2,1,4,0,-2,1,-81,-30,12,12,16,-35
-1,2,4,-1,-2,2,-109,-30,12,13,16,-44
-1,3,4,-1,-3,3,-103,-29,12,13,17,-42
-1,3,5,-1,-3,3,-65,-25,12,13,17,-29
-2,3,6,-1,-4,4,-16,-22,12,13,18,-11
-2,4,6,-1,-4,4,16,-20,12,13,18,0
-2,4,6,-1,-4,5,18,-18,12,13,18,2
-2,5,7,-1,-4,5,-15,-19,11,13,18,-8
-2,5,7,-1,-4,5,-63,-19,11,13,18,-23
-2,5,7,-1,-4,5,-99,-19,10,13,19,-34
-2,5,7,0,-5,5,-106,-19,10,13,19,-37
-3,4,7,0,-5,5,-77,-18,10,12,18,-29
-3,4,7,0,-5,5,-29,-16,9,11,17,-13
-3,4,7,0,-5,5,11,-15,9,10,17,0
-2,4,7,-1,-4,5,24,-14,9,10,18,5
-2,5,7,-1,-4,5,4,-15,9,10,18,0
-2,5,7,-1,-5,6,-39,-17,9,10,17,-16
-2,4,7,-1,-5,6,-79,-19,8,9,17,-29
-3,4,7,0,-5,6,-96,-20,7,9,16,-36
-4,4,8,0,-5,5,-83,-20,7,8,16,-32
-4,4,8,0,-5,5,-51,-19,6,7,16,-17
-4,4,8,0,-5,5,-20,-19,6,6,16,-3
-4,4,8,0,-5,6,-5,-18,5,6,15,4
-4,4,8,0,-5,6,-12,-20,5,5,15,1
-3,4,8,-1,-5,6,-38,-23,4,4,13,-13
-3,5,8,-1,-5,6,-65,-24,4,4,12,-29
