leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,0,0,1,-1,0,0,-5,-6,-4,-3,-1
-2,-1,1,2,-2,0,-1,-12,-14,-9,-7,-3
-3,0,2,2,-2,0,0,-11,-13,-9,-7,-4
-3,0,2,2,-3,0,2,-8,-9,-6,-5,-3
-3,0,2,2,-3,0,4,-4,-5,-2,-3,-2
-2,0,2,1,-2,0,5,0,-1,1,-1,-1
-2,0,1,1,-2,0,6,2,3,4,0,0
-2,1,1,1,-2,0,7,5,7,6,2,2
-1,2,1,0,-1,1,8,8,10,9,4,3
0,3,1,-1,0,1,9,10,13,11,5,3
1,4,1,-2,0,1,10,13,16,12,6,3
1,4,1,-2,0,2,11,15,18,14,7,3
2,4,1,-2,0,2,11,16,19,15,8,3
2,4,0,-2,0,1,12,18,21,16,8,3
2,3,0,-1,0,1,12,19,22,17,8,3
1,2,0,-1,0,0,12,20,23,17,9,4
2,2,0,-1,1,0,12,21,24,18,9,4
2,3,0,-1,2,0,13,22,25,19,10,4
2,3,0,-2,2,0,13,23,26,20,10,4
2,3,0,-2,2,0,14,24,27,20,11,5
2,3,-1,-2,2,0,14,24,28,21,11,5
2,3,-1,-2,2,0,14,25,29,21,12,5
3,3,-1,-2,2,0,14,25,29,21,12,5
3,3,-1,-2,2,0,14,25,30,21,12,5
4,3,-1,-2,2,0,14,25,30,22,12,5
4,3,-1,-2,2,0,14,26,31,22,12,5
5,3,-2,-3,3,0,14,26,31,23,13,5
5,3,-2,-3,3,0,14,27,32,23,13,5
5,3,-2,-3,3,0,14,27,32,23,13,5
4,3,-2,-2,3,0,14,27,32,23,13,5
4,3,-1,-2,3,0,14,27,32,23,13,5
4,3,-1,-2,3,0,14,27,32,23,13,4
4,3,-1,-2,3,0,14,27,32,23,12,4
4,3,-2,-3,3,0,14,27,33,23,12,4
5,3,-2,-3,3,0,14,27,33,23,12,4
5,3,-3,-3,4,-1,14,27,33,23,12,4
5,3,-3,-3,4,-1,14,28,33,23,12,4
5,3,-3,-3,4,-1,14,28,33,23,12,4
5,3,-3,-3,4,-1,14,28,33,23,12,4
6,3,-3,-3,4,-1,14,28,33,23,12,4
6,3,-3,-4,5,-1,14,29,34,23,12,4
6,3,-3,-3,4,-1,14,29,34,23,12,4
