leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,0,0,0,0,1,-1,-3,-4,-2,-1
-1,-2,-1,2,0,-1,3,-3,-8,-10,-6,-3
-1,-3,-1,3,0,-2,4,-4,-12,-14,-9,-5
-2,-4,-2,4,0,-3,5,-5,-13,-16,-10,-6
-2,-6,-3,5,0,-5,6,-4,-13,-16,-11,-6
-3,-7,-4,5,0,-6,7,-3,-11,-14,-10,-6
-3,-7,-5,6,0,-6,7,0,-8,-12,-8,-5
-2,-7,-5,6,1,-6,8,5,-3,-8,-4,-4
0,-6,-6,4,2,-6,9,11,2,-3,0,-2
3,-5,-8,2,5,-7,9,17,8,2,4,1
7,-4,-12,-1,9,-8,9,23,14,9,10,4
14,-3,-16,-5,14,-10,8,30,21,16,16,9
21,0,-21,-10,20,-11,7,36,28,24,24,14
30,3,-26,-16,27,-11,6,40,35,33,32,21
41,7,-33,-23,36,-13,2,41,38,38,39,27
53,10,-42,-31,47,-16,-3,36,38,42,44,33
67,14,-53,-40,59,-19,-10,27,35,45,51,40
84,19,-64,-51,72,-22,-18,15,32,48,59,48
101,25,-75,-62,87,-25,-29,-1,26,50,66,55
117,32,-84,-74,99,-26,-40,-23,16,48,70,62
125,40,-83,-82,103,-21,-49,-46,4,45,74,68
122,49,-72,-85,96,-11,-54,-66,-6,41,75,75
110,54,-56,-82,82,0,-55,-84,-18,33,71,77
92,54,-38,-73,64,7,-53,-99,-30,20,58,70
68,48,-20,-58,43,13,-47,-106,-39,6,41,57
42,40,-2,-41,21,18,-37,-103,-42,-3,28,45
20,33,12,-26,3,22,-27,-96,-41,-8,20,35
4,26,21,-15,-9,22,-18,-88,-40,-11,13,27
-4,19,23,-7,-14,20,-14,-82,-40,-14,7,20
-6,13,19,-3,-13,16,-13,-77,-40,-17,2,15
-5,8,14,-1,-10,11,-13,-70,-38,-18,-1,11
-3,5,9,0,-7,7,-12,-60,-33,-16,-2,9
-1,3,4,0,-4,4,-11,-49,-26,-13,-1,8
1,2,0,0,0,1,-10,-37,-19,-10,0,8
4,3,-2,-2,2,0,-8,-27,-13,-7,1,7
6,4,-2,-4,3,1,-6,-18,-8,-4,2,8
8,5,-2,-6,4,2,-4,-11,-3,-1,4,9
9,7,-2,-8,5,3,-2,-6,0,2,6,10
10,8,-1,-9,5,4,-1,-1,4,5,8,11
11,8,-2,-9,6,4,0,3,6,7,9,11
11,9,-2,-9,6,4,0,6,8,8,9,12
11,9,-2,-9,6,4,0,9,10,9,10,13
11,9,-2,-9,6,4,1,11,11,9,10,14
11,9,-1,-9,5,4,1,12,11,9,10,15
10,9,0,-9,5,4,2,13,12,9,10,15
9,9,0,-9,4,4,4,14,12,10,10,16
8,9,1,-8,3,5,5,15,12,10,10,16
8,9,1,-8,2,5,5,15,12,10,10,16
8,9,1,-8,2,5,5,16,11,10,9,15
8,9,1,-8,3,5,4,16,11,9,9,14
8,9,1,-8,3,5,4,17,11,9,8,13
7,9,1,-8,2,5,4,17,11,9,9,13
7,8,1,-7,2,4,5,17,11,9,9,13
7,8,1,-7,2,4,6,17,11,9,8,13
7,8,0,-7,3,4,6,17,11,9,7,13
7,8,0,-7,3,4,6,18,11,9,7,13
7,8,1,-7,2,5,6,18,11,9,7,14
6,8,2,-6,1,5,6,19,11,9,7,14
5,8,2,-6,1,5,6,19,11,10,7,15
6,7,0,-6,1,4,6,20,12,10,8,16
7,7,-1,-6,3,3,6,20,12,10,8,16
7,7,-2,-6,4,3,6,20,12,10,8,16
7,7,-2,-6,4,2,6,21,12,10,9,16
8,7,-2,-6,4,2,6,21,13,10,9,16
8,7,-1,-6,4,3,6,21,13,10,8,16
8,7,-1,-6,4,3,5,22,13,10,8,15
8,7,-1,-7,4,3,5,22,13,10,8,15
8,7,-1,-7,4,3,5,22,13,10,8,14
8,8,-1,-8,4,3,5,23,13,10,8,14
8,8,0,-7,4,3,6,23,14,11,8,14
7,8,0,-7,2,4,6,24,15,12,8,14
6,8,1,-6,2,4,7,24,16,13,9,15
7,8,0,-7,3,4,7,25,17,13,9,14
8,8,-1,-7,4,3,7,25,17,13,9,14
9,8,-1,-8,5,3,6,26,17,14,9,13
8,8,0,-8,5,4,6,26,18,14,10,14
8,8,0,-8,4,4,6,27,18,15,10,14
9,8,0,-8,4,4,6,27,19,15,10,15
9,8,-1,-8,5,3,6,27,19,16,10,15
9,9,0,-8,4,4,6,27,20,16,10,15
9,9,0,-8,3,5,6,28,20,17,10,15
9,10,1,-8,3,5,6,28,21,17,10,15
9,10,1,-9,3,5,6,29,21,18,11,16
8,10,2,-9,3,6,6,29,22,19,12,17
7,11,3,-8,1,7,6,30,23,20,13,18
7,11,4,-9,1,7,6,31,24,21,13,18
8,11,3,-9,2,7,6,32,25,21,13,19
9,12,3,-10,2,7,6,32,25,22,13,19
9,12,3,-10,2,7,6,33,26,22,14,20
9,12,2,-10,3,7,6,34,26,23,14,20
9,12,2,-10,3,7,5,34,27,23,15,21
10,12,1,-10,4,6,5,35,27,24,15,21
10,12,1,-11,4,6,5,35,28,25,16,21
11,13,0,-11,5,6,5,36,29,25,17,22
12,13,0,-12,5,6,5,36,29,26,18,23
11,13,2,-11,3,7,5,37,30,27,20,24
10,13,4,-11,2,8,6,39,32,28,21,25
10,14,4,-12,3,8,6,40,33,29,21,26
11,14,3,-12,3,8,6,41,35,30,22,26
11,14,3,-12,4,8,6,42,36,31,22,26
11,15,3,-12,4,9,6,43,37,32,22,26
10,15,5,-12,2,10,7,44,38,34,23,27
9,16,6,-12,1,11,7,46,39,35,24,28
10,16,6,-12,1,11,6,47,40,36,25,27
10,16,5,-13,2,11,6,48,41,37,25,27
10,17,6,-13,2,11,6,49,43,38,25,28
9,18,8,-13,1,13,7,50,44,39,26,28
9,19,9,-13,0,14,7,52,46,40,26,29
9,19,10,-14,0,15,7,53,47,42,27,29
9,20,10,-14,0,15,6,54,48,43,28,31
10,20,10,-15,0,15,6,56,49,44,29,32
10,21,10,-15,0,15,5,57,50,45,29,33
10,21,10,-15,0,15,5,58,52,46,30,33
10,22,11,-16,0,16,6,60,54,47,31,34
9,23,13,-16,-1,17,6,62,56,50,33,35
8,23,15,-15,-3,19,7,64,59,52,34,36
8,23,15,-15,-3,19,8,66,61,53,35,38
10,23,13,-16,-2,18,8,67,62,54,36,38
12,24,12,-17,-1,17,7,68,63,55,37,39
11,24,13,-17,-2,18,7,70,64,56,38,40
10,25,14,-17,-3,19,8,72,66,58,39,41
10,25,15,-17,-3,20,8,73,68,60,40,42
11,26,15,-18,-3,20,7,75,70,61,40,42
12,27,15,-19,-2,21,7,76,72,62,40,43
12,28,16,-20,-2,21,7,78,73,63,41,44
11,29,17,-20,-3,22,7,79,75,65,42,45
10,30,19,-20,-5,24,8,81,76,66,43,47
10,31,20,-20,-5,25,8,82,77,67,44,48
10,32,21,-21,-5,26,8,84,79,68,46,49
10,32,21,-21,-5,26,8,85,81,70,47,50
10,32,21,-21,-5,27,9,86,82,72,48,51
10,32,21,-21,-6,27,9,87,84,72,48,51
10,32,22,-21,-6,28,10,88,85,73,48,51
11,33,22,-22,-5,28,10,88,85,73,48,51
11,33,22,-22,-5,28,9,89,85,73,47,51
11,34,23,-22,-6,28,9,89,85,73,46,51
11,34,23,-22,-6,29,9,89,85,73,46,51
11,34,23,-22,-7,29,9,89,86,73,46,51
10,34,24,-21,-8,29,10,90,86,74,47,51
9,34,24,-22,-8,29,10,90,87,74,47,51
10,35,24,-23,-7,29,10,90,87,74,47,51
11,35,23,-24,-6,29,10,90,86,74,47,51
11,35,23,-24,-7,29,10,89,86,74,47,51
11,35,24,-23,-8,29,10,89,85,74,48,51
10,35,25,-22,-9,30,10,88,85,74,48,50
9,35,26,-21,-9,30,10,87,84,73,47,49
9,34,25,-21,-8,29,9,85,82,71,46,48
10,34,24,-22,-7,29,8,83,80,69,44,48
10,34,23,-22,-7,28,7,81,78,68,43,48
10,33,23,-22,-7,28,7,79,76,66,42,48
10,32,22,-22,-7,27,7,77,74,64,41,48
10,31,22,-21,-6,26,7,75,72,62,40,48
10,31,21,-21,-6,26,7,72,69,60,39,48
10,31,20,-21,-5,25,6,69,66,58,38,47
11,30,18,-21,-3,24,5,66,63,55,36,45
12,29,17,-20,-2,23,4,62,59,52,34,44
12,28,16,-20,-2,22,4,59,57,50,33,44
12,28,15,-20,-1,22,3,56,54,48,32,43
12,27,14,-20,-1,21,3,53,52,46,31,43
12,26,14,-19,-1,20,3,50,49,44,30,42
12,25,13,-18,-1,19,2,46,46,42,28,41
11,24,12,-17,-1,18,2,43,42,39,26,40
11,23,11,-16,-1,17,2,39,39,36,23,38
10,21,10,-15,0,15,2,36,36,33,20,37
10,20,9,-14,0,14,2,32,33,30,18,35
10,18,7,-14,1,13,2,29,30,28,17,34
10,17,6,-13,1,12,1,27,27,26,16,34
10,15,5,-13,2,10,1,24,24,24,16,34
9,14,4,-13,2,9,1,22,22,22,15,33
9,13,4,-12,2,8,1,20,19,20,15,33
8,11,3,-11,2,7,0,17,17,18,14,32
8,10,2,-10,2,7,0,14,15,16,12,31
8,9,1,-9,3,6,0,12,13,14,11,30
7,8,0,-8,3,4,0,10,11,12,10,29
7,6,0,-7,3,3,0,8,9,10,8,28
6,5,-1,-6,3,2,0,6,7,8,5,27
6,4,-1,-5,3,1,0,4,5,6,3,25
5,4,-1,-4,3,1,0,3,4,5,1,24
4,3,-1,-3,3,0,0,2,3,4,0,23
3,2,-1,-2,2,0,0,1,1,2,-2,22
2,1,-1,-2,2,0,0,0,0,1,-4,21
2,1,-1,-1,1,0,0,-1,0,0,-5,20
1,0,-1,-1,1,0,0,-2,0,0,-6,20
2,0,-2,-1,2,-1,0,-3,-1,-1,-8,19
3,0,-3,-1,3,-2,0,-4,-3,-2,-10,17
2,-1,-4,0,3,-2,0,-4,-3,-2,-10,16
1,-1,-3,0,2,-2,0,-5,-3,-2,-10,16
0,-2,-2,1,0,-2,0,-5,-3,-2,-9,16
-2,-3,-2,2,0,-2,0,-5,-3,-2,-9,16
-2,-4,-3,3,0,-3,0,-6,-4,-2,-9,16
-1,-5,-4,3,1,-4,0,-6,-4,-3,-10,16
-1,-5,-4,3,0,-4,0,-7,-5,-3,-10,16
-3,-5,-3,4,-1,-4,1,-7,-5,-3,-9,16
-4,-5,-1,5,-2,-3,1,-6,-5,-3,-9,16
-4,-6,-2,5,-2,-3,1,-7,-5,-4,-9,16
-3,-6,-4,4,-1,-5,1,-7,-6,-5,-10,15
-1,-6,-6,4,1,-6,0,-8,-7,-5,-11,13
-1,-6,-6,4,2,-6,0,-8,-7,-5,-12,12
-1,-6,-6,4,1,-5,1,-9,-7,-5,-12,12
-2,-6,-5,4,1,-5,1,-9,-8,-6,-12,12
-2,-6,-4,4,0,-5,1,-9,-8,-6,-13,12
-2,-6,-4,4,0,-5,1,-9,-8,-6,-13,12
-3,-6,-4,4,0,-5,1,-9,-8,-6,-14,12
-4,-6,-3,5,-1,-4,1,-9,-8,-6,-14,12
-4,-6,-3,5,-2,-4,1,-9,-8,-6,-13,11
-4,-6,-3,5,-1,-4,1,-10,-8,-6,-13,11
-4,-6,-3,5,-1,-4,1,-10,-9,-6,-14,10
-4,-6,-3,6,-1,-4,1,-10,-9,-7,-14,10
-5,-7,-2,6,-2,-4,1,-10,-9,-7,-15,9
-6,-7,-2,6,-2,-4,1,-10,-9,-7,-15,8
-6,-7,-2,6,-2,-4,1,-10,-9,-8,-16,7
-5,-7,-2,5,-2,-4,1,-10,-9,-8,-16,6
-5,-7,-2,5,-2,-4,1,-11,-10,-9,-16,6
-5,-7,-2,5,-2,-4,2,-11,-10,-9,-16,6
-5,-7,-2,5,-2,-4,2,-11,-10,-9,-16,5
-5,-7,-3,5,-1,-4,1,-11,-10,-9,-17,4
-4,-7,-3,5,-1,-4,1,-11,-10,-9,-17,3
-5,-7,-2,6,-2,-4,1,-11,-10,-9,-17,3
-6,-7,-2,6,-2,-4,1,-11,-10,-9,-17,4
-5,-7,-3,6,-2,-5,1,-11,-10,-9,-18,3
-5,-7,-3,6,-1,-5,1,-11,-10,-9,-18,3
-5,-7,-3,7,-1,-5,1,-11,-10,-9,-18,3
-6,-8,-3,7,-2,-5,1,-11,-10,-9,-17,3
-6,-8,-3,7,-2,-5,1,-11,-9,-9,-17,3
-7,-8,-2,7,-2,-5,1,-11,-9,-9,-17,3
-7,-8,-2,7,-2,-5,1,-11,-9,-9,-16,2
-7,-8,-2,7,-2,-5,1,-12,-9,-9,-16,2
-7,-8,-2,7,-2,-5,1,-12,-9,-9,-15,2
-8,-8,-1,7,-3,-5,2,-12,-9,-9,-15,2
-8,-8,-1,7,-3,-5,2,-12,-10,-10,-16,1
-8,-8,-2,7,-3,-5,2,-12,-10,-10,-17,0
-8,-8,-2,7,-3,-5,2,-12,-10,-11,-18,0
-7,-8,-2,7,-3,-5,2,-12,-10,-11,-18,0
-7,-8,-2,7,-3,-5,2,-12,-10,-11,-18,0
-7,-9,-2,7,-3,-5,2,-12,-10,-11,-18,-1
-7,-9,-2,7,-3,-5,2,-12,-10,-11,-18,-2
-7,-9,-2,8,-3,-6,1,-12,-10,-11,-18,-3
-7,-9,-2,8,-2,-6,1,-12,-10,-11,-18,-3
-7,-9,-2,8,-2,-6,1,-12,-10,-11,-18,-3
-7,-9,-2,8,-2,-6,1,-11,-10,-11,-18,-3
-7,-9,-2,8,-2,-6,1,-12,-10,-11,-18,-3
