leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,2,1,-1,0,1,0,0,0,0,1,0
3,5,1,-4,1,3,1,1,0,0,2,1
6,7,0,-6,3,4,2,1,1,0,3,2
8,9,0,-8,4,5,3,2,1,0,4,3
7,10,3,-9,2,7,3,3,1,0,4,3
3,10,6,-6,-1,8,2,2,1,-1,3,2
0,7,8,-3,-4,8,0,1,0,-2,2,1
-1,7,8,-2,-4,8,0,1,0,-2,2,0
1,8,8,-4,-3,8,0,1,0,-1,3,1
4,10,7,-7,-1,9,0,2,1,-1,4,1
6,11,6,-9,0,9,-1,2,1,-1,4,2
5,11,6,-8,0,8,-3,1,0,-1,4,2
3,10,7,-6,-1,8,-5,0,0,-2,3,2
1,9,8,-5,-3,8,-6,0,-1,-3,2,1
0,9,8,-4,-4,8,-7,0,-1,-3,2,1
-2,8,10,-2,-5,8,-7,-1,-2,-4,1,0
-4,7,11,-1,-6,8,-7,-2,-3,-5,0,-1
-3,6,9,-1,-5,8,-7,-2,-3,-5,0,-1
0,7,7,-3,-3,7,-6,-2,-2,-5,0,-1
3,8,6,-5,-1,7,-5,-2,-2,-4,1,0
3,9,7,-6,-1,8,-3,-1,-1,-3,2,0
1,10,8,-6,-3,9,-2,-1,-1,-4,2,1
0,8,8,-4,-4,8,-2,-1,-1,-4,2,1
-2,5,6,-1,-4,5,-3,-1,-1,-4,1,0
-4,2,6,1,-5,4,-5,-2,-2,-5,1,0
-5,2,7,1,-5,4,-7,-3,-3,-6,0,-1
-4,2,6,1,-5,3,-9,-4,-4,-7,-1,-1
-4,2,5,1,-4,3,-11,-5,-5,-8,-1,-2
-5,1,5,2,-5,3,-11,-6,-6,-8,-2,-3
-6,2,7,2,-6,4,-11,-6,-6,-8,-2,-4
-4,5,8,0,-6,6,-10,-5,-6,-8,-1,-4
-2,8,9,-2,-6,8,-9,-5,-6,-8,-1,-3
-1,9,9,-3,-5,9,-8,-4,-6,-8,-1,-3
-1,8,8,-2,-5,7,-7,-4,-6,-8,-1,-2
-2,4,6,0,-4,5,-6,-5,-6,-7,0,-2
-1,1,3,1,-2,2,-4,-4,-5,-6,0,-1
-1,0,1,1,-1,0,-2,-4,-4,-6,1,0
-2,-1,1,2,-1,0,-1,-4,-5,-6,1,0
-3,-1,2,2,-2,0,0,-4,-5,-6,1,0
-4,-1,2,2,-2,0,0,-5,-6,-7,0,0
-4,-1,2,2,-2,0,1,-5,-6,-6,0,0
-4,-2,0,3,-2,-1,1,-5,-5,-6,1,0
-3,-3,-1,4,-1,-2,0,-5,-5,-6,1,0
-3,-5,-2,4,-1,-3,-2,-5,-5,-6,1,0
-5,-8,-3,6,-1,-5,-4,-5,-5,-6,1,1
-7,-10,-4,9,-1,-7,-5,-5,-6,-6,1,1
-8,-12,-4,10,-1,-8,-4,-5,-6,-7,0,0
-9,-12,-4,11,-2,-8,-4,-5,-7,-7,0,0
-9,-11,-3,10,-2,-8,-3,-6,-8,-8,0,0
-6,-8,-2,7,-2,-6,-2,-5,-7,-7,0,0
-4,-4,-1,4,-1,-3,0,-4,-6,-6,1,0
-3,-3,-1,3,-1,-2,2,-4,-5,-6,1,0
-2,-4,-3,3,0,-3,3,-4,-5,-6,1,0
-2,-6,-4,4,1,-4,4,-3,-5,-6,1,0
-2,-6,-4,4,1,-5,5,-2,-4,-5,2,1
-1,-6,-4,4,2,-5,5,-2,-4,-5,2,2
-2,-5,-4,4,1,-5,4,-2,-4,-5,2,2
-2,-5,-4,4,1,-5,3,-2,-4,-5,2,2
-1,-5,-5,4,2,-5,3,-2,-4,-5,1,2
-1,-6,-6,4,3,-6,2,-2,-5,-5,1,2
-1,-6,-6,4,3,-6,2,-2,-5,-5,1,2
-2,-6,-6,5,2,-6,1,-3,-5,-6,1,2
-4,-9,-5,7,0,-7,0,-3,-5,-6,0,1
-7,-12,-4,10,-1,-8,-1,-4,-6,-7,0,1
-9,-13,-4,12,-2,-9,-2,-4,-6,-7,-1,1
-8,-12,-3,11,-1,-8,-2,-4,-6,-7,0,1
-6,-10,-4,8,0,-7,-1,-3,-5,-6,0,1
-3,-8,-5,6,2,-7,0,-3,-4,-5,1,2
0,-6,-6,4,3,-6,0,-3,-4,-5,1,2
0,-5,-6,3,3,-6,1,-3,-4,-5,1,2
0,-5,-6,3,3,-6,1,-3,-4,-5,1,2
0,-6,-6,3,2,-6,1,-3,-4,-5,1,2
-1,-7,-6,4,2,-7,1,-4,-4,-5,1,2
-2,-8,-6,5,2,-8,0,-4,-4,-6,1,2
-3,-10,-7,6,2,-9,-1,-5,-5,-6,0,1
-3,-9,-8,6,2,-9,-2,-4,-5,-7,0,0
-2,-8,-8,5,2,-8,-2,-3,-4,-6,0,1
-2,-9,-7,6,2,-8,-2,-3,-3,-6,1,1
-4,-9,-6,7,0,-8,-2,-3,-3,-6,1,1
-4,-7,-4,6,0,-5,-1,-2,-2,-5,1,1
0,-2,-2,1,1,-2,0,-1,-1,-4,3,2
4,1,-3,-3,3,-1,0,1,1,-2,4,4
6,3,-3,-5,5,0,1,2,2,-1,5,5
6,3,-3,-4,4,0,2,2,2,-1,5,5
4,2,-3,-3,3,0,2,2,2,-1,5,5
4,2,-2,-2,2,0,2,2,1,-1,5,4
4,2,-2,-3,3,0,2,3,2,-1,5,4
4,2,-2,-3,3,0,2,4,3,0,6,5
4,2,-2,-3,3,0,3,6,4,0,7,6
4,3,-1,-4,3,0,3,7,5,1,8,7
4,4,-1,-4,3,1,2,7,5,1,8,7
4,4,0,-4,3,1,0,6,4,1,7,6
2,2,-1,-2,2,0,0,6,4,1,7,5
1,0,-1,-1,2,0,-1,6,4,1,7,5
2,0,-1,-1,2,0,-2,6,5,2,8,5
3,1,-3,-2,3,-1,-2,6,5,2,8,6
5,0,-5,-3,5,-2,-3,6,5,3,9,7
6,0,-6,-3,6,-3,-4,6,5,3,9,8
4,-1,-6,-2,5,-4,-6,4,4,2,8,8
2,-2,-6,0,4,-4,-8,3,3,1,7,7
2,-3,-6,0,4,-5,-9,1,2,0,7,6
2,-4,-6,1,4,-5,-10,0,0,0,6,6
0,-5,-5,2,3,-5,-11,-2,-1,-2,5,5
-3,-8,-5,5,1,-6,-11,-4,-3,-4,3,3
-5,-10,-5,7,0,-7,-11,-6,-5,-6,1,2
-6,-11,-5,8,0,-8,-11,-7,-6,-7,0,1
-4,-10,-6,7,1,-8,-10,-7,-7,-7,0,1
-2,-8,-7,5,2,-7,-9,-7,-7,-7,0,1
0,-7,-7,4,3,-7,-8,-7,-7,-7,0,1
0,-7,-7,4,4,-8,-7,-8,-8,-7,0,1
0,-8,-9,4,5,-9,-6,-9,-9,-8,0,0
0,-9,-10,5,5,-10,-6,-11,-10,-9,-1,0
-2,-11,-10,7,4,-10,-7,-12,-11,-11,-3,0
-4,-12,-9,8,3,-10,-8,-12,-12,-12,-4,0
-4,-13,-9,8,3,-11,-8,-12,-12,-12,-4,0
-4,-13,-9,8,3,-11,-8,-11,-11,-11,-3,0
-4,-13,-9,8,3,-10,-8,-11,-10,-10,-2,0
-4,-13,-8,9,2,-10,-9,-11,-11,-10,-3,0
-5,-13,-8,9,2,-11,-8,-11,-11,-10,-3,0
-4,-13,-9,9,2,-11,-7,-10,-11,-10,-3,0
-3,-12,-10,8,3,-11,-6,-10,-11,-9,-3,0
-3,-12,-10,7,3,-11,-6,-10,-11,-9,-3,0
-4,-13,-9,8,3,-11,-6,-10,-10,-9,-2,0
-4,-13,-9,8,2,-11,-5,-10,-10,-9,-2,0
-4,-13,-9,8,2,-11,-4,-10,-10,-9,-1,0
-3,-13,-10,8,3,-12,-2,-9,-10,-8,-1,0
-1,-13,-12,7,5,-12,0,-8,-9,-7,0,1
1,-12,-13,5,7,-12,2,-8,-8,-7,0,1
1,-10,-11,5,6,-11,3,-8,-8,-7,0,1
0,-9,-9,4,5,-9,2,-9,-8,-8,0,0
0,-8,-8,4,4,-8,2,-9,-9,-9,-1,-1
-1,-8,-7,5,3,-8,1,-9,-9,-9,-2,-2
-2,-7,-5,5,1,-7,1,-9,-10,-10,-3,-3
-3,-7,-4,5,0,-6,2,-9,-10,-10,-3,-3
-3,-7,-4,5,0,-6,2,-9,-10,-10,-4,-3
-4,-9,-5,7,0,-7,2,-9,-11,-11,-4,-3
-5,-11,-6,9,0,-9,2,-9,-11,-11,-5,-4
-6,-12,-6,10,0,-9,2,-9,-11,-11,-5,-4
-6,-13,-6,10,0,-10,2,-8,-11,-11,-5,-4
-7,-14,-7,11,0,-10,1,-8,-11,-11,-6,-4
-8,-15,-7,12,0,-11,1,-8,-11,-11,-6,-4
-10,-15,-6,13,-2,-11,1,-8,-11,-11,-6,-4
-11,-15,-5,13,-3,-10,1,-8,-11,-11,-6,-5
-11,-14,-4,13,-3,-9,0,-8,-12,-12,-7,-5
-11,-15,-5,13,-3,-10,-1,-9,-12,-13,-7,-5
-11,-16,-5,14,-2,-11,-1,-9,-12,-13,-7,-5
-10,-16,-5,13,-2,-11,-2,-8,-12,-12,-7,-5
-9,-15,-5,12,-1,-10,-3,-8,-12,-12,-6,-5
-9,-14,-5,12,-1,-10,-4,-8,-12,-12,-6,-5
-8,-14,-6,11,-1,-10,-4,-8,-12,-12,-6,-4
-8,-14,-7,11,0,-11,-3,-7,-11,-11,-6,-3
-8,-17,-9,12,1,-13,-2,-6,-10,-11,-5,-2
-8,-18,-10,13,1,-15,-1,-5,-9,-10,-4,-2
-8,-18,-10,13,1,-15,0,-5,-9,-9,-3,-2
-8,-18,-9,13,1,-14,0,-5,-9,-9,-4,-2
-8,-16,-8,12,0,-12,0,-6,-10,-10,-4,-3
-8,-14,-7,11,0,-11,0,-6,-10,-10,-5,-3
-7,-13,-7,10,0,-11,1,-7,-11,-11,-5,-4
-7,-14,-7,10,1,-11,3,-7,-11,-11,-6,-4
-7,-15,-7,11,1,-12,4,-7,-11,-11,-6,-4
-8,-16,-7,12,0,-12,5,-7,-12,-11,-6,-5
-9,-17,-7,13,0,-12,6,-8,-12,-11,-6,-5
-10,-17,-7,13,-1,-12,6,-8,-12,-11,-6,-5
-9,-16,-7,13,-1,-12,5,-8,-12,-11,-6,-5
-9,-15,-7,13,-1,-12,5,-8,-12,-11,-6,-5
-9,-16,-7,13,-1,-12,4,-7,-12,-11,-6,-5
-8,-16,-7,12,0,-12,4,-6,-12,-11,-6,-5
-8,-15,-7,11,0,-12,4,-6,-11,-11,-6,-5
-7,-14,-7,10,0,-11,4,-5,-11,-11,-6,-5
-5,-13,-8,9,1,-10,4,-5,-11,-10,-5,-5
