leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,-2,-1,-1,-7,-1
-1,-2,0,2,0,-2,0,-5,-3,-2,-18,-2
-3,-4,-1,3,0,-3,0,-7,-5,-3,-24,-3
-4,-5,-1,4,-1,-4,0,-8,-6,-4,-28,-3
-4,-5,-1,4,-1,-3,0,-9,-6,-5,-30,-4
-4,-4,0,4,-2,-3,1,-9,-6,-5,-31,-4
-4,-4,1,3,-2,-2,1,-9,-6,-5,-31,-4
-5,-3,1,3,-2,-2,1,-10,-7,-5,-32,-5
-5,-4,1,4,-2,-2,1,-10,-7,-6,-32,-6
-7,-6,1,6,-3,-3,1,-11,-7,-6,-32,-7
-8,-7,2,7,-4,-3,1,-10,-7,-6,-31,-7
-7,-7,2,7,-4,-3,2,-10,-7,-5,-31,-7
-8,-7,1,7,-4,-4,2,-10,-7,-5,-31,-8
-9,-8,1,8,-4,-4,2,-11,-7,-6,-32,-8
-9,-8,1,8,-4,-5,3,-11,-8,-7,-32,-9
-9,-8,2,8,-4,-4,3,-11,-8,-7,-32,-9
-9,-7,2,7,-5,-3,3,-11,-8,-7,-32,-9
-8,-6,2,6,-5,-2,4,-11,-8,-6,-31,-8
-7,-5,2,6,-4,-2,4,-11,-7,-6,-30,-7
-7,-6,2,7,-4,-2,4,-11,-7,-6,-30,-7
-8,-7,2,8,-5,-3,4,-11,-8,-6,-30,-8
-9,-8,2,9,-5,-3,4,-12,-8,-6,-30,-8
-9,-9,1,9,-5,-4,4,-12,-8,-6,-30,-8
-9,-9,1,8,-4,-5,4,-12,-7,-6,-30,-8
-10,-9,1,8,-5,-5,4,-12,-7,-6,-29,-8
-10,-9,2,9,-6,-4,3,-12,-8,-6,-29,-8
-10,-8,2,9,-6,-4,3,-12,-8,-6,-29,-8
-10,-8,2,9,-5,-4,3,-12,-8,-7,-29,-8
-9,-8,2,9,-5,-4,4,-12,-8,-7,-30,-8
-7,-6,2,7,-4,-3,4,-12,-8,-6,-30,-8
-8,-5,3,7,-5,-2,4,-13,-8,-6,-30,-8
-9,-6,3,8,-6,-3,4,-13,-8,-6,-30,-8
-10,-7,3,8,-6,-3,4,-13,-8,-6,-31,-8
-11,-7,3,9,-6,-3,4,-13,-8,-6,-31,-8
-11,-8,2,9,-6,-4,4,-13,-8,-6,-31,-7
-10,-7,2,8,-6,-3,5,-13,-7,-6,-30,-7
-9,-7,3,7,-5,-3,6,-12,-7,-5,-30,-7
-9,-6,3,7,-5,-2,6,-12,-7,-5,-29,-7
-8,-6,3,7,-5,-2,6,-12,-7,-5,-29,-7
-8,-5,3,6,-5,-2,6,-12,-6,-5,-29,-7
-7,-5,3,5,-5,-2,7,-11,-5,-3,-28,-6
-7,-4,3,5,-4,-2,9,-9,-3,-2,-27,-6
-8,-4,4,6,-5,-1,9,-8,-1,0,-27,-6
-10,-5,6,7,-7,-1,10,-7,0,0,-27,-6
-11,-4,7,7,-8,1,11,-6,1,2,-26,-6
-10,-2,9,6,-9,2,12,-4,3,4,-24,-5
-10,-1,9,6,-9,3,13,-1,5,6,-22,-4
-10,-1,8,6,-9,2,14,1,7,7,-21,-2
-9,-3,6,6,-8,0,15,4,9,9,-19,-1
-8,-5,3,6,-6,-2,14,6,11,10,-17,1
-6,-6,0,6,-3,-4,12,7,13,11,-14,5
-1,-6,-4,3,2,-6,9,7,13,12,-10,11
5,-4,-9,-1,8,-7,4,5,12,14,-5,18
13,-1,-14,-6,14,-8,-3,1,10,16,1,27
21,1,-19,-11,20,-9,-11,-2,9,19,9,37
28,4,-23,-16,26,-9,-18,-5,9,23,17,48
34,7,-27,-21,31,-10,-26,-8,9,28,24,58
40,10,-30,-26,35,-11,-33,-11,10,33,31,66
47,15,-31,-32,39,-9,-40,-14,11,38,38,74
53,22,-31,-39,42,-5,-45,-16,13,44,44,80
58,27,-32,-43,45,-3,-49,-18,15,47,46,82
61,25,-36,-43,48,-6,-50,-19,15,45,39,75
59,19,-40,-38,49,-11,-49,-20,13,34,22,60
51,11,-40,-31,46,-15,-44,-21,7,19,0,39
40,6,-34,-23,38,-15,-37,-23,1,5,-20,20
27,4,-23,-16,26,-10,-29,-25,-4,-4,-36,5
15,3,-12,-10,14,-5,-22,-25,-8,-9,-47,-5
5,4,-1,-5,4,0,-15,-22,-6,-9,-52,-12
0,6,6,-3,-3,5,-7,-14,1,-5,-52,-15
-4,8,12,-2,-8,9,0,-6,9,0,-49,-17
-6,9,16,-1,-11,11,6,0,16,5,-47,-19
-10,9,20,0,-15,13,12,5,21,8,-46,-21
-14,8,23,3,-18,15,17,10,25,11,-44,-22
-17,7,25,4,-21,16,22,16,29,14,-42,-23
-19,8,27,5,-22,16,28,23,34,16,-40,-23
-20,8,28,5,-24,17,34,30,40,17,-38,-23
-21,9,30,6,-25,17,41,39,47,19,-35,-23
-21,10,31,6,-26,19,48,47,55,21,-32,-22
-21,11,32,5,-27,20,53,54,61,23,-28,-21
-21,11,33,5,-27,21,58,59,65,24,-25,-20
-21,10,32,6,-26,20,62,63,67,25,-23,-18
-21,9,31,7,-26,19,64,65,65,24,-22,-17
-22,6,29,8,-26,17,65,66,63,23,-21,-17
-22,5,27,8,-25,15,65,68,60,21,-20,-16
-21,5,26,7,-24,14,65,69,58,20,-19,-15
-20,5,26,7,-23,14,63,69,54,19,-18,-14
-20,5,25,7,-23,14,59,65,49,17,-17,-13
-20,5,25,7,-22,14,54,58,42,14,-16,-13
-20,4,24,7,-21,13,47,50,34,10,-16,-12
-19,4,23,7,-21,13,40,42,26,6,-16,-12
-19,3,23,7,-20,12,34,34,18,3,-17,-11
-17,3,22,6,-19,12,28,26,11,0,-17,-9
-15,4,21,5,-18,11,24,18,4,-3,-17,-8
-14,4,20,4,-17,11,21,11,-1,-5,-17,-8
-14,4,19,4,-16,10,18,5,-4,-7,-17,-7
-13,3,18,4,-15,9,16,0,-6,-8,-17,-6
-13,2,16,5,-14,8,14,-3,-8,-8,-16,-5
-13,1,14,6,-14,6,11,-6,-9,-9,-15,-4
-13,0,12,6,-13,5,10,-7,-9,-9,-14,-3
-12,0,11,6,-12,5,9,-8,-9,-8,-12,-3
-11,-1,10,6,-10,4,8,-9,-10,-8,-11,-2
-11,-3,9,6,-10,2,8,-9,-10,-8,-11,-2
-11,-4,8,7,-9,1,8,-9,-10,-8,-10,-2
-10,-4,7,6,-8,0,8,-8,-9,-8,-9,-1
-9,-3,6,6,-7,0,7,-8,-8,-7,-8,-1
-8,-3,5,5,-7,0,7,-8,-7,-6,-7,-1
-6,-2,5,4,-6,0,6,-7,-6,-5,-6,0
-5,-1,5,3,-5,0,6,-7,-5,-4,-5,0
-6,-3,4,4,-5,0,6,-7,-5,-4,-4,0
-7,-6,2,6,-5,-3,6,-7,-5,-4,-4,-2
-8,-8,1,8,-4,-5,6,-7,-5,-5,-5,-3
-8,-9,0,8,-4,-6,6,-7,-5,-5,-4,-4
-7,-8,0,7,-3,-5,6,-7,-4,-4,-4,-6
-7,-7,1,7,-4,-4,6,-7,-4,-4,-3,-8
-7,-6,2,7,-4,-3,5,-8,-4,-5,-3,-9
-7,-5,2,7,-5,-3,5,-8,-5,-5,-2,-11
-7,-5,2,6,-5,-3,5,-8,-5,-4,-2,-12
-6,-4,2,5,-4,-3,5,-8,-4,-4,-1,-12
-6,-5,1,5,-4,-3,5,-8,-4,-4,-1,-13
-6,-6,1,6,-3,-3,5,-8,-4,-4,0,-14
-7,-7,0,7,-3,-4,5,-8,-4,-4,0,-14
-7,-8,0,8,-4,-5,5,-8,-4,-4,0,-15
-8,-9,0,8,-4,-6,4,-8,-4,-4,0,-16
-7,-8,0,7,-4,-5,4,-8,-4,-4,0,-15
-5,-5,0,5,-3,-4,5,-7,-3,-3,2,-14
-2,-3,0,2,-1,-3,6,-6,-2,-1,3,-13
0,-2,-1,0,0,-3,6,-6,-1,0,4,-11
1,-1,-1,0,1,-2,7,-5,-1,0,4,-10
1,-1,-1,0,1,-2,7,-5,-1,0,4,-9
-1,-3,-1,2,0,-3,6,-6,-2,0,4,-9
-4,-5,0,5,-2,-4,6,-7,-3,-1,3,-10
-6,-6,0,6,-3,-5,5,-7,-3,-1,4,-10
-6,-6,0,6,-3,-5,5,-7,-3,-1,5,-9
-6,-7,-1,6,-3,-6,5,-8,-3,-1,5,-9
-7,-9,-1,7,-3,-6,4,-8,-3,-2,5,-8
-7,-9,-1,7,-3,-6,3,-9,-4,-2,5,-7
-7,-9,-1,7,-3,-6,3,-9,-3,-2,5,-6
-7,-8,-1,7,-3,-5,3,-9,-3,-2,6,-5
-5,-6,-1,5,-2,-4,4,-8,-3,-1,7,-4
-3,-3,-1,3,-1,-3,4,-7,-2,0,8,-3
-1,-1,-1,1,0,-2,5,-7,-1,0,9,-2
-1,-1,0,1,0,-2,5,-7,-1,0,10,-1
-2,-3,0,2,-1,-3,4,-8,-1,0,10,-1
-2,-4,0,3,-1,-3,4,-8,-2,0,10,-1
-2,-3,-1,2,0,-3,4,-8,-1,0,10,0
-1,-2,-1,2,0,-3,4,-7,-1,1,11,0
-1,-2,-1,1,0,-3,3,-7,0,1,11,1
-1,-2,-1,1,0,-3,3,-7,0,1,11,1
-1,-3,-2,2,0,-4,3,-7,0,0,11,1
-1,-5,-2,3,0,-5,3,-7,0,0,11,1
-1,-6,-3,3,0,-6,2,-7,0,0,11,1
-1,-6,-3,3,1,-6,2,-7,0,0,11,1
-1,-6,-3,4,1,-6,2,-6,0,0,12,1
-2,-6,-3,4,1,-5,2,-6,0,0,12,2
-2,-5,-2,4,0,-5,1,-6,0,0,13,2
-2,-5,-2,3,0,-5,1,-6,0,0,13,3
-1,-4,-2,2,0,-5,0,-6,0,1,14,3
0,-3,-3,1,1,-5,0,-5,0,1,15,4
1,-2,-2,0,1,-4,0,-5,0,1,15,4
2,-1,-2,-1,2,-3,0,-5,1,2,15,4
4,0,-2,-2,3,-2,1,-5,2,2,16,5
4,0,-2,-2,4,-2,0,-4,2,2,17,5
3,0,-3,-1,4,-3,0,-5,2,2,17,5
3,0,-4,-1,4,-3,-1,-5,2,2,17,6
4,0,-4,-2,5,-3,-1,-4,2,2,18,7
4,0,-5,-2,5,-4,-2,-4,2,2,18,7
3,-1,-5,-1,4,-4,-2,-5,2,2,18,7
2,-2,-4,0,3,-5,-3,-5,2,2,18,7
4,-1,-4,-1,4,-4,-4,-5,2,2,19,8
6,1,-4,-3,5,-3,-4,-5,2,3,20,9
7,2,-5,-4,6,-3,-4,-4,3,4,21,10
7,2,-5,-4,7,-3,-5,-4,3,4,21,10
7,1,-6,-4,7,-3,-6,-4,3,4,21,11
8,1,-6,-5,7,-3,-6,-4,3,4,22,11
9,2,-6,-7,8,-3,-6,-4,3,4,22,12
11,3,-6,-8,8,-2,-6,-4,4,4,23,12
