leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-2,-1,0,1,-1,0,-1,-1,0,-1,-1,-1
-4,-3,1,4,-3,-1,-3,-2,-1,-3,-4,-2
-1,-1,0,1,-1,-1,-3,-2,0,-3,-4,-2
6,3,-2,-4,4,0,-2,0,2,-1,-2,0
13,7,-6,-10,10,0,0,1,4,1,0,3
19,10,-9,-15,14,0,1,3,5,3,2,6
20,10,-10,-15,15,0,1,3,4,3,3,6
16,8,-8,-12,12,0,0,2,3,2,1,5
10,4,-6,-7,8,-1,-1,0,1,0,0,3
3,0,-3,-1,3,-2,-2,-1,-1,-2,-2,0
1,-1,-2,0,2,-2,-3,-1,-1,-3,-3,0
5,1,-4,-2,5,-2,-2,0,-1,-2,-2,0
10,4,-6,-7,9,-2,0,1,0,0,0,2
17,7,-8,-12,13,-2,1,3,1,2,2,4
20,9,-10,-14,15,-2,1,3,1,3,3,5
17,7,-9,-12,13,-2,0,2,0,1,2,5
11,4,-7,-8,9,-2,-1,1,-1,0,1,3
5,0,-5,-3,5,-2,-2,0,-2,-2,-1,1
0,-1,-3,0,2,-2,-2,0,-3,-2,-2,0
2,-1,-4,-1,3,-2,-2,0,-3,-1,-1,1
7,1,-6,-4,7,-2,-1,1,-2,0,0,2
13,4,-8,-9,11,-2,0,2,-1,1,1,4
19,7,-10,-13,14,-2,0,3,0,3,2,5
18,7,-9,-13,14,-2,0,2,0,3,1,5
13,5,-8,-9,11,-2,-1,1,-1,1,0,3
7,2,-6,-5,7,-2,-2,0,-2,0,-1,2
2,0,-5,-1,4,-2,-2,0,-3,-1,-2,1
2,0,-5,-1,4,-2,-2,0,-2,0,-2,1
7,2,-6,-4,7,-2,-1,2,-1,1,0,3
12,5,-8,-8,10,-2,0,2,-1,2,1,4
17,6,-10,-12,13,-3,0,2,-1,3,1,5
18,7,-10,-13,14,-3,0,2,-1,3,1,5
16,6,-8,-11,12,-2,0,2,-1,2,1,4
10,3,-7,-7,8,-2,-1,1,-2,1,0,3
3,0,-5,-1,4,-3,-2,1,-3,0,-1,1
1,-1,-5,0,3,-3,-2,1,-3,0,-2,1
5,1,-6,-3,5,-2,-2,1,-3,0,-1,2
10,3,-7,-7,9,-2,-2,2,-2,1,0,3
15,6,-8,-11,12,-2,-1,2,-2,2,0,3
18,7,-9,-13,14,-2,-1,2,-1,2,0,4
15,5,-8,-11,12,-2,-1,2,-2,1,0,3
10,3,-7,-7,9,-2,-2,1,-3,0,-2,2
3,0,-5,-2,4,-2,-2,1,-4,0,-3,1
0,-1,-3,0,1,-1,-3,0,-4,-1,-3,0
2,0,-4,-1,3,-2,-3,0,-4,0,-3,1
7,2,-6,-5,6,-2,-3,0,-4,1,-2,2
13,5,-7,-9,10,-2,-2,0,-4,1,-1,2
17,6,-8,-12,12,-2,-2,1,-4,2,0,3
16,6,-8,-11,12,-2,-2,1,-4,1,-1,3
11,4,-7,-8,9,-2,-2,0,-5,0,-2,2
6,1,-5,-4,6,-2,-2,0,-5,0,-2,2
2,0,-5,-1,4,-2,-3,0,-6,0,-3,1
2,0,-5,-1,4,-2,-3,0,-6,0,-3,1
6,2,-6,-4,6,-2,-3,0,-5,0,-2,1
11,4,-6,-8,9,-2,-3,0,-5,0,-1,1
16,5,-7,-11,11,-2,-4,0,-6,0,-1,1
17,6,-7,-12,12,-2,-4,0,-6,0,-1,1
14,6,-6,-10,10,-1,-4,0,-5,0,-1,1
9,4,-5,-7,7,-1,-4,0,-5,0,-1,1
5,2,-5,-4,5,-1,-4,0,-5,0,-1,0
3,1,-5,-2,4,-1,-4,0,-5,0,-1,0
5,2,-6,-3,6,-1,-4,0,-5,0,0,0
8,2,-6,-5,8,-2,-4,0,-5,0,0,1
12,3,-7,-7,9,-2,-3,0,-5,0,0,1
