leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
2,1,-1,-2,1,0,-3,-3,-1,0,0,0
6,3,-3,-4,4,0,-9,-7,-4,-1,0,0
7,2,-4,-5,6,-1,-12,-9,-5,-2,-1,-1
5,0,-5,-3,5,-2,-13,-10,-7,-3,-2,-2
3,-1,-4,-1,4,-2,-14,-10,-7,-3,-2,-2
3,-1,-4,-1,4,-2,-13,-10,-7,-3,-3,-3
2,-2,-5,0,3,-3,-13,-9,-8,-4,-3,-3
1,-2,-4,0,3,-3,-12,-8,-8,-5,-4,-4
3,0,-4,-1,4,-2,-10,-6,-7,-5,-3,-4
4,1,-4,-3,5,-1,-9,-3,-6,-4,-3,-4
3,0,-3,-2,4,-1,-8,-1,-6,-4,-3,-4
3,0,-3,-1,4,-1,-6,0,-5,-3,-3,-3
5,1,-3,-3,5,-1,-3,2,-3,-2,-2,-2
5,1,-3,-3,4,-1,-2,3,-3,-2,-2,-2
3,0,-3,-1,3,-1,-1,4,-3,-2,-3,-3
3,0,-3,-1,3,-2,-1,4,-3,-3,-4,-3
3,-1,-4,-1,3,-2,-1,5,-4,-4,-4,-4
1,-2,-4,0,2,-3,0,5,-4,-4,-5,-5
-1,-4,-2,2,0,-3,1,7,-3,-4,-5,-5
-2,-5,-2,3,0,-3,2,8,-3,-4,-5,-5
-1,-5,-4,3,1,-5,3,8,-3,-4,-6,-6
0,-5,-5,2,3,-5,4,9,-3,-4,-6,-6
0,-5,-5,2,3,-5,5,9,-2,-4,-6,-6
-1,-6,-4,4,2,-5,6,10,-2,-4,-6,-6
-3,-7,-3,4,1,-5,6,10,-2,-4,-6,-6
-2,-6,-3,3,0,-4,7,11,-3,-4,-6,-7
-2,-5,-3,3,0,-4,7,11,-3,-5,-6,-7
-4,-7,-3,5,0,-5,7,10,-3,-5,-7,-8
-7,-10,-3,8,-1,-7,7,10,-3,-6,-7,-8
-9,-12,-3,10,-2,-8,8,10,-2,-6,-7,-8
-9,-13,-4,11,-2,-8,9,10,-2,-6,-8,-8
-7,-11,-4,9,-1,-7,10,11,-2,-6,-8,-8
-5,-9,-3,7,-1,-6,11,12,-1,-5,-7,-8
-4,-7,-3,5,0,-5,11,12,-1,-5,-7,-8
-3,-6,-3,4,0,-4,12,12,-1,-5,-7,-8
-3,-7,-3,5,0,-4,12,12,-1,-5,-7,-8
-5,-9,-3,7,-1,-5,12,11,-1,-5,-7,-8
-7,-11,-4,9,-1,-7,12,11,-2,-6,-8,-8
-7,-12,-5,9,0,-8,12,10,-2,-6,-8,-9
-6,-11,-5,9,0,-8,12,10,-2,-6,-8,-9
-7,-11,-4,9,-1,-8,12,10,-2,-6,-8,-9
-8,-11,-3,9,-2,-7,12,10,-3,-6,-9,-9
-9,-10,-2,9,-3,-6,12,10,-3,-6,-9,-10
-10,-9,0,9,-5,-4,12,11,-2,-6,-8,-9
-10,-9,2,9,-6,-3,13,12,-1,-5,-8,-9
-10,-9,1,9,-5,-3,14,12,0,-4,-7,-8
-11,-11,0,11,-6,-4,14,11,0,-4,-7,-8
-13,-13,0,13,-7,-5,13,11,0,-4,-7,-8
-14,-11,2,12,-8,-4,14,12,0,-4,-7,-8
