leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,0,-1,0,1,-1,0,0,0,-2,-2,-3
2,-2,-4,0,2,-3,1,1,0,-6,-7,-8
2,-3,-6,0,4,-5,2,1,-1,-9,-9,-11
2,-6,-8,1,5,-7,3,2,-1,-10,-11,-12
2,-8,-10,2,6,-9,4,3,0,-11,-12,-13
1,-8,-10,3,6,-9,5,4,0,-11,-13,-14
1,-8,-9,3,5,-8,5,4,1,-12,-14,-15
1,-7,-8,3,5,-8,5,4,1,-12,-15,-16
1,-6,-8,2,5,-7,5,4,0,-13,-16,-17
1,-6,-7,2,4,-6,5,4,0,-14,-17,-18
1,-6,-7,2,4,-6,5,4,0,-14,-17,-18
0,-7,-8,3,4,-8,6,5,0,-14,-17,-18
0,-9,-9,3,5,-9,6,5,0,-14,-16,-18
0,-9,-9,4,4,-9,7,6,1,-13,-16,-17
0,-8,-8,4,3,-7,7,6,2,-13,-16,-17
0,-7,-7,3,3,-6,7,6,2,-12,-16,-17
0,-6,-6,3,3,-6,7,6,2,-12,-15,-17
0,-6,-6,3,3,-6,7,6,2,-12,-15,-17
0,-5,-6,2,2,-5,7,6,2,-12,-15,-16
0,-5,-6,2,2,-5,6,6,2,-11,-14,-16
0,-6,-6,2,3,-6,6,6,2,-11,-14,-15
0,-6,-6,2,3,-6,6,6,2,-10,-13,-15
0,-5,-5,2,2,-5,6,6,3,-9,-12,-14
0,-4,-4,2,1,-4,6,6,4,-8,-11,-13
0,-3,-4,1,2,-4,6,6,4,-7,-10,-13
1,-2,-4,0,2,-3,6,6,5,-6,-9,-12
1,-2,-3,0,2,-2,5,6,5,-5,-8,-11
1,-1,-3,0,2,-2,5,6,5,-4,-7,-10
1,-1,-3,-1,2,-2,4,6,6,-3,-5,-9
2,-1,-2,-1,2,-2,4,7,7,-2,-4,-8
2,0,-1,-1,1,0,4,7,8,0,-2,-7
2,2,0,-2,1,0,4,7,9,1,-1,-6
3,3,0,-3,1,1,4,8,9,2,0,-4
4,4,0,-4,2,1,4,8,10,3,2,-3
4,4,0,-5,2,2,4,8,11,4,3,-2
4,4,0,-5,1,2,3,8,11,5,4,-1
4,4,0,-5,2,2,3,8,12,6,6,0
5,4,0,-5,2,2,2,8,13,7,8,1
5,5,0,-5,2,2,2,9,14,9,9,3
5,6,1,-6,2,3,2,9,15,11,11,4
6,7,1,-6,2,4,2,9,15,12,12,5
6,8,1,-6,2,4,2,9,16,13,13,6
6,8,1,-7,2,5,2,9,16,14,14,7
6,9,2,-7,2,5,1,9,16,15,15,8
7,9,2,-8,2,5,1,8,16,15,17,9
7,9,1,-8,2,5,1,8,16,16,18,10
8,9,1,-9,3,5,1,8,17,17,19,11
8,10,2,-9,2,6,1,8,18,19,20,12
8,10,2,-9,2,7,1,8,18,20,21,13
8,10,2,-9,2,7,1,8,18,20,22,13
8,10,2,-9,2,7,1,8,18,21,22,14
8,11,3,-10,2,8,1,8,18,21,23,14
8,11,3,-10,1,8,1,8,18,21,23,14
8,11,3,-10,2,7,1,8,18,21,24,14
8,10,2,-10,2,7,1,7,17,21,24,15
8,11,3,-10,2,7,1,7,17,22,24,15
8,11,3,-10,2,8,1,7,16,22,24,15
8,11,3,-10,2,8,1,6,16,22,24,15
8,11,3,-10,2,7,1,6,16,22,24,15
8,11,3,-10,2,7,1,6,16,22,24,15
7,11,4,-10,1,7,1,6,16,22,24,15
7,11,4,-10,1,7,1,6,16,21,24,15
7,10,3,-10,1,7,1,6,15,21,24,15
7,11,4,-10,1,7,1,6,15,21,24,15
6,11,5,-9,0,8,1,5,15,21,24,15
6,11,5,-9,0,9,1,5,14,21,24,15
6,11,5,-9,0,9,1,5,14,21,24,15
6,11,5,-9,0,9,1,5,14,21,23,15
5,11,5,-9,-1,9,1,4,13,21,23,15
5,11,5,-8,-1,8,1,4,13,20,23,15
5,10,5,-8,-1,8,1,4,13,20,23,14
5,10,5,-8,-1,7,1,4,12,20,23,14
5,10,5,-8,-1,8,1,3,12,20,22,14
5,10,5,-8,-1,8,1,3,11,19,22,14
5,9,5,-7,-1,8,1,3,11,19,22,13
5,9,5,-7,-1,8,1,3,11,19,22,13
5,9,6,-7,-1,8,1,3,11,19,21,13
4,9,6,-7,-2,8,1,3,11,18,21,13
4,9,5,-7,-2,8,1,2,10,18,21,13
4,9,5,-7,-2,8,1,2,10,18,21,12
4,10,6,-7,-2,8,1,1,9,17,20,12
4,10,7,-7,-2,9,0,1,9,17,20,11
4,10,6,-7,-2,8,0,1,9,17,20,11
4,9,6,-7,-1,8,0,1,9,17,19,11
4,9,5,-7,-1,7,0,1,9,17,19,11
4,9,5,-7,-1,7,0,1,9,17,19,10
4,9,5,-7,-1,7,0,1,8,16,19,10
3,8,4,-6,-1,7,0,1,8,16,19,10
3,7,5,-6,-1,6,0,1,8,16,18,10
