leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
6,4,-2,-5,4,1,-2,6,10,8,9,5
19,13,-6,-16,12,3,-7,16,29,23,25,16
30,22,-8,-26,19,7,-14,21,44,36,39,25
38,30,-9,-34,23,11,-21,22,56,48,51,33
45,37,-9,-41,27,14,-28,21,65,57,60,40
51,43,-8,-47,29,18,-36,16,70,64,67,46
54,49,-5,-52,29,22,-44,7,72,67,72,50
55,54,-1,-55,28,27,-52,-3,69,67,74,54
53,58,4,-55,24,31,-60,-17,63,62,73,56
48,58,10,-52,19,34,-65,-33,53,53,68,55
41,56,15,-48,12,36,-67,-48,42,42,61,53
34,56,22,-45,5,39,-68,-62,33,34,54,51
26,58,32,-42,-3,45,-68,-76,25,26,49,50
16,59,43,-38,-14,51,-66,-88,16,18,44,49
6,59,52,-33,-23,56,-61,-97,8,10,38,47
0,58,58,-29,-29,58,-56,-101,0,2,33,44
-6,53,60,-23,-33,57,-52,-102,-8,-6,26,39
-12,48,60,-17,-36,54,-47,-101,-15,-14,19,34
-16,43,59,-13,-37,52,-42,-97,-21,-20,12,28
-18,39,57,-10,-37,48,-36,-90,-25,-25,6,23
-21,34,54,-7,-37,45,-29,-82,-28,-28,2,19
-24,29,53,-3,-38,41,-22,-73,-28,-30,0,15
-26,24,51,0,-39,38,-14,-62,-29,-31,-3,12
-28,18,47,5,-38,33,-7,-51,-30,-34,-5,8
-31,11,43,10,-37,27,-1,-42,-32,-37,-9,3
-34,4,39,15,-36,22,4,-35,-33,-39,-12,-1
-37,-2,36,20,-36,17,8,-30,-34,-41,-15,-4
-38,-5,33,22,-35,14,14,-23,-32,-40,-16,-7
-38,-9,29,23,-33,10,19,-15,-30,-39,-17,-9
-37,-13,23,24,-30,5,24,-8,-29,-39,-18,-11
-37,-16,19,26,-28,1,29,0,-27,-38,-18,-13
-38,-20,17,28,-28,-1,32,5,-26,-37,-18,-15
-39,-23,16,31,-28,-3,35,8,-25,-37,-18,-16
-40,-25,15,32,-28,-4,36,10,-24,-37,-18,-17
-39,-25,15,32,-27,-4,37,11,-22,-37,-18,-17
-38,-24,14,31,-27,-4,38,13,-21,-36,-18,-17
-38,-23,14,31,-26,-4,39,14,-21,-35,-18,-17
-38,-23,13,30,-26,-4,40,15,-22,-35,-18,-18
-38,-23,13,30,-26,-5,40,16,-22,-35,-18,-18
-37,-24,12,30,-25,-6,40,17,-22,-35,-19,-18
-36,-24,11,30,-24,-6,40,18,-21,-35,-19,-18
-36,-25,11,30,-24,-6,40,18,-21,-34,-18,-18
-37,-25,12,31,-25,-6,40,18,-20,-34,-18,-18
-39,-26,12,32,-26,-6,40,18,-20,-33,-18,-18
-39,-26,12,33,-26,-7,40,18,-20,-33,-18,-19
-39,-26,12,33,-25,-7,40,18,-20,-32,-18,-19
-38,-26,11,32,-25,-8,40,17,-20,-32,-18,-19
-38,-27,10,32,-24,-8,40,17,-20,-32,-18,-20
-38,-27,10,32,-24,-8,41,18,-20,-32,-18,-20
-37,-27,10,31,-24,-8,41,18,-19,-31,-18,-20
-36,-26,9,31,-23,-8,42,18,-19,-31,-18,-20
-34,-26,7,30,-21,-9,42,17,-20,-31,-19,-21
-32,-26,6,29,-19,-9,42,17,-20,-31,-19,-21
-31,-25,5,28,-18,-9,42,18,-20,-30,-19,-21
-31,-25,5,28,-18,-9,42,19,-20,-30,-18,-21
-31,-25,5,27,-18,-9,42,20,-19,-29,-18,-20
-30,-25,5,27,-18,-9,42,21,-19,-29,-17,-20
-31,-25,6,27,-19,-9,42,21,-19,-29,-17,-20
-32,-25,7,28,-19,-9,42,21,-18,-28,-17,-20
-31,-24,7,27,-19,-8,42,21,-18,-28,-16,-19
-31,-24,7,27,-19,-8,42,21,-18,-28,-16,-19
-32,-24,8,28,-20,-8,41,19,-18,-27,-16,-19
-32,-24,7,28,-20,-9,40,17,-19,-27,-16,-20
-32,-25,6,28,-19,-9,39,16,-19,-28,-17,-20
-33,-26,7,29,-20,-9,39,16,-19,-28,-17,-21
-33,-26,7,29,-20,-9,39,17,-19,-28,-17,-21
-31,-26,6,28,-19,-9,39,18,-19,-28,-17,-21
-29,-25,5,27,-17,-10,38,18,-19,-28,-17,-21
-28,-24,4,26,-16,-10,38,18,-19,-28,-17,-21
-26,-22,3,24,-15,-9,38,18,-19,-27,-17,-20
-26,-21,3,23,-15,-9,38,18,-18,-27,-16,-20
-27,-21,4,24,-16,-8,38,19,-18,-26,-16,-20
-28,-21,5,24,-17,-8,37,19,-17,-26,-16,-20
-29,-22,6,25,-17,-8,36,20,-17,-26,-16,-20
-30,-23,6,26,-18,-8,35,21,-17,-26,-16,-20
-29,-23,6,26,-18,-8,34,21,-17,-26,-16,-20
-28,-24,5,26,-17,-9,34,20,-18,-26,-17,-21
-27,-24,3,26,-15,-10,33,19,-18,-26,-18,-21
-27,-24,3,25,-15,-10,33,19,-18,-26,-18,-21
-26,-23,2,24,-14,-10,34,19,-18,-25,-17,-21
-24,-22,2,23,-13,-9,34,19,-17,-24,-17,-20
-24,-21,2,22,-13,-9,35,19,-17,-23,-16,-20
-24,-21,3,22,-14,-8,35,19,-16,-23,-16,-19
-24,-21,4,22,-14,-8,36,18,-16,-22,-15,-19
-23,-20,4,22,-14,-7,36,18,-16,-22,-15,-19
-23,-19,5,21,-14,-7,36,18,-15,-21,-14,-18
-23,-19,4,22,-14,-7,35,18,-16,-21,-15,-18
