leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,1,1,0,-1,1,2,3,3,1,-7,-3
-2,2,4,0,-3,3,5,8,7,2,-18,-8
-2,3,7,0,-4,5,6,11,10,4,-24,-11
-1,6,8,-2,-4,7,8,13,12,5,-26,-12
2,10,9,-6,-3,9,9,16,15,8,-27,-11
7,15,8,-11,0,11,10,18,17,10,-26,-10
11,18,8,-14,1,13,11,19,19,12,-25,-9
12,19,8,-15,2,14,10,20,20,13,-25,-8
11,18,8,-14,1,14,9,19,20,13,-25,-8
8,15,8,-11,0,12,7,18,18,11,-25,-8
5,12,7,-8,-1,11,5,16,17,10,-26,-9
3,11,8,-7,-2,11,3,15,16,9,-27,-9
5,14,9,-9,-2,12,3,15,16,9,-26,-9
9,19,10,-14,0,15,3,16,17,11,-25,-8
13,23,10,-18,2,16,4,16,18,11,-25,-7
15,24,9,-19,2,16,3,15,17,11,-25,-8
13,21,8,-17,2,15,2,13,15,9,-26,-9
10,17,8,-13,0,13,1,12,14,8,-27,-10
7,14,8,-10,0,12,0,12,12,7,-27,-11
5,12,8,-8,-1,10,0,11,12,6,-28,-12
5,11,7,-8,0,9,0,11,12,6,-28,-12
7,13,6,-10,0,10,2,12,12,6,-27,-12
9,14,5,-11,1,10,3,13,13,7,-27,-12
9,13,5,-11,1,8,4,13,13,6,-27,-13
8,11,4,-9,1,7,5,13,13,6,-27,-14
5,8,4,-6,1,6,5,13,12,5,-28,-15
1,4,3,-2,0,4,4,12,11,4,-29,-16
0,1,2,0,0,2,5,12,10,3,-29,-16
1,2,1,-1,0,2,6,13,11,3,-29,-16
3,5,1,-4,1,3,7,13,12,4,-29,-16
6,7,1,-6,1,4,7,14,12,4,-29,-16
7,8,2,-7,1,5,8,14,13,4,-29,-16
6,8,2,-7,1,5,7,13,12,3,-29,-16
4,5,1,-4,1,3,6,13,11,2,-30,-17
1,1,1,-1,0,2,6,12,11,2,-30,-17
0,-1,1,0,0,1,6,12,10,2,-30,-17
0,0,1,0,0,1,6,12,10,2,-29,-17
2,2,0,-2,1,1,7,12,11,2,-29,-17
5,4,0,-4,2,2,7,12,11,2,-28,-17
6,5,0,-5,2,2,7,12,11,2,-28,-17
5,5,0,-5,2,2,7,13,10,2,-28,-17
3,2,0,-3,1,1,6,13,10,2,-28,-17
0,0,0,0,0,0,6,13,10,2,-28,-17
-1,-2,0,1,0,0,6,13,10,2,-28,-17
-2,-2,0,2,0,0,6,13,10,1,-29,-17
-1,0,1,1,-1,1,6,12,10,1,-29,-18
0,1,1,-1,-1,1,6,12,10,1,-29,-18
1,2,0,-2,0,1,6,12,10,1,-28,-18
2,2,0,-2,0,1,6,13,10,1,-28,-18
2,2,0,-2,0,0,6,13,10,1,-27,-18
1,0,0,0,0,0,6,13,10,1,-27,-18
0,0,0,0,0,0,6,13,9,1,-27,-18
0,-1,0,1,0,0,6,13,9,1,-27,-19
-1,-1,1,1,-1,0,6,13,9,1,-27,-18
0,1,1,0,-1,1,6,13,9,1,-26,-18
1,3,1,-2,0,1,6,13,8,1,-26,-18
2,3,1,-3,0,2,6,13,8,0,-26,-19
2,3,1,-3,0,2,6,13,8,1,-26,-19
2,1,0,-2,0,1,7,13,9,1,-25,-19
1,0,0,0,0,1,7,14,9,1,-24,-19
0,-1,0,0,0,1,8,14,10,1,-24,-19
0,-1,0,0,0,1,8,15,10,1,-24,-19
1,1,0,-1,1,1,9,16,11,1,-24,-20
3,2,0,-2,1,2,10,20,13,2,-24,-20
3,2,0,-2,1,1,13,25,15,4,-23,-19
3,1,-1,-1,1,0,17,30,18,5,-22,-19
3,1,-1,-1,1,0,22,34,22,7,-21,-19
2,1,0,-1,1,1,24,35,24,9,-20,-18
1,0,0,0,1,1,21,27,24,10,-19,-18
0,0,0,0,0,1,14,11,21,10,-18,-17
1,1,0,-1,1,1,2,-10,16,10,-17,-15
4,4,0,-4,2,2,-12,-37,8,9,-16,-14
7,7,0,-6,3,3,-31,-65,0,8,-14,-12
9,9,0,-9,3,4,-52,-95,-9,7,-12,-9
12,12,1,-11,4,6,-78,-126,-20,6,-8,-5
14,14,0,-14,6,7,-107,-162,-33,4,-4,-1
17,16,0,-16,8,7,-135,-202,-49,2,-1,3
20,17,-2,-18,11,7,-162,-244,-67,0,3,7
25,19,-5,-22,15,7,-185,-285,-85,-2,7,12
30,24,-5,-27,18,9,-204,-324,-104,-5,11,18
34,29,-4,-32,18,12,-218,-361,-122,-7,16,24
37,35,-1,-36,18,16,-229,-392,-139,-9,20,29
39,41,2,-40,18,21,-236,-419,-157,-12,25,35
41,45,4,-43,18,24,-240,-442,-176,-17,27,39
43,47,5,-45,19,26,-240,-459,-195,-24,29,43
45,49,4,-47,20,27,-239,-468,-212,-30,30,47
46,49,4,-48,21,28,-238,-472,-229,-38,30,50
48,50,3,-49,22,27,-235,-474,-245,-48,29,53
49,50,2,-49,23,26,-230,-472,-261,-60,26,54
49,49,1,-49,24,25,-223,-466,-274,-72,22,54
48,48,0,-48,24,23,-215,-455,-284,-85,16,53
46,45,0,-45,23,22,-207,-440,-290,-97,10,51
44,41,-1,-42,23,20,-197,-424,-292,-108,2,48
42,37,-3,-39,23,17,-188,-407,-291,-116,-5,45
40,32,-6,-36,23,14,-181,-390,-288,-123,-11,42
39,29,-8,-34,23,11,-173,-374,-283,-126,-15,40
38,27,-10,-32,23,9,-164,-356,-274,-126,-17,38
37,24,-12,-30,24,5,-155,-338,-263,-125,-19,37
37,21,-15,-28,25,2,-147,-320,-252,-123,-20,36
36,16,-19,-26,27,-2,-138,-302,-240,-119,-20,35
34,8,-25,-21,29,-9,-131,-283,-227,-114,-19,33
32,-1,-33,-15,32,-17,-124,-264,-213,-109,-19,29
31,-10,-40,-10,35,-24,-116,-246,-199,-103,-18,25
29,-17,-46,-6,37,-31,-108,-227,-186,-99,-18,20
29,-23,-51,-2,39,-37,-100,-209,-173,-96,-19,14
29,-29,-57,0,42,-43,-91,-190,-160,-93,-22,6
29,-33,-61,3,44,-48,-83,-173,-149,-92,-25,0
28,-37,-65,5,46,-52,-75,-157,-138,-90,-29,-7
27,-41,-68,7,47,-55,-68,-141,-127,-88,-33,-13
27,-45,-71,9,49,-58,-61,-126,-117,-85,-37,-19
26,-47,-73,10,50,-59,-54,-111,-106,-82,-40,-25
26,-49,-74,11,50,-61,-48,-98,-97,-78,-43,-31
25,-50,-74,12,50,-61,-42,-84,-87,-73,-45,-36
25,-48,-73,12,49,-61,-35,-71,-76,-68,-46,-40
25,-45,-70,10,47,-58,-29,-59,-67,-62,-47,-42
23,-42,-64,9,44,-54,-24,-48,-57,-57,-47,-43
20,-39,-59,9,39,-49,-18,-38,-48,-51,-46,-43
18,-37,-54,9,36,-46,-13,-28,-40,-46,-45,-43
17,-35,-51,9,34,-42,-9,-20,-33,-41,-44,-43
15,-33,-46,9,30,-39,-5,-12,-26,-35,-42,-42
13,-30,-41,9,27,-35,-2,-6,-20,-31,-40,-41
11,-26,-36,7,23,-30,1,0,-14,-26,-37,-40
10,-21,-30,5,20,-25,5,7,-7,-21,-34,-38
8,-15,-23,4,16,-20,9,15,0,-15,-29,-35
6,-11,-17,3,12,-14,13,22,7,-9,-25,-31
4,-8,-12,2,8,-10,17,28,13,-4,-22,-28
3,-6,-8,2,6,-7,19,33,18,0,-19,-26
2,-5,-6,1,4,-5,21,37,22,4,-17,-25
1,-3,-4,1,2,-3,23,40,24,6,-15,-24
1,-2,-2,0,1,-1,24,42,26,8,-14,-23
1,0,-1,0,0,-1,24,43,27,8,-14,-23
1,0,-1,0,0,-1,25,43,28,8,-14,-23
0,0,-1,0,0,-1,25,44,28,8,-14,-23
0,-1,-1,1,0,-1,26,45,29,9,-14,-23
0,-1,0,1,0,-1,26,46,30,9,-14,-23
0,-1,0,0,0,0,27,47,31,9,-13,-22
0,0,0,0,0,0,28,48,31,10,-13,-22
0,0,1,0,0,0,28,49,32,11,-12,-22
0,1,1,-1,0,1,28,49,32,11,-12,-22
0,1,1,0,-1,1,28,49,33,12,-11,-21
0,1,1,0,-1,1,29,50,33,12,-10,-21
0,2,2,-1,-1,2,29,50,33,13,-10,-20
1,3,2,-2,-1,3,30,51,34,13,-10,-20
1,2,1,-2,0,2,30,52,34,13,-10,-19
0,0,0,-1,0,1,30,53,34,13,-10,-19
0,0,0,0,0,0,30,53,34,13,-10,-19
0,0,1,0,-1,1,30,53,35,14,-9,-18
0,1,1,0,-1,1,30,53,35,14,-9,-18
0,2,2,-1,-1,2,30,53,35,14,-8,-17
0,3,2,-1,-1,3,30,53,36,14,-8,-17
0,4,3,-1,-1,3,30,53,36,15,-8,-17
0,3,3,-1,-2,4,30,54,36,15,-8,-17
0,2,3,0,-2,3,30,55,36,15,-8,-17
0,2,3,0,-2,3,30,55,37,15,-8,-17
0,2,3,0,-2,2,30,55,37,15,-7,-17
0,2,3,0,-2,2,31,56,38,16,-7,-17
0,2,3,-1,-2,2,31,56,38,16,-7,-17
0,2,3,-1,-2,2,32,57,39,16,-6,-17
0,2,2,-1,-1,2,32,57,39,16,-6,-17
0,2,2,-1,-1,2,32,57,39,16,-6,-18
-1,2,3,0,-2,2,32,58,40,16,-6,-17
-1,1,3,0,-3,2,32,59,40,17,-6,-17
-2,0,3,0,-3,2,32,59,40,17,-6,-18
-1,1,3,0,-2,2,32,60,40,17,-6,-18
0,2,3,-1,-2,2,33,61,41,18,-5,-18
1,3,3,-2,-1,3,33,62,42,18,-4,-18
1,4,2,-3,-1,3,33,62,43,19,-4,-18
2,4,2,-3,0,3,33,63,43,19,-4,-18
2,3,1,-2,0,2,34,63,43,19,-4,-18
1,3,1,-2,0,2,34,64,44,19,-4,-18
1,3,2,-2,0,2,34,65,44,19,-4,-18
1,3,2,-2,-1,2,35,66,45,20,-3,-18
1,3,3,-2,-1,2,35,67,46,21,-3,-18
1,3,3,-2,-1,3,35,67,47,21,-3,-19
1,3,3,-2,-1,3,35,68,47,21,-3,-19
1,3,3,-2,-2,4,35,68,47,21,-3,-19
0,2,3,-1,-2,3,36,69,48,22,-2,-19
0,1,2,0,-2,2,37,71,49,23,-2,-18
0,2,2,0,-1,2,37,72,49,23,-1,-18
0,3,3,-1,-1,3,38,73,50,24,-1,-18
0,3,3,-1,-1,3,38,74,50,24,-1,-18
0,2,3,-1,-2,2,38,75,51,24,0,-19
-1,1,2,0,-2,1,38,75,51,25,0,-19
-1,0,2,0,-2,1,39,76,52,25,0,-19
0,1,2,0,-1,1,39,77,53,25,0,-19
0,1,2,0,-1,1,39,78,54,26,0,-19
0,1,2,0,-2,2,40,79,55,26,0,-19
0,2,2,-1,-2,2,40,80,55,26,0,-20
0,2,2,-1,-2,2,40,81,55,27,0,-22
-1,1,3,0,-3,2,41,82,56,27,1,-23
-1,1,3,0,-3,2,42,83,57,28,1,-24
-2,2,4,0,-4,3,43,85,58,29,2,-24
-2,2,4,0,-4,3,43,86,59,30,2,-24
-2,1,4,1,-4,3,44,87,60,30,2,-25
-2,1,4,0,-4,3,44,88,61,30,3,-26
-2,2,4,0,-4,3,45,89,61,31,3,-26
-1,2,4,0,-4,3,46,91,62,31,4,-26
-1,3,4,0,-4,3,46,92,64,32,4,-25
-2,2,5,0,-4,3,47,94,65,33,4,-25
-2,2,5,0,-4,3,47,95,66,33,5,-25
-2,2,5,0,-4,4,48,97,68,34,5,-25
-1,3,6,0,-4,5,49,99,69,35,6,-24
-2,4,7,0,-5,5,50,100,70,36,6,-24
-3,3,7,0,-6,5,51,101,71,36,6,-25
-3,3,6,0,-5,4,51,103,72,37,7,-25
-2,3,6,0,-4,4,52,105,73,38,7,-24
-2,4,6,0,-4,4,53,108,75,39,8,-24
-2,4,7,-1,-4,5,54,110,77,40,9,-24
-1,5,7,-1,-5,5,54,111,79,41,10,-24
-2,4,8,0,-6,5,55,113,80,41,10,-25
-4,3,8,1,-7,5,55,114,81,42,10,-26
-6,2,8,2,-7,4,56,116,82,43,10,-25
-7,1,8,3,-8,4,57,118,84,44,11,-25
-8,0,8,4,-8,4,57,120,85,45,12,-24
-10,-2,8,6,-9,3,57,121,87,45,12,-25
-11,-3,9,7,-10,3,58,123,89,46,12,-25
-10,-3,9,7,-10,3,59,125,91,48,13,-24
-11,-3,9,7,-10,3,60,127,93,49,14,-23
-11,-2,9,7,-11,3,60,129,94,50,15,-23
-10,-1,9,6,-11,4,61,131,96,52,17,-22
-10,0,10,6,-11,5,61,133,98,54,18,-22
-10,0,10,5,-11,5,61,135,100,55,19,-22
-10,0,10,5,-11,5,61,137,102,57,20,-21
-10,0,10,5,-11,4,61,138,104,58,21,-21
-10,0,10,5,-11,4,60,139,106,59,22,-20
-9,0,10,5,-11,5,60,140,108,61,24,-19
-9,1,10,5,-11,5,60,141,109,62,26,-18
-9,1,10,4,-10,6,59,142,111,64,28,-17
-8,2,10,4,-10,6,58,143,112,66,29,-16
-8,2,11,4,-10,6,57,143,113,67,30,-15
-8,2,11,4,-10,6,56,142,114,68,31,-14
-8,2,11,3,-9,6,55,142,115,69,33,-13
-7,3,11,2,-9,7,54,141,115,70,35,-12
-5,4,11,1,-9,8,53,140,116,72,37,-11
-4,6,10,0,-9,8,51,138,116,73,39,-10
-3,6,10,-1,-8,8,49,135,115,73,40,-9
-2,7,9,-2,-7,8,47,132,114,74,41,-8
-1,8,9,-3,-6,8,46,129,113,75,43,-6
0,8,9,-3,-5,8,44,126,111,75,44,-5
0,8,9,-4,-5,9,42,123,110,75,45,-3
0,9,10,-4,-5,9,40,119,107,74,46,-2
0,9,10,-4,-6,9,37,114,104,74,46,-1
0,9,10,-4,-6,9,35,108,100,72,47,0
-1,9,10,-3,-6,9,33,103,96,71,47,0
0,9,10,-3,-5,9,31,98,93,69,47,0
1,9,9,-4,-4,9,29,93,89,67,47,1
2,10,9,-5,-4,9,27,88,85,65,46,2
2,10,8,-6,-3,9,24,82,81,62,45,2
2,10,8,-6,-3,9,22,77,76,59,44,1
2,10,7,-6,-3,8,20,71,71,56,42,1
2,9,7,-5,-3,8,18,66,67,53,41,0
2,9,7,-5,-3,7,17,61,62,50,39,0
2,9,7,-4,-3,7,16,56,57,46,37,-1
2,9,7,-4,-2,7,14,51,53,43,35,-2
2,8,6,-4,-2,7,12,47,48,39,32,-3
0,6,6,-3,-3,6,10,42,44,36,30,-5
0,5,5,-2,-3,5,9,38,40,32,27,-6
0,4,5,-2,-3,4,8,35,36,29,25,-8
0,3,4,-1,-3,4,7,32,32,26,23,-9
0,2,3,0,-2,3,6,29,28,23,21,-11
0,1,2,0,-2,2,5,26,25,20,18,-12
0,0,2,1,-2,1,4,23,22,17,16,-14
-1,0,2,1,-2,1,4,21,20,15,15,-16
-1,0,2,1,-2,1,4,20,18,13,13,-17
-1,0,2,1,-2,1,4,18,16,11,12,-17
-2,0,2,2,-3,1,4,17,14,10,11,-18
-3,-1,2,3,-3,1,4,16,12,8,9,-18
-3,-1,2,3,-3,0,4,15,10,7,8,-19
-3,-1,1,3,-2,0,4,13,8,5,6,-20
-3,-1,1,3,-2,0,3,12,7,3,5,-21
-3,-1,1,3,-2,0,3,11,6,2,3,-22
-3,-2,1,3,-2,0,3,10,5,1,2,-23
-3,-3,0,3,-2,-1,3,10,5,0,2,-23
-2,-4,-1,3,-1,-2,3,10,4,0,2,-24
-3,-5,-1,4,-1,-3,3,10,3,-1,2,-25
-3,-5,-1,5,-1,-3,3,9,2,-2,1,-26
-4,-5,-1,6,-2,-3,3,9,2,-2,1,-26
-4,-6,-1,6,-2,-4,3,8,1,-3,0,-27
-5,-7,-1,7,-2,-4,3,8,1,-4,0,-27
-4,-7,-2,6,-2,-4,3,8,2,-4,-1,-27
-4,-8,-2,6,-1,-4,3,8,2,-4,-1,-27
-5,-8,-2,6,-2,-4,3,8,1,-4,-1,-28
-5,-8,-2,7,-2,-5,3,8,1,-5,-2,-29
-5,-8,-2,7,-1,-5,3,8,1,-5,-2,-29
-5,-8,-2,7,-1,-6,4,9,1,-5,-2,-29
-6,-9,-2,9,-2,-6,4,9,1,-6,-2,-30
-7,-9,-1,9,-3,-6,3,8,1,-6,-3,-30
-7,-9,-2,9,-3,-6,3,8,1,-6,-3,-31
-6,-9,-2,9,-2,-6,3,8,1,-6,-3,-30
-6,-9,-2,8,-2,-6,4,9,1,-5,-3,-30
-6,-8,-2,7,-2,-5,4,9,1,-5,-3,-30
-6,-9,-2,8,-2,-6,4,9,1,-6,-3,-30
-6,-9,-2,8,-2,-6,4,9,1,-6,-3,-30
-5,-9,-2,8,-2,-6,4,9,1,-6,-3,-30
-5,-9,-2,8,-2,-6,4,9,1,-5,-3,-30
-6,-9,-2,8,-2,-6,4,9,1,-5,-3,-30
-6,-9,-1,8,-3,-5,4,9,1,-5,-3,-30
-7,-9,-1,8,-4,-5,4,9,1,-5,-3,-30
-6,-9,-2,8,-3,-5,4,9,0,-5,-3,-30
-6,-10,-3,8,-3,-6,4,9,0,-5,-3,-30
-6,-10,-3,8,-2,-7,5,10,1,-5,-3,-30
-6,-10,-3,9,-2,-7,6,10,1,-4,-2,-29
-5,-9,-3,8,-2,-7,6,10,1,-4,-2,-30
-5,-8,-3,7,-2,-6,6,10,1,-4,-3,-30
-5,-8,-2,7,-2,-6,6,10,1,-4,-3,-30
-5,-8,-2,7,-2,-6,6,10,1,-4,-2,-30
-5,-10,-3,8,-2,-7,6,10,1,-4,-2,-30
-5,-10,-3,9,-2,-7,5,10,1,-4,-2,-30
-5,-10,-3,8,-2,-7,5,10,1,-4,-2,-30
-6,-10,-3,9,-2,-7,6,11,2,-4,-2,-30
-7,-10,-3,10,-3,-7,6,11,2,-3,-2,-30
-7,-10,-3,10,-3,-7,6,11,3,-3,-2,-30
-7,-11,-3,9,-2,-7,6,11,3,-3,-2,-30
-6,-11,-4,9,-2,-7,6,11,3,-2,-2,-30
-6,-11,-4,9,-2,-7,6,11,3,-2,-2,-29
-6,-11,-3,9,-2,-7,6,11,3,-2,-2,-29
-6,-11,-4,9,-2,-7,6,11,2,-2,-2,-29
-6,-11,-4,9,-2,-7,6,11,2,-2,-2,-29
-7,-11,-4,9,-2,-7,6,11,2,-2,-2,-29
-7,-11,-4,10,-2,-8,6,11,3,-2,-2,-29
-7,-12,-4,10,-2,-8,6,11,3,-2,-2,-29
-7,-11,-4,9,-1,-8,6,11,3,-2,-2,-29
-6,-11,-4,9,-1,-8,6,11,3,-2,-2,-29
-6,-11,-4,8,-1,-8,5,11,3,-2,-1,-28
-5,-11,-4,8,-1,-7,5,11,3,-2,-1,-28
-5,-10,-4,7,-1,-7,5,11,3,-1,-1,-28
-6,-10,-4,8,-1,-7,5,11,3,-1,-1,-28
-6,-10,-4,8,-1,-7,5,11,3,-1,-1,-28
-6,-10,-4,8,-1,-7,5,11,3,-1,-1,-28
-5,-10,-4,8,0,-7,5,11,3,-1,-1,-28
-5,-10,-4,8,0,-7,5,11,3,-1,-1,-28
-5,-10,-4,8,-1,-7,5,11,3,-1,-1,-28
-6,-10,-4,9,-2,-7,5,11,3,0,-1,-28
-6,-10,-4,9,-2,-7,5,11,4,0,-1,-28
-6,-10,-4,9,-2,-7,5,11,4,0,0,-28
-6,-10,-4,8,-1,-7,5,11,4,0,0,-28
-6,-10,-3,8,-1,-7,5,11,4,0,0,-27
-5,-10,-3,8,-1,-7,5,11,4,0,0,-27
-5,-10,-3,8,-1,-7,5,11,4,0,0,-26
-6,-10,-3,9,-2,-7,5,11,4,-1,0,-26
-7,-10,-3,9,-2,-7,5,11,4,-1,0,-26
-6,-10,-3,8,-2,-7,5,11,4,-1,0,-26
-6,-11,-4,8,-1,-8,4,11,4,-1,0,-26
-6,-11,-5,8,0,-8,4,10,4,-1,0,-26
-6,-11,-5,8,0,-8,4,10,3,-1,0,-26
-6,-10,-4,8,-1,-7,4,10,3,-1,0,-26
-6,-10,-3,8,-1,-7,4,10,3,-1,0,-26
-6,-10,-3,8,-1,-7,5,11,3,-1,0,-25
-5,-10,-3,7,-1,-7,5,11,4,0,1,-24
-5,-9,-3,7,-2,-6,6,12,4,0,1,-23
-6,-9,-2,7,-2,-6,6,12,5,0,2,-22
-6,-8,-2,7,-2,-5,7,13,5,0,2,-22
-5,-7,-1,6,-2,-5,7,13,5,1,2,-21
-5,-6,-1,6,-2,-4,7,13,6,1,3,-21
-5,-6,-1,5,-2,-4,7,13,6,1,3,-20
-5,-6,-1,5,-2,-4,7,13,5,1,3,-20
-4,-6,-1,5,-2,-4,7,13,5,1,3,-20
-4,-6,-1,5,-2,-4,7,13,5,1,3,-20
-4,-5,0,4,-2,-3,8,13,5,1,3,-19
-4,-4,0,4,-3,-2,8,13,5,1,3,-18
-4,-3,1,3,-3,-1,8,14,6,2,4,-17
-3,-2,1,3,-3,0,8,14,6,2,4,-16
-3,-1,2,2,-3,0,8,14,7,3,5,-15
-3,0,2,2,-3,0,8,15,7,3,5,-15
-3,0,3,1,-3,1,7,15,7,4,6,-14
-2,1,4,0,-3,2,6,15,7,4,6,-14
-1,2,4,0,-2,2,5,15,8,5,7,-13
-1,2,3,0,-2,2,4,15,8,5,7,-12
-1,1,3,0,-2,2,3,15,8,5,8,-12
