leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,-1,0,-3,-1,0,1
0,2,1,-1,0,2,-1,0,-7,-4,0,2
1,5,2,-3,-1,4,-1,2,-8,-6,0,2
1,8,5,-4,-2,7,0,7,-6,-4,0,1
1,11,8,-6,-3,10,1,11,-4,0,0,0
1,12,9,-6,-3,11,2,16,-1,5,0,-1
2,11,8,-6,-3,10,4,19,2,9,0,-1
2,7,5,-4,-1,7,6,21,6,10,0,-1
2,3,1,-3,0,3,9,23,9,8,0,-1
2,1,-1,-1,1,0,10,24,12,4,0,-1
2,0,-2,-1,1,0,11,25,14,1,0,-2
1,2,0,-1,1,1,11,26,15,0,0,-3
1,4,2,-2,0,4,11,28,15,2,0,-4
1,5,3,-3,0,5,10,29,15,6,-1,-4
1,5,2,-3,0,5,11,30,16,9,-1,-5
1,2,0,-2,0,3,12,30,17,10,-1,-5
1,0,-2,-1,1,0,13,29,18,8,-1,-5
1,-2,-4,0,1,-2,13,29,19,5,-1,-5
1,-3,-4,0,2,-3,13,28,19,2,-1,-5
1,-2,-3,0,1,-2,13,28,19,0,-1,-6
1,0,-1,0,1,0,13,29,19,1,-1,-6
1,2,0,-1,1,2,13,30,19,5,-1,-7
1,3,0,-2,1,3,14,30,19,8,-1,-7
1,1,-1,-1,1,1,14,30,20,10,-1,-7
1,-1,-3,0,2,-1,14,30,20,10,-1,-7
1,-4,-5,0,2,-4,15,30,20,7,-1,-7
0,-5,-6,1,2,-5,15,29,20,3,-2,-7
0,-4,-5,1,2,-4,16,29,20,1,-2,-7
0,-2,-3,1,1,-2,16,29,20,0,-2,-7
0,0,-1,0,0,0,15,29,20,2,-2,-8
-1,0,0,0,0,0,15,29,20,6,-2,-8
-1,0,-1,0,0,0,15,29,20,8,-2,-8
-1,-2,-3,1,0,-2,16,29,20,9,-2,-8
-1,-4,-5,2,0,-4,15,29,20,8,-2,-8
-1,-6,-6,2,1,-5,15,28,20,4,-2,-8
-1,-6,-6,2,1,-5,14,28,20,2,-2,-8
-1,-4,-4,2,1,-3,14,28,20,1,-2,-8
-2,-2,-1,2,0,-1,13,28,20,2,-2,-8
