leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,1,0,-1,0,0,-1,-1,-1,-5,-1,-1
2,2,0,-2,1,1,-3,-2,-3,-14,-3,-3
3,3,0,-3,1,2,-4,-3,-4,-19,-4,-4
3,4,1,-4,1,2,-5,-4,-5,-21,-5,-4
4,5,1,-4,1,3,-6,-4,-6,-23,-6,-4
5,6,1,-5,2,3,-6,-5,-6,-24,-7,-4
6,6,1,-6,2,3,-6,-6,-7,-25,-7,-4
6,7,1,-6,2,4,-6,-6,-7,-25,-8,-4
6,7,2,-6,2,4,-6,-5,-7,-24,-8,-4
6,7,1,-6,2,4,-5,-5,-6,-24,-8,-3
6,7,0,-7,2,4,-5,-4,-6,-23,-8,-3
7,7,-1,-7,4,3,-4,-4,-6,-23,-8,-2
8,6,-3,-7,6,1,-4,-3,-5,-22,-8,-2
9,5,-5,-6,7,0,-4,-2,-5,-22,-8,-2
9,4,-6,-6,8,-1,-4,0,-4,-21,-8,-1
9,3,-6,-6,8,-1,-3,0,-3,-21,-8,-1
9,2,-6,-6,8,-2,-3,0,-3,-21,-8,-1
9,2,-6,-5,8,-2,-2,1,-3,-21,-8,-1
9,2,-6,-5,8,-2,-2,1,-3,-21,-8,-1
8,2,-6,-5,8,-2,-2,0,-3,-21,-8,-1
8,1,-6,-5,7,-3,-2,0,-3,-21,-9,-1
7,1,-6,-4,7,-3,-1,0,-3,-21,-9,-1
7,1,-6,-3,6,-2,0,0,-2,-20,-9,-2
7,1,-5,-3,6,-2,0,0,-2,-20,-10,-2
6,0,-6,-2,6,-3,1,0,-2,-20,-11,-3
4,-2,-6,0,5,-4,1,0,-2,-20,-12,-5
2,-4,-6,1,4,-5,1,0,-2,-21,-14,-6
1,-5,-7,2,4,-5,2,0,-2,-21,-15,-7
1,-6,-7,2,4,-6,2,0,-2,-21,-15,-7
1,-6,-8,3,4,-6,3,0,-2,-21,-16,-8
0,-7,-8,4,4,-7,3,0,-2,-21,-16,-8
0,-8,-8,4,4,-7,4,0,-3,-21,-17,-9
0,-8,-8,4,4,-7,4,1,-3,-21,-17,-9
1,-8,-9,3,4,-8,4,1,-2,-21,-18,-9
1,-8,-10,3,5,-9,4,1,-2,-21,-18,-10
2,-8,-11,3,6,-10,4,1,-2,-21,-19,-10
1,-8,-10,3,5,-10,4,1,-2,-21,-19,-10
1,-8,-9,3,5,-9,4,2,-3,-21,-19,-10
1,-8,-9,3,5,-9,4,2,-3,-21,-20,-10
0,-9,-9,4,5,-9,4,2,-3,-21,-20,-10
0,-9,-9,4,4,-9,3,1,-3,-21,-21,-10
0,-9,-9,4,4,-9,3,1,-3,-21,-21,-11
0,-8,-9,4,4,-8,3,1,-3,-21,-22,-11
0,-7,-8,3,4,-8,3,0,-4,-22,-22,-11
0,-7,-7,3,3,-7,3,0,-5,-23,-23,-11
-1,-7,-6,3,2,-6,3,-1,-5,-24,-24,-11
-1,-6,-5,3,1,-5,4,-1,-5,-25,-24,-11
0,-4,-3,2,1,-3,5,-1,-4,-24,-24,-11
1,0,-1,0,1,0,6,0,1,-18,-21,-10
2,4,0,-3,0,2,8,3,10,-6,-13,-7
4,9,3,-6,0,6,10,6,22,12,0,-3
6,14,7,-9,-1,10,8,7,31,36,19,3
9,22,12,-14,-1,16,4,7,35,61,44,12
13,30,17,-21,-2,23,-3,3,33,84,70,23
17,39,22,-28,-2,31,-14,-1,26,103,96,33
21,49,28,-35,-3,39,-26,-7,18,119,123,44
27,61,34,-43,-3,48,-40,-14,8,135,150,57
32,73,41,-52,-4,58,-55,-21,-2,149,176,71
36,86,49,-61,-6,68,-70,-30,-15,158,195,84
39,96,56,-68,-8,76,-83,-38,-29,160,207,95
42,102,58,-72,-7,80,-94,-45,-43,152,208,102
45,100,55,-72,-4,77,-100,-49,-56,136,200,105
46,91,44,-68,1,67,-102,-49,-67,109,179,103
46,75,30,-60,8,53,-98,-46,-75,75,146,95
44,56,12,-51,16,35,-92,-41,-79,38,105,82
42,38,-4,-40,23,17,-84,-37,-83,0,61,67
39,22,-17,-30,28,3,-76,-33,-85,-36,21,52
36,8,-28,-22,31,-9,-67,-28,-84,-65,-10,39
33,-3,-37,-14,34,-20,-57,-21,-78,-82,-32,28
29,-10,-40,-8,34,-25,-46,-15,-68,-86,-44,20
23,-14,-37,-4,29,-25,-36,-11,-57,-80,-49,13
18,-14,-31,-1,24,-23,-28,-9,-48,-71,-49,8
14,-13,-26,0,20,-20,-22,-8,-39,-63,-48,4
10,-13,-22,1,16,-18,-17,-7,-32,-55,-47,1
7,-13,-19,3,12,-16,-12,-5,-26,-47,-45,-1
4,-12,-17,5,10,-15,-8,-3,-20,-40,-42,-3
2,-12,-15,5,8,-14,-4,-2,-15,-33,-40,-5
1,-12,-13,5,8,-13,-1,0,-11,-28,-38,-6
1,-12,-13,5,7,-12,2,0,-8,-24,-36,-8
1,-12,-13,5,7,-12,4,1,-5,-21,-36,-10
1,-12,-13,5,7,-12,5,2,-3,-20,-36,-12
0,-13,-13,6,7,-13,6,3,-2,-19,-36,-13
0,-13,-13,7,7,-13,7,3,-1,-19,-37,-14
0,-14,-13,7,7,-14,7,3,-1,-19,-37,-14
0,-14,-13,7,6,-14,8,3,0,-18,-37,-15
0,-14,-13,7,6,-13,10,3,0,-17,-37,-15
-1,-14,-13,8,6,-13,10,4,0,-16,-37,-15
-1,-15,-13,8,6,-13,10,4,0,-16,-38,-16
0,-15,-13,8,6,-14,10,4,0,-17,-39,-17
0,-15,-13,7,6,-14,10,4,1,-17,-39,-17
-1,-15,-13,8,6,-14,10,4,1,-17,-40,-17
-1,-15,-13,8,6,-14,10,4,2,-17,-40,-17
0,-15,-14,8,7,-14,10,3,2,-16,-40,-17
0,-15,-16,8,8,-15,10,3,2,-16,-40,-17
0,-16,-16,8,8,-15,10,3,2,-16,-41,-18
0,-15,-15,8,8,-15,10,3,2,-16,-41,-18
-1,-15,-14,8,7,-15,10,4,2,-16,-41,-18
0,-15,-13,8,7,-15,10,3,2,-16,-41,-18
0,-14,-13,7,7,-14,10,3,2,-16,-41,-18
0,-14,-13,7,6,-14,10,4,2,-16,-41,-18
-1,-14,-13,7,6,-13,10,4,1,-16,-41,-18
-1,-14,-13,7,6,-13,11,4,1,-16,-41,-18
-1,-14,-13,7,6,-13,11,5,1,-15,-41,-18
-2,-14,-13,8,5,-13,12,5,1,-15,-41,-17
-3,-15,-12,8,4,-13,12,5,2,-14,-40,-17
-3,-15,-12,9,4,-13,12,5,2,-14,-40,-17
-3,-15,-12,9,4,-13,12,5,2,-14,-40,-17
-3,-15,-12,9,4,-13,11,4,2,-14,-40,-17
-3,-15,-12,9,4,-13,11,4,2,-14,-40,-17
-3,-16,-12,10,4,-13,11,4,2,-14,-40,-17
-3,-16,-12,10,4,-14,11,5,2,-14,-41,-18
-4,-16,-12,10,4,-14,12,5,2,-14,-41,-18
-4,-16,-13,10,4,-15,12,5,2,-13,-41,-18
-4,-16,-13,10,4,-15,12,5,2,-13,-41,-18
-4,-16,-12,10,4,-15,11,5,2,-13,-42,-18
-4,-15,-12,10,4,-14,11,5,3,-13,-41,-18
-4,-15,-11,10,4,-13,12,6,3,-12,-41,-17
-4,-15,-11,10,4,-13,12,6,4,-12,-40,-17
-4,-15,-11,9,4,-12,12,6,4,-11,-40,-17
-4,-14,-10,9,4,-12,12,7,5,-11,-39,-17
-4,-14,-10,9,4,-12,12,7,5,-10,-39,-17
-4,-14,-11,9,4,-13,11,7,6,-10,-39,-17
-3,-14,-12,9,4,-13,11,6,6,-9,-39,-17
-3,-14,-12,9,4,-13,11,6,6,-9,-39,-17
-2,-14,-12,8,5,-13,11,6,6,-8,-38,-16
-2,-14,-12,8,5,-13,11,6,7,-8,-38,-16
-2,-14,-12,8,4,-13,11,6,7,-7,-38,-16
-3,-14,-11,8,4,-12,11,5,6,-7,-38,-16
-3,-13,-11,8,4,-12,11,5,6,-7,-37,-16
-3,-13,-11,8,4,-12,11,5,6,-6,-37,-16
-3,-13,-11,8,4,-12,11,5,6,-6,-36,-16
-3,-13,-11,8,4,-12,11,5,7,-5,-35,-15
-3,-13,-10,8,4,-11,11,6,8,-4,-35,-15
-3,-13,-10,8,4,-11,12,7,8,-3,-34,-15
-3,-13,-10,8,4,-11,12,7,9,-2,-34,-15
-3,-13,-10,8,3,-11,12,7,10,-2,-34,-15
-4,-13,-10,8,3,-11,12,7,10,-1,-34,-15
-4,-13,-9,8,3,-11,12,6,11,-1,-34,-15
-5,-13,-8,8,2,-10,12,6,11,0,-33,-14
-6,-13,-7,9,1,-10,13,6,12,2,-31,-13
-6,-12,-7,9,1,-10,13,6,13,3,-31,-13
-4,-12,-7,8,1,-10,12,6,13,3,-30,-13
-3,-11,-8,7,3,-10,12,6,13,3,-30,-13
-1,-11,-10,6,4,-11,12,6,12,3,-30,-13
0,-11,-11,6,5,-11,11,6,12,4,-30,-13
0,-10,-11,5,5,-11,11,6,13,5,-29,-13
0,-10,-10,5,5,-10,11,7,14,6,-28,-13
