leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,-2,0,0,-1,-1
-1,-1,0,1,0,-1,2,-5,-1,-1,-4,-2
-1,-1,0,1,0,-1,3,-7,-2,-2,-5,-3
-1,-1,0,1,0,-1,3,-9,-2,-2,-6,-3
0,-1,-1,0,0,-1,4,-10,-2,-2,-7,-4
0,-1,-1,0,1,-1,4,-10,-2,-2,-7,-4
0,-1,-1,0,1,-1,4,-10,-2,-2,-8,-5
-1,-2,-1,2,0,-1,4,-10,-2,-3,-8,-6
-2,-2,0,2,-1,-1,4,-10,-2,-3,-8,-6
-1,0,1,0,-1,0,5,-9,-1,-2,-8,-5
0,2,1,-1,0,1,6,-8,-1,-2,-8,-5
0,1,1,-1,0,1,5,-8,-1,-2,-8,-5
0,1,0,-1,0,0,5,-8,-1,-2,-9,-5
0,1,0,-1,0,0,4,-8,-2,-1,-9,-5
0,0,1,-1,0,0,4,-8,-2,-1,-9,-5
0,0,1,-1,0,0,5,-8,-1,0,-9,-5
0,0,1,-1,0,0,5,-7,-1,0,-8,-4
1,1,0,-1,1,0,5,-7,-1,0,-8,-4
2,1,-1,-2,1,0,5,-7,-1,0,-9,-4
1,0,-1,-1,1,0,4,-7,-2,-1,-10,-5
0,-1,-1,0,0,-1,3,-7,-2,-1,-11,-6
-1,-1,0,0,-1,-1,4,-7,-2,-1,-10,-6
-1,0,0,0,-1,0,4,-6,-2,-1,-10,-5
0,0,0,0,-1,0,4,-6,-1,-1,-9,-4
-1,-1,0,0,0,-1,4,-6,-1,-1,-9,-4
-2,-3,0,2,-1,-1,3,-6,-2,-2,-10,-4
-3,-3,0,3,-1,-2,3,-6,-2,-2,-10,-4
-2,-3,0,2,-1,-2,3,-6,-2,-1,-10,-4
-1,-2,0,2,-1,-1,3,-5,-2,-1,-10,-4
-1,-2,0,2,-1,-1,4,-5,-2,-1,-10,-3
-2,-2,0,2,-1,-1,4,-5,-2,-1,-10,-3
-2,-2,1,1,-1,-1,4,-4,-2,-1,-10,-4
-2,-1,1,1,-1,0,4,-4,-2,-1,-10,-4
-2,0,2,0,-2,0,4,-4,-2,-1,-10,-4
-2,0,2,0,-2,0,4,-4,-2,-1,-10,-4
-1,0,2,0,-2,0,4,-4,-2,-1,-10,-4
-1,0,1,0,-2,0,4,-4,-2,-1,-10,-5
-1,0,1,0,-1,0,4,-4,-2,-1,-10,-5
0,0,0,0,0,0,4,-4,-2,-1,-11,-5
0,0,0,0,0,0,4,-4,-2,-1,-11,-5
0,0,0,0,0,0,4,-3,-2,-1,-11,-5
0,0,0,0,0,0,4,-3,-2,-1,-11,-5
0,0,0,0,0,-1,4,-3,-2,-1,-11,-5
0,-1,0,0,0,-1,4,-2,-2,0,-11,-5
-2,-1,1,1,-1,0,4,-2,-2,0,-10,-5
-3,-1,2,2,-3,0,4,-1,-1,0,-10,-5
-3,0,3,2,-3,0,4,-1,-1,0,-10,-5
-4,-1,3,2,-3,0,4,-1,-2,0,-11,-6
-4,-1,3,2,-3,0,4,-1,-3,0,-12,-6
-3,-1,3,2,-3,0,4,-1,-3,0,-12,-6
-2,0,2,1,-3,1,4,-1,-2,0,-12,-6
-2,0,2,1,-2,0,4,0,-2,1,-12,-6
-2,-2,1,2,-2,0,4,-1,-2,0,-12,-7
-3,-3,1,2,-2,-1,4,-1,-2,0,-12,-7
-3,-3,1,2,-2,-1,4,-1,-2,0,-12,-7
-3,-3,1,2,-2,-1,4,-1,-2,0,-12,-7
-3,-2,1,2,-2,-1,4,-1,-2,0,-12,-7
-4,-3,1,3,-2,-1,4,-1,-3,0,-13,-8
-4,-3,1,3,-2,-1,4,-1,-3,0,-13,-8
-3,-2,0,2,-2,-1,4,0,-3,0,-13,-8
-1,0,0,0,-1,0,4,0,-2,0,-13,-8
0,0,0,0,0,0,5,0,-2,0,-13,-7
0,0,0,0,0,0,5,1,-2,0,-13,-7
0,0,0,-1,0,0,5,1,-2,0,-13,-7
1,1,0,-1,0,0,6,2,-1,0,-13,-6
1,1,0,-1,0,0,6,2,-1,1,-12,-5
0,1,0,-1,0,0,6,2,-1,1,-12,-5
0,1,1,-1,-1,1,6,2,-1,2,-11,-5
-1,1,2,0,-2,1,7,3,-1,2,-11,-5
-1,1,3,0,-2,2,7,3,-1,2,-11,-6
0,1,2,-1,-2,1,7,3,-1,2,-12,-6
0,0,1,0,-1,1,7,2,-1,2,-12,-7
-1,0,2,0,-2,1,7,2,-1,2,-13,-7
-2,0,3,0,-3,2,8,3,0,3,-12,-7
-2,2,4,0,-3,3,9,4,1,4,-12,-6
-2,3,5,-1,-4,4,10,5,1,4,-11,-6
-2,4,7,-2,-5,5,10,6,2,5,-11,-5
-3,4,8,-2,-6,6,11,6,2,5,-10,-5
-3,4,8,-2,-6,6,11,7,2,6,-10,-4
-3,5,8,-2,-6,6,11,7,3,6,-10,-4
-3,5,8,-2,-6,6,12,8,3,6,-9,-4
-3,5,8,-1,-6,6,11,8,3,6,-9,-4
-3,5,8,-1,-6,6,10,8,3,6,-9,-4
-2,6,7,-2,-5,6,9,7,3,5,-9,-3
-1,7,7,-3,-4,7,8,7,3,5,-9,-3
0,7,8,-4,-4,7,6,6,2,5,-10,-2
-1,7,8,-3,-5,7,5,4,1,5,-10,-2
-1,7,8,-3,-5,7,3,2,0,4,-11,-2
0,7,8,-4,-4,7,1,1,-2,3,-11,-2
0,7,8,-4,-3,7,0,0,-3,2,-12,-3
0,7,8,-4,-4,7,-1,-1,-4,1,-12,-3
-1,7,8,-3,-4,7,-2,-2,-5,0,-13,-3
-1,8,9,-3,-5,8,-3,-2,-6,0,-13,-3
-2,8,10,-3,-6,8,-4,-3,-6,0,-13,-2
-1,8,9,-4,-5,8,-5,-3,-6,0,-13,-2
0,8,9,-4,-5,8,-5,-3,-6,0,-12,-1
0,8,8,-4,-4,8,-5,-2,-6,1,-12,-1
2,9,7,-5,-2,8,-5,-2,-6,1,-11,0
3,10,6,-6,-1,8,-5,-2,-6,1,-11,0
2,9,6,-5,-2,7,-5,-2,-6,1,-11,0
2,8,6,-5,-2,6,-5,-2,-6,1,-11,0
2,7,5,-5,-1,6,-5,-1,-6,1,-11,-1
3,7,4,-5,-1,5,-4,-1,-5,1,-11,-1
2,5,4,-4,-1,4,-3,0,-5,1,-11,-2
2,4,3,-3,-1,4,-2,0,-5,1,-12,-3
1,4,3,-3,-1,4,-2,0,-5,1,-13,-4
0,3,3,-1,-1,3,-1,1,-5,1,-14,-4
0,2,2,0,-1,2,0,1,-5,1,-14,-5
-1,0,2,0,-1,1,0,1,-6,0,-15,-6
-2,-1,2,2,-2,0,0,1,-7,0,-16,-7
-4,-2,3,3,-3,0,0,0,-8,-1,-17,-9
-5,-2,3,4,-4,0,0,0,-8,-2,-18,-10
-5,-2,3,4,-5,0,0,0,-8,-2,-19,-10
-6,-2,3,5,-5,0,0,0,-8,-2,-19,-10
-7,-3,3,5,-5,0,0,0,-8,-2,-19,-10
-7,-3,3,5,-5,0,0,0,-9,-2,-19,-10
-6,-3,2,5,-4,0,0,0,-9,-3,-19,-10
-5,-3,2,4,-4,0,0,0,-9,-3,-19,-10
-5,-3,1,4,-4,0,0,0,-9,-3,-19,-11
-4,-3,1,4,-3,-1,0,0,-9,-3,-19,-11
-4,-4,1,4,-3,-1,0,0,-9,-3,-20,-12
-4,-4,1,4,-3,-1,0,1,-9,-3,-20,-12
-5,-4,1,4,-3,-1,0,1,-9,-3,-20,-12
-4,-4,1,4,-3,-1,0,1,-9,-3,-20,-12
-4,-3,1,4,-2,-1,0,1,-9,-3,-20,-12
-4,-3,1,4,-3,-1,0,1,-9,-3,-20,-13
-4,-3,1,4,-3,-1,0,1,-9,-3,-20,-13
-4,-3,1,4,-3,-1,0,2,-9,-3,-21,-13
-3,-2,1,4,-3,-1,0,3,-8,-3,-21,-13
-3,-2,1,3,-2,-1,0,4,-7,-2,-21,-13
-1,-1,0,2,-1,-1,0,5,-6,-2,-21,-13
0,0,0,0,0,-1,1,6,-5,-1,-21,-12
0,1,1,0,-1,0,3,8,-3,0,-20,-11
-3,0,3,2,-3,1,4,9,-2,0,-20,-10
-6,-1,4,4,-5,1,5,10,-1,1,-19,-10
-7,-2,4,5,-6,0,6,13,0,2,-19,-10
-6,-1,4,4,-5,0,7,19,4,4,-18,-10
-5,0,4,3,-5,1,10,28,10,8,-16,-10
-4,0,5,2,-4,2,12,37,18,14,-13,-9
-3,2,5,0,-4,3,14,46,28,22,-8,-7
0,5,4,-3,-2,4,15,51,39,32,-2,-3
6,9,3,-8,1,5,14,54,50,43,4,1
12,14,1,-13,5,6,11,53,61,55,12,6
19,18,0,-19,10,7,7,47,70,67,21,13
27,24,-3,-26,15,9,0,37,78,80,32,21
36,30,-5,-33,21,11,-8,24,83,93,45,30
43,36,-6,-40,25,14,-18,6,85,104,57,39
50,42,-7,-46,28,18,-28,-15,82,113,68,48
54,49,-5,-51,30,22,-37,-38,72,115,76,56
57,55,-3,-56,30,26,-49,-63,55,108,79,62
58,57,-1,-57,30,27,-64,-91,30,92,75,64
56,55,-1,-55,29,26,-80,-119,-2,68,65,62
51,49,-1,-50,27,23,-96,-149,-39,38,50,57
44,43,0,-43,22,21,-110,-176,-76,8,34,50
35,37,2,-36,17,19,-120,-197,-108,-18,18,42
26,31,4,-29,10,18,-127,-211,-133,-39,5,35
17,26,8,-22,4,17,-129,-219,-149,-53,-6,28
9,22,12,-16,-2,17,-127,-218,-155,-62,-15,21
2,18,15,-10,-7,17,-122,-209,-153,-66,-23,14
-4,13,17,-4,-11,15,-114,-196,-148,-68,-30,7
-9,8,17,1,-13,12,-105,-180,-141,-69,-35,1
-11,5,16,3,-13,10,-97,-162,-132,-67,-39,-3
-12,3,15,5,-13,9,-87,-142,-120,-63,-40,-7
-12,3,16,5,-14,9,-77,-122,-106,-57,-40,-9
-12,4,16,4,-15,10,-67,-103,-92,-50,-38,-9
-10,6,16,2,-14,11,-58,-86,-79,-42,-35,-9
-9,8,16,1,-13,11,-50,-72,-68,-35,-33,-9
-9,7,16,1,-13,11,-43,-60,-59,-29,-31,-10
-10,6,16,2,-13,10,-37,-49,-52,-25,-30,-10
-10,4,15,3,-12,9,-31,-39,-46,-23,-29,-11
-10,3,14,4,-12,8,-25,-31,-40,-20,-29,-11
-10,1,13,4,-11,7,-20,-23,-35,-18,-28,-12
-10,0,11,5,-11,5,-16,-17,-31,-16,-28,-14
-10,-1,8,5,-9,3,-13,-13,-27,-15,-28,-15
-9,-3,6,6,-8,1,-10,-9,-25,-14,-29,-16
-9,-4,5,6,-7,0,-9,-6,-24,-13,-29,-17
-8,-4,4,6,-6,0,-7,-4,-23,-12,-29,-17
-7,-4,3,6,-5,-1,-5,-1,-22,-12,-29,-17
-6,-4,2,6,-4,-1,-4,1,-21,-12,-29,-17
-5,-4,1,6,-4,-1,-3,3,-20,-12,-29,-18
-5,-5,0,6,-4,-2,-2,4,-19,-12,-30,-19
-7,-6,1,7,-5,-2,-1,6,-18,-11,-30,-19
-10,-8,1,9,-7,-3,0,7,-16,-11,-30,-20
-11,-9,1,10,-7,-4,0,8,-15,-10,-30,-20
-10,-8,2,9,-7,-3,1,10,-15,-10,-29,-19
-9,-6,3,7,-6,-1,2,11,-14,-9,-28,-19
-8,-5,3,6,-6,-1,3,12,-14,-9,-28,-19
-8,-5,3,6,-6,-1,3,13,-14,-9,-28,-19
-8,-5,3,7,-6,-1,3,14,-14,-9,-28,-19
-7,-4,3,6,-5,0,3,14,-13,-9,-29,-20
-6,-4,2,5,-4,-1,3,15,-12,-9,-29,-20
-6,-4,1,5,-4,-2,4,15,-12,-9,-30,-20
-6,-4,1,5,-3,-2,4,15,-12,-10,-30,-20
-6,-4,1,5,-3,-2,4,15,-12,-10,-31,-20
-5,-4,0,5,-3,-2,3,14,-13,-10,-31,-21
-5,-5,0,5,-2,-3,3,14,-14,-10,-31,-21
-5,-5,0,5,-2,-2,4,15,-13,-10,-31,-21
-4,-4,0,4,-2,-2,4,16,-12,-10,-31,-20
-4,-4,-1,4,-2,-3,4,16,-12,-10,-31,-21
-5,-5,-1,5,-2,-4,4,16,-12,-10,-31,-21
-5,-5,-1,5,-2,-4,5,17,-11,-10,-31,-21
-5,-5,-1,5,-2,-3,5,18,-11,-10,-31,-21
-5,-5,0,5,-2,-3,6,18,-11,-10,-32,-21
