leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
2,2,0,-2,1,1,0,0,1,0,0,0
6,5,0,-5,3,2,0,1,4,1,1,0
7,6,0,-7,4,3,0,1,6,2,2,0
8,7,0,-8,4,3,0,0,6,2,2,0
7,5,0,-6,4,3,-1,0,6,1,2,-1
3,3,1,-3,1,3,-1,0,7,2,2,-1
1,2,2,-2,0,3,-1,1,7,2,3,-1
1,3,2,-2,0,3,-1,1,8,3,3,-1
3,4,1,-3,1,4,-1,1,8,3,3,-1
5,6,0,-5,3,4,-1,1,8,3,3,-1
7,7,0,-7,4,4,0,1,8,3,3,-1
8,7,-1,-8,5,4,-1,0,7,2,3,-1
8,6,-1,-8,5,3,-1,0,7,2,2,-1
7,5,-2,-7,5,2,-2,0,6,1,2,-2
6,4,-2,-5,4,2,-2,-1,6,1,2,-2
5,4,0,-4,3,2,-2,-1,6,1,3,-2
3,4,1,-4,1,4,-2,0,6,2,4,-1
2,5,3,-4,0,5,-1,1,7,3,5,0
3,6,3,-5,0,5,0,1,7,4,5,0
5,6,2,-6,2,5,-1,0,7,3,5,0
7,7,0,-7,4,4,-1,0,6,3,4,0
8,6,-1,-7,5,4,-2,-1,5,2,4,-1
7,5,-1,-6,5,3,-2,-1,5,2,4,-1
7,5,-1,-6,5,2,-3,-2,5,2,3,-1
7,5,-1,-6,5,2,-3,-2,4,1,3,-1
8,5,-2,-7,5,2,-3,-2,4,1,3,-1
9,6,-2,-8,5,3,-2,-1,5,2,3,-1
9,7,-1,-8,5,4,-2,-1,5,2,4,0
6,7,1,-7,2,4,-1,0,6,3,5,0
3,6,3,-5,0,5,0,0,7,4,6,0
3,6,3,-5,0,5,0,0,7,4,6,0
4,6,1,-5,2,4,-1,0,6,4,5,0
6,5,0,-5,4,2,-2,-1,6,3,4,0
7,5,-1,-6,5,2,-2,-1,6,3,4,0
7,5,-2,-6,5,2,-2,-1,6,3,4,0
