leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,1,0,0,0,0,-16,-1,0,0
-2,-2,0,3,0,-1,1,0,-41,-3,-2,0
-3,-3,0,4,0,-2,1,1,-56,-4,-2,-1
-3,-3,0,4,0,-2,2,1,-64,-5,-3,-1
-3,-3,0,4,0,-2,2,2,-69,-5,-3,-1
-3,-3,0,4,0,-2,2,2,-71,-5,-3,-1
-3,-3,-1,3,0,-2,2,2,-72,-5,-3,-1
-3,-3,-1,3,0,-2,2,2,-73,-5,-3,-1
-3,-3,-1,3,0,-2,2,2,-73,-5,-3,-1
-3,-4,-1,4,0,-2,3,3,-72,-5,-3,-1
-3,-4,-1,4,0,-2,3,3,-71,-5,-3,-1
-3,-4,-1,4,0,-2,3,3,-71,-5,-3,-1
-3,-4,-1,4,0,-2,3,3,-70,-5,-3,-1
-2,-4,-1,3,0,-2,3,4,-69,-5,-3,-1
-2,-4,-1,3,1,-2,3,4,-68,-5,-3,-1
-2,-4,-2,3,1,-2,3,4,-67,-5,-3,-1
-2,-4,-2,3,1,-2,3,4,-66,-5,-3,-1
-2,-4,-2,3,1,-2,4,5,-65,-5,-3,-1
-2,-4,-2,3,1,-2,4,5,-64,-5,-3,-1
-2,-3,-2,3,1,-2,4,5,-63,-5,-3,-2
-2,-3,-2,3,1,-2,4,5,-62,-5,-4,-2
-2,-3,-2,3,1,-2,4,5,-61,-5,-4,-2
-2,-3,-2,3,1,-2,4,5,-59,-5,-4,-2
-2,-3,-1,2,1,-2,4,5,-58,-5,-4,-2
-2,-3,-1,2,1,-2,4,5,-57,-5,-4,-2
-2,-3,-1,2,1,-2,4,5,-56,-5,-4,-2
-1,-3,-1,2,1,-2,4,5,-55,-4,-4,-2
-1,-3,-1,2,1,-2,4,5,-54,-4,-4,-1
-1,-2,-1,2,1,-2,4,6,-53,-3,-4,-1
-1,-2,-1,2,1,-2,4,6,-51,-3,-3,-1
0,-2,-1,2,1,-2,4,6,-50,-3,-3,-1
0,-2,-1,2,1,-2,4,6,-49,-2,-2,0
0,-1,-1,2,1,-2,4,6,-48,-2,-2,0
0,-1,-1,1,2,-1,4,6,-47,-1,-2,0
0,-1,-1,1,2,-1,4,6,-46,-1,-2,0
0,-1,-1,1,2,-1,4,6,-45,0,-1,0
0,0,-1,0,2,-1,4,6,-45,0,-1,1
0,0,-1,0,2,-1,3,6,-44,0,0,1
0,0,-1,0,2,-1,3,6,-43,0,0,2
0,0,-1,0,2,-1,3,5,-43,0,0,2
1,1,-1,0,2,-1,3,5,-42,0,0,3
1,1,-1,0,2,0,3,5,-41,1,0,3
1,1,-1,0,2,0,2,5,-41,1,0,3
1,1,-1,0,2,0,2,5,-40,1,1,3
1,1,-1,-1,2,0,2,5,-40,2,1,3
1,1,-1,-1,2,0,2,5,-39,2,2,4
1,1,-1,-1,2,0,1,5,-39,2,2,4
1,2,-1,-1,2,0,1,4,-38,2,2,4
1,2,-1,-1,2,1,1,4,-38,2,2,4
2,2,0,-2,2,1,1,4,-37,3,2,5
2,3,0,-2,2,1,1,4,-37,3,2,5
3,3,0,-3,3,1,1,3,-36,3,3,5
3,3,0,-3,3,1,1,3,-36,3,3,6
3,3,0,-3,3,1,1,3,-35,3,3,6
3,3,0,-3,3,1,1,3,-35,3,3,6
3,3,0,-3,3,1,0,2,-35,3,3,6
3,3,0,-3,3,1,0,2,-35,3,3,6
3,4,0,-3,3,1,0,2,-35,3,4,6
3,4,0,-3,4,1,0,2,-35,3,4,6
3,4,0,-3,4,1,0,1,-35,3,4,6
3,4,0,-3,4,1,0,1,-35,3,4,6
3,4,0,-3,4,1,0,1,-35,3,4,6
3,4,0,-3,4,1,0,1,-35,3,4,6
3,4,0,-3,4,1,0,1,-34,3,4,6
3,4,0,-3,4,1,0,1,-34,3,4,6
3,4,0,-3,4,1,0,1,-34,3,4,6
3,4,0,-3,4,1,0,1,-34,3,4,6
3,4,0,-3,4,1,0,1,-34,3,4,6
3,4,0,-3,4,1,0,1,-34,3,4,6
3,4,0,-3,4,1,0,1,-34,3,3,6
2,4,0,-3,3,1,0,1,-35,3,3,6
2,3,0,-2,3,1,0,1,-35,2,3,6
2,3,0,-2,3,1,0,1,-35,2,3,6
2,3,0,-2,3,1,0,1,-35,2,3,5
2,3,0,-2,3,1,0,1,-35,2,2,5
2,3,0,-2,3,1,0,1,-35,1,2,5
2,3,0,-2,3,1,0,1,-35,1,2,5
2,2,0,-1,3,1,0,1,-35,1,2,5
1,2,0,-1,3,1,0,1,-35,1,1,4
1,2,0,-1,3,1,0,1,-35,1,1,4
1,2,0,-1,3,0,0,1,-35,1,1,3
1,2,0,-1,2,0,0,1,-34,0,1,3
1,1,0,-1,2,0,0,1,-34,0,1,3
