leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-2,-1,0,2,-1,0,0,-1,0,0,-8,-112
-5,-4,2,5,-3,-1,2,-3,0,0,-19,-291
-8,-5,3,7,-5,-1,4,-3,2,0,-26,-395
-10,-6,4,8,-6,-1,7,-2,5,2,-21,-456
-12,-7,5,9,-8,-1,11,0,7,3,3,-490
-13,-8,5,10,-9,-1,15,2,10,4,15,-510
-14,-9,5,11,-9,-1,20,5,12,5,16,-522
-15,-11,4,13,-9,-3,25,8,14,6,41,-528
-16,-14,2,14,-8,-5,30,12,16,6,75,-532
-14,-15,0,14,-6,-7,35,15,16,6,81,-534
-12,-15,-2,13,-4,-8,37,18,16,5,49,-535
-9,-14,-4,11,-2,-8,36,22,14,2,5,-537
-5,-9,-4,7,0,-6,32,28,11,-1,-21,-537
1,-1,-2,0,2,-1,27,36,8,-4,-35,-617
8,10,2,-9,3,6,20,43,5,-6,-44,-814
14,23,8,-19,3,16,12,48,3,-7,-45,-1061
20,38,17,-29,1,28,3,49,1,-6,-42,-485
26,52,27,-39,0,40,-7,48,-1,-6,-46,592
30,64,35,-47,-2,50,-17,43,-3,-5,-51,1144
32,72,41,-52,-3,57,-28,36,-4,-4,-49,1394
34,76,43,-55,-3,61,-38,26,-6,-4,-47,1475
33,77,44,-55,-4,61,-47,16,-10,-5,-50,1462
31,73,43,-52,-5,58,-52,10,-14,-7,-56,1402
28,67,40,-47,-5,53,-53,7,-18,-9,-61,1320
25,59,35,-41,-4,47,-54,5,-22,-11,-64,1230
21,48,28,-34,-2,38,-54,1,-25,-14,-67,1141
18,37,20,-27,0,29,-53,-3,-29,-16,-69,1056
14,28,14,-21,0,22,-50,-6,-30,-18,-70,978
11,22,12,-17,0,17,-45,-6,-29,-17,-70,909
9,18,10,-13,0,14,-38,-4,-26,-16,-69,848
5,14,9,-10,-1,11,-31,-2,-23,-14,-67,793
2,9,8,-6,-2,8,-24,0,-20,-13,-64,743
0,6,6,-3,-2,6,-19,1,-17,-12,-63,699
0,5,6,-2,-2,5,-14,4,-14,-10,-62,660
0,5,6,-2,-3,5,-10,7,-10,-8,-60,626
-1,4,5,-2,-3,5,-7,10,-7,-6,-57,595
-2,2,4,0,-3,4,-5,11,-6,-6,-57,567
-4,1,4,1,-3,3,-3,11,-5,-5,-58,542
-5,0,5,2,-4,3,-2,10,-4,-5,-60,521
-4,1,5,1,-4,3,-1,9,-3,-4,-61,503
-3,2,6,0,-3,4,0,8,-1,-3,-62,488
-3,3,6,0,-3,4,0,8,-1,-3,-63,475
-4,0,6,1,-4,3,0,6,-1,-3,-63,463
-7,-3,5,4,-5,1,0,5,-1,-3,-62,453
-8,-4,4,6,-5,0,0,5,-1,-3,-62,444
-7,-5,3,6,-4,0,1,4,-1,-3,-62,435
-7,-5,2,6,-3,0,2,4,-1,-3,-64,427
-8,-5,3,7,-4,0,2,3,-1,-4,-65,420
-7,-4,3,6,-4,0,3,3,0,-3,-65,414
-6,-2,3,4,-4,0,4,3,0,-3,-65,409
-5,-2,3,4,-4,0,5,3,0,-2,-66,403
-6,-4,2,6,-4,-1,4,2,0,-3,-67,397
-7,-6,2,7,-4,-1,4,2,0,-3,-68,392
-7,-6,2,7,-4,-1,5,2,0,-2,-68,387
-6,-5,2,6,-3,-1,6,2,0,-2,-68,383
-7,-6,1,7,-3,-2,5,2,0,-3,-69,379
-9,-7,1,8,-4,-2,5,1,0,-3,-69,376
-10,-8,1,9,-5,-3,5,1,0,-3,-70,372
-10,-8,1,9,-5,-3,5,1,0,-3,-70,369
-9,-8,1,8,-5,-3,5,1,0,-3,-70,366
-8,-7,1,8,-4,-2,5,2,0,-2,-70,363
-8,-7,1,8,-4,-2,5,2,0,-2,-70,360
-8,-8,1,8,-4,-3,5,2,0,-2,-69,358
-8,-8,1,8,-4,-3,5,2,0,-3,-67,355
-8,-8,1,8,-4,-3,5,2,0,-3,-66,352
-9,-8,1,9,-4,-3,5,2,0,-3,-67,349
-9,-9,0,9,-4,-4,5,2,0,-4,-68,347
-9,-9,0,9,-4,-4,5,2,0,-4,-69,344
