leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-2,0,2,0,-1,1,-3,-23,-2,-1,0
-4,-5,-2,5,-1,-3,3,-8,-58,3,-2,-1
-5,-8,-3,7,-1,-5,5,-10,-76,24,-2,-2
-7,-9,-3,8,-2,-5,6,-10,-85,46,-2,-2
-8,-10,-2,10,-4,-5,7,-10,-90,56,-2,-2
-10,-11,0,11,-5,-5,8,-10,-96,46,-2,-2
-11,-12,0,11,-6,-5,9,-10,-101,21,-3,-2
-11,-11,0,11,-5,-5,9,-11,-105,-7,-3,-2
-9,-10,0,10,-4,-5,10,-11,-107,-24,-3,-2
-8,-9,0,9,-3,-4,10,-10,-104,-22,-3,-2
-8,-9,-1,8,-3,-4,11,-8,-99,-1,-3,-2
-7,-9,-1,8,-3,-4,11,-7,-94,23,-3,-2
-7,-9,-2,8,-2,-4,12,-5,-90,40,-3,-2
-6,-8,-2,8,-2,-4,12,-5,-89,39,-3,-2
-6,-8,-2,7,-1,-4,12,-5,-91,19,-3,-2
-6,-8,-3,7,-1,-5,12,-5,-92,-9,-4,-2
-7,-9,-3,8,-2,-5,12,-6,-93,-30,-4,-2
-7,-10,-2,9,-2,-5,12,-5,-89,-33,-5,-2
-8,-10,-2,9,-2,-5,13,-4,-83,-17,-5,-2
-8,-10,-1,9,-3,-4,13,-3,-76,7,-5,-2
-9,-10,-1,10,-4,-4,14,-2,-70,28,-5,-2
-9,-11,-1,10,-4,-5,14,-2,-67,32,-5,-2
-9,-11,-1,10,-4,-5,15,-3,-67,15,-5,-2
-9,-11,-1,10,-4,-5,15,-4,-68,-12,-5,-2
-9,-11,-1,10,-4,-5,15,-4,-67,-37,-5,-2
-9,-11,-1,10,-4,-5,16,-4,-64,-46,-5,-2
-10,-11,-1,11,-5,-5,16,-2,-59,-36,-5,-2
-11,-11,0,11,-6,-5,17,0,-52,-14,-5,-2
-11,-10,0,11,-6,-4,18,3,-45,8,-5,-1
-10,-9,0,10,-5,-4,18,4,-40,19,-5,-1
-9,-9,0,9,-4,-4,19,4,-39,10,-4,-1
-9,-9,1,10,-5,-4,19,3,-39,-15,-4,-1
-10,-9,2,10,-6,-3,20,2,-38,-42,-4,-1
-11,-8,3,10,-7,-2,22,2,-36,-58,-4,-1
-11,-8,4,10,-7,-1,22,4,-30,-56,-4,-1
-12,-8,4,10,-8,-1,23,6,-23,-37,-4,-1
-11,-8,3,9,-7,-1,24,9,-16,-14,-5,-1
-10,-7,3,8,-7,-1,25,10,-11,0,-5,-1
-10,-6,4,8,-7,0,26,10,-8,-3,-4,-1
-9,-5,4,8,-7,0,27,9,-8,-25,-4,-1
-9,-5,4,8,-7,0,27,7,-9,-53,-4,-1
-10,-6,4,9,-7,0,28,7,-8,-73,-4,-1
