leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,-1,-2,0,1,-1,3,4,8,8,3,0
6,0,-6,-3,6,-2,8,13,21,27,14,7
15,8,-7,-12,11,1,12,21,31,47,29,26
22,19,-4,-21,13,7,16,28,37,66,48,50
26,28,1,-28,13,15,18,28,39,81,67,74
28,36,7,-32,10,22,15,15,35,87,85,91
29,41,12,-35,8,27,3,-13,25,84,98,98
30,44,15,-37,8,30,-14,-53,8,73,104,97
32,46,14,-39,9,30,-34,-95,-12,57,101,91
33,45,12,-39,10,29,-50,-130,-35,37,84,81
29,42,13,-36,8,27,-59,-153,-61,14,55,68
17,39,22,-29,-2,31,-62,-169,-91,-14,22,56
-2,37,39,-18,-20,38,-63,-183,-125,-49,-13,42
-26,31,56,-3,-40,43,-65,-199,-162,-92,-48,24
-47,20,67,13,-57,43,-70,-219,-194,-135,-79,0
-64,7,70,28,-67,38,-76,-238,-217,-170,-102,-25
-72,-7,65,40,-69,29,-83,-251,-230,-193,-120,-49
-73,-16,57,45,-65,20,-87,-254,-231,-201,-129,-64
-68,-20,49,44,-59,15,-89,-244,-224,-194,-130,-66
-62,-18,44,39,-53,13,-87,-225,-211,-178,-123,-56
-55,-14,41,34,-48,14,-83,-201,-197,-159,-113,-41
-51,-12,39,31,-45,14,-77,-177,-180,-140,-100,-28
-50,-12,37,31,-43,12,-71,-158,-163,-125,-88,-23
-47,-14,32,31,-39,9,-65,-145,-145,-114,-79,-25
-43,-16,26,30,-34,4,-61,-134,-127,-103,-72,-32
-36,-17,19,27,-28,0,-55,-121,-110,-92,-67,-37
-28,-16,13,21,-20,-1,-48,-104,-94,-78,-63,-36
-19,-11,9,15,-14,0,-39,-84,-80,-63,-57,-27
-12,-4,8,8,-9,2,-31,-63,-70,-48,-50,-13
-8,1,10,4,-8,5,-23,-46,-62,-37,-42,0
-8,4,12,2,-10,7,-19,-36,-56,-31,-36,6
-11,3,13,4,-12,7,-18,-35,-52,-31,-33,3
-14,-1,13,7,-13,5,-18,-39,-49,-34,-33,-7
-16,-5,10,11,-13,2,-18,-43,-45,-35,-34,-17
-15,-8,7,11,-10,0,-17,-42,-40,-33,-36,-22
-10,-7,3,8,-6,-1,-15,-35,-37,-28,-37,-20
-5,-4,1,4,-2,-1,-12,-26,-36,-22,-35,-11
-3,0,3,1,-2,1,-9,-16,-34,-16,-32,0
-3,3,6,0,-4,4,-8,-11,-33,-13,-28,7
-6,3,8,2,-7,5,-7,-11,-33,-14,-25,7
-10,0,8,6,-9,4,-8,-16,-31,-18,-25,-1
-11,-4,6,8,-8,1,-10,-22,-29,-21,-27,-13
-10,-7,2,9,-6,-2,-10,-25,-27,-22,-30,-20
-7,-8,0,7,-3,-3,-9,-22,-24,-19,-31,-20
-3,-5,-2,4,0,-3,-7,-14,-22,-13,-30,-12
0,-1,-1,0,0,-1,-5,-5,-20,-7,-27,0
0,1,1,-1,0,1,-4,1,-20,-3,-23,8
-2,2,3,0,-3,2,-3,1,-20,-3,-20,10
-4,0,4,2,-4,2,-4,-3,-19,-7,-19,3
-7,-3,4,5,-5,0,-6,-9,-18,-10,-20,-7
-7,-5,1,6,-4,-1,-7,-13,-16,-11,-22,-16
-4,-6,-1,5,-1,-3,-7,-13,-14,-9,-23,-18
0,-4,-3,2,1,-3,-5,-6,-12,-4,-23,-13
2,-1,-3,-1,2,-2,-4,2,-11,1,-21,-2
3,2,-1,-3,2,0,-2,8,-10,5,-18,8
2,4,1,-3,0,2,-2,11,-10,6,-15,13
0,4,3,-2,-1,3,-2,8,-9,4,-13,11
-3,1,3,0,-3,2,-4,2,-8,1,-13,1
-3,-1,1,2,-2,0,-5,-3,-7,-1,-14,-8
-1,-2,-1,1,0,-1,-5,-4,-5,0,-15,-12
1,-1,-2,0,1,-1,-4,0,-3,3,-15,-9
4,1,-2,-3,2,0,-2,8,-1,9,-13,0
6,5,-1,-5,3,2,-1,16,0,13,-10,11
6,7,1,-6,2,3,-1,20,0,16,-7,18
4,8,2,-6,1,4,-1,19,1,15,-5,18
4,6,1,-4,1,3,-2,13,1,11,-5,10
3,4,0,-3,2,2,-3,8,3,9,-5,1
