leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,1,1,0,0,0,0
-1,-1,0,1,-1,-1,2,4,1,-1,-1,0
-2,-3,-2,2,0,-3,3,6,2,-1,-2,-2
-2,-7,-5,4,1,-6,5,8,4,0,-2,-4
-3,-12,-10,7,3,-11,7,10,6,2,-1,-5
-3,-16,-14,9,5,-15,8,11,7,3,-1,-4
-3,-18,-15,10,6,-17,9,12,8,3,0,-3
-3,-17,-14,9,5,-16,8,12,7,2,-1,-1
-3,-14,-11,8,4,-13,7,11,5,1,-1,0
-3,-11,-8,6,3,-10,6,10,4,0,-2,-1
-3,-9,-7,6,2,-8,5,9,4,-1,-2,-2
-3,-10,-7,6,2,-9,6,10,4,0,-2,-4
-3,-13,-10,8,3,-11,7,11,6,1,-2,-4
-4,-16,-12,9,4,-14,9,13,7,3,-1,-4
-4,-17,-13,10,4,-16,9,14,8,3,0,-2
-4,-17,-12,10,4,-15,9,14,8,3,0,-1
-4,-14,-10,9,3,-13,9,13,7,2,0,0
-4,-11,-7,8,2,-10,8,12,6,1,0,0
-4,-9,-6,7,1,-8,7,12,5,0,-1,-1
-4,-10,-6,7,1,-8,6,11,5,0,-1,-2
-4,-12,-8,8,2,-11,6,11,5,1,-1,-3
-5,-16,-11,10,2,-14,7,12,6,1,-1,-3
-5,-18,-13,11,3,-16,7,12,7,1,-1,-3
-5,-19,-14,11,3,-17,8,12,7,1,-1,-2
-5,-17,-12,11,3,-15,7,12,6,0,-1,-1
-5,-14,-10,10,2,-12,6,11,5,0,-1,0
-5,-12,-8,9,2,-10,6,11,5,-1,-1,-1
-5,-12,-7,9,2,-10,5,10,4,-1,-1,-2
-5,-13,-8,9,2,-11,5,10,5,-1,-1,-3
-5,-16,-11,10,2,-13,6,11,5,0,-1,-3
-5,-18,-13,11,2,-15,6,11,6,0,-1,-3
-5,-19,-14,11,3,-16,6,11,6,1,-1,-2
-4,-18,-14,10,3,-16,6,11,6,1,-1,-1
-3,-15,-12,9,3,-13,5,10,6,1,0,0
-3,-12,-9,8,3,-11,4,11,7,1,0,0
-3,-9,-7,7,3,-9,4,11,9,2,1,0
-3,-8,-6,6,2,-8,5,12,12,4,2,1
-3,-9,-6,7,2,-8,5,13,15,7,3,1
-3,-10,-7,6,2,-9,4,12,18,9,4,2
-2,-11,-8,6,2,-10,2,9,19,11,6,4
-1,-11,-9,5,3,-10,-2,3,18,13,7,5
0,-10,-10,5,4,-11,-9,-6,15,13,8,6
1,-10,-12,4,7,-12,-18,-17,10,12,9,7
5,-10,-16,3,11,-13,-28,-32,4,12,11,7
9,-10,-20,1,15,-15,-41,-49,-2,12,14,8
16,-11,-27,-2,21,-19,-56,-68,-10,12,18,11
23,-10,-33,-6,27,-21,-70,-87,-16,16,25,15
31,-5,-36,-13,32,-20,-83,-102,-19,22,35,23
40,3,-37,-22,37,-17,-94,-113,-18,31,47,32
49,11,-37,-30,42,-13,-103,-122,-19,39,58,41
58,18,-40,-38,48,-11,-111,-129,-22,45,68,49
67,22,-45,-44,56,-11,-120,-136,-27,47,75,54
76,24,-53,-50,65,-14,-127,-141,-34,48,81,56
85,25,-60,-55,73,-17,-131,-143,-38,47,85,58
91,25,-66,-58,79,-21,-133,-143,-41,46,87,59
94,26,-69,-60,81,-22,-133,-142,-45,42,86,60
94,27,-67,-61,80,-20,-132,-142,-49,36,83,60
90,30,-60,-61,74,-16,-131,-142,-54,27,76,58
82,33,-49,-58,65,-9,-130,-142,-60,16,66,55
73,34,-39,-54,56,-3,-126,-140,-65,5,54,49
62,33,-30,-47,47,1,-118,-134,-66,-4,42,42
51,29,-23,-40,38,3,-108,-125,-66,-12,31,34
40,24,-17,-31,29,3,-94,-111,-62,-18,20,25
29,17,-13,-23,21,2,-78,-95,-57,-21,10,17
20,11,-10,-15,14,0,-64,-79,-50,-23,3,11
13,5,-9,-9,10,-2,-53,-65,-45,-24,-1,6
8,1,-8,-4,7,-4,-45,-55,-40,-25,-5,2
4,-1,-6,-1,4,-4,-38,-46,-35,-24,-7,0
1,-3,-4,1,2,-4,-31,-38,-30,-22,-8,-3
-1,-4,-4,3,1,-4,-26,-31,-26,-21,-9,-5
-3,-7,-4,5,0,-6,-21,-26,-22,-19,-10,-6
-5,-9,-4,7,0,-7,-16,-20,-18,-17,-10,-7
-6,-11,-5,9,-1,-8,-11,-15,-14,-14,-9,-7
-7,-11,-4,9,-2,-8,-7,-10,-10,-12,-7,-6
-7,-10,-3,8,-3,-7,-4,-5,-7,-10,-6,-4
-8,-7,0,7,-4,-4,-2,-2,-4,-8,-4,-2
-8,-5,2,6,-4,-2,0,0,-1,-6,-2,-1
-8,-3,3,5,-5,-1,1,2,0,-4,-1,0
-8,-3,4,5,-5,0,2,3,0,-3,-1,0
-7,-3,4,5,-5,0,3,4,1,-2,0,0
-7,-3,4,5,-5,0,4,5,2,-2,0,1
-7,-2,4,5,-6,0,4,6,2,-1,0,1
-7,-1,5,4,-7,1,5,7,3,-1,0,2
-8,0,7,4,-8,3,5,7,3,-1,0,3
-8,0,9,3,-8,4,6,8,3,-1,0,3
-8,1,10,3,-9,5,6,8,3,0,0,3
-8,1,10,3,-9,6,6,8,3,0,0,3
-8,1,9,3,-9,5,6,8,3,0,0,3
-9,0,9,4,-9,5,6,8,3,0,0,3
-9,0,9,4,-9,5,6,8,3,0,0,3
-9,0,10,4,-10,5,6,8,3,0,0,3
-10,1,11,4,-10,5,6,8,3,0,0,3
-10,1,11,4,-10,6,6,8,3,0,0,3
-10,2,12,4,-10,6,6,8,2,0,0,3
-10,2,12,4,-11,7,6,7,2,0,0,3
-10,2,12,4,-11,6,6,7,1,0,0,3
-10,1,11,5,-11,6,6,6,1,-1,0,3
-10,1,11,5,-11,6,5,6,0,-1,-1,3
-10,1,11,5,-11,6,5,6,0,-2,-1,2
-10,1,11,5,-11,6,5,5,0,-2,-2,2
-11,1,12,5,-11,6,5,5,0,-3,-2,2
-11,1,12,5,-12,6,5,5,0,-3,-2,2
-12,1,12,5,-12,6,5,5,-1,-3,-2,2
-12,0,12,5,-12,6,5,5,-1,-3,-2,2
-12,0,12,5,-12,6,5,5,-1,-3,-2,2
-12,0,12,6,-12,6,5,5,-1,-3,-3,2
-12,0,12,6,-12,6,5,4,-1,-3,-3,2
-12,0,12,7,-12,6,5,4,-2,-3,-3,2
-12,0,13,7,-12,6,5,4,-2,-3,-3,2
-13,0,13,7,-12,6,5,4,-2,-3,-3,2
-13,0,13,7,-13,6,4,4,-2,-3,-3,2
-14,0,13,7,-13,6,4,4,-2,-3,-3,2
-14,0,13,7,-13,7,4,4,-2,-3,-3,2
-13,0,14,7,-13,7,4,3,-2,-3,-3,2
-13,1,14,6,-13,7,3,3,-2,-3,-3,2
-13,1,15,6,-13,8,3,3,-3,-3,-3,2
-13,2,15,6,-13,8,3,3,-3,-3,-3,2
-13,2,15,6,-13,8,3,3,-4,-3,-3,2
-13,2,15,6,-13,8,3,2,-4,-3,-3,2
-13,2,15,5,-13,8,3,2,-4,-4,-3,2
-13,3,15,5,-13,9,3,2,-4,-4,-3,2
-12,3,16,4,-13,9,3,1,-4,-4,-3,2
-12,4,16,4,-13,10,2,0,-4,-4,-4,2
-12,4,17,3,-13,10,2,0,-5,-4,-4,2
-12,5,17,3,-14,11,1,0,-5,-4,-4,2
-11,5,17,3,-14,11,1,0,-5,-4,-4,2
-11,6,18,2,-14,12,1,0,-5,-4,-4,2
-11,6,18,2,-14,12,1,0,-5,-4,-4,3
-11,7,19,2,-14,13,1,0,-5,-4,-3,3
-12,7,19,2,-15,13,1,0,-5,-4,-3,3
-12,8,20,2,-15,14,1,0,-5,-4,-3,3
-12,8,20,2,-15,14,1,0,-5,-4,-3,3
-12,9,21,2,-16,14,1,0,-5,-4,-3,3
-12,9,21,2,-16,14,1,0,-6,-4,-3,3
-12,9,21,2,-17,15,1,0,-6,-4,-2,3
-12,10,22,1,-17,16,1,0,-6,-3,-2,4
-12,11,23,1,-18,17,1,0,-6,-3,-2,4
-12,12,24,0,-18,18,1,-1,-6,-2,-1,5
-12,13,25,0,-18,19,1,-1,-6,-1,-1,5
-12,14,26,0,-19,20,1,-1,-6,0,0,6
-12,15,27,-1,-19,21,1,-1,-6,0,0,6
-12,16,28,-1,-20,22,1,-1,-5,0,1,7
-13,16,29,-1,-21,23,1,-1,-5,1,1,7
-13,17,30,-2,-21,23,1,-1,-5,1,2,8
-13,18,31,-2,-22,24,1,-2,-5,2,2,8
-13,19,32,-3,-22,25,1,-2,-5,2,2,9
-13,19,33,-3,-23,26,0,-3,-5,2,2,9
-14,20,33,-3,-23,26,0,-3,-5,3,2,10
-15,20,34,-3,-24,27,0,-4,-5,3,2,10
-15,21,35,-3,-24,27,0,-4,-5,3,2,10
-16,21,36,-3,-25,28,0,-4,-5,3,2,11
-16,21,37,-3,-26,29,0,-4,-5,3,2,11
-16,22,38,-3,-26,29,0,-4,-5,3,2,11
-16,22,39,-3,-27,30,0,-4,-4,3,2,11
-16,23,40,-3,-27,31,0,-5,-4,4,2,11
-17,24,40,-3,-28,32,0,-5,-4,4,2,11
-17,25,41,-3,-29,33,0,-6,-4,5,2,11
-17,26,43,-4,-29,34,0,-6,-4,5,2,12
-18,26,44,-4,-30,35,0,-6,-4,6,2,12
-18,27,45,-4,-31,35,0,-6,-4,6,3,13
-18,27,46,-4,-31,36,0,-6,-4,6,3,13
-18,28,47,-4,-32,37,1,-7,-4,6,4,13
-19,28,48,-4,-33,37,1,-7,-4,6,4,14
-20,29,48,-4,-33,38,1,-7,-4,6,4,14
-20,30,49,-4,-34,39,1,-7,-4,7,4,14
-20,31,50,-5,-34,40,1,-7,-4,7,4,15
-20,31,51,-5,-35,41,2,-7,-4,7,4,15
-21,32,52,-5,-36,42,2,-7,-3,7,4,15
-21,32,53,-5,-37,42,2,-7,-3,7,4,16
-21,33,54,-5,-37,43,2,-7,-3,7,4,16
-21,33,54,-5,-38,44,2,-7,-3,8,5,16
-21,34,55,-5,-38,44,2,-7,-3,8,5,16
-21,34,55,-6,-38,45,2,-7,-2,8,5,16
-21,34,56,-6,-38,45,3,-7,-2,8,5,17
-21,35,56,-6,-38,45,3,-7,-2,8,5,17
