leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
11,29,17,-20,-2,23,20,15,16,18,20,3
30,75,44,-52,-6,60,53,39,41,48,52,12
42,103,60,-72,-8,81,72,53,55,65,71,28
49,118,69,-83,-9,93,83,62,63,74,82,48
52,128,75,-89,-11,101,90,68,69,80,88,67
53,134,80,-93,-13,107,93,70,72,85,92,76
54,138,83,-95,-14,110,95,71,73,87,94,71
56,141,84,-98,-14,113,95,71,73,88,95,54
58,144,86,-100,-14,115,95,70,73,88,95,34
59,146,87,-102,-14,117,94,71,72,89,96,22
60,148,88,-104,-13,118,93,72,72,90,97,22
61,151,88,-105,-13,120,92,74,73,88,96,34
62,152,89,-106,-13,120,92,74,73,87,95,50
61,151,89,-105,-14,120,91,74,71,88,95,61
61,150,89,-105,-14,119,90,74,69,88,94,58
61,149,89,-105,-14,119,90,73,68,86,92,42
61,149,89,-105,-14,119,89,72,68,84,90,22
61,150,89,-105,-14,120,89,72,67,84,89,5
62,150,89,-106,-14,120,88,72,65,82,88,-1
61,151,89,-106,-14,120,87,72,64,80,86,6
60,150,89,-105,-14,120,86,71,64,78,85,22
59,149,88,-104,-14,119,85,69,63,78,86,38
60,147,87,-103,-13,117,83,66,63,79,87,43
60,147,86,-103,-13,117,81,64,62,77,87,34
61,148,88,-104,-14,118,79,61,62,78,88,16
61,150,89,-106,-14,120,77,60,62,79,91,1
63,152,90,-107,-14,121,75,59,63,80,94,-3
64,154,90,-108,-13,122,74,59,64,81,99,9
65,157,91,-110,-14,124,74,58,66,85,106,33
65,161,95,-112,-15,128,73,57,67,88,111,56
64,164,100,-113,-18,132,70,53,66,91,114,69
64,166,103,-114,-20,134,67,46,64,93,116,67
63,167,105,-115,-21,136,64,39,59,94,116,52
62,168,107,-114,-23,137,62,31,52,94,111,29
58,169,110,-113,-26,139,60,22,42,92,102,8
54,170,115,-112,-31,142,57,13,29,86,90,-3
48,170,121,-109,-37,146,55,5,16,77,76,-4
41,169,127,-104,-44,148,51,-2,3,70,65,0
33,166,133,-99,-51,149,47,-7,-6,65,55,0
25,164,139,-94,-58,151,44,-11,-14,59,46,-10
18,162,144,-90,-63,153,41,-15,-19,53,39,-30
14,160,146,-86,-66,152,38,-17,-20,51,37,-51
12,157,145,-84,-67,150,37,-14,-16,51,38,-65
11,153,141,-82,-65,147,40,-8,-10,50,40,-67
13,150,136,-81,-62,143,43,-1,-2,51,43,-57
15,146,130,-81,-58,138,45,5,5,52,47,-40
18,141,122,-80,-53,132,48,12,14,52,49,-26
20,136,115,-78,-48,126,53,21,23,51,51,-22
