leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,2,3,0,-2,3,-3,0,-1,-2,8,-3
-3,8,11,-2,-8,10,-8,0,-5,-6,21,-11
-4,9,13,-3,-9,11,-11,2,-7,-9,30,-17
-3,-2,1,3,-2,-1,-7,8,-4,-6,39,-16
-4,-23,-19,13,7,-21,0,14,2,1,49,-9
-5,-42,-37,23,16,-40,8,17,10,9,56,-1
-6,-53,-47,29,20,-50,13,18,15,15,59,5
-7,-48,-40,27,16,-44,12,15,15,15,58,6
-8,-31,-22,20,7,-27,8,10,10,11,53,2
-8,-12,-3,10,-2,-8,2,7,3,4,48,-5
-6,1,8,3,-7,4,-2,7,-1,-2,44,-12
-4,-1,2,3,-3,0,-3,11,-2,-3,44,-13
-2,-17,-15,10,6,-16,0,16,2,0,48,-9
-2,-36,-34,19,15,-35,3,20,8,6,52,-2
-3,-49,-46,25,21,-48,7,21,13,12,54,4
-4,-50,-45,27,20,-48,7,18,14,13,53,7
-5,-37,-31,22,12,-34,2,12,10,10,49,4
-6,-19,-12,13,3,-15,-4,7,4,3,43,-3
-6,-3,3,6,-4,0,-9,5,-1,-4,39,-10
-3,0,4,2,-3,2,-10,7,-3,-7,38,-13
0,-11,-11,6,5,-11,-6,12,0,-4,41,-10
0,-29,-30,14,15,-29,-1,15,5,2,46,-3
0,-44,-44,21,21,-44,3,17,11,9,48,3
-2,-50,-48,26,21,-49,5,16,14,12,48,7
-3,-43,-38,23,16,-40,2,12,11,10,43,6
-3,-26,-21,15,8,-23,-3,7,5,4,37,0
-2,-9,-5,7,1,-7,-8,4,-1,-3,33,-7
-2,-1,2,2,-1,0,-10,3,-5,-7,31,-11
-2,-8,-7,5,3,-7,-8,6,-4,-6,33,-10
-2,-25,-23,13,11,-24,-2,9,1,0,38,-5
-4,-41,-38,22,16,-40,2,10,6,5,41,1
-4,-50,-46,27,19,-48,5,10,9,9,42,6
-4,-45,-40,25,17,-43,3,7,8,9,40,7
-3,-29,-25,17,10,-27,-2,4,2,4,34,2
-4,-13,-8,10,2,-11,-8,1,-4,-3,29,-5
-6,-4,2,6,-3,-1,-11,1,-9,-10,25,-12
-7,-8,-2,8,-1,-6,-10,4,-9,-11,25,-14
-5,-22,-18,13,7,-21,-5,9,-4,-7,29,-9
-2,-36,-35,18,16,-36,0,13,2,0,34,-2
-3,-47,-44,23,20,-46,4,15,6,5,36,4
-4,-47,-41,25,17,-44,5,14,7,7,36,6
-5,-33,-27,19,10,-30,1,10,4,4,31,4
-5,-16,-9,12,2,-13,-4,6,0,-2,27,-1
-5,-4,3,6,-3,0,-8,4,-5,-8,23,-8
-6,-3,3,5,-3,0,-9,4,-7,-11,22,-12
-6,-16,-11,11,3,-13,-7,7,-5,-9,24,-11
-5,-33,-29,18,12,-31,-2,9,-1,-4,26,-6
-4,-45,-42,23,18,-44,1,10,3,1,28,0
-4,-50,-46,25,19,-48,3,10,5,4,29,3
-5,-41,-35,23,14,-39,1,6,3,2,25,2
-5,-25,-19,16,6,-22,-3,2,-1,-3,20,-3
-4,-10,-5,8,1,-7,-6,0,-6,-10,16,-9
-2,-3,0,4,0,-1,-7,0,-9,-13,14,-13
-1,-11,-10,6,5,-10,-5,2,-8,-12,16,-13
-1,-26,-26,13,13,-26,-1,5,-3,-7,20,-8
-1,-39,-40,18,18,-39,3,6,1,-1,22,-2
-1,-46,-45,22,20,-46,5,7,4,2,23,2
-3,-41,-37,22,15,-39,4,4,4,2,22,3
-5,-27,-20,17,6,-24,1,1,0,-1,18,0
