leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,0,-2,0,2,-1,0,0,0,-1,-1,-1
5,0,-5,-2,5,-3,-1,0,-2,-3,-3,-3
7,1,-6,-4,7,-3,-2,0,-3,-5,-5,-5
8,1,-7,-5,7,-3,-3,0,-4,-6,-5,-7
7,-1,-8,-3,8,-4,-2,0,-4,-6,-5,-7
6,-4,-10,-1,8,-7,0,2,-2,-4,-3,-5
5,-7,-12,0,9,-10,3,4,0,-2,0,-3
5,-9,-14,1,10,-12,4,5,2,-1,1,-2
6,-9,-15,1,11,-12,3,5,1,-1,0,-2
6,-7,-14,0,10,-10,2,3,-1,-3,-2,-4
8,-2,-12,-3,10,-7,0,2,-2,-5,-4,-5
10,1,-10,-6,10,-5,0,1,-3,-6,-5,-6
9,1,-9,-6,10,-4,0,0,-3,-6,-5,-6
8,-2,-11,-4,10,-6,1,1,-2,-5,-4,-5
7,-6,-13,-1,10,-10,2,2,-1,-4,-3,-5
4,-10,-14,2,9,-12,2,3,-1,-4,-2,-4
3,-11,-14,3,8,-13,2,2,-1,-4,-3,-5
4,-9,-13,2,8,-11,0,1,-3,-6,-4,-6
6,-4,-12,-2,9,-8,0,0,-4,-7,-5,-6
8,0,-11,-5,9,-6,-1,0,-4,-7,-6,-7
8,0,-10,-5,9,-5,-1,-1,-5,-8,-6,-7
7,-2,-11,-3,9,-7,0,-1,-4,-7,-5,-7
5,-7,-12,0,9,-10,0,0,-3,-6,-4,-6
4,-10,-13,2,10,-12,2,1,-2,-5,-3,-5
4,-10,-13,2,10,-12,3,2,-1,-4,-2,-5
5,-8,-13,1,9,-11,2,1,-2,-5,-3,-5
5,-6,-11,0,8,-9,0,0,-3,-6,-5,-6
5,-4,-10,-1,7,-7,-1,-1,-5,-8,-6,-7
5,-3,-10,-2,7,-7,-2,-2,-6,-9,-7,-8
7,-3,-11,-2,9,-7,-1,-2,-6,-8,-7,-7
8,-4,-12,-3,10,-8,0,-1,-5,-7,-5,-6
8,-5,-13,-2,11,-10,1,0,-4,-5,-3,-5
7,-7,-14,-1,11,-11,1,0,-3,-5,-3,-4
7,-7,-14,0,11,-11,1,0,-4,-5,-3,-5
7,-6,-13,-1,10,-10,0,-1,-5,-6,-4,-6
7,-4,-12,-2,9,-8,0,-2,-5,-7,-5,-6
7,-3,-11,-2,9,-7,-1,-2,-6,-8,-6,-7
6,-3,-11,-2,8,-7,-2,-3,-6,-8,-6,-7
5,-5,-11,-1,8,-8,-1,-2,-5,-7,-5,-7
5,-6,-12,0,9,-9,0,-1,-4,-6,-4,-6
5,-7,-12,0,9,-10,0,-1,-4,-5,-3,-5
6,-6,-11,-1,9,-9,0,-1,-3,-5,-3,-4
7,-5,-11,-2,9,-9,0,-1,-3,-5,-3,-5
7,-4,-11,-2,9,-8,0,-1,-3,-6,-4,-5
7,-3,-11,-2,9,-8,-1,-2,-4,-6,-5,-6
7,-3,-11,-2,9,-8,-1,-3,-4,-6,-6,-7
7,-3,-11,-2,9,-8,-1,-2,-4,-6,-5,-6
6,-5,-11,-1,9,-9,0,-2,-4,-5,-4,-6
4,-7,-11,0,8,-10,0,-2,-4,-5,-4,-6
4,-6,-11,0,7,-9,0,-1,-4,-5,-3,-5
6,-4,-10,-2,7,-8,0,-1,-4,-5,-3,-5
6,-2,-10,-3,7,-7,0,-1,-4,-5,-4,-5
5,-2,-9,-2,7,-7,-1,-2,-5,-6,-5,-5
5,-2,-9,-2,7,-7,-1,-3,-5,-6,-5,-6
7,-2,-9,-3,8,-7,-1,-3,-5,-6,-5,-6
7,-3,-9,-2,8,-7,-1,-3,-5,-6,-5,-6
5,-5,-9,0,7,-8,-1,-3,-5,-6,-5,-6
5,-6,-10,0,8,-8,0,-2,-4,-5,-4,-6
5,-5,-11,-1,8,-8,0,-2,-3,-4,-3,-5
5,-5,-11,-1,8,-8,0,-2,-3,-4,-3,-5
6,-3,-10,-2,8,-8,-1,-2,-4,-4,-3,-5
7,-1,-10,-4,8,-7,-1,-2,-4,-4,-3,-5
7,-1,-9,-4,8,-7,-1,-2,-4,-4,-3,-5
5,-4,-9,-2,8,-8,-1,-3,-5,-4,-3,-5
3,-6,-9,0,7,-8,-1,-3,-5,-4,-3,-5
3,-8,-10,1,7,-9,-1,-3,-4,-4,-3,-4
3,-7,-10,1,7,-9,-1,-3,-4,-3,-3,-4
4,-6,-10,0,7,-8,-1,-3,-4,-4,-4,-5
4,-5,-10,0,7,-8,-2,-3,-5,-5,-5,-5
4,-4,-9,0,6,-8,-2,-4,-5,-5,-5,-6
6,-2,-9,-2,7,-7,-2,-3,-5,-5,-5,-6
6,-2,-9,-3,8,-6,-1,-3,-5,-5,-4,-5
5,-4,-9,-1,7,-7,-1,-3,-5,-5,-4,-5
4,-5,-9,0,7,-7,-1,-3,-5,-5,-4,-5
5,-5,-9,0,7,-7,-1,-3,-4,-4,-4,-5
6,-4,-9,-1,7,-7,-1,-3,-4,-4,-4,-5
8,-2,-10,-3,8,-7,-1,-3,-4,-4,-4,-5
9,0,-10,-5,9,-6,-1,-3,-5,-4,-4,-5
9,0,-10,-5,9,-6,-2,-3,-5,-4,-4,-5
7,-1,-10,-3,8,-7,-2,-3,-5,-4,-4,-6
6,-3,-10,-2,8,-7,-2,-3,-5,-4,-4,-5
6,-3,-10,-2,8,-7,-2,-3,-5,-4,-3,-5
6,-3,-9,-2,8,-6,-2,-3,-5,-4,-3,-4
4,-4,-8,0,7,-6,-3,-4,-5,-4,-4,-4
3,-4,-7,0,5,-7,-3,-5,-6,-4,-4,-5
4,-3,-7,0,5,-7,-3,-5,-5,-4,-4,-5
4,-2,-7,-1,6,-6,-3,-4,-5,-4,-4,-5
5,-2,-7,-2,6,-6,-3,-4,-5,-4,-4,-5
5,-2,-8,-2,7,-6,-3,-4,-5,-4,-4,-5
5,-3,-8,-1,7,-6,-2,-3,-5,-4,-4,-5
6,-3,-9,-2,8,-6,-2,-3,-5,-3,-3,-4
7,-2,-9,-2,8,-6,-2,-3,-4,-3,-3,-4
7,-1,-8,-3,8,-5,-2,-3,-4,-3,-3,-4
7,-1,-8,-3,7,-5,-2,-3,-4,-3,-3,-4
7,0,-8,-4,7,-5,-2,-3,-4,-3,-3,-4
8,0,-8,-5,8,-4,-2,-3,-3,-3,-3,-4
9,1,-8,-6,8,-4,-2,-3,-3,-2,-3,-4
7,0,-7,-5,8,-4,-3,-3,-4,-3,-3,-4
6,-1,-7,-3,7,-5,-3,-4,-4,-3,-4,-5
5,-2,-7,-2,7,-5,-3,-5,-4,-3,-4,-5
5,-2,-7,-2,7,-5,-3,-4,-4,-3,-3,-5
5,-2,-7,-2,7,-5,-3,-4,-4,-3,-3,-5
5,-2,-7,-2,7,-5,-3,-4,-4,-3,-3,-5
5,-1,-7,-3,7,-5,-3,-4,-4,-3,-3,-4
6,-1,-7,-3,7,-5,-3,-4,-3,-3,-2,-4
6,-1,-7,-3,7,-5,-3,-3,-3,-3,-2,-4
6,0,-7,-3,7,-5,-3,-3,-3,-3,-2,-4
6,0,-7,-3,7,-4,-3,-3,-3,-3,-2,-4
6,-1,-7,-3,7,-4,-3,-4,-4,-3,-3,-4
5,-1,-7,-2,6,-4,-3,-4,-4,-3,-3,-4
5,-1,-7,-2,6,-5,-3,-4,-4,-3,-3,-4
6,-1,-7,-2,6,-5,-4,-4,-4,-3,-4,-4
6,-1,-8,-2,7,-5,-4,-4,-4,-4,-4,-5
7,0,-7,-3,7,-4,-4,-4,-4,-4,-4,-5
6,0,-6,-3,6,-4,-4,-4,-4,-3,-3,-5
6,1,-5,-4,6,-3,-4,-4,-3,-3,-3,-4
6,1,-5,-4,6,-3,-4,-5,-4,-3,-3,-4
7,2,-4,-5,6,-2,-4,-5,-4,-3,-3,-4
7,3,-4,-5,6,-2,-4,-4,-4,-2,-3,-4
7,2,-5,-4,6,-2,-4,-4,-4,-2,-3,-4
