leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,1,1,0,0,0
0,1,1,0,-1,1,0,2,2,2,1,-1
-1,1,1,0,-1,1,-1,2,3,2,0,-2
-1,1,2,0,-2,1,-1,1,3,1,-2,-4
-1,1,2,0,-2,1,-1,1,2,0,-5,-5
-1,1,2,0,-2,1,-1,2,2,-1,-7,-6
-1,1,2,0,-2,1,-1,2,1,-2,-8,-7
-1,1,2,0,-2,1,0,2,1,-2,-8,-7
-1,1,2,0,-2,1,0,3,1,-2,-6,-7
-1,1,1,0,-2,1,0,3,1,-1,-5,-6
-1,1,1,0,-2,1,-1,2,1,0,-4,-6
-1,1,1,0,-2,1,-1,2,1,0,-4,-6
-1,1,1,0,-2,1,-1,2,1,-1,-6,-7
-1,1,1,0,-1,1,-1,2,0,-2,-8,-7
0,1,0,-1,-1,1,-1,2,0,-3,-9,-8
1,1,0,-1,0,1,-1,2,0,-4,-9,-8
1,1,0,-1,0,1,-1,2,0,-3,-8,-8
0,1,0,0,-1,1,-1,2,1,-2,-6,-7
-1,1,2,0,-2,2,0,3,1,-1,-4,-6
-1,2,2,0,-2,2,0,3,1,0,-3,-6
0,2,1,0,-2,1,0,2,1,0,-4,-6
-1,1,1,0,-1,1,0,2,1,-1,-5,-6
-1,0,1,0,-2,1,0,3,2,-1,-6,-6
-2,0,2,1,-2,1,0,3,2,-1,-6,-6
-2,0,1,1,-2,1,0,3,2,-1,-6,-6
-1,0,0,1,-1,0,0,3,2,-1,-5,-6
0,0,0,0,-1,0,0,3,2,-1,-4,-6
0,0,0,0,0,0,0,3,2,0,-3,-6
0,0,0,0,0,0,0,2,2,0,-3,-6
-1,0,0,0,-1,0,0,2,2,-1,-4,-6
-1,0,1,1,-1,0,0,2,2,-1,-5,-6
-1,0,1,1,-1,0,0,2,2,-1,-5,-6
-1,0,1,1,-1,0,0,2,2,-2,-6,-6
-1,0,0,1,-1,0,0,2,2,-2,-5,-7
-1,-1,0,1,-1,0,0,2,2,-2,-4,-7
-1,-1,0,1,-1,0,0,2,2,-1,-3,-7
-1,0,0,1,-1,0,0,2,2,-1,-3,-7
0,0,0,0,-1,0,0,2,2,-1,-3,-7
0,0,0,0,0,0,0,2,2,-1,-3,-7
0,0,0,0,0,0,0,2,2,-1,-3,-7
0,0,0,0,0,0,-1,2,2,-1,-3,-7
0,0,0,0,0,0,-1,2,2,-1,-3,-6
-1,-1,0,1,0,-1,-1,2,2,-1,-3,-6
-1,-1,0,1,0,-1,-1,2,1,-1,-2,-6
-1,0,0,1,0,0,-1,2,1,-1,-3,-6
-1,0,0,0,0,0,-1,2,0,-2,-3,-6
-1,0,0,0,0,0,-1,2,0,-2,-3,-6
-1,0,0,0,0,0,-1,2,0,-2,-3,-6
0,0,0,0,0,0,-1,2,0,-2,-3,-6
0,0,-1,0,0,0,-1,2,0,-2,-3,-6
0,-1,-1,0,0,-1,-1,2,0,-2,-3,-6
0,-1,-1,0,0,-1,-1,2,1,-1,-2,-6
0,-1,-1,0,0,-1,-1,2,1,-1,-1,-6
-1,-1,0,0,0,0,-1,2,1,-1,-1,-6
-1,-1,0,1,-1,0,-1,2,1,-1,-1,-6
-1,-1,0,1,0,-1,-1,2,1,-1,-1,-6
0,-1,0,1,0,-1,-1,2,1,-1,-1,-6
0,-1,0,1,0,-1,-1,2,1,-1,-2,-6
-1,-1,0,1,0,-1,-1,2,1,-1,-2,-6
-1,-2,0,2,0,-1,-1,2,1,-1,-2,-6
-1,-2,0,2,-1,-1,-1,2,1,-1,-2,-6
-1,-1,0,2,-1,-1,-1,2,1,-1,-2,-6
-1,-1,0,1,0,-1,-1,2,1,-1,-2,-6
-1,-1,0,1,0,-1,-1,2,1,-1,-2,-5
-1,-1,0,1,-1,0,-1,3,1,-1,-2,-5
-1,0,1,1,-1,0,-1,3,1,0,-1,-4
-1,0,1,1,-1,0,-1,3,1,0,-1,-4
-1,-1,1,1,-1,0,-1,3,1,0,-1,-4
-1,-1,1,1,-1,0,-1,3,1,0,-1,-4
-1,0,1,1,-1,0,-1,3,1,0,-1,-4
-1,0,0,1,-1,0,-1,3,1,0,-2,-4
-1,-1,0,2,-1,-1,-1,3,1,0,-2,-4
-1,-1,0,2,-1,-1,-1,2,1,0,-1,-4
-1,-1,0,1,0,-1,-1,2,1,0,-1,-4
0,0,0,1,0,0,-1,2,1,0,-1,-4
0,0,0,0,0,0,-1,2,2,0,-1,-4
0,0,0,0,0,0,-1,2,2,0,-1,-4
-1,0,0,0,-1,0,-1,2,2,0,-1,-4
-2,0,1,0,-1,0,-1,2,2,0,-2,-5
-2,0,0,1,-1,0,-1,2,2,0,-2,-5
-1,-1,0,1,-1,0,-1,2,2,0,-2,-5
-1,0,0,1,-1,0,-1,2,2,0,-2,-5
-1,0,0,1,-1,0,-1,2,2,0,-2,-5
-2,-1,1,1,-2,0,-1,2,2,0,-2,-5
-3,-1,1,2,-2,0,-1,2,2,0,-2,-5
-2,-1,1,1,-1,0,-1,2,1,0,-2,-5
-2,-1,0,1,-1,0,-1,2,1,0,-2,-5
-1,-1,0,1,-1,0,-1,2,1,0,-2,-5
-1,-1,0,1,-1,0,-1,2,1,0,-2,-5
-1,-1,0,1,-1,0,-1,2,1,0,-2,-5
-1,0,0,1,-1,0,-1,2,1,0,-2,-5
-1,0,0,1,-1,0,-1,2,1,0,-2,-5
-1,-1,0,1,-1,-1,-1,2,1,0,-2,-5
-1,-1,0,1,-1,-1,0,3,2,1,-2,-5
-1,-1,0,1,-1,-1,0,4,4,2,-1,-4
-2,-1,1,2,-2,0,2,6,6,4,0,-3
-3,-2,1,3,-2,0,5,9,9,6,1,-2
-5,-3,2,4,-3,0,8,11,11,8,3,-1
-7,-3,3,5,-5,0,12,14,13,9,4,0
-9,-3,4,6,-6,0,16,16,15,11,5,0
-8,-4,3,6,-6,-1,22,19,17,11,5,0
-6,-4,0,5,-3,-3,31,21,18,12,5,-1
-3,-5,-3,4,0,-5,42,23,20,12,4,-3
1,-5,-6,2,4,-6,56,25,21,11,2,-5
6,-4,-11,0,8,-8,70,26,21,10,0,-8
12,-3,-15,-4,14,-9,84,26,21,9,-3,-11
20,0,-20,-10,20,-9,95,24,19,5,-7,-15
28,5,-25,-16,26,-10,103,20,15,1,-12,-20
