leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
8,9,0,-8,4,4,2,6,7,7,6,5
25,26,0,-25,12,13,7,18,20,19,17,14
36,36,0,-36,18,18,9,25,27,26,24,20
36,35,-1,-35,18,17,8,27,29,29,26,21
24,21,-2,-22,13,9,2,24,27,27,23,18
3,0,-3,-2,3,-1,-5,19,21,21,18,13
-18,-19,-2,19,-8,-10,-13,13,16,16,13,7
-35,-35,0,35,-17,-17,-18,9,13,13,10,4
-47,-45,1,46,-24,-21,-21,6,11,11,9,2
-55,-52,1,53,-28,-25,-24,4,9,10,8,0
-62,-60,2,61,-32,-29,-27,1,6,8,6,-1
-69,-68,2,68,-36,-33,-31,-2,2,5,3,-3
-74,-73,2,73,-38,-36,-33,-5,0,3,2,-5
-74,-73,1,74,-38,-36,-35,-6,-1,2,2,-5
-71,-70,1,71,-36,-35,-35,-5,-1,3,3,-4
-66,-65,1,66,-34,-32,-34,-3,1,5,6,-1
-61,-60,1,60,-32,-29,-33,0,4,7,7,0
-57,-55,1,56,-30,-26,-33,2,5,8,9,1
-54,-53,1,53,-28,-25,-32,2,6,9,10,2
-53,-52,0,53,-27,-26,-32,1,5,10,10,3
-52,-51,1,52,-27,-25,-32,1,5,11,12,4
-49,-48,2,49,-25,-23,-31,2,6,12,13,6
-43,-42,2,43,-22,-20,-29,3,7,13,15,8
-35,-35,1,35,-18,-16,-28,5,8,14,17,10
-27,-27,0,27,-14,-13,-26,5,10,16,19,12
-23,-23,0,23,-12,-11,-25,5,10,16,20,13
-23,-23,0,24,-11,-12,-26,3,8,16,19,13
-25,-26,0,26,-12,-13,-27,0,6,14,18,12
-28,-29,0,29,-13,-14,-28,-1,5,14,18,11
-30,-30,0,30,-14,-14,-29,-3,4,13,17,10
-31,-30,1,30,-15,-14,-30,-4,3,12,17,10
-29,-28,0,29,-15,-13,-30,-5,3,11,16,9
-27,-26,0,27,-14,-12,-30,-5,2,10,15,9
-27,-24,2,26,-15,-10,-29,-5,2,10,15,10
-28,-23,3,26,-16,-10,-28,-6,1,9,14,10
-29,-26,3,27,-17,-11,-28,-7,-1,7,12,9
-33,-30,3,32,-18,-13,-29,-9,-5,4,10,7
-40,-36,4,38,-22,-16,-30,-12,-8,2,7,5
-46,-42,4,44,-25,-18,-32,-16,-12,-1,4,3
-48,-45,3,47,-26,-20,-34,-20,-15,-5,1,0
-46,-45,1,46,-24,-21,-35,-22,-17,-7,-1,-2
-44,-43,0,44,-22,-21,-35,-23,-18,-9,-3,-3
-43,-41,1,42,-23,-20,-34,-23,-19,-10,-5,-4
-43,-42,1,43,-23,-20,-33,-24,-20,-11,-7,-5
-44,-44,0,44,-23,-22,-33,-26,-22,-14,-9,-7
-45,-46,0,46,-23,-22,-33,-28,-24,-16,-11,-9
-46,-46,0,46,-23,-22,-32,-28,-25,-18,-13,-10
-46,-45,1,46,-23,-21,-31,-29,-26,-20,-15,-11
-44,-44,0,45,-22,-21,-30,-29,-27,-21,-16,-12
-43,-43,0,44,-22,-21,-30,-30,-28,-22,-18,-14
