leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
7,2,-4,-4,6,-1,-1,-1,0,1,-2,-3
18,5,-12,-11,15,-3,-2,-4,-1,2,-5,-9
24,6,-17,-14,21,-5,-4,-6,-2,1,-8,-13
28,6,-22,-16,25,-8,-6,-8,-3,0,-10,-16
32,7,-25,-19,28,-8,-6,-9,-3,0,-11,-18
36,11,-25,-23,30,-7,-5,-9,-2,0,-11,-17
37,12,-25,-25,31,-6,-5,-9,-2,0,-11,-17
37,12,-24,-24,30,-6,-5,-10,-2,0,-11,-17
36,12,-24,-23,30,-6,-5,-10,-2,0,-11,-17
35,12,-23,-23,29,-5,-4,-10,-1,0,-11,-17
35,12,-23,-23,29,-5,-4,-10,-1,0,-12,-17
35,12,-24,-23,30,-5,-4,-10,-1,0,-13,-18
35,11,-24,-23,30,-5,-4,-11,-1,0,-13,-18
35,11,-23,-23,29,-5,-4,-11,-1,0,-14,-18
34,11,-22,-23,28,-5,-4,-11,-1,0,-14,-19
34,11,-22,-22,28,-6,-4,-11,-1,0,-14,-19
33,11,-22,-22,28,-5,-4,-11,-1,0,-14,-19
33,11,-22,-22,28,-5,-4,-11,-1,0,-14,-19
34,11,-23,-23,29,-6,-4,-11,-1,1,-14,-19
35,11,-24,-23,29,-6,-4,-11,-1,1,-14,-19
34,10,-24,-22,30,-7,-4,-11,-1,1,-14,-19
33,9,-24,-21,29,-8,-4,-11,-1,1,-14,-19
32,9,-24,-20,28,-8,-4,-11,0,1,-14,-19
32,9,-23,-20,28,-8,-3,-11,0,1,-13,-19
31,8,-23,-20,28,-8,-3,-10,0,2,-13,-18
31,8,-23,-20,28,-8,-3,-10,1,2,-13,-18
32,9,-23,-20,28,-7,-2,-10,1,2,-13,-18
32,9,-22,-20,27,-6,-2,-10,1,2,-13,-18
31,9,-21,-20,26,-6,-1,-10,1,2,-13,-18
30,9,-20,-19,25,-5,-1,-10,1,2,-13,-18
29,9,-19,-19,24,-5,-1,-10,1,2,-12,-18
29,10,-19,-19,24,-4,-1,-10,1,2,-13,-18
29,10,-19,-19,24,-4,-1,-10,1,2,-13,-18
29,10,-19,-19,24,-4,0,-10,1,2,-13,-18
30,10,-19,-20,24,-4,0,-10,2,2,-12,-17
30,10,-19,-20,24,-4,0,-10,2,3,-12,-17
30,10,-19,-20,24,-4,-1,-10,2,3,-12,-17
30,10,-20,-20,25,-5,-1,-10,2,3,-12,-17
31,10,-21,-20,26,-5,-1,-10,2,3,-12,-18
32,10,-21,-21,27,-5,-1,-10,2,3,-13,-18
32,10,-21,-21,27,-5,-1,-10,2,4,-13,-18
32,10,-21,-21,27,-5,-1,-9,2,4,-12,-17
31,10,-21,-21,26,-5,0,-8,3,4,-12,-17
29,9,-19,-19,24,-5,0,-8,4,4,-11,-16
27,9,-18,-18,23,-4,0,-8,4,4,-11,-16
27,8,-18,-17,22,-4,0,-8,4,4,-11,-16
26,8,-17,-16,22,-4,0,-9,3,4,-12,-16
25,7,-16,-16,21,-4,0,-9,3,4,-12,-16
24,7,-15,-15,20,-3,0,-8,3,4,-11,-16
22,8,-13,-15,18,-2,1,-8,4,5,-11,-15
22,8,-12,-15,17,-1,1,-8,4,5,-11,-15
22,9,-11,-15,17,-1,1,-8,4,5,-11,-15
21,8,-11,-14,16,-1,0,-8,3,5,-11,-15
19,6,-11,-12,15,-1,0,-8,3,4,-12,-16
18,6,-11,-12,15,-1,0,-8,3,4,-11,-16
21,9,-11,-15,16,0,1,-6,4,6,-10,-14
23,12,-11,-17,17,0,2,-5,5,7,-9,-14
24,12,-11,-18,18,0,1,-6,5,6,-9,-14
23,11,-12,-17,18,-1,1,-6,4,5,-10,-15
22,9,-12,-16,18,-2,0,-6,4,5,-10,-15
22,8,-13,-15,18,-2,0,-6,4,4,-10,-15
23,9,-13,-15,18,-2,0,-5,5,5,-10,-14
22,10,-12,-15,17,0,1,-3,6,6,-8,-13
20,10,-10,-14,15,0,2,-2,6,7,-8,-12
18,9,-9,-14,14,0,2,-2,5,7,-8,-12
17,9,-8,-14,13,0,2,-2,5,7,-8,-12
18,9,-8,-14,13,0,2,-3,5,7,-8,-12
18,9,-8,-14,14,0,2,-3,5,7,-8,-12
18,9,-8,-14,14,0,2,-4,4,6,-8,-12
19,9,-9,-14,14,0,1,-4,4,6,-8,-12
19,9,-9,-14,15,0,1,-4,4,6,-8,-11
20,10,-9,-14,15,0,1,-4,4,6,-8,-11
19,10,-9,-14,14,0,1,-3,4,6,-7,-11
17,9,-7,-13,12,1,1,-3,4,6,-7,-10
15,9,-5,-12,11,1,1,-2,4,7,-6,-10
15,9,-5,-12,11,1,1,-3,4,7,-7,-10
15,8,-6,-12,11,1,1,-3,3,6,-7,-10
15,8,-6,-12,11,1,1,-3,3,6,-7,-10
14,8,-5,-11,10,2,1,-3,4,7,-6,-9
14,9,-4,-12,9,3,2,-2,5,7,-5,-8
15,11,-4,-13,10,4,2,-2,5,7,-5,-7
15,11,-4,-13,10,3,1,-2,5,7,-5,-7
15,10,-4,-13,9,3,1,-2,4,7,-6,-7
15,10,-3,-13,9,3,1,-2,4,7,-6,-7
14,10,-3,-13,9,4,1,-1,4,7,-5,-7
14,11,-2,-13,8,5,1,-1,4,8,-5,-6
13,12,-1,-13,7,6,2,0,5,8,-4,-5
13,12,0,-13,7,6,2,0,5,8,-3,-5
13,12,-1,-13,7,6,1,0,5,7,-3,-5
13,12,-1,-13,7,6,1,0,4,7,-3,-5
13,12,0,-14,7,6,1,0,4,8,-3,-5
13,13,0,-14,6,6,1,0,4,8,-3,-5
12,12,0,-13,6,6,1,0,4,8,-3,-5
12,12,0,-13,6,7,1,0,4,8,-3,-5
14,13,0,-14,7,7,1,0,4,8,-3,-4
15,14,0,-14,8,7,1,0,5,8,-2,-4
15,14,0,-14,8,7,1,0,5,8,-2,-4
14,13,0,-13,7,7,1,0,5,8,-3,-4
13,11,0,-12,6,6,0,0,4,8,-3,-4
13,12,0,-13,7,6,1,1,5,8,-3,-3
16,15,0,-16,8,8,2,2,6,10,-1,-2
17,17,0,-18,9,9,2,3,7,11,0,0
16,17,1,-17,8,9,3,4,8,12,0,0
14,17,4,-16,6,10,4,5,9,13,1,2
12,17,6,-15,4,11,5,6,11,15,2,3
11,17,7,-14,2,12,6,6,11,16,3,4
10,17,7,-14,2,13,7,7,12,16,4,4
10,16,7,-14,2,12,7,7,12,16,4,4
10,16,6,-14,2,11,7,7,12,16,3,4
10,15,5,-13,2,11,7,7,12,15,3,4
10,15,5,-13,3,10,7,6,11,15,3,4
11,14,3,-13,4,9,6,5,10,14,2,3
12,14,2,-13,5,9,5,4,9,13,1,2
11,13,2,-12,5,8,5,3,8,12,0,1
11,12,1,-12,5,7,4,2,7,11,0,0
12,11,0,-12,7,6,4,2,6,10,-1,0
13,11,-2,-13,8,4,3,1,5,9,-2,0
14,10,-3,-13,9,3,3,1,5,8,-2,-1
14,10,-4,-13,9,3,3,1,4,6,-3,-1
15,10,-5,-13,10,2,2,0,3,5,-4,-2
16,9,-6,-13,11,2,2,0,3,4,-5,-3
17,9,-7,-13,12,1,1,0,2,3,-6,-3
17,9,-8,-13,12,1,1,0,2,2,-6,-4
17,9,-8,-13,13,0,0,0,1,2,-6,-4
19,9,-10,-14,15,0,0,-1,1,2,-7,-4
20,8,-12,-15,16,-1,-1,-2,0,1,-8,-5
20,8,-13,-15,17,-2,-1,-2,0,1,-8,-6
20,7,-13,-14,17,-2,-1,-3,-1,0,-8,-6
20,7,-14,-14,17,-3,-2,-3,-1,0,-9,-7
21,6,-14,-14,18,-3,-2,-4,-2,-1,-9,-7
22,6,-15,-15,19,-3,-2,-4,-2,-1,-9,-7
22,6,-14,-15,18,-3,-3,-4,-2,-1,-9,-7
22,6,-14,-15,18,-3,-3,-4,-2,-1,-9,-7
23,7,-14,-16,18,-3,-4,-4,-2,-1,-8,-7
24,9,-14,-17,18,-2,-4,-4,-1,0,-8,-7
24,9,-14,-16,18,-2,-5,-5,-1,-1,-8,-7
23,8,-14,-15,18,-2,-6,-7,-2,-1,-9,-7
23,8,-14,-15,19,-2,-6,-8,-3,-2,-9,-8
24,9,-14,-16,19,-2,-6,-8,-3,-2,-9,-8
24,9,-14,-17,19,-1,-5,-8,-3,-2,-9,-8
23,9,-14,-17,18,-1,-4,-8,-4,-2,-9,-8
22,9,-13,-16,17,-1,-3,-8,-4,-2,-10,-8
21,9,-12,-15,15,0,-3,-8,-4,-2,-10,-8
20,9,-11,-15,15,0,-2,-8,-4,-2,-10,-8
20,9,-11,-15,15,0,-2,-8,-4,-2,-11,-8
20,9,-10,-14,15,0,-2,-7,-4,-2,-10,-8
18,8,-9,-13,14,0,-1,-7,-3,-2,-10,-8
16,7,-7,-12,12,0,0,-6,-3,-2,-10,-8
14,6,-7,-11,11,0,0,-6,-3,-2,-10,-8
14,6,-7,-11,11,0,0,-6,-3,-3,-10,-9
15,6,-8,-11,11,-1,0,-6,-3,-3,-11,-9
15,5,-9,-10,12,-1,-1,-6,-4,-4,-11,-10
15,6,-9,-10,12,-1,0,-6,-4,-4,-11,-10
16,7,-8,-12,12,0,0,-5,-3,-3,-11,-9
16,8,-7,-12,12,1,1,-5,-2,-3,-10,-8
16,8,-8,-12,13,0,0,-5,-3,-3,-11,-9
