leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-2,-1,1,0,-2,1,3,0,-5,1,1
-1,-6,-4,3,1,-5,2,9,-1,-13,3,3
-1,-8,-5,4,2,-7,2,13,-1,-17,5,5
-1,-9,-7,5,2,-8,1,15,-1,-20,5,5
-1,-10,-8,6,3,-10,-1,16,-2,-21,6,6
-1,-11,-9,6,4,-11,-3,17,-2,-22,6,6
-1,-11,-10,6,4,-11,-4,17,-1,-22,6,6
-1,-12,-10,7,4,-11,-2,18,-1,-22,6,6
-2,-12,-10,7,4,-11,0,19,0,-22,6,6
-2,-13,-10,7,4,-12,2,19,0,-22,6,6
-2,-13,-10,7,4,-12,3,20,0,-21,6,7
-2,-12,-10,6,4,-11,4,20,1,-21,7,7
-1,-12,-10,6,4,-11,3,20,1,-21,7,7
-1,-11,-10,6,4,-11,1,21,2,-20,8,7
0,-11,-11,6,4,-11,0,21,2,-20,8,7
0,-11,-11,6,5,-11,1,21,2,-20,8,7
0,-11,-11,6,5,-11,3,21,2,-20,8,7
1,-10,-11,5,5,-11,5,22,3,-20,8,7
1,-10,-11,4,5,-11,6,22,3,-20,8,7
1,-10,-11,4,5,-11,7,23,4,-20,8,7
1,-10,-11,4,5,-11,6,23,4,-19,8,7
1,-10,-11,4,5,-11,4,23,5,-18,8,7
1,-11,-11,5,5,-11,3,23,5,-18,8,7
0,-11,-10,6,5,-11,3,24,5,-17,9,7
0,-11,-10,6,5,-11,4,24,5,-17,9,7
1,-11,-11,5,5,-11,6,25,6,-16,9,8
1,-11,-11,5,5,-11,8,25,7,-16,9,8
0,-11,-10,5,5,-11,8,26,8,-16,9,9
0,-11,-10,5,4,-11,8,26,9,-15,9,9
0,-11,-10,5,4,-11,7,26,10,-15,9,9
0,-10,-10,5,4,-11,6,26,10,-14,10,9
0,-10,-10,5,5,-11,6,27,11,-14,10,9
1,-10,-11,5,5,-11,6,28,11,-13,10,9
1,-10,-11,4,6,-11,8,29,12,-12,10,9
2,-10,-12,4,6,-11,9,30,12,-12,10,9
2,-10,-12,4,6,-11,10,30,13,-11,10,9
2,-10,-12,4,7,-11,10,31,13,-11,10,9
3,-10,-12,3,7,-11,8,31,14,-11,10,9
3,-9,-13,3,8,-11,8,32,14,-11,11,9
3,-9,-12,3,8,-11,8,33,15,-10,11,9
3,-9,-11,3,7,-10,8,34,15,-9,12,10
3,-8,-11,3,7,-10,9,34,16,-8,12,10
3,-8,-10,2,6,-9,10,35,16,-7,12,10
3,-8,-11,2,7,-10,11,35,17,-7,12,10
3,-7,-11,2,7,-10,11,36,18,-6,13,11
2,-7,-11,3,6,-9,11,37,19,-5,14,12
2,-7,-10,3,6,-9,11,38,20,-5,14,12
4,-7,-11,1,7,-9,10,39,21,-4,14,12
6,-7,-12,0,8,-10,10,39,21,-4,14,12
6,-7,-12,0,8,-10,10,40,22,-3,14,12
5,-7,-12,0,8,-10,12,41,22,-2,14,12
5,-7,-12,0,8,-9,12,42,23,-1,15,13
6,-6,-12,0,8,-9,13,43,23,-1,15,13
6,-6,-12,0,8,-9,13,44,25,0,16,14
6,-5,-12,0,8,-9,13,45,26,0,16,14
7,-5,-12,-1,8,-8,14,47,27,1,16,14
7,-4,-12,-1,9,-8,14,48,28,2,16,14
8,-3,-12,-2,9,-7,15,50,29,3,17,15
9,-3,-12,-2,10,-7,16,51,31,5,18,16
10,-2,-12,-3,11,-7,17,53,32,6,19,16
11,-2,-13,-3,11,-7,17,54,32,7,20,17
11,-2,-13,-4,11,-7,17,55,33,8,20,17
11,-1,-12,-4,11,-6,17,57,34,9,21,18
11,-1,-12,-4,11,-7,17,58,35,9,21,18
11,-1,-13,-5,11,-7,16,60,36,10,21,18
12,-1,-13,-6,12,-7,17,62,37,11,22,19
13,0,-13,-6,12,-7,18,64,39,13,23,20
13,0,-12,-7,12,-6,19,66,40,14,24,21
14,2,-12,-8,12,-5,20,68,41,15,24,21
14,3,-11,-8,12,-4,20,70,43,16,25,21
14,3,-11,-9,12,-3,20,71,44,16,25,21
15,4,-11,-10,12,-3,20,72,45,17,25,21
15,5,-10,-11,12,-2,20,73,46,18,26,22
16,6,-9,-11,12,-1,20,74,48,19,27,23
16,7,-9,-12,12,-1,20,75,49,20,27,23
16,7,-9,-12,12,-1,20,76,50,21,28,24
17,7,-10,-12,13,-1,20,77,50,22,28,24
17,7,-10,-12,13,-1,21,78,51,22,29,25
18,8,-10,-13,14,0,21,78,52,23,29,25
19,9,-10,-14,14,0,21,79,53,23,30,26
20,10,-10,-15,15,0,21,80,53,24,30,26
21,10,-11,-16,16,0,21,80,54,24,30,26
22,10,-12,-16,16,0,21,81,54,24,30,26
22,10,-11,-16,16,0,21,81,54,25,30,27
22,11,-11,-16,16,0,21,81,55,25,30,27
23,12,-11,-17,17,0,21,81,55,26,31,27
25,13,-11,-19,18,1,21,81,56,26,31,28
