leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,1,-1,0,-2,-4,-1,8,-1,-17
-5,-4,1,4,-3,-1,-5,-11,-2,22,-3,-43
-8,-6,2,7,-6,-2,-7,-15,-5,28,-4,-60
-11,-8,3,9,-7,-2,-8,-18,-9,29,-5,-72
-11,-9,3,10,-7,-3,-9,-19,-13,28,-6,-81
-10,-9,2,9,-6,-3,-9,-21,-14,29,-6,-86
-8,-8,0,8,-4,-4,-9,-22,-11,31,-6,-87
-6,-8,-1,7,-2,-4,-9,-22,-8,34,-6,-85
-5,-8,-1,6,-2,-5,-9,-22,-5,36,-6,-83
-5,-8,-1,7,-2,-5,-9,-21,-4,37,-6,-81
-7,-9,-1,8,-3,-5,-9,-20,-3,37,-6,-80
-9,-10,0,9,-5,-5,-9,-19,-6,34,-6,-81
-10,-10,0,10,-5,-5,-9,-19,-9,30,-6,-84
-9,-10,0,10,-4,-5,-9,-19,-10,28,-6,-86
-8,-10,-2,9,-3,-6,-8,-19,-8,29,-5,-86
-6,-10,-3,8,-2,-6,-8,-19,-4,31,-5,-84
-6,-10,-3,8,-1,-7,-8,-19,-2,33,-5,-81
-6,-10,-3,8,-1,-7,-8,-18,-1,34,-5,-79
-6,-10,-2,8,-2,-7,-8,-18,0,34,-5,-78
-7,-10,-2,9,-3,-7,-8,-17,-1,33,-5,-78
-8,-10,-2,9,-3,-7,-8,-17,-3,29,-5,-80
-8,-10,-2,9,-3,-7,-8,-16,-5,27,-4,-82
-7,-10,-2,8,-3,-7,-8,-16,-3,26,-4,-82
-7,-10,-2,8,-3,-6,-8,-16,0,28,-4,-81
-6,-10,-2,8,-2,-6,-8,-16,2,29,-3,-79
-6,-10,-2,8,-2,-7,-8,-16,4,30,-3,-77
-6,-10,-2,8,-2,-7,-8,-15,6,31,-2,-75
-8,-10,-1,9,-3,-7,-8,-15,5,30,-2,-74
-9,-11,-1,10,-4,-7,-8,-15,3,28,-2,-76
-9,-10,-1,9,-4,-6,-7,-14,1,25,-1,-77
-8,-9,-1,8,-3,-6,-7,-14,1,24,-1,-78
-6,-9,-1,8,-2,-6,-7,-14,4,25,-1,-78
-6,-9,-1,8,-2,-6,-7,-14,6,26,-1,-77
-6,-8,-1,7,-2,-5,-7,-14,8,27,-1,-75
-6,-8,0,7,-3,-5,-7,-14,9,27,-1,-73
-7,-7,0,7,-3,-4,-7,-13,9,28,-1,-71
-7,-8,0,7,-4,-4,-6,-13,8,26,0,-71
-8,-8,0,8,-4,-4,-6,-12,6,24,1,-72
-8,-7,0,7,-4,-4,-7,-12,6,23,2,-73
-7,-7,1,7,-4,-3,-7,-12,8,23,2,-72
-6,-6,1,6,-4,-3,-7,-12,11,25,3,-71
-5,-5,1,6,-4,-2,-7,-12,12,26,3,-70
-5,-5,2,5,-4,-2,-7,-12,13,26,4,-69
-6,-4,3,5,-5,-1,-7,-12,14,27,4,-67
-6,-4,3,5,-5,-1,-7,-12,14,27,5,-67
-7,-3,4,5,-5,0,-7,-12,12,25,5,-67
-7,-3,4,5,-5,0,-7,-11,11,23,5,-68
-7,-2,5,4,-5,0,-7,-11,12,23,5,-68
-6,-2,5,4,-5,0,-7,-11,15,24,5,-67
-6,-2,5,4,-5,0,-7,-11,17,25,5,-65
