leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
7,3,-3,-5,5,0,-46,4,-3,5,8,6
19,9,-10,-14,14,0,-192,11,-14,11,20,15
29,12,-17,-20,23,-3,-54,15,-31,6,22,19
34,7,-26,-21,30,-9,417,19,-51,-10,12,14
34,-2,-36,-16,35,-19,216,21,-72,-35,-8,2
31,-13,-44,-9,37,-29,-108,20,-92,-61,-30,-11
25,-24,-49,0,36,-37,380,16,-107,-83,-52,-25
15,-35,-50,10,32,-43,421,8,-117,-103,-73,-39
4,-43,-48,19,26,-46,122,-3,-125,-121,-93,-52
-5,-48,-43,26,19,-46,360,-15,-129,-135,-110,-63
-13,-51,-37,32,12,-45,89,-24,-131,-145,-123,-72
-20,-53,-32,36,6,-44,-49,-30,-131,-150,-132,-79
-26,-54,-27,40,0,-42,76,-32,-126,-150,-134,-83
-32,-53,-20,42,-6,-37,-223,-31,-118,-144,-131,-83
-37,-51,-13,44,-12,-33,-374,-28,-108,-135,-125,-80
-41,-49,-7,45,-17,-29,-437,-24,-96,-126,-118,-77
-43,-47,-3,45,-20,-25,-433,-21,-84,-116,-110,-73
-43,-43,0,43,-22,-22,-399,-17,-72,-105,-102,-69
-41,-38,2,40,-21,-18,-350,-13,-59,-95,-94,-64
-35,-32,3,34,-18,-15,-297,-9,-46,-85,-87,-60
-29,-26,2,28,-16,-13,-245,-6,-34,-76,-81,-56
-26,-24,3,25,-15,-11,-196,-4,-23,-69,-76,-54
-27,-24,4,25,-16,-11,-151,-2,-15,-63,-73,-53
-28,-24,5,26,-17,-10,-110,0,-8,-57,-70,-51
-29,-24,6,26,-18,-9,-73,1,-2,-53,-66,-50
-30,-23,7,27,-19,-7,-40,4,2,-49,-63,-48
-32,-23,9,27,-20,-6,-11,6,5,-46,-61,-47
-34,-24,9,29,-21,-7,14,6,7,-45,-60,-47
-36,-25,10,30,-23,-7,36,6,8,-45,-61,-47
-37,-25,11,31,-24,-7,55,7,9,-44,-61,-47
-37,-25,12,31,-25,-7,72,7,11,-43,-61,-47
-34,-23,12,29,-23,-6,85,8,13,-42,-61,-47
-31,-21,11,26,-21,-5,91,9,15,-40,-60,-46
-30,-19,11,25,-20,-5,147,10,17,-38,-58,-45
-32,-20,12,26,-22,-4,91,11,18,-37,-57,-44
-34,-20,14,27,-24,-3,208,12,19,-35,-54,-43
-36,-20,15,28,-26,-2,414,12,20,-33,-52,-41
-37,-20,16,28,-27,-2,531,12,21,-31,-49,-40
-37,-19,17,28,-27,-1,836,12,21,-30,-47,-39
-36,-19,17,27,-26,-1,1167,10,21,-29,-45,-38
-35,-20,16,27,-26,-2,1497,9,20,-29,-45,-38
-35,-21,14,27,-25,-4,975,8,20,-30,-46,-39
-34,-22,12,28,-23,-5,-66,8,20,-31,-47,-40
-34,-22,11,28,-23,-5,-595,10,20,-32,-48,-40
-35,-23,11,28,-23,-6,-830,12,20,-32,-48,-40
-36,-24,11,29,-24,-7,-901,14,21,-32,-48,-40
-36,-23,12,29,-24,-6,-884,16,22,-31,-47,-39
-36,-22,13,29,-25,-5,-823,17,23,-29,-46,-38
-36,-22,15,29,-26,-4,-740,18,24,-27,-45,-38
-38,-21,17,29,-28,-2,-650,19,25,-25,-44,-37
-39,-21,19,30,-29,-1,-561,19,26,-24,-43,-36
-39,-20,19,29,-29,0,-477,19,27,-23,-42,-35
-37,-20,18,28,-28,-1,-400,18,26,-23,-42,-35
