leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,-1,-2,0,2,-2,1,8,8,-2,2,1
5,-2,-7,-2,6,-4,3,20,22,-4,6,3
10,1,-9,-6,9,-3,5,27,29,-5,10,5
16,6,-9,-11,12,-1,6,31,33,-5,12,7
20,11,-9,-15,14,1,7,32,35,-5,13,8
21,12,-8,-17,14,2,7,31,34,-5,13,9
20,12,-7,-16,13,3,5,28,32,-6,12,8
17,11,-6,-14,12,3,3,24,28,-7,11,7
15,10,-4,-12,10,3,1,20,24,-7,9,6
13,10,-3,-12,9,3,0,16,21,-8,8,6
14,11,-3,-13,8,4,-1,13,18,-8,8,7
16,14,-2,-15,8,6,-1,10,15,-9,8,7
17,16,-1,-17,8,8,-2,7,12,-10,8,7
17,18,0,-18,8,9,-2,4,8,-13,7,7
15,18,2,-17,6,10,-3,0,4,-16,5,6
12,16,4,-14,4,10,-4,-4,-1,-20,3,5
8,14,6,-11,1,10,-6,-10,-6,-25,1,3
6,14,8,-10,-1,11,-7,-14,-11,-28,0,2
6,16,10,-11,-2,13,-8,-18,-14,-31,-2,2
8,19,11,-13,-3,15,-9,-20,-16,-34,-3,1
10,23,12,-16,-2,17,-9,-21,-18,-37,-4,0
12,25,13,-19,-1,19,-9,-22,-19,-40,-5,0
12,26,14,-19,-2,20,-9,-24,-21,-44,-7,-1
10,25,15,-18,-3,20,-9,-27,-24,-48,-9,-3
7,23,15,-15,-4,20,-9,-30,-28,-52,-11,-4
5,22,16,-13,-5,19,-9,-33,-31,-56,-12,-6
4,21,16,-13,-5,19,-9,-35,-33,-59,-13,-7
5,22,17,-14,-6,20,-9,-36,-34,-62,-14,-8
6,23,17,-15,-6,20,-8,-37,-35,-65,-15,-8
6,24,18,-15,-6,21,-8,-38,-36,-68,-15,-9
5,24,19,-14,-8,21,-8,-39,-37,-72,-16,-10
4,24,20,-14,-9,22,-8,-41,-39,-76,-17,-11
3,24,21,-13,-9,22,-7,-42,-41,-80,-18,-11
3,24,21,-14,-9,22,-6,-43,-42,-84,-19,-12
4,26,21,-15,-8,23,-5,-43,-42,-86,-19,-12
7,28,21,-17,-7,24,-5,-43,-42,-87,-19,-12
10,30,20,-20,-5,25,-4,-42,-41,-87,-19,-12
12,32,20,-22,-4,26,-3,-41,-41,-88,-19,-12
12,31,20,-22,-4,25,-3,-41,-41,-90,-19,-12
10,30,20,-20,-5,24,-3,-41,-42,-91,-19,-12
8,28,20,-18,-6,23,-4,-42,-43,-93,-19,-13
5,26,20,-15,-7,23,-4,-44,-45,-93,-19,-14
4,24,20,-14,-7,22,-4,-45,-46,-93,-19,-14
3,23,20,-13,-8,21,-5,-46,-47,-94,-20,-14
2,22,20,-12,-9,21,-6,-46,-47,-94,-21,-15
1,21,21,-11,-10,21,-6,-46,-47,-94,-21,-16
0,21,21,-11,-10,20,-6,-46,-47,-93,-21,-16
0,20,20,-10,-11,20,-6,-47,-47,-93,-22,-17
-2,18,20,-8,-11,19,-6,-47,-48,-94,-22,-17
-3,17,20,-7,-12,19,-6,-48,-48,-94,-23,-18
-4,17,21,-7,-12,19,-6,-48,-48,-94,-23,-18
-3,18,21,-7,-12,19,-6,-48,-48,-94,-23,-18
-2,18,20,-8,-11,19,-6,-47,-47,-93,-23,-18
-1,19,20,-9,-11,19,-6,-47,-47,-93,-24,-18
0,19,20,-9,-11,19,-6,-47,-47,-92,-24,-18
0,19,20,-9,-11,19,-6,-47,-46,-90,-24,-18
-2,17,19,-8,-11,18,-6,-47,-46,-89,-24,-18
-4,14,19,-5,-11,17,-6,-47,-47,-88,-24,-19
-6,13,19,-3,-12,16,-7,-48,-47,-86,-24,-19
-7,12,19,-2,-13,16,-8,-48,-48,-85,-24,-20
-8,12,19,-2,-13,16,-8,-48,-48,-84,-25,-20
-7,12,19,-2,-13,16,-9,-48,-48,-83,-25,-20
-6,12,19,-3,-13,16,-8,-48,-47,-82,-25,-19
-6,12,19,-3,-13,16,-7,-47,-47,-81,-25,-19
-5,12,18,-3,-13,15,-7,-47,-47,-82,-25,-19
-5,12,18,-3,-12,15,-6,-47,-47,-83,-25,-19
-5,12,18,-3,-12,15,-6,-47,-47,-85,-24,-19
-5,11,17,-3,-11,14,-6,-47,-48,-87,-24,-19
-5,11,16,-3,-11,14,-6,-47,-48,-90,-25,-19
-4,12,16,-4,-10,14,-7,-47,-48,-92,-26,-19
-2,14,17,-6,-10,15,-7,-47,-48,-90,-25,-19
-1,16,18,-7,-10,16,-6,-47,-48,-81,-25,-19
-1,17,19,-8,-10,17,-6,-47,-48,-67,-25,-19
-2,17,19,-8,-10,18,-6,-47,-48,-51,-25,-19
-4,16,20,-6,-11,18,-6,-47,-47,-35,-25,-20
