leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,0,0,-1,1,0,-1,2,2,0,0,0
2,1,-1,-1,2,0,-2,4,5,-1,1,1
1,0,-1,0,2,-1,-3,6,6,-2,1,1
1,-1,-2,0,2,-1,-3,6,7,-3,1,1
3,0,-2,-2,3,-1,-2,7,8,-3,1,1
3,1,-2,-2,2,0,0,7,9,-2,2,1
2,0,-2,-2,2,-1,0,7,8,-2,1,1
2,0,-2,-1,2,-1,1,6,8,-2,1,1
1,0,-1,0,1,-1,2,5,8,-2,1,1
0,-1,-1,0,1,-1,2,4,8,-2,0,1
0,-2,-1,1,1,-2,2,3,7,-3,0,1
0,-2,-2,1,1,-2,2,3,7,-3,0,0
0,-2,-2,1,1,-2,2,2,6,-3,0,0
-1,-2,-2,1,0,-2,2,2,6,-3,-1,0
-1,-3,-2,2,0,-2,1,1,5,-4,-1,0
-1,-2,-2,1,0,-2,1,1,5,-4,-1,0
1,0,-2,0,1,-1,1,0,4,-4,-2,-1
3,0,-2,-2,3,-1,1,0,3,-4,-3,-2
3,0,-3,-2,3,-1,1,-1,3,-5,-3,-2
0,-2,-2,0,1,-2,2,-2,2,-5,-3,-2
-2,-4,-1,3,0,-3,3,-2,2,-5,-3,-2
-3,-6,-2,4,0,-4,3,-2,2,-5,-3,-2
-4,-6,-3,5,0,-5,3,-2,2,-6,-3,-3
-4,-7,-4,5,0,-5,3,-3,1,-6,-4,-3
-4,-7,-4,5,0,-5,3,-3,1,-6,-4,-3
-4,-6,-3,5,0,-5,4,-4,1,-6,-4,-3
-3,-6,-4,5,0,-5,4,-4,0,-6,-4,-3
-2,-6,-5,4,1,-6,5,-5,0,-7,-5,-4
-2,-6,-5,4,2,-6,6,-6,-1,-7,-6,-5
-3,-6,-4,4,1,-4,8,-5,0,-6,-5,-4
-3,-6,-3,4,0,-4,9,-5,0,-6,-4,-3
-3,-6,-4,4,0,-5,10,-5,0,-6,-4,-3
-3,-7,-5,4,1,-6,9,-6,-1,-6,-5,-4
-2,-6,-4,4,1,-5,9,-7,-1,-6,-5,-4
-3,-6,-4,4,0,-5,9,-7,-1,-6,-5,-4
-3,-6,-4,4,1,-5,9,-7,-2,-6,-5,-4
-2,-6,-4,4,1,-5,9,-8,-2,-6,-5,-5
-2,-5,-3,4,1,-4,10,-8,-3,-6,-5,-5
-2,-5,-4,3,1,-4,11,-8,-3,-6,-5,-5
-2,-6,-4,3,1,-5,12,-8,-4,-6,-6,-5
-4,-6,-2,4,0,-4,12,-8,-4,-6,-6,-6
-5,-6,-1,4,-1,-4,13,-8,-4,-6,-5,-6
-3,-4,-1,3,-1,-3,14,-7,-4,-5,-5,-5
-3,-2,1,2,-2,-1,14,-7,-3,-4,-4,-4
-3,-3,1,3,-2,-1,14,-8,-4,-5,-5,-5
-1,-3,-1,2,0,-2,13,-9,-6,-7,-6,-6
0,-3,-3,1,2,-3,13,-10,-6,-7,-7,-6
0,-4,-4,2,2,-4,13,-10,-7,-7,-7,-6
-1,-5,-4,3,2,-4,12,-11,-7,-7,-7,-6
0,-5,-4,2,2,-4,12,-11,-8,-6,-7,-6
1,-4,-5,1,3,-4,12,-11,-8,-6,-7,-6
1,-3,-5,1,4,-4,11,-11,-9,-6,-7,-6
0,-4,-4,2,3,-5,11,-11,-9,-6,-7,-6
-2,-5,-3,4,1,-5,10,-11,-8,-5,-6,-5
-3,-6,-2,5,0,-5,9,-12,-9,-5,-6,-5
-3,-6,-2,5,0,-4,8,-12,-10,-5,-6,-5
-1,-4,-2,2,0,-3,8,-12,-10,-5,-6,-5
1,-2,-3,0,2,-3,7,-12,-10,-5,-6,-5
2,-2,-3,0,2,-3,7,-12,-10,-4,-5,-4
