leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,1,1,-1,0,1,-2,-4,-4,-4,-3,-4
1,4,3,-2,-1,3,-6,-9,-10,-10,-8,-10
2,5,4,-3,-1,4,-7,-11,-13,-12,-11,-13
2,6,5,-4,-2,5,-7,-11,-14,-13,-11,-14
1,7,6,-4,-2,6,-6,-10,-13,-13,-11,-14
1,7,6,-4,-3,6,-4,-8,-11,-11,-9,-13
0,7,7,-3,-3,6,-3,-6,-10,-10,-8,-12
0,7,7,-3,-3,6,-2,-5,-8,-9,-7,-12
0,7,7,-2,-4,6,-1,-4,-7,-8,-6,-11
-1,6,7,-1,-4,6,0,-3,-6,-7,-5,-11
-2,6,8,-1,-5,6,0,-2,-6,-7,-5,-10
-2,6,7,-1,-5,6,0,-2,-5,-7,-4,-10
0,7,7,-3,-4,6,1,-1,-5,-6,-4,-10
0,7,6,-3,-3,6,2,0,-4,-5,-3,-10
0,7,6,-3,-3,5,3,1,-3,-4,-2,-9
0,7,6,-3,-3,6,3,2,-2,-4,-1,-9
0,7,6,-3,-2,6,3,2,-2,-3,-1,-9
0,6,6,-3,-2,6,3,2,-2,-3,-1,-9
0,6,6,-3,-2,6,3,2,-1,-3,-1,-9
1,7,6,-3,-2,6,3,3,-1,-3,-1,-9
1,7,5,-4,-2,6,3,3,-1,-3,-1,-9
2,7,5,-4,-1,6,3,3,-1,-3,-1,-9
2,7,5,-4,-1,5,4,4,-1,-2,-1,-9
2,7,5,-4,-1,5,4,4,-1,-2,-1,-9
2,8,4,-5,-1,5,4,5,0,-2,-1,-9
3,8,4,-5,0,5,5,5,0,-2,-1,-8
3,8,4,-5,0,5,6,6,1,-1,-1,-7
1,7,5,-4,-2,6,6,7,1,0,0,-7
0,6,6,-3,-3,6,6,7,1,-1,-1,-7
0,6,6,-3,-3,5,6,7,1,-1,-1,-7
1,7,5,-4,-2,5,6,7,1,0,0,-6
3,8,4,-5,-1,5,6,7,1,-1,0,-6
5,8,4,-6,0,5,5,6,0,-1,0,-7
5,8,4,-7,1,5,5,6,0,-2,0,-7
4,8,4,-6,0,5,5,6,0,-1,0,-7
2,7,4,-4,-1,5,6,7,1,0,1,-6
2,7,4,-4,-1,5,7,8,2,0,1,-5
2,7,4,-4,-1,5,7,9,3,1,2,-5
