leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,0,1,0,-1,1,0,-5,0,3,0
-1,-2,-1,2,0,-2,3,1,-12,0,9,-1
-1,-2,-1,2,-1,-2,3,2,-17,0,11,-2
-1,-1,0,1,-1,-1,3,2,-20,-1,12,-3
-1,0,0,1,-1,-1,2,2,-22,-1,12,-3
0,0,0,0,-1,-1,2,2,-23,-2,12,-4
0,0,0,0,-1,-1,3,2,-24,-2,12,-4
-1,-1,-1,1,-1,-1,3,2,-24,-2,13,-4
-1,-2,-1,1,-1,-2,4,2,-24,-2,13,-4
-2,-2,-1,2,-1,-2,4,2,-24,-2,14,-4
-2,-1,0,1,-1,-1,4,2,-24,-2,14,-5
-2,-1,0,1,-1,-1,3,2,-24,-2,13,-5
-2,-1,0,1,-1,-1,3,2,-24,-2,13,-5
-2,-1,0,1,-1,-1,3,2,-25,-2,13,-5
-2,-1,0,1,-1,-1,3,2,-25,-3,13,-4
-1,-1,-1,1,0,-2,2,1,-25,-3,13,-4
0,-1,-2,1,0,-2,2,1,-25,-3,13,-4
0,0,-2,0,0,-1,2,1,-24,-3,14,-4
1,1,-1,-1,0,-1,2,1,-24,-3,14,-4
1,1,-1,-1,0,-1,2,1,-24,-3,14,-4
0,0,-1,-1,0,-1,1,1,-24,-3,14,-4
0,0,-1,-1,0,0,0,1,-24,-2,14,-4
0,1,0,-1,0,0,0,1,-24,-2,15,-4
0,1,0,0,0,0,0,1,-23,-1,15,-3
0,0,0,0,-1,0,1,1,-23,-1,16,-3
0,-1,-1,1,0,-1,1,1,-23,-1,16,-3
0,-1,-2,1,0,-2,2,1,-23,-1,16,-2
0,-1,-2,1,0,-2,2,1,-22,-1,16,-2
0,-1,-2,1,0,-2,2,1,-22,-1,16,-2
0,-1,-1,1,0,-2,2,1,-22,-1,16,-2
0,-1,-1,0,0,-1,2,1,-22,-1,16,-2
0,0,-1,0,0,-1,2,1,-21,-1,16,-2
0,-1,-1,0,0,-1,2,2,-21,0,17,-1
0,-1,-1,1,0,-1,2,2,-20,0,17,-1
0,-1,-1,1,0,-1,2,2,-20,0,18,0
0,-1,-2,0,1,-1,1,2,-20,0,18,0
1,-1,-2,0,1,-2,1,2,-20,1,19,0
2,0,-3,-1,2,-2,1,2,-19,1,19,1
3,0,-3,-2,2,-2,1,2,-19,2,20,1
4,0,-4,-2,3,-2,1,2,-19,2,20,2
4,0,-4,-2,3,-2,1,2,-19,1,20,2
3,0,-3,-2,3,-2,1,2,-19,1,20,3
3,0,-3,-2,3,-2,0,2,-19,1,20,3
3,0,-3,-2,3,-2,0,2,-19,1,20,3
4,1,-3,-3,3,-2,0,2,-18,1,20,3
5,1,-4,-4,4,-2,0,2,-18,2,21,3
4,1,-3,-3,3,-1,0,2,-17,3,21,3
4,1,-3,-3,3,-1,0,2,-16,4,22,4
4,1,-3,-3,3,-1,0,2,-16,4,22,4
5,1,-4,-3,4,-1,-1,1,-16,3,22,5
6,1,-5,-3,5,-2,-2,1,-16,3,22,5
6,2,-4,-3,4,-1,-3,1,-16,3,23,6
6,3,-4,-4,4,-1,-3,1,-16,3,24,7
6,4,-3,-4,4,0,-3,1,-16,4,25,8
6,4,-3,-5,4,0,-2,1,-16,5,26,9
6,4,-3,-5,4,0,-2,1,-15,6,26,10
6,4,-3,-5,4,0,-2,0,-15,7,27,10
6,4,-3,-5,4,0,-2,0,-14,7,28,10
6,4,-3,-5,4,0,-2,0,-14,7,29,11
6,4,-3,-5,4,0,-2,0,-14,7,29,11
7,4,-3,-5,4,0,-2,0,-14,8,30,12
7,5,-3,-6,4,0,-2,0,-14,8,30,13
7,5,-3,-7,4,1,-2,-1,-14,8,30,13
8,6,-3,-7,4,1,-3,-1,-14,8,30,14
8,7,-2,-8,4,2,-3,-2,-14,8,31,15
8,8,-1,-8,4,2,-4,-2,-14,9,31,15
9,9,-1,-9,4,3,-5,-3,-14,9,31,15
9,9,-1,-9,4,3,-5,-3,-14,10,32,16
9,9,0,-9,4,3,-5,-3,-14,10,33,16
9,9,-1,-9,4,3,-6,-4,-14,10,33,17
10,9,-1,-10,5,3,-7,-5,-14,9,33,17
10,10,-1,-10,5,3,-7,-5,-14,9,33,18
10,10,-1,-10,5,4,-7,-6,-14,10,33,19
10,11,-1,-10,5,4,-7,-6,-14,10,34,19
10,11,0,-10,4,5,-7,-7,-14,11,35,20
10,12,0,-10,4,5,-7,-7,-13,12,37,21
10,12,0,-10,4,5,-8,-7,-13,13,38,21
11,12,0,-11,4,6,-8,-8,-13,13,38,22
11,13,1,-12,4,6,-9,-8,-13,14,38,22
