leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,-1,0,0,-1,0,0,-1,-1,0,-1
-1,-3,-2,1,0,-2,1,-1,-3,-3,-1,-2
-2,-4,-1,2,0,-2,1,-2,-4,-4,-1,-3
-3,-3,0,2,-1,-2,1,-2,-5,-5,-1,-4
-2,-2,0,1,0,-1,1,-2,-5,-6,-1,-4
0,-2,-1,0,0,-1,1,-2,-6,-6,0,-4
0,-2,-1,1,0,-2,1,-2,-6,-6,-1,-4
-1,-3,-2,1,0,-2,1,-2,-6,-6,-2,-6
-1,-4,-2,2,0,-2,2,-2,-6,-6,-2,-6
-1,-4,-2,2,0,-2,2,-2,-6,-5,-2,-6
0,-3,-2,1,0,-2,1,-2,-7,-6,-2,-5
0,-3,-3,0,1,-2,1,-3,-7,-7,-2,-6
0,-2,-2,0,1,-2,1,-3,-7,-7,-2,-6
0,-2,-1,0,0,-2,1,-3,-7,-7,-2,-7
0,-2,-1,1,0,-2,1,-3,-6,-6,-2,-6
0,-2,-1,1,0,-2,1,-3,-6,-6,-1,-5
0,-3,-2,1,0,-3,1,-3,-6,-6,-1,-5
0,-3,-2,1,1,-3,1,-3,-6,-6,-2,-6
0,-2,-1,0,0,-2,1,-3,-7,-7,-2,-6
0,0,0,0,0,0,0,-3,-7,-7,-2,-7
-1,0,2,0,-1,1,0,-3,-7,-7,-2,-7
-1,-1,1,0,-1,0,0,-3,-6,-7,-2,-6
-1,-2,0,1,-1,-1,1,-2,-6,-6,-1,-6
-1,-3,-1,1,0,-2,0,-2,-5,-5,-1,-6
-1,-3,-2,2,0,-2,0,-2,-5,-5,-1,-6
-2,-3,-2,2,0,-3,0,-2,-5,-5,-1,-6
-2,-4,-2,3,0,-3,1,-2,-5,-5,-1,-6
-2,-4,-2,2,0,-3,1,-2,-5,-5,-1,-6
-2,-3,-1,2,0,-2,1,-2,-5,-5,-1,-6
