leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-3,-3,1,1,-3,-2,-10,0,-22,0,0
-2,-10,-7,6,2,-8,-5,-26,4,-55,-7,0
-6,-16,-9,11,1,-12,-1,-36,12,-69,-22,5
-6,-17,-10,12,1,-13,7,-38,15,-77,-26,12
-1,-12,-11,6,5,-12,15,-35,10,-88,-12,15
7,-5,-12,-1,10,-9,15,-31,-1,-102,13,12
13,0,-13,-7,13,-7,9,-29,-11,-114,34,6
14,0,-13,-7,14,-7,2,-31,-15,-119,42,0
11,-3,-14,-4,13,-9,-4,-35,-13,-119,36,-3
6,-7,-13,0,10,-10,-7,-39,-6,-113,18,-3
0,-12,-12,6,6,-11,-5,-43,5,-103,-5,1
-3,-13,-11,8,4,-11,3,-42,13,-95,-20,7
0,-10,-11,5,6,-10,12,-37,12,-94,-15,13
8,-4,-13,-2,10,-8,16,-30,4,-100,8,13
15,1,-13,-8,14,-6,13,-25,-5,-109,31,9
17,3,-12,-10,15,-5,6,-26,-11,-114,43,3
14,2,-10,-8,12,-5,-1,-28,-11,-115,41,0
8,-1,-9,-3,9,-6,-5,-32,-5,-110,26,-1
1,-8,-9,3,5,-8,-4,-35,5,-101,3,1
-4,-13,-9,9,2,-10,1,-36,14,-91,-16,7
-4,-13,-9,8,2,-10,10,-33,17,-87,-17,13
3,-6,-9,1,6,-8,15,-26,11,-91,0,15
11,1,-9,-6,10,-5,13,-22,0,-100,24,12
15,5,-9,-10,12,-3,7,-21,-7,-106,40,6
15,5,-9,-10,12,-3,0,-23,-8,-108,43,2
10,1,-9,-6,10,-5,-5,-25,-4,-105,33,1
4,-3,-8,0,7,-6,-6,-28,5,-97,13,2
0,-7,-7,3,4,-6,-2,-30,15,-87,-8,7
-1,-7,-6,4,3,-5,6,-28,21,-81,-17,12
3,-2,-6,0,5,-4,13,-22,18,-82,-5,16
10,2,-8,-6,10,-4,15,-16,10,-89,19,15
15,5,-9,-10,12,-3,11,-12,3,-95,39,11
16,6,-9,-11,13,-3,5,-12,0,-98,46,7
13,4,-9,-8,11,-3,0,-15,2,-96,40,4
8,0,-8,-3,8,-4,-4,-17,10,-90,23,4
3,-3,-8,1,6,-4,-2,-19,20,-81,1,7
0,-5,-7,3,4,-4,5,-18,28,-73,-13,12
3,-2,-6,0,5,-2,13,-13,29,-71,-7,17
11,4,-7,-7,9,-1,17,-7,22,-76,14,17
18,10,-7,-14,13,0,15,-4,14,-83,37,14
20,12,-6,-16,13,1,9,-3,10,-87,49,11
18,12,-5,-15,12,1,4,-3,12,-86,48,9
14,9,-5,-11,10,1,1,-5,18,-81,35,8
9,5,-4,-7,7,1,1,-6,28,-73,13,10
4,2,-4,-3,5,0,7,-7,37,-64,-5,15
5,3,-3,-4,5,1,16,-3,41,-60,-7,19
11,9,-2,-10,7,3,21,3,36,-63,11,21
17,15,-2,-16,9,5,22,7,28,-70,35,18
21,18,-2,-19,10,6,18,9,22,-75,50,14
21,18,-2,-19,11,6,13,9,22,-76,54,12
17,15,-2,-16,10,6,11,7,26,-73,45,11
12,11,-1,-12,7,5,10,6,34,-67,25,12
7,8,0,-8,5,5,14,4,42,-59,5,16
5,8,1,-7,3,6,22,5,47,-53,-4,20
9,12,1,-11,5,7,29,10,44,-55,7,22
16,17,1,-17,7,8,31,14,35,-62,30,21
20,19,0,-19,9,7,28,15,28,-68,48,17
20,18,-2,-19,10,6,23,15,25,-71,55,14
17,15,-2,-16,9,5,20,14,26,-70,50,12
12,11,-1,-12,7,5,18,11,32,-66,32,11
7,8,-1,-8,5,5,20,9,39,-59,10,13
4,5,0,-5,3,4,27,8,45,-53,-5,16
5,7,0,-7,3,4,33,11,44,-53,-1,18
11,11,0,-11,5,5,36,14,35,-60,19,17
14,14,0,-14,6,6,33,14,25,-68,38,13
15,15,0,-15,6,6,27,12,19,-73,48,9
14,13,0,-14,6,5,23,9,17,-75,46,6
11,10,-1,-11,6,4,20,8,21,-72,32,6
8,7,-2,-8,6,3,21,6,28,-65,12,7
5,3,-2,-4,5,1,26,4,34,-59,-6,10
4,2,-2,-3,4,1,32,5,35,-57,-10,12
8,6,-2,-7,5,2,35,7,27,-62,5,12
12,10,-1,-11,6,3,33,7,17,-71,26,9
12,10,-1,-11,6,3,28,6,10,-76,40,6
12,9,-1,-11,6,2,22,3,6,-79,41,3
9,7,-1,-8,5,2,18,0,7,-79,31,1
4,2,-1,-3,3,1,15,-3,12,-74,11,1
0,-2,-2,1,2,-1,17,-5,18,-68,-8,3
-2,-5,-3,3,2,-3,22,-6,21,-64,-17,6
0,-2,-3,1,2,-2,25,-4,17,-66,-8,7
5,1,-4,-3,4,-2,24,-3,7,-74,13,5
8,2,-5,-5,5,-2,20,-4,0,-80,29,1
8,3,-4,-5,5,-2,14,-6,-4,-82,35,0
5,2,-3,-3,4,-2,10,-8,-4,-82,30,-1
2,-1,-4,0,3,-3,7,-10,0,-78,14,-2
-1,-6,-5,4,3,-5,7,-12,6,-72,-6,0
-5,-9,-5,7,2,-6,11,-13,11,-67,-20,2
-4,-8,-5,6,2,-6,15,-12,10,-67,-17,3
1,-4,-6,1,3,-5,17,-10,2,-73,2,3
4,-1,-6,-1,4,-4,14,-10,-5,-79,21,0
5,-1,-6,-2,4,-5,8,-11,-9,-83,30,-2
4,-2,-6,-1,4,-5,4,-13,-10,-84,28,-3
2,-4,-6,0,4,-5,1,-14,-7,-82,16,-4
-1,-7,-6,3,3,-6,0,-16,-2,-76,-3,-4
-4,-9,-5,6,1,-6,3,-17,3,-71,-20,-2
-4,-9,-4,6,1,-5,8,-16,5,-68,-24,0
0,-5,-5,2,2,-5,11,-14,0,-71,-9,0
4,-3,-6,0,4,-6,10,-13,-7,-77,12,-2
4,-3,-6,0,4,-7,6,-13,-11,-80,26,-4
3,-4,-7,0,4,-7,2,-13,-12,-81,29,-4
2,-4,-6,1,4,-6,0,-13,-10,-79,21,-4
0,-5,-5,2,3,-5,0,-13,-4,-74,4,-4
-3,-6,-4,4,2,-4,2,-14,3,-68,-13,-3
-4,-5,-2,4,0,-3,8,-13,7,-63,-22,0
-1,-1,0,0,0,0,13,-11,6,-63,-12,1
3,4,1,-4,0,1,14,-9,-1,-68,9,0
5,6,1,-6,1,3,12,-8,-5,-72,26,-1
6,7,1,-6,1,3,9,-8,-7,-73,33,-1
5,6,1,-5,1,3,7,-7,-5,-72,29,0
2,5,2,-3,0,4,6,-7,0,-68,15,0
-1,4,4,-1,-2,5,7,-8,5,-63,-3,0
-3,4,6,0,-3,6,12,-8,11,-57,-16,2
-1,6,7,-2,-3,7,16,-6,12,-55,-12,4
2,10,7,-6,-3,7,18,-3,7,-59,8,5
