leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,0,0,-1,1,0,-1,2,5,4,3,3
4,2,-2,-3,3,0,-3,6,15,14,11,11
9,4,-5,-7,7,-1,-6,12,26,25,21,21
14,6,-7,-10,11,-1,-6,19,37,36,32,32
19,8,-10,-14,15,-1,-5,24,46,45,43,41
24,10,-13,-17,19,-2,-2,28,53,52,50,48
27,12,-15,-20,21,-1,-1,30,57,56,53,52
28,13,-15,-21,21,-1,-2,28,56,54,51,52
27,14,-14,-20,20,0,-6,21,48,46,43,50
24,14,-10,-19,17,1,-11,10,36,34,34,46
17,13,-3,-15,10,4,-15,-1,20,19,24,39
7,12,5,-10,0,8,-16,-13,1,2,13,29
-4,8,12,-2,-8,10,-13,-26,-20,-16,0,13
-14,2,17,5,-16,10,-8,-40,-41,-35,-14,-3
-23,-3,20,13,-21,8,-6,-52,-58,-52,-27,-19
-29,-9,20,19,-25,6,-6,-62,-72,-65,-39,-32
-33,-15,18,24,-26,1,-9,-70,-82,-76,-50,-43
-35,-21,13,27,-24,-4,-13,-73,-88,-84,-60,-51
-34,-26,8,29,-22,-9,-15,-73,-90,-89,-67,-56
-33,-28,4,30,-19,-13,-15,-69,-87,-90,-69,-57
-31,-29,1,29,-17,-15,-13,-62,-81,-86,-67,-56
-29,-29,0,29,-15,-15,-8,-54,-73,-79,-62,-54
-27,-28,-1,27,-13,-15,-4,-45,-64,-72,-57,-50
-24,-26,-2,25,-12,-14,-1,-37,-55,-65,-53,-47
-21,-23,-2,22,-11,-12,0,-32,-48,-59,-51,-43
-19,-21,-1,20,-10,-11,0,-29,-44,-54,-49,-40
-17,-18,-1,17,-9,-10,0,-26,-41,-50,-46,-37
-15,-16,-1,15,-8,-9,-1,-24,-38,-46,-42,-35
-14,-14,0,14,-7,-8,-1,-21,-35,-42,-37,-32
-14,-13,0,13,-7,-7,0,-17,-31,-38,-32,-30
-13,-12,0,13,-7,-6,3,-13,-27,-34,-29,-29
-11,-11,0,11,-5,-6,5,-11,-24,-30,-27,-28
-10,-11,0,10,-5,-5,5,-11,-22,-28,-26,-27
-11,-10,1,11,-7,-4,3,-12,-22,-26,-26,-25
-13,-10,3,11,-9,-3,1,-14,-22,-25,-26,-23
-14,-9,4,11,-9,-3,0,-16,-23,-25,-25,-22
-13,-9,2,10,-8,-3,-1,-16,-24,-25,-24,-22
-11,-9,1,9,-6,-4,0,-15,-24,-24,-22,-21
-10,-9,1,9,-5,-4,2,-14,-23,-22,-20,-21
-9,-9,0,9,-5,-4,3,-13,-21,-21,-18,-21
-8,-9,0,8,-4,-4,4,-13,-21,-20,-17,-21
-8,-8,0,8,-5,-4,3,-13,-20,-20,-18,-21
