leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,1,0,-1,1,0,0,0,0,0
-2,-4,-1,4,0,-3,2,2,2,1,0,0
-3,-7,-2,5,0,-5,3,3,3,2,1,0
-4,-8,-3,6,0,-5,3,3,3,3,2,0
-5,-8,-3,6,0,-5,3,4,4,3,3,0
-4,-6,-2,5,0,-4,3,4,4,4,3,1
-3,-6,-3,5,0,-4,3,4,5,4,4,1
-3,-6,-4,5,0,-5,3,4,5,5,4,2
-2,-6,-4,4,1,-5,2,4,5,5,4,2
0,-5,-5,3,2,-5,1,3,4,5,4,2
1,-4,-5,2,3,-5,0,3,4,5,5,2
1,-5,-5,2,3,-5,0,3,5,6,5,2
0,-4,-3,3,2,-4,0,3,5,6,6,3
0,-4,-3,3,1,-4,-1,3,5,6,6,3
-1,-5,-4,4,1,-5,-1,3,5,6,6,3
-2,-8,-5,6,2,-7,-1,3,5,6,6,3
-3,-9,-6,7,1,-8,0,4,6,7,7,4
-2,-8,-6,6,2,-8,0,4,6,8,7,5
-1,-7,-7,5,3,-8,-1,4,6,8,7,5
1,-6,-7,3,5,-8,-2,3,6,8,7,5
2,-6,-8,2,6,-8,-2,3,6,8,7,5
1,-6,-8,3,5,-8,-1,3,6,9,8,5
-1,-7,-6,5,3,-7,-1,3,7,9,8,5
-3,-7,-4,5,1,-6,-1,4,7,10,9,6
-2,-6,-4,5,1,-5,-1,4,7,10,9,6
-1,-5,-3,4,1,-4,-1,5,8,11,10,7
-1,-4,-3,3,1,-4,-1,5,8,11,11,7
0,-4,-3,3,1,-4,-1,5,8,12,11,8
0,-4,-4,3,2,-4,-1,5,8,12,12,8
0,-4,-4,3,2,-5,-1,4,8,11,12,8
0,-4,-5,3,2,-5,-2,4,8,11,12,8
0,-4,-5,2,2,-4,-3,3,7,11,12,8
0,-4,-4,2,2,-4,-4,3,7,11,12,9
1,-4,-5,2,2,-4,-4,3,7,12,12,9
1,-4,-5,1,3,-4,-4,3,7,12,12,10
2,-3,-5,1,3,-4,-4,3,7,12,13,10
2,-2,-5,0,3,-3,-4,3,7,13,13,10
3,-1,-4,-1,3,-3,-4,3,7,13,13,11
4,0,-5,-1,4,-3,-5,3,7,13,13,11
5,0,-6,-2,5,-3,-6,2,7,13,14,11
6,0,-7,-2,6,-4,-7,1,6,13,14,11
7,0,-7,-2,6,-4,-8,1,6,12,14,11
7,0,-7,-2,6,-4,-8,0,6,12,14,12
7,0,-6,-2,6,-4,-9,0,5,13,14,13
7,0,-6,-2,6,-4,-9,0,5,13,15,13
7,0,-6,-3,7,-3,-10,0,5,13,15,14
8,1,-6,-4,7,-3,-10,-1,4,13,15,14
7,1,-6,-4,6,-2,-11,-1,4,13,15,14
7,1,-6,-3,6,-3,-11,-2,3,14,16,15
7,1,-6,-3,7,-3,-12,-3,3,14,17,15
8,1,-6,-4,7,-2,-13,-4,2,14,18,16
9,2,-6,-5,7,-2,-14,-5,1,14,18,16
10,3,-6,-6,8,-2,-15,-5,0,14,18,17
11,3,-7,-7,9,-2,-16,-6,0,14,19,18
12,4,-8,-7,10,-2,-17,-6,-1,14,19,19
13,5,-9,-8,11,-2,-18,-7,-2,14,20,20
14,5,-9,-9,11,-2,-19,-8,-3,13,20,20
15,5,-10,-9,12,-3,-20,-10,-4,13,20,21
16,4,-12,-10,13,-3,-21,-11,-5,13,21,22
17,4,-13,-10,14,-4,-21,-12,-6,13,22,23
19,5,-14,-11,16,-4,-22,-13,-7,13,23,24
20,5,-15,-12,17,-4,-23,-15,-9,12,23,24
21,5,-15,-13,18,-5,-25,-16,-11,11,23,25
21,5,-15,-13,18,-5,-26,-18,-13,11,23,25
21,5,-15,-12,18,-5,-27,-19,-15,10,24,26
20,5,-16,-12,18,-5,-28,-21,-16,10,24,26
20,4,-17,-12,18,-6,-29,-22,-18,9,24,27
21,4,-17,-12,18,-6,-30,-23,-19,9,24,28
21,5,-16,-12,18,-5,-31,-25,-21,8,24,29
21,5,-15,-12,18,-5,-31,-26,-22,8,24,30
