leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-4,0,4,2,-4,2,2,-5,-2,-7,-7,-5
-10,0,11,5,-11,6,6,-14,-6,-19,-19,-13
-13,2,15,5,-14,9,8,-17,-8,-25,-24,-17
-13,3,16,5,-15,10,9,-18,-9,-27,-26,-19
-12,4,16,4,-14,10,10,-16,-10,-28,-25,-19
-10,3,13,4,-12,9,11,-13,-9,-27,-24,-19
-9,1,10,4,-9,6,12,-9,-8,-24,-21,-17
-8,0,6,5,-7,3,13,-6,-6,-21,-19,-15
-7,-2,4,5,-6,1,13,-3,-5,-18,-16,-13
-6,-3,2,5,-5,0,13,-1,-5,-16,-14,-10
-5,-2,2,4,-4,0,12,0,-6,-14,-11,-8
-3,-1,1,3,-3,0,12,1,-7,-13,-9,-6
-1,0,0,2,-1,0,11,2,-8,-11,-6,-4
1,0,-1,0,1,-1,10,3,-9,-9,-3,-2
3,0,-4,0,4,-2,10,4,-9,-6,0,1
4,-1,-6,0,6,-4,10,6,-8,-2,4,4
5,-2,-8,0,7,-5,10,7,-7,1,7,7
5,-3,-9,-1,8,-6,10,9,-5,4,9,9
6,-3,-10,-1,8,-6,10,11,-5,6,11,11
7,-2,-10,-2,9,-6,10,12,-6,7,13,12
9,-2,-11,-3,10,-6,9,12,-7,7,15,13
11,-1,-12,-4,12,-6,9,13,-8,9,18,15
13,-2,-14,-5,14,-8,8,14,-9,11,20,16
15,-3,-17,-5,16,-9,8,16,-8,13,23,18
16,-4,-19,-6,18,-11,7,18,-7,16,26,20
16,-4,-21,-6,19,-13,6,19,-6,19,28,22
17,-4,-22,-6,20,-13,4,21,-5,22,31,25
18,-4,-23,-7,21,-13,3,22,-4,24,34,26
20,-3,-23,-8,22,-13,2,24,-4,26,37,28
22,-3,-25,-9,24,-14,1,26,-4,28,40,29
25,-3,-26,-10,26,-14,0,28,-4,29,43,31
27,-4,-29,-11,28,-15,-1,31,-4,31,46,33
28,-4,-32,-11,30,-17,-2,33,-4,34,49,35
29,-5,-34,-12,31,-19,-5,36,-5,37,51,38
30,-5,-35,-12,33,-20,-8,39,-5,39,54,40
31,-5,-37,-13,34,-21,-12,41,-5,42,57,42
33,-4,-38,-14,35,-22,-15,44,-5,44,60,44
35,-4,-39,-15,37,-22,-17,47,-4,46,63,46
38,-4,-41,-17,39,-22,-20,50,-3,49,66,49
41,-4,-43,-18,42,-23,-23,54,-1,53,70,51
43,-4,-46,-18,44,-25,-26,58,1,57,73,54
44,-4,-49,-19,46,-26,-28,62,4,61,77,57
45,-4,-51,-19,48,-28,-31,66,7,66,80,60
46,-4,-52,-20,49,-28,-33,70,10,70,83,62
47,-4,-53,-21,50,-29,-34,73,13,73,87,64
49,-4,-54,-22,51,-29,-35,76,15,77,90,66
52,-4,-56,-23,53,-30,-36,79,18,80,92,68
54,-5,-57,-24,55,-31,-36,82,21,84,95,70
55,-5,-59,-24,57,-32,-37,85,23,87,97,72
56,-5,-61,-25,58,-33,-37,88,26,91,100,74
56,-6,-62,-25,59,-34,-37,91,28,94,102,75
55,-6,-63,-25,59,-34,-37,93,31,97,103,77
56,-6,-63,-25,59,-34,-37,94,33,100,105,78
56,-6,-63,-25,59,-34,-38,95,34,102,106,78
57,-6,-63,-25,59,-34,-38,96,36,103,108,79
57,-6,-63,-25,60,-34,-38,97,37,105,109,79
57,-6,-63,-25,60,-34,-38,98,38,106,110,80
57,-6,-64,-25,60,-35,-38,99,39,108,110,80
57,-7,-64,-25,60,-35,-38,99,40,109,110,80
56,-7,-64,-25,60,-35,-38,98,41,109,110,80
55,-7,-63,-24,59,-35,-38,97,41,109,109,80
55,-7,-62,-24,58,-35,-37,95,41,108,108,79
54,-7,-61,-23,58,-34,-37,94,41,107,107,78
54,-7,-60,-23,57,-34,-37,92,41,105,105,76
54,-7,-60,-23,57,-34,-37,91,40,104,104,75
53,-8,-60,-22,56,-34,-37,89,39,102,102,74
52,-8,-59,-22,56,-34,-37,88,38,100,100,73
50,-8,-59,-21,55,-33,-37,86,37,98,97,71
49,-8,-58,-21,53,-33,-37,83,35,95,95,70
48,-8,-57,-20,52,-33,-37,81,34,92,92,68
48,-8,-56,-20,51,-33,-37,78,32,89,90,66
47,-8,-55,-19,50,-32,-37,76,30,86,87,64
46,-8,-54,-18,49,-31,-37,74,29,83,85,62
