leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,-1,-2,0,1,-2,1,1,0,0,1,6
3,-2,-6,0,4,-5,4,2,1,-1,4,17
4,-3,-8,0,6,-6,5,3,2,-1,6,23
5,-3,-9,-1,7,-6,6,3,2,-1,7,27
5,-2,-8,-1,7,-6,7,3,2,-2,7,29
4,-2,-7,0,6,-5,7,2,1,-4,7,29
3,-2,-5,0,5,-4,7,2,0,-5,7,29
3,-1,-4,0,4,-3,7,1,0,-5,7,29
3,0,-4,-1,4,-2,6,1,0,-4,7,29
3,1,-3,-2,4,-2,6,1,0,-3,7,29
4,2,-3,-3,4,-1,5,1,1,-2,8,30
5,3,-2,-3,3,0,5,0,1,-2,8,30
5,4,0,-4,2,1,5,0,1,-2,8,30
4,5,1,-4,1,2,4,0,0,-2,8,29
4,6,2,-4,0,3,4,-1,0,-3,8,29
4,6,3,-4,0,3,4,-1,0,-3,8,28
3,5,2,-4,1,3,4,-1,0,-3,8,28
3,5,2,-4,1,2,4,0,0,-3,8,28
4,5,1,-5,2,2,4,0,1,-3,8,28
4,5,1,-5,2,2,4,0,1,-3,8,28
5,6,1,-5,2,2,4,0,1,-2,8,28
5,6,0,-4,2,2,4,0,1,-2,8,28
5,5,0,-4,2,2,4,0,1,-3,8,28
4,4,0,-3,2,1,3,-1,0,-3,8,28
4,4,0,-3,2,1,2,-2,0,-4,7,28
4,3,-1,-3,3,0,2,-3,-2,-4,7,27
4,3,-2,-3,3,0,1,-4,-3,-4,6,27
5,3,-2,-3,4,0,0,-5,-3,-4,6,26
5,3,-2,-3,4,0,0,-5,-3,-4,6,26
4,2,-2,-3,3,-1,0,-5,-3,-5,6,26
4,2,-2,-2,3,-1,0,-5,-4,-6,6,26
4,1,-2,-2,3,-1,0,-5,-5,-7,6,26
4,1,-3,-2,4,-2,0,-5,-5,-8,6,25
4,0,-3,-1,4,-3,0,-5,-6,-8,5,25
4,-1,-4,-1,4,-4,0,-5,-6,-9,5,25
4,-2,-5,0,5,-5,1,-5,-6,-9,5,25
4,-2,-6,0,5,-5,1,-5,-6,-9,4,25
4,-2,-6,0,5,-5,1,-5,-6,-9,4,24
4,-2,-5,0,5,-5,2,-5,-6,-10,4,24
4,-2,-5,0,5,-4,2,-5,-6,-9,4,24
4,-2,-4,0,4,-4,2,-5,-6,-9,4,24
3,-2,-4,0,4,-4,2,-5,-6,-9,4,24
3,-2,-5,0,4,-4,3,-5,-6,-9,4,24
2,-2,-5,0,3,-5,3,-4,-6,-9,4,23
2,-2,-4,0,3,-5,4,-4,-6,-9,4,23
1,-2,-4,0,2,-4,5,-3,-6,-9,4,22
1,-2,-3,1,2,-4,5,-3,-6,-9,4,22
1,-2,-3,1,2,-4,6,-2,-5,-9,4,22
0,-2,-2,1,1,-3,6,-2,-5,-9,4,21
0,-2,-2,1,1,-3,7,-1,-5,-9,4,21
0,-2,-2,2,1,-3,7,-1,-4,-9,4,20
0,-2,-2,2,1,-3,8,-1,-4,-9,3,20
0,-3,-2,3,1,-4,8,-1,-4,-9,2,19
0,-4,-3,3,1,-4,8,-1,-4,-10,2,18
-1,-4,-3,4,1,-5,9,-1,-4,-10,1,17
-1,-5,-3,4,1,-5,9,-1,-4,-10,1,17
-1,-5,-3,4,1,-5,9,-1,-4,-10,1,17
-1,-5,-4,4,1,-5,9,-1,-4,-10,1,17
-1,-5,-4,4,1,-5,9,-1,-4,-10,1,16
-1,-5,-4,4,1,-5,9,-1,-4,-10,1,16
-1,-5,-4,4,1,-5,9,-1,-4,-10,1,16
-1,-5,-4,4,1,-5,9,-1,-4,-10,1,16
-1,-5,-4,4,1,-5,9,-1,-4,-10,1,15
-1,-5,-4,4,1,-5,9,0,-4,-10,1,15
-1,-6,-4,4,1,-6,10,0,-4,-10,1,15
-1,-6,-4,4,1,-6,10,0,-4,-10,1,15
-1,-5,-4,4,1,-6,10,0,-4,-10,1,15
-1,-5,-4,4,1,-6,10,0,-4,-10,1,14
-1,-5,-4,4,1,-6,10,0,-4,-10,1,14
-1,-5,-4,4,1,-6,10,0,-4,-10,1,14
-1,-5,-3,4,1,-6,10,0,-4,-10,0,14
