leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,1,1,-1,-1,1,-1,2,-1,0,0,-1
0,3,3,-2,-2,3,-3,5,-2,-1,1,-4
-1,4,5,-2,-3,4,-4,6,-3,-2,2,-5
-1,4,5,-2,-4,4,-4,5,-3,-2,2,-6
-1,4,5,-2,-4,4,-5,3,-3,-2,2,-7
-1,4,5,-2,-4,4,-5,1,-4,-3,2,-7
-1,4,5,-2,-4,4,-5,0,-4,-3,2,-7
-1,4,5,-2,-4,4,-5,0,-4,-3,2,-7
-1,4,5,-2,-4,4,-5,2,-4,-3,2,-7
-1,4,5,-2,-4,4,-5,4,-4,-3,2,-7
-2,4,5,-2,-4,5,-5,5,-4,-3,2,-7
-2,4,5,-2,-4,5,-5,5,-4,-3,2,-6
-1,4,4,-2,-3,4,-5,4,-4,-3,2,-6
-1,4,4,-2,-3,4,-5,1,-4,-3,2,-6
-1,4,4,-2,-3,4,-5,0,-4,-3,2,-6
-1,4,4,-2,-3,4,-5,0,-4,-3,2,-6
-2,4,4,-2,-3,4,-5,1,-4,-3,2,-6
-2,4,4,-2,-3,4,-5,3,-4,-3,2,-6
-2,4,4,-2,-3,5,-5,4,-4,-3,2,-6
-2,5,5,-2,-3,5,-5,4,-4,-3,2,-6
-2,5,5,-2,-3,5,-5,3,-4,-3,2,-5
-2,4,5,-2,-3,5,-5,2,-4,-3,2,-5
-2,4,5,-2,-4,5,-5,0,-4,-3,2,-5
-2,4,5,-2,-4,5,-4,0,-4,-3,1,-5
-2,4,5,-2,-4,5,-4,0,-4,-3,1,-5
-2,4,5,-2,-3,4,-4,2,-4,-3,1,-5
-2,4,4,-1,-3,4,-4,3,-4,-3,1,-5
-2,4,4,-1,-3,4,-4,3,-4,-3,0,-5
-2,4,4,-1,-4,4,-4,3,-4,-3,0,-5
-2,4,4,-1,-4,4,-4,2,-4,-3,0,-5
-2,4,4,-1,-4,4,-4,1,-4,-3,-1,-5
-2,3,4,-1,-4,3,-4,0,-4,-3,-1,-5
-2,3,4,-1,-3,3,-4,0,-4,-3,-1,-5
-2,3,4,-1,-3,3,-4,1,-4,-3,-1,-5
-2,3,4,-1,-3,3,-4,2,-4,-3,-1,-5
-2,3,5,-1,-3,3,-4,2,-4,-3,-2,-5
-2,3,5,-1,-3,3,-4,2,-4,-3,-2,-5
-2,3,5,-1,-3,3,-4,1,-4,-3,-2,-5
-2,3,5,-1,-4,4,-4,0,-4,-3,-2,-5
-2,4,5,-1,-4,4,-4,0,-4,-3,-2,-5
-2,4,5,-1,-4,4,-4,0,-4,-3,-3,-5
-2,5,5,-1,-4,4,-4,0,-4,-3,-3,-5
-2,5,5,-1,-4,4,-4,1,-4,-3,-3,-5
-2,4,5,-1,-4,4,-4,1,-4,-3,-3,-5
-2,4,5,-1,-4,4,-4,1,-4,-3,-3,-5
-2,4,5,-1,-4,4,-4,1,-4,-3,-4,-5
-2,4,5,-1,-4,4,-4,0,-4,-3,-4,-5
-2,4,5,-1,-4,4,-3,0,-4,-3,-4,-5
-2,4,4,-1,-4,3,-3,0,-4,-3,-4,-5
-2,4,4,-1,-4,3,-3,0,-4,-3,-4,-5
-2,4,4,-1,-4,3,-3,0,-4,-3,-4,-5
-2,3,4,0,-4,3,-2,0,-4,-3,-5,-5
-2,3,5,0,-4,3,-2,0,-4,-3,-5,-5
-2,2,5,0,-4,3,-2,0,-4,-3,-5,-5
-2,2,5,0,-4,3,-2,0,-4,-3,-5,-5
-2,2,5,0,-4,3,-2,0,-4,-3,-5,-5
-2,2,5,0,-4,3,-2,0,-4,-3,-5,-5
