leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
4,4,0,-4,2,1,1,0,2,1,1,1
11,11,-1,-11,6,4,3,2,5,3,3,2
16,15,0,-16,8,7,5,3,8,4,5,3
18,19,0,-18,9,9,6,4,10,6,5,4
19,21,1,-20,9,11,8,5,12,8,5,5
21,23,2,-22,9,12,8,6,13,9,5,6
22,24,2,-24,10,13,9,7,14,9,5,7
24,26,1,-25,11,13,9,7,14,10,6,7
28,27,0,-28,14,13,8,7,14,10,7,7
30,28,-2,-29,16,13,8,7,14,9,7,7
33,29,-4,-31,18,12,7,7,13,9,7,7
35,30,-6,-32,21,12,6,6,13,8,7,6
35,29,-6,-32,21,11,5,6,13,8,5,5
32,26,-6,-29,20,10,4,5,13,7,4,5
29,24,-5,-27,18,9,3,4,12,6,3,4
27,23,-4,-25,16,9,2,5,12,6,3,5
24,23,-1,-24,14,10,3,6,13,7,5,6
23,24,1,-24,12,12,5,7,14,8,6,7
24,25,1,-25,12,13,6,8,15,9,7,7
27,26,-1,-27,14,13,6,8,15,9,6,6
30,27,-2,-28,16,13,6,8,15,8,6,6
31,28,-3,-29,17,13,5,8,15,8,5,5
32,28,-3,-30,18,12,4,8,15,8,5,5
32,29,-4,-30,19,12,2,8,15,8,5,5
33,30,-3,-32,19,13,0,8,16,9,6,6
33,31,-2,-32,18,14,0,9,17,10,7,7
33,32,-1,-32,17,15,0,10,17,11,8,8
34,33,-1,-34,17,16,2,11,18,11,9,8
37,36,-1,-36,18,17,5,12,19,12,9,9
39,39,0,-39,19,19,10,13,20,12,9,10
42,43,0,-42,20,21,14,14,21,13,10,11
43,45,1,-44,20,23,17,15,21,14,10,11
42,45,2,-44,20,23,19,15,21,15,11,12
41,45,3,-43,19,24,19,14,21,15,12,12
40,44,3,-42,18,24,18,14,22,16,13,12
39,43,4,-41,18,24,17,14,22,17,13,13
39,42,4,-41,18,23,16,14,23,17,14,13
38,42,4,-40,18,23,14,14,23,17,14,13
38,41,3,-40,18,22,13,14,23,17,14,13
38,41,3,-40,18,22,12,13,23,17,14,13
38,41,2,-40,18,21,11,13,22,17,14,13
39,41,1,-41,19,21,10,13,22,17,13,14
42,41,-1,-42,22,20,9,12,21,16,13,13
45,41,-3,-43,25,19,7,12,20,16,12,13
46,41,-5,-43,26,18,5,11,19,15,11,12
45,39,-6,-42,26,17,2,10,19,14,11,11
45,39,-6,-41,26,16,1,9,18,13,10,10
45,38,-7,-41,26,16,0,8,18,13,10,10
46,38,-8,-42,27,15,-1,8,17,12,9,9
48,38,-10,-43,29,14,-2,7,16,12,9,9
51,39,-12,-45,31,13,-2,7,16,12,9,9
52,40,-12,-45,32,13,-2,8,16,12,9,9
49,40,-9,-44,29,15,0,9,17,13,10,11
45,40,-5,-43,25,18,1,11,19,15,12,13
44,40,-3,-43,24,19,2,12,20,16,13,14
44,40,-3,-43,24,18,2,12,20,16,13,14
44,40,-4,-42,24,18,3,13,21,16,13,13
44,39,-5,-42,25,17,3,13,21,16,13,13
45,39,-5,-42,25,17,3,13,21,16,13,12
44,39,-5,-41,24,16,3,13,21,16,13,12
42,37,-4,-39,23,16,3,13,21,16,13,13
41,37,-3,-39,22,17,4,14,21,16,13,13
43,38,-3,-41,23,17,5,14,21,15,13,13
43,37,-4,-40,24,16,5,13,19,13,11,11
40,33,-5,-37,23,13,4,12,17,11,9,9
35,30,-5,-33,20,12,5,12,16,10,8,8
32,29,-3,-31,18,13,6,12,16,10,8,8
31,30,-1,-30,16,14,7,13,16,11,9,8
31,30,-1,-30,16,14,8,13,15,11,8,8
31,28,-2,-29,16,13,8,12,14,10,7,7
32,28,-4,-30,18,12,7,11,12,8,5,5
34,29,-5,-32,20,11,7,11,12,8,5,5
34,29,-4,-32,19,12,8,12,13,8,5,5
34,30,-4,-32,19,12,9,13,13,8,6,5
36,31,-5,-34,20,13,10,13,13,8,6,6
38,33,-5,-36,21,14,11,13,14,9,7,6
37,33,-5,-35,21,14,11,13,14,9,6,6
36,32,-4,-33,20,13,11,13,13,9,6,5
34,31,-4,-32,19,13,11,13,13,9,6,5
34,30,-4,-32,18,13,10,13,13,9,6,5
35,31,-4,-33,19,13,11,13,13,9,6,5
38,33,-5,-36,21,13,12,13,13,9,6,6
39,33,-5,-36,22,13,12,13,13,9,6,6
39,33,-5,-36,22,13,12,13,13,9,6,6
41,35,-5,-38,23,14,12,13,13,10,6,7
42,37,-5,-39,24,16,13,13,13,10,7,7
42,37,-5,-39,24,16,12,13,13,10,7,7
41,35,-5,-37,23,15,11,13,13,10,6,6
39,33,-5,-36,22,14,9,13,13,10,6,6
38,33,-5,-35,21,14,8,14,13,10,6,6
39,34,-5,-36,22,14,7,14,13,10,7,7
41,36,-5,-38,23,15,7,15,14,10,7,7
42,36,-5,-38,23,15,8,15,14,10,7,6
44,37,-6,-39,24,15,9,15,14,10,7,6
43,38,-5,-40,23,16,11,15,14,11,7,7
40,37,-3,-38,21,17,14,15,13,11,7,7
36,35,-1,-35,18,17,17,15,13,11,8,8
33,35,2,-34,15,18,20,16,14,12,9,9
33,36,2,-34,15,19,22,17,15,13,9,9
36,36,0,-35,17,18,23,17,15,13,9,8
36,36,0,-35,18,18,24,18,15,12,8,7
36,36,0,-35,18,18,25,20,17,13,8,7
38,36,-2,-36,19,17,25,21,18,14,8,6
40,35,-5,-37,22,15,24,22,21,16,9,5
42,35,-7,-38,24,14,24,23,24,19,10,6
42,36,-6,-39,24,15,24,23,28,24,14,7
43,38,-4,-40,23,17,22,22,33,30,18,10
44,41,-4,-42,24,18,20,21,36,35,22,12
46,43,-3,-44,24,20,18,19,38,40,27,15
46,44,-2,-45,24,21,16,16,38,44,31,19
47,46,-1,-46,24,22,13,12,35,47,36,22
49,50,0,-49,24,25,11,7,30,50,40,25
53,55,1,-54,25,28,9,0,24,54,46,30
56,59,2,-57,26,31,6,-9,16,57,52,35
58,62,2,-59,27,32,1,-22,4,58,57,40
61,64,2,-62,29,34,-4,-40,-11,56,60,43
65,68,3,-66,30,35,-10,-60,-28,53,63,47
67,72,5,-69,31,38,-16,-80,-44,49,65,51
66,74,8,-70,29,41,-22,-99,-61,42,64,53
64,75,11,-69,26,43,-28,-118,-80,31,60,53
62,75,12,-69,25,44,-32,-134,-99,15,52,52
62,77,14,-70,24,46,-34,-146,-118,-3,41,51
61,80,18,-71,21,50,-34,-155,-136,-23,29,49
57,82,24,-69,16,54,-33,-165,-157,-43,15,46
50,81,30,-65,10,55,-34,-176,-178,-64,0,41
42,75,33,-58,4,54,-36,-185,-196,-85,-15,35
35,67,32,-50,1,49,-39,-192,-211,-103,-30,28
31,57,26,-44,3,41,-42,-195,-219,-119,-43,21
30,49,18,-39,6,34,-44,-195,-221,-128,-53,14
28,42,14,-36,7,29,-44,-193,-216,-131,-58,10
24,39,14,-32,5,27,-42,-188,-204,-127,-58,8
19,39,19,-29,0,29,-39,-178,-188,-117,-54,9
17,41,23,-29,-2,32,-34,-164,-170,-105,-48,11
16,43,25,-29,-4,34,-30,-150,-152,-94,-43,12
16,43,27,-28,-5,35,-27,-135,-135,-83,-38,13
17,43,26,-29,-4,35,-24,-119,-117,-72,-33,13
21,45,24,-32,-2,35,-21,-102,-101,-62,-28,14
23,46,23,-35,0,35,-20,-88,-87,-53,-24,14
24,47,22,-35,1,35,-19,-76,-75,-46,-21,14
24,46,21,-35,1,34,-18,-65,-66,-41,-19,13
23,45,21,-34,1,34,-16,-55,-58,-36,-18,11
22,45,22,-32,0,33,-15,-47,-51,-31,-16,10
21,44,23,-31,-1,33,-14,-40,-45,-27,-15,8
20,43,22,-31,-1,33,-13,-35,-40,-24,-13,7
21,42,20,-31,0,31,-12,-31,-35,-21,-12,5
22,40,18,-30,1,29,-11,-26,-31,-19,-11,4
21,37,16,-29,2,27,-7,-20,-25,-16,-10,3
22,36,13,-28,4,25,-3,-13,-19,-12,-8,3
23,34,11,-28,5,23,0,-6,-13,-7,-6,2
21,32,11,-26,5,22,2,-1,-8,-3,-5,1
19,30,10,-24,4,20,3,4,-3,0,-3,1
18,27,10,-22,4,18,5,8,0,2,-2,0
16,25,9,-20,4,16,6,10,3,4,0,0
16,23,7,-20,5,15,6,12,5,6,0,0
17,21,4,-19,6,13,6,13,6,6,1,-1
17,19,1,-19,7,11,6,14,7,7,1,-1
18,17,0,-18,8,9,6,15,8,8,2,-1
19,16,-3,-18,10,7,5,15,8,8,2,-1
22,16,-6,-18,13,5,4,16,8,8,2,-2
24,17,-7,-20,15,5,3,16,8,9,2,-2
25,17,-6,-20,15,5,3,16,9,9,2,-2
24,17,-6,-20,15,5,3,16,9,9,2,-2
24,17,-6,-21,15,5,3,16,9,9,2,-2
25,18,-7,-21,16,5,3,16,9,9,2,-2
26,18,-7,-22,16,6,4,17,9,9,2,-2
25,18,-6,-21,15,6,3,17,9,9,2,-2
23,17,-6,-20,15,5,3,17,9,9,2,-2
23,16,-6,-19,14,5,2,17,9,9,2,-2
21,15,-6,-17,14,4,2,16,9,9,2,-3
19,12,-6,-15,13,3,1,15,8,8,1,-3
17,11,-5,-14,12,3,1,15,8,8,1,-4
17,11,-5,-14,11,3,1,16,9,8,1,-4
17,12,-5,-14,10,4,2,16,9,9,1,-3
18,13,-6,-15,11,4,2,17,9,9,1,-3
20,14,-7,-17,13,3,2,17,10,10,2,-2
22,15,-7,-18,14,3,2,18,10,10,2,-2
22,16,-6,-19,14,5,3,18,11,11,3,-1
21,16,-4,-18,12,6,3,18,11,12,4,0
20,16,-3,-17,11,6,3,18,11,11,4,0
19,16,-3,-17,11,6,3,18,11,11,4,-1
19,16,-4,-17,11,6,3,18,11,11,4,-1
19,15,-4,-17,11,5,2,18,11,11,4,-1
18,14,-5,-16,11,4,2,18,10,10,3,-1
17,12,-5,-14,11,4,1,17,9,10,2,-2
16,11,-4,-13,10,3,1,17,9,10,2,-2
16,11,-5,-13,11,3,1,16,9,10,2,-3
17,11,-6,-14,12,2,1,16,9,10,1,-3
17,12,-6,-14,12,3,1,17,9,10,2,-3
14,11,-3,-13,9,4,1,18,10,10,2,-3
10,9,-1,-10,5,4,1,18,10,11,3,-2
9,9,0,-8,3,4,1,19,11,11,3,-2
10,9,0,-9,4,4,1,20,12,11,4,-2
12,10,-1,-10,6,4,1,20,12,12,4,-1
13,10,-3,-11,8,4,1,20,12,11,3,-2
14,9,-4,-11,10,3,0,20,13,11,3,-2
15,9,-5,-12,10,2,-2,21,13,12,3,-2
13,8,-5,-11,9,2,-5,21,13,12,3,-2
11,8,-3,-10,7,2,-7,21,13,12,3,-2
6,7,0,-7,3,3,-8,21,14,13,4,-2
0,5,3,-3,-1,4,-7,22,15,13,4,-1
-1,5,6,-1,-4,5,-4,23,16,14,5,0
1,8,6,-4,-2,7,0,25,17,16,7,0
7,11,4,-9,2,8,3,26,18,17,7,1
14,13,0,-13,7,7,6,26,18,17,7,1
17,13,-3,-15,10,5,7,25,17,16,6,0
18,13,-5,-15,11,4,7,24,16,15,6,0
18,13,-6,-16,12,3,8,24,17,15,6,0
20,15,-6,-18,13,4,8,24,17,16,6,0
25,19,-6,-22,15,6,9,26,19,17,7,1
26,21,-5,-23,16,7,9,27,20,18,8,2
22,17,-4,-19,13,6,8,26,20,18,7,1
15,11,-4,-13,10,4,6,25,19,17,6,0
11,7,-3,-9,8,2,5,24,19,16,6,-1
9,6,-3,-7,6,2,4,24,19,16,6,-1
8,5,-3,-7,6,1,4,24,19,16,6,-1
8,5,-3,-6,6,1,2,24,18,16,5,-2
7,4,-3,-5,5,0,-1,24,18,15,5,-2
7,3,-3,-4,5,-1,-6,24,19,15,5,-2
5,2,-3,-3,4,-1,-11,25,19,15,5,-2
4,1,-3,-3,4,-1,-14,26,21,16,6,-2
