leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
2,0,-2,0,2,-1,-1,0,0,-1,0,5
6,0,-6,-3,6,-3,-2,-1,0,-2,0,13
10,2,-8,-6,9,-3,-2,-1,1,-2,0,18
12,3,-9,-7,10,-3,-2,0,2,-1,1,21
12,4,-9,-8,10,-3,-2,0,2,-1,1,22
11,3,-9,-7,10,-3,-2,0,3,-1,0,22
10,2,-9,-6,10,-3,-2,1,3,-1,0,22
8,0,-9,-4,9,-4,-2,1,4,-1,0,21
6,-2,-9,-2,8,-6,-2,2,4,-1,0,21
5,-5,-10,0,8,-7,-1,2,4,-1,0,21
4,-6,-10,1,8,-8,-1,3,4,0,0,20
3,-6,-10,1,7,-8,0,3,4,0,0,20
3,-6,-10,1,7,-8,0,4,5,0,0,20
4,-5,-10,0,7,-8,0,4,5,1,0,19
4,-5,-10,0,7,-8,0,5,6,2,0,19
4,-5,-10,0,7,-8,1,5,7,2,0,19
4,-5,-10,0,7,-8,1,6,7,2,0,19
4,-5,-9,0,7,-7,2,6,8,3,0,19
5,-4,-9,0,7,-7,2,7,8,3,1,19
6,-3,-8,-1,7,-6,3,7,8,3,1,18
7,-1,-8,-2,7,-5,3,8,8,3,1,18
7,0,-8,-3,8,-4,4,8,9,3,1,18
8,0,-8,-4,8,-4,4,8,9,3,2,18
8,0,-8,-4,8,-4,4,8,9,3,2,18
8,0,-7,-3,8,-4,4,8,9,3,2,17
7,-1,-7,-2,7,-5,4,8,9,2,2,17
6,-2,-7,-1,7,-5,4,8,9,2,2,16
4,-4,-7,1,6,-6,3,7,8,1,1,15
1,-6,-7,3,5,-7,2,6,7,0,0,14
0,-7,-7,4,4,-8,2,5,6,0,0,13
-1,-8,-7,6,3,-8,1,4,6,0,-1,12
-2,-10,-8,7,2,-9,1,4,5,-1,-2,11
-1,-10,-9,6,3,-10,1,5,6,0,-1,12
2,-8,-9,3,6,-9,3,6,7,1,0,13
7,-3,-9,-1,8,-7,5,8,8,2,1,14
11,2,-8,-6,10,-4,6,9,9,3,2,15
13,4,-8,-8,10,-2,7,10,10,3,3,15
12,4,-8,-8,10,-2,7,9,10,3,2,15
11,3,-8,-7,10,-2,7,9,10,3,2,15
11,3,-7,-7,10,-2,7,9,10,3,2,15
10,3,-7,-6,9,-2,6,8,9,3,2,14
8,0,-7,-4,8,-4,5,7,9,2,1,13
6,-2,-7,-2,7,-5,5,6,8,1,0,12
5,-3,-7,0,6,-6,4,6,7,0,0,11
4,-3,-6,0,6,-5,4,5,7,0,-1,10
4,-3,-6,0,5,-5,4,5,6,0,-1,9
3,-4,-6,1,5,-6,4,5,6,0,-1,9
2,-4,-6,1,5,-6,4,5,6,0,-1,9
2,-4,-7,1,5,-6,4,5,6,0,-1,9
2,-5,-7,2,4,-6,4,5,6,0,-2,8
1,-7,-7,3,3,-7,3,4,5,0,-3,8
0,-8,-7,4,3,-8,3,4,5,-1,-3,7
-1,-8,-7,4,2,-8,3,3,5,-2,-3,6
0,-7,-6,3,2,-7,4,3,5,-2,-3,5
1,-4,-5,1,3,-5,4,4,5,-1,-3,6
2,-2,-5,0,3,-4,4,4,6,-1,-2,6
3,-2,-5,0,3,-4,4,4,6,-1,-2,7
3,-2,-5,0,4,-4,4,4,6,-1,-2,7
2,-4,-5,1,4,-5,5,4,6,-1,-2,6
1,-5,-5,2,4,-5,5,4,6,-1,-2,6
1,-6,-5,2,4,-6,5,4,6,-1,-2,5
