leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,-2,-1,0,5,0,0
0,-1,-1,0,1,-1,-7,-6,-3,12,-2,1
0,-1,-1,0,1,-2,-14,-17,-8,14,-4,2
0,-1,-1,0,0,-1,-22,-30,-16,14,-5,4
0,0,0,0,0,0,-31,-42,-23,14,-6,6
1,2,0,-2,0,0,-41,-53,-28,14,-5,9
4,5,0,-4,2,2,-52,-63,-33,15,-3,12
8,8,0,-8,4,3,-63,-72,-36,16,0,16
13,11,-2,-12,7,4,-74,-79,-39,17,4,21
20,15,-5,-17,12,4,-86,-86,-41,19,9,27
27,19,-8,-23,17,5,-96,-91,-42,23,15,33
34,24,-10,-29,21,6,-106,-95,-42,27,22,40
39,29,-11,-34,25,8,-114,-100,-44,31,28,46
44,34,-11,-39,27,10,-121,-104,-45,34,33,52
47,39,-9,-43,27,14,-126,-106,-43,40,40,59
48,45,-4,-47,26,19,-128,-104,-38,48,49,66
47,50,2,-49,22,24,-125,-99,-31,58,58,73
42,52,10,-48,16,30,-118,-90,-23,65,65,78
36,53,17,-45,10,34,-108,-82,-17,70,68,79
30,53,23,-42,4,37,-98,-77,-16,71,69,79
25,53,27,-40,0,39,-90,-73,-15,72,71,79
22,53,30,-38,-3,40,-81,-69,-13,74,73,81
19,53,33,-37,-7,42,-72,-62,-8,78,77,83
16,55,38,-36,-11,45,-62,-53,-1,83,81,84
12,55,43,-34,-15,48,-52,-43,5,87,82,83
8,54,47,-32,-19,50,-43,-34,9,86,78,78
3,51,48,-27,-22,49,-34,-27,10,81,68,68
-1,46,47,-22,-24,46,-25,-19,10,72,55,55
-5,39,44,-17,-24,41,-16,-13,10,62,40,42
-8,31,40,-12,-24,35,-8,-7,9,52,27,30
-10,24,35,-7,-22,28,0,-1,9,45,17,21
-11,18,30,-4,-21,23,5,3,8,39,9,15
-12,14,26,-1,-19,18,9,6,7,34,3,10
-12,10,23,0,-18,15,12,8,6,29,-1,8
-13,7,20,2,-16,13,15,9,5,26,-3,6
-13,5,19,4,-15,11,17,11,5,25,-4,6
-13,4,17,4,-14,10,19,13,6,25,-4,6
-13,3,16,5,-13,9,21,15,7,25,-4,5
-12,2,14,5,-13,7,22,16,7,25,-5,5
-13,1,14,6,-13,6,23,16,7,24,-5,5
-13,0,13,6,-13,6,23,17,7,24,-6,5
-13,0,13,6,-13,5,23,17,7,24,-6,5
-12,0,12,6,-12,5,23,17,6,24,-6,5
-12,0,12,6,-12,5,23,18,7,24,-5,5
-12,0,12,6,-12,5,24,18,7,25,-5,5
-12,0,12,6,-12,5,24,19,7,25,-4,5
-12,0,12,6,-12,5,24,19,8,25,-4,4
-12,0,12,6,-12,4,24,19,8,25,-4,3
-13,0,12,6,-12,4,25,19,8,26,-4,3
-13,0,12,6,-12,4,25,19,9,27,-3,4
-12,0,12,6,-12,4,25,19,9,28,-2,5
-12,-1,11,6,-11,4,25,19,9,28,-2,5
-12,-1,11,6,-11,4,25,19,9,27,-2,5
-12,-1,11,6,-11,5,25,20,10,27,-2,5
-12,-1,11,6,-11,5,25,20,10,27,-2,6
