leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
3,1,-2,-2,2,-2,-2,-34,0,0,-1,2
6,2,-5,-5,6,-4,-5,-74,-1,-1,-4,4
7,2,-5,-6,6,-4,-5,-80,-1,-1,-6,5
7,1,-7,-5,7,-6,-5,-78,-1,-1,-5,5
7,1,-7,-5,7,-6,-5,-75,-1,-1,-3,5
7,2,-6,-6,6,-5,-5,-72,-1,-1,-1,5
7,2,-6,-6,6,-5,-5,-71,-1,-1,0,5
7,3,-6,-6,6,-4,-5,-73,-1,-1,0,6
7,3,-5,-6,6,-4,-5,-77,-1,-1,-2,5
6,2,-5,-6,6,-5,-5,-80,-1,-1,-4,5
6,2,-6,-6,6,-5,-5,-81,-1,-1,-5,5
7,3,-6,-6,6,-4,-5,-80,-1,-1,-5,5
7,2,-6,-6,6,-5,-5,-78,-1,-1,-4,5
6,2,-6,-5,6,-5,-5,-74,-1,-1,-2,5
6,2,-5,-5,6,-4,-5,-73,-1,-1,-1,5
7,3,-5,-6,6,-4,-5,-75,-1,-1,-1,5
7,2,-6,-6,6,-5,-5,-78,-1,-1,-2,5
7,2,-6,-6,6,-5,-5,-81,-1,-1,-3,5
7,2,-5,-6,6,-5,-5,-82,-1,-1,-4,5
7,2,-6,-6,6,-5,-5,-82,-1,-1,-4,5
7,1,-6,-5,6,-5,-5,-80,-1,-1,-4,5
6,2,-6,-5,6,-5,-5,-77,-1,-1,-4,5
6,2,-6,-6,6,-5,-5,-77,-1,-1,-3,5
6,2,-6,-6,6,-5,-5,-77,-1,-1,-3,5
6,3,-5,-6,6,-4,-5,-79,-1,-1,-3,5
6,2,-5,-6,6,-4,-5,-82,-1,-1,-3,5
6,2,-6,-6,6,-5,-5,-83,-1,-1,-3,5
6,3,-6,-6,6,-5,-5,-83,-1,-1,-3,5
6,3,-6,-6,6,-5,-5,-83,-1,-1,-4,5
6,2,-6,-6,6,-5,-5,-81,-1,-1,-4,5
6,2,-6,-6,6,-5,-5,-80,-1,-1,-4,4
6,2,-6,-6,6,-5,-5,-80,-1,-1,-4,4
6,2,-6,-6,6,-6,-5,-80,-1,-1,-4,4
6,2,-6,-5,6,-6,-5,-83,-1,-1,-4,4
6,2,-6,-5,6,-5,-5,-85,-1,-1,-4,4
6,2,-6,-5,6,-5,-5,-85,-1,-1,-3,4
6,2,-6,-5,6,-5,-5,-85,-1,-1,-3,4
6,2,-5,-5,6,-4,-5,-84,-1,-1,-3,4
6,2,-5,-5,6,-5,-5,-83,-1,-1,-3,4
7,2,-6,-5,6,-5,-5,-83,-1,-1,-3,4
7,2,-5,-6,6,-4,-5,-84,-1,-1,-3,5
6,2,-5,-6,6,-4,-5,-86,-1,-1,-3,5
6,2,-6,-5,6,-5,-5,-86,-1,-1,-3,4
6,2,-6,-5,6,-5,-5,-86,-1,-1,-3,4
6,2,-6,-5,6,-5,-5,-87,-1,-1,-3,4
6,1,-8,-5,7,-6,-4,-86,0,-1,-3,5
6,1,-7,-5,7,-6,-5,-86,0,-1,-3,4
6,2,-5,-6,6,-4,-5,-87,-1,-1,-4,4
7,3,-5,-6,5,-4,-5,-87,-1,-1,-4,4
7,3,-5,-6,5,-4,-5,-87,-1,-1,-4,4
6,3,-5,-6,5,-4,-5,-88,-1,-1,-4,4
6,2,-5,-6,6,-5,-5,-88,-1,-1,-4,4
7,3,-5,-6,6,-5,-5,-88,-1,-1,-4,4
7,3,-5,-6,6,-5,-5,-88,-1,-1,-4,4
6,1,-7,-5,6,-6,-5,-87,0,-1,-4,4
6,1,-6,-5,6,-6,-5,-87,0,-1,-4,4
7,3,-4,-6,6,-4,-5,-88,-1,-1,-4,4
7,3,-5,-6,6,-5,-5,-88,-1,-1,-4,4
7,1,-6,-5,6,-5,-5,-88,-1,-1,-4,4
6,2,-6,-6,6,-4,-5,-89,-1,-1,-4,4
6,3,-5,-6,6,-4,-5,-89,-1,-1,-4,4
6,2,-6,-6,6,-5,-5,-89,-1,-1,-4,4
6,2,-6,-5,6,-6,-5,-89,-1,-1,-4,4
6,2,-6,-5,6,-5,-5,-89,-1,-1,-4,4
6,2,-6,-5,6,-5,-5,-90,-1,-1,-4,4
6,2,-6,-5,6,-5,-5,-90,-1,-1,-4,4
6,2,-6,-5,6,-5,-5,-91,-1,-1,-4,4
6,2,-6,-5,6,-5,-5,-91,-1,-1,-4,5
6,2,-6,-5,6,-5,-5,-92,-1,-1,-4,5
6,3,-5,-6,6,-4,-5,-92,-1,-1,-5,4
6,3,-5,-6,6,-4,-5,-92,-1,-1,-5,4
6,2,-6,-5,6,-5,-5,-91,-1,-1,-5,4
6,2,-6,-5,6,-5,-5,-91,-1,-1,-4,4
7,2,-6,-5,6,-5,-5,-91,-1,-1,-4,4
7,1,-7,-5,6,-5,-5,-91,-1,-1,-4,4
6,1,-6,-6,6,-5,-5,-91,-1,-1,-4,4
6,2,-5,-6,6,-4,-5,-92,-1,-1,-4,4
