leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,1,0,-1,2,5,0,0,0,0
-3,-4,0,3,-1,-2,6,13,-1,-2,0,-1
-5,-5,0,5,-2,-3,7,16,-2,-3,-1,-2
-6,-5,0,5,-3,-3,8,18,-3,-3,-3,-3
-6,-5,1,5,-3,-2,8,19,-3,-3,-4,-4
-6,-5,1,6,-3,-2,9,20,-3,-3,-4,-4
-8,-6,1,7,-4,-2,10,22,-3,-4,-3,-4
-9,-7,1,9,-5,-3,11,24,-3,-5,-3,-5
-10,-8,1,10,-5,-3,12,26,-3,-5,-2,-5
-11,-9,2,10,-5,-3,12,26,-3,-5,-2,-5
-11,-9,2,10,-6,-3,11,25,-3,-5,-3,-5
-11,-8,2,10,-6,-3,11,23,-3,-5,-4,-5
-11,-8,2,9,-6,-3,10,22,-3,-4,-4,-4
-11,-9,2,10,-6,-4,10,22,-3,-4,-3,-4
-11,-9,1,10,-6,-4,10,23,-3,-4,-2,-4
-11,-9,0,10,-5,-4,10,24,-3,-4,-1,-4
-9,-8,0,9,-5,-4,11,26,-2,-3,0,-4
-9,-7,1,8,-5,-3,11,27,-2,-3,0,-4
-9,-6,3,7,-5,-2,10,26,-2,-3,0,-4
-9,-5,3,7,-6,-1,10,24,-2,-3,-1,-4
-9,-5,3,7,-6,-1,9,23,-2,-3,-2,-4
-9,-6,3,7,-6,-2,9,22,-2,-3,-2,-4
-8,-5,2,7,-5,-2,10,23,-2,-3,-1,-4
-8,-5,2,7,-5,-2,10,24,-2,-3,0,-4
-8,-6,1,7,-5,-2,9,24,-3,-3,0,-4
-8,-7,1,8,-5,-3,9,24,-3,-4,0,-4
-10,-9,1,9,-5,-3,8,23,-3,-4,0,-4
-11,-10,1,10,-6,-4,8,22,-3,-4,0,-4
-11,-10,1,10,-6,-4,8,22,-3,-4,0,-4
-11,-10,1,10,-6,-4,7,21,-3,-4,0,-4
-12,-10,1,10,-6,-4,7,21,-3,-4,0,-5
-12,-10,1,11,-6,-4,7,22,-3,-4,0,-5
-11,-10,1,11,-6,-4,7,22,-3,-4,0,-5
-11,-9,1,10,-6,-3,7,22,-2,-3,0,-5
-10,-9,1,9,-6,-3,7,22,-2,-3,1,-5
-10,-9,1,9,-5,-3,7,21,-2,-3,0,-5
-9,-9,1,9,-5,-3,6,20,-2,-3,0,-5
-10,-8,1,9,-5,-3,7,20,-1,-2,1,-4
-10,-8,2,9,-5,-2,7,20,-1,-2,1,-4
-11,-7,3,8,-6,-2,7,21,-1,-1,2,-4
-11,-7,3,8,-6,-1,7,21,-1,-1,2,-4
-11,-7,3,9,-7,-1,7,22,-1,-1,2,-5
-12,-8,3,9,-7,-1,7,22,-1,-2,2,-5
-11,-7,3,8,-7,-1,7,22,0,-2,2,-5
-9,-5,3,7,-6,0,8,22,0,-1,2,-4
-9,-4,3,6,-7,0,8,22,1,-1,2,-4
-9,-4,3,6,-7,0,7,21,1,-1,2,-4
-8,-3,3,5,-6,1,7,22,1,-1,3,-3
-8,-2,4,4,-6,1,7,22,1,0,3,-3
-7,-2,4,4,-6,1,6,22,1,0,4,-3
-8,-3,4,5,-6,1,6,21,1,0,4,-3
-8,-3,5,6,-7,1,5,21,1,0,4,-3
-8,-2,5,6,-7,1,5,20,1,0,4,-3
-9,-3,5,6,-7,1,5,19,1,0,4,-3
-11,-4,5,7,-8,0,4,18,0,0,4,-3
-10,-4,5,7,-8,0,3,17,0,0,5,-3
-8,-2,5,5,-7,1,3,17,1,0,6,-2
-7,-1,5,4,-6,2,2,16,1,1,6,-2
-7,-1,5,4,-6,2,1,16,1,1,7,-1
-6,0,6,3,-6,3,0,15,0,1,7,-1
-5,1,5,2,-5,4,-1,14,0,1,6,0
-4,1,5,2,-5,3,-2,12,-1,0,6,0
-5,0,5,2,-5,3,-3,11,-3,0,5,-1
-5,0,5,3,-5,3,-4,9,-4,-1,5,-1
-6,0,5,3,-5,2,-4,9,-5,-2,5,-2
-6,-1,5,3,-5,2,-5,8,-5,-2,5,-2
-7,-3,4,5,-6,0,-5,8,-6,-3,4,-2
-7,-4,3,5,-5,0,-6,7,-6,-4,4,-3
-7,-4,2,5,-5,-1,-6,6,-7,-4,3,-3
-7,-4,2,6,-5,-1,-6,5,-7,-4,3,-3
-9,-5,2,7,-5,-2,-7,4,-8,-5,2,-3
-9,-6,1,7,-5,-2,-7,4,-9,-6,1,-4
-7,-5,1,6,-3,-2,-7,3,-9,-6,1,-5
-6,-3,1,5,-2,-1,-6,3,-9,-5,1,-4
-5,-2,2,4,-2,0,-5,4,-8,-5,2,-4
-4,-2,2,3,-3,0,-4,4,-7,-4,3,-4
-5,-3,2,5,-4,-1,-4,4,-7,-4,3,-4
-7,-6,2,7,-5,-2,-4,4,-7,-5,2,-4
-9,-7,2,8,-5,-2,-3,4,-7,-5,2,-5
-9,-7,2,8,-5,-2,-3,5,-7,-5,1,-5
-9,-7,1,8,-5,-2,-2,5,-7,-5,1,-5
-9,-8,1,8,-5,-3,-1,5,-7,-5,1,-5
-10,-9,1,9,-6,-3,-1,4,-7,-6,0,-6
-11,-10,1,10,-6,-4,-1,4,-7,-6,0,-6
-11,-11,1,11,-6,-5,-1,4,-7,-6,0,-7
-12,-12,0,12,-6,-6,-1,4,-7,-6,-1,-8
-14,-13,0,13,-6,-7,-1,3,-8,-6,-1,-8
-14,-14,0,13,-6,-7,-1,3,-8,-6,-1,-9
-14,-14,-1,13,-6,-7,-1,3,-7,-6,0,-9
-14,-14,-1,13,-7,-7,0,3,-7,-6,0,-9
-14,-14,-1,14,-7,-8,0,3,-7,-6,-1,-9
-14,-15,-1,14,-7,-8,0,3,-8,-6,-1,-10
-14,-15,-2,13,-6,-9,0,2,-8,-6,-2,-10
-13,-15,-2,13,-6,-9,0,2,-8,-6,-2,-10
-13,-15,-2,13,-5,-8,0,2,-8,-6,-2,-10
-13,-15,-2,14,-5,-8,0,2,-8,-6,-2,-10
-13,-15,-2,14,-5,-8,0,2,-8,-6,-2,-10
-13,-15,-3,14,-5,-9,0,1,-8,-6,-2,-10
