leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,2,5,-1,-2,4,0,-1,0,0,2,1
-5,2,11,1,-7,7,1,-2,1,3,4,3
-11,-2,12,6,-10,4,4,2,6,7,4,4
-10,-5,8,7,-8,1,8,7,11,9,5,5
-6,-5,5,6,-5,0,11,11,14,11,6,6
-2,-1,5,2,-2,1,12,17,17,15,9,9
1,4,7,-2,-2,5,14,24,22,21,15,13
3,9,9,-5,-2,9,14,34,29,29,23,17
10,13,6,-11,3,9,13,43,37,39,31,22
15,16,4,-16,7,10,12,51,46,52,41,30
15,14,3,-15,7,9,11,58,54,65,50,37
21,6,-11,-14,18,-2,12,68,59,70,49,34
32,-11,-39,-11,38,-25,16,84,58,63,33,17
39,-36,-71,-1,57,-54,20,100,48,42,5,-9
44,-59,-99,7,73,-79,22,112,37,21,-19,-33
49,-71,-117,11,84,-94,20,117,29,9,-34,-48
55,-75,-128,9,93,-102,13,111,20,1,-40,-55
58,-74,-130,7,94,-102,6,97,10,-4,-42,-55
50,-69,-116,9,84,-92,4,77,5,-7,-39,-49
37,-63,-97,13,69,-80,4,58,1,-10,-38,-44
25,-58,-79,16,53,-69,9,43,-2,-17,-41,-41
12,-54,-61,20,38,-57,13,31,-6,-25,-44,-40
-3,-50,-43,26,21,-47,15,19,-12,-34,-47,-40
-15,-46,-27,30,7,-37,17,12,-14,-40,-48,-41
-21,-43,-19,31,0,-31,20,12,-13,-41,-48,-42
-22,-41,-17,32,-1,-29,24,18,-7,-37,-46,-42
-15,-37,-19,27,2,-28,29,26,1,-29,-43,-40
-9,-33,-20,22,7,-27,36,33,9,-23,-40,-37
-10,-36,-22,24,7,-29,40,38,14,-19,-40,-37
-13,-39,-21,25,5,-29,42,42,18,-17,-40,-37
-16,-35,-14,26,0,-24,46,46,22,-14,-37,-34
-25,-30,-2,27,-10,-16,53,51,27,-11,-32,-30
-29,-25,7,27,-17,-8,58,53,30,-8,-27,-27
-26,-21,8,24,-16,-6,62,52,31,-7,-25,-27
-25,-21,6,23,-15,-7,66,51,32,-6,-25,-27
-29,-25,8,27,-17,-8,70,51,33,-6,-26,-27
-33,-28,8,31,-19,-10,73,51,34,-5,-27,-27
-32,-27,8,29,-19,-9,77,50,35,-4,-26,-25
-29,-25,8,27,-17,-7,80,48,34,-5,-26,-25
-30,-24,9,27,-18,-7,80,43,28,-8,-26,-25
-30,-22,12,26,-20,-4,81,42,25,-10,-25,-25
-32,-18,18,25,-24,1,86,43,25,-7,-22,-23
-34,-16,21,25,-27,3,90,43,26,-6,-19,-21
-29,-16,16,23,-22,0,91,41,24,-6,-20,-21
-25,-19,10,23,-16,-5,90,38,20,-8,-22,-22
-30,-27,6,28,-17,-10,85,33,14,-12,-24,-22
-33,-31,5,32,-18,-12,80,26,8,-16,-26,-22
-30,-29,4,29,-16,-11,77,20,4,-18,-26,-22
-28,-26,4,26,-15,-10,76,17,1,-19,-25,-22
-28,-26,6,27,-16,-9,74,14,-1,-20,-25,-22
-30,-27,7,29,-18,-10,71,11,-4,-21,-24,-22
-32,-28,7,31,-19,-10,67,8,-6,-20,-24,-22
-31,-30,4,31,-16,-13,59,5,-8,-20,-24,-22
-29,-32,0,31,-13,-15,50,3,-10,-20,-24,-21
-28,-32,-2,30,-11,-16,40,0,-11,-21,-23,-20
-23,-29,-2,26,-9,-15,31,-3,-13,-21,-21,-18
-18,-21,0,20,-8,-10,25,-2,-11,-17,-17,-13
-13,-13,4,13,-8,-4,20,-1,-10,-14,-13,-9
-7,-8,2,8,-4,-2,14,-3,-11,-13,-11,-7
-3,-8,-1,5,0,-4,9,-5,-12,-14,-12,-7
-1,-9,-4,6,2,-7,5,-5,-13,-14,-12,-7
-2,-11,-6,7,3,-9,3,-5,-11,-12,-12,-7
-7,-15,-5,11,0,-9,2,-4,-10,-10,-11,-7
-11,-17,-3,14,-3,-9,0,-4,-8,-9,-11,-7
-7,-12,-2,9,-2,-7,0,-3,-7,-8,-9,-5
-2,-5,0,3,0,-2,0,-2,-7,-7,-7,-3
2,-3,-1,0,2,-2,0,-2,-9,-8,-6,-3
0,-7,-3,3,2,-5,-2,-4,-10,-9,-7,-4
-7,-10,1,10,-3,-5,-1,-3,-9,-8,-6,-2
-10,-11,2,11,-5,-5,-1,-2,-7,-7,-6,-2
-6,-12,-3,9,0,-7,-3,-4,-8,-7,-8,-4
-6,-13,-4,9,0,-7,-4,-5,-8,-7,-8,-4
-9,-12,0,10,-3,-5,-4,-5,-8,-6,-8,-3
-8,-9,1,9,-3,-3,-6,-5,-8,-6,-7,-3
-3,-7,0,5,-1,-3,-7,-6,-9,-6,-7,-3
-1,-6,0,3,0,-3,-7,-6,-10,-6,-6,-3
-1,-6,0,4,1,-3,-7,-5,-9,-6,-6,-3
-1,-7,-1,4,1,-4,-7,-5,-9,-7,-6,-3
-2,-9,-3,5,2,-5,-7,-5,-9,-7,-7,-3
-2,-9,-3,6,2,-5,-6,-4,-8,-6,-6,-2
-4,-9,-1,7,0,-5,-8,-4,-8,-6,-6,-2
-6,-9,0,7,-1,-4,-9,-4,-8,-6,-6,-2
-6,-8,0,7,-2,-4,-10,-4,-8,-6,-6,-2
-9,-12,1,11,-4,-6,-11,-5,-10,-7,-8,-4
-10,-13,1,12,-4,-6,-10,-5,-11,-8,-8,-4
-4,-7,2,6,-2,-2,-7,-3,-8,-5,-5,-1
-1,-4,1,3,0,0,-6,-2,-6,-3,-4,0
-4,-8,-2,6,0,-4,-9,-3,-7,-4,-5,-1
-4,-9,-2,7,0,-5,-9,-3,-7,-5,-5,-1
-1,-4,0,2,1,-2,-7,-1,-5,-4,-4,0
2,-2,-2,0,4,-2,-7,-1,-5,-4,-4,0
1,-3,-1,1,2,-2,-8,-1,-7,-5,-4,0
-3,-6,1,5,-1,-2,-8,-1,-7,-5,-4,0
-4,-8,1,6,-1,-3,-8,-1,-7,-4,-3,0
-2,-6,0,4,0,-2,-8,-1,-6,-3,-2,0
0,-6,-2,3,2,-3,-8,-1,-5,-2,-2,0
0,-7,-3,4,3,-5,-10,-2,-5,-3,-2,-1
-5,-9,0,7,0,-5,-10,-2,-6,-3,-2,-1
-9,-9,3,9,-4,-3,-9,-1,-6,-3,-2,0
-7,-9,1,8,-2,-4,-10,-2,-7,-4,-3,0
-4,-9,-1,7,0,-5,-11,-4,-7,-4,-4,-2
-2,-7,-3,5,1,-5,-11,-3,-6,-3,-3,-1
2,-3,-1,1,3,-1,-9,-1,-4,-1,0,1
-1,-1,3,1,-1,2,-7,2,-1,1,3,4
-3,-3,4,3,-2,1,-7,2,-1,1,3,4
2,-3,-2,1,3,-2,-10,0,-4,-1,0,1
4,-2,-3,-1,5,-3,-11,-1,-5,-2,-1,0
2,0,0,-1,2,0,-10,0,-3,0,1,2
2,0,0,0,2,0,-10,0,-3,0,1,2
2,-1,0,0,2,0,-10,0,-3,0,0,2
-1,-2,2,2,-1,1,-9,1,-2,2,2,4
-5,-5,3,6,-3,0,-10,1,-2,1,2,4
-8,-9,1,8,-3,-3,-12,-1,-4,0,0,2
-14,-15,2,15,-6,-6,-14,-3,-6,-1,-1,0
-18,-17,4,18,-9,-7,-15,-3,-6,-1,-1,0
-10,-10,3,10,-5,-4,-13,-1,-5,0,1,2
3,3,3,-2,1,2,-9,2,0,5,6,7
11,12,4,-11,4,8,-6,6,3,9,9,10
13,14,3,-13,6,9,-8,5,3,10,9,10
9,9,3,-9,4,7,-9,3,2,9,8,8
4,5,3,-4,1,5,-10,3,2,9,8,7
6,3,-1,-4,5,1,-11,3,1,7,6,6
9,2,-4,-5,8,0,-12,3,0,5,5,5
7,3,0,-5,5,1,-11,4,1,5,6,7
4,4,4,-3,1,3,-10,6,1,5,7,8
4,6,4,-5,1,4,-10,6,1,5,8,9
7,7,3,-7,3,4,-11,6,1,6,8,9
5,3,2,-3,2,2,-13,4,0,6,7,9
-1,-1,2,1,0,1,-13,4,0,6,7,9
-1,1,4,0,-1,3,-12,7,3,9,10,11
2,5,4,-3,1,5,-12,8,4,11,12,12
6,6,2,-6,3,5,-12,8,4,11,12,12
10,7,-1,-8,7,2,-14,6,2,10,10,11
10,5,-1,-7,7,1,-16,5,1,9,10,11
4,3,2,-3,2,2,-16,6,2,9,10,11
3,4,5,-3,0,4,-15,8,3,11,12,12
4,7,6,-5,0,6,-14,10,5,14,14,13
4,10,7,-7,0,9,-13,12,7,17,17,15
7,10,5,-8,3,8,-14,12,8,18,17,16
9,10,2,-9,5,6,-15,11,7,18,17,16
7,8,4,-7,3,6,-16,11,7,18,17,16
3,8,9,-5,-1,8,-16,12,8,19,18,18
6,11,9,-9,0,9,-16,13,9,20,20,20
11,13,6,-12,3,9,-16,13,9,20,20,20
9,12,6,-10,3,9,-17,13,9,20,20,20
10,12,4,-11,4,9,-18,14,10,21,20,21
18,16,0,-16,10,9,-18,16,11,23,22,22
