leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,0,0,0,0,0,0,2,3,0,4,-3
-2,-1,0,1,-1,-1,1,7,8,0,12,-8
-2,-1,1,1,-1,0,2,9,11,-1,16,-11
-3,0,1,1,-2,0,2,10,13,-1,18,-13
-4,-1,2,2,-3,0,1,9,13,-2,19,-14
-5,-1,2,3,-4,0,0,9,14,-2,20,-15
-6,-1,3,3,-5,0,0,8,14,-1,20,-16
-6,0,4,3,-5,1,-1,8,15,-1,21,-16
-6,1,5,2,-6,2,-1,8,15,-1,22,-15
-5,2,6,1,-6,3,0,8,15,0,23,-14
-4,4,7,0,-6,4,0,8,16,0,23,-14
-4,4,7,0,-6,5,-1,8,16,0,23,-13
-4,4,7,0,-6,5,-1,7,15,0,23,-13
-4,4,7,0,-6,5,-2,7,15,0,23,-14
-5,4,7,0,-6,5,-2,6,15,0,22,-14
-4,4,7,0,-6,5,-3,6,15,0,22,-14
-4,4,7,-1,-6,5,-3,6,15,-1,21,-14
-4,5,8,-1,-6,6,-3,6,15,-1,21,-14
-3,6,9,-2,-6,7,-3,6,15,0,21,-13
-3,7,9,-3,-6,7,-3,5,14,0,21,-13
-2,7,8,-3,-5,7,-3,4,13,-1,20,-13
-2,7,7,-3,-5,6,-4,4,13,-1,19,-13
-2,6,6,-2,-4,5,-4,3,12,-1,19,-13
-1,5,5,-2,-3,5,-5,3,12,-1,18,-13
0,5,4,-3,-3,4,-5,3,12,-1,18,-13
0,4,3,-2,-2,3,-5,3,12,-2,18,-13
0,4,3,-2,-2,2,-5,3,12,-2,18,-13
0,3,2,-1,-1,2,-5,4,12,-2,18,-13
-1,3,2,-1,-1,1,-4,4,12,-2,18,-13
-2,2,2,0,-2,1,-4,4,12,-2,17,-13
-3,1,2,1,-3,1,-3,4,12,-2,17,-13
-4,0,2,2,-3,0,-3,4,12,-2,17,-14
-5,-1,2,2,-3,0,-2,4,12,-2,17,-14
-5,-2,2,3,-3,-1,-2,4,12,-2,16,-15
-5,-3,1,4,-3,-2,-2,4,12,-3,16,-15
-5,-3,0,4,-3,-2,-2,4,12,-3,15,-15
-5,-4,0,5,-3,-3,-2,3,11,-4,14,-16
-5,-4,-1,5,-2,-3,-2,3,11,-5,14,-16
-6,-6,-1,6,-2,-4,-2,2,10,-5,13,-16
-6,-6,-2,6,-1,-4,-2,2,10,-5,13,-16
-5,-6,-2,5,-1,-4,-2,2,10,-5,13,-16
-5,-6,-2,5,-1,-5,-3,2,10,-5,13,-16
-5,-7,-2,6,-1,-5,-3,2,10,-5,13,-16
-5,-7,-3,6,-1,-6,-3,2,11,-5,13,-16
-5,-7,-3,6,-1,-6,-3,1,11,-5,13,-16
-5,-7,-3,6,-1,-6,-3,0,11,-5,13,-16
-5,-7,-3,6,-1,-6,-3,0,11,-5,13,-16
-5,-8,-4,6,-1,-6,-3,0,11,-5,13,-16
-5,-8,-4,6,0,-7,-3,0,11,-5,13,-16
-4,-8,-4,6,0,-7,-3,0,11,-6,13,-16
-4,-8,-4,6,0,-7,-3,0,11,-6,13,-16
-4,-8,-4,6,0,-7,-3,0,11,-6,13,-15
-4,-8,-4,6,0,-7,-3,0,11,-6,13,-15
-4,-8,-4,6,0,-7,-3,0,11,-6,13,-15
-4,-8,-4,6,0,-7,-3,-1,11,-6,13,-15
-5,-8,-4,6,0,-7,-3,-1,11,-6,13,-15
-5,-9,-4,6,0,-7,-3,-1,11,-6,14,-15
-4,-8,-4,6,0,-7,-3,-1,11,-6,14,-15
-4,-8,-4,6,0,-7,-3,-1,11,-6,14,-15
-4,-8,-5,6,0,-7,-3,-1,11,-5,14,-15
-4,-8,-5,6,1,-8,-3,-1,12,-5,14,-15
-3,-8,-6,6,1,-8,-3,-1,12,-5,14,-14
-3,-9,-7,6,2,-9,-3,0,12,-4,15,-13
-2,-9,-9,6,3,-10,-2,0,12,-3,16,-12
-2,-10,-10,6,4,-10,-1,3,14,0,19,-9
-1,-9,-9,6,4,-10,0,6,17,3,24,-5
-1,-8,-8,4,4,-8,2,11,22,9,30,0
0,-5,-6,2,3,-6,4,16,28,16,38,8
0,-1,-3,0,3,-3,5,22,35,25,48,19
2,4,0,-3,2,1,7,28,41,35,59,31
4,9,3,-7,1,5,7,32,47,43,69,43
