leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,11,11,-5,-6,11,-15,-17,-7,8,4,4
-3,25,29,-11,-16,27,-38,-44,-25,12,8,12
-7,27,35,-9,-21,31,-49,-60,-49,-5,9,18
-12,18,31,-2,-22,24,-50,-66,-71,-31,10,20
-15,3,19,6,-17,11,-43,-60,-82,-52,11,16
-16,-11,5,14,-11,-3,-31,-46,-79,-63,9,4
-18,-25,-7,21,-6,-16,-14,-25,-64,-65,-2,-13
-18,-36,-18,26,-1,-27,2,-2,-44,-61,-20,-29
-17,-41,-25,28,3,-33,17,17,-25,-55,-35,-38
-15,-43,-29,29,7,-36,31,33,-9,-47,-42,-36
-13,-44,-31,28,9,-38,43,47,4,-40,-36,-26
-11,-45,-34,28,11,-40,53,57,14,-35,-21,-15
-10,-47,-37,28,13,-42,60,64,19,-34,-6,-8
-9,-48,-39,28,15,-43,66,68,22,-34,4,-9
-7,-48,-41,27,16,-44,70,71,24,-34,4,-17
-6,-49,-43,27,18,-46,73,73,24,-35,-6,-27
-6,-51,-45,27,19,-48,75,74,24,-37,-22,-35
-6,-53,-47,29,20,-50,76,75,23,-40,-35,-37
-7,-55,-48,30,20,-51,77,76,22,-41,-38,-31
-7,-56,-48,31,20,-52,78,77,22,-42,-30,-22
-7,-56,-49,32,21,-53,79,77,21,-43,-17,-14
-7,-56,-49,31,21,-53,79,77,21,-43,-6,-12
-7,-56,-49,31,21,-53,80,77,21,-44,-4,-17
-6,-56,-50,30,21,-53,80,77,21,-45,-12,-27
-6,-56,-50,30,22,-53,80,77,21,-45,-27,-36
-6,-56,-50,30,22,-53,81,78,21,-46,-41,-40
-6,-57,-51,31,22,-54,82,79,21,-46,-48,-36
-5,-57,-52,31,23,-54,82,79,21,-46,-43,-27
-4,-57,-53,30,24,-55,82,79,21,-46,-30,-18
-5,-57,-53,30,24,-55,82,79,21,-46,-16,-13
-6,-57,-52,31,23,-54,82,79,21,-46,-9,-16
-7,-57,-51,31,22,-54,82,79,21,-46,-13,-24
-7,-58,-50,32,21,-54,82,78,21,-46,-26,-33
-7,-58,-50,32,21,-54,82,78,22,-46,-41,-38
