leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,1,0,-1,0,0,2,5,3,3,1,0
3,3,1,-3,0,2,6,13,9,9,4,1
3,5,2,-4,0,4,10,19,13,14,8,4
4,7,3,-5,0,5,13,24,17,18,11,7
4,7,3,-6,1,5,15,28,20,22,13,9
6,6,0,-6,3,2,15,31,21,24,15,10
6,4,-2,-5,4,1,15,32,23,25,16,11
2,3,1,-3,1,2,17,34,25,26,17,11
1,5,4,-3,-1,5,18,36,26,26,17,12
1,7,7,-4,-2,7,17,36,26,26,17,11
1,8,8,-4,-3,8,17,37,26,27,17,11
0,8,8,-4,-4,8,17,38,27,28,18,11
2,8,7,-5,-2,8,17,39,28,29,19,12
7,10,3,-9,2,7,18,39,30,31,20,13
10,12,2,-11,4,7,20,40,32,33,22,15
9,13,4,-11,3,9,22,42,34,34,24,17
8,13,4,-11,2,9,23,42,35,35,24,17
8,13,5,-11,1,9,22,42,34,35,24,17
7,14,7,-11,0,11,20,44,34,35,24,17
7,16,8,-12,0,12,19,46,35,36,25,18
9,17,8,-13,1,12,19,47,35,38,25,18
12,17,6,-14,3,12,20,48,36,38,26,18
13,17,4,-15,4,11,21,48,37,39,26,19
12,17,5,-15,3,12,21,49,38,40,27,19
10,18,7,-14,1,13,22,50,38,40,27,19
10,21,10,-16,0,15,23,50,39,40,28,19
13,24,11,-19,1,17,23,50,40,40,28,20
16,25,9,-21,4,17,23,50,39,39,28,19
18,25,7,-21,5,16,23,50,39,39,28,19
17,24,7,-20,5,15,23,49,39,40,28,19
17,22,6,-19,5,14,22,48,39,40,28,19
16,21,5,-19,5,14,22,48,38,40,28,19
15,22,7,-19,4,15,23,48,39,40,28,20
15,24,8,-20,4,17,22,48,39,40,29,21
15,27,12,-21,2,19,21,48,39,39,29,22
15,30,15,-23,0,22,20,47,39,39,29,22
18,32,14,-25,2,23,21,47,39,39,29,22
19,32,14,-25,3,23,22,46,39,39,30,23
19,31,12,-25,4,22,22,44,38,38,30,23
23,31,8,-27,7,20,21,40,36,36,29,22
25,32,8,-29,9,21,21,38,35,35,29,22
23,34,10,-29,7,23,20,35,35,34,29,23
20,33,13,-27,3,24,18,31,33,32,28,22
18,33,16,-26,1,25,15,27,31,29,26,21
18,35,17,-27,1,26,14,24,29,28,26,22
21,37,16,-29,3,26,14,22,28,27,26,22
23,38,14,-31,5,26,14,22,27,27,26,23
23,37,14,-31,5,26,14,21,26,26,26,24
21,37,15,-29,3,26,15,20,25,25,26,24
20,36,16,-28,2,27,15,19,24,24,25,24
20,36,16,-28,2,26,13,17,22,22,24,24
21,36,15,-29,3,26,11,14,19,19,22,22
24,37,14,-31,5,25,10,11,17,16,21,21
26,39,14,-32,6,26,10,8,16,14,20,21
26,39,14,-33,6,26,11,5,15,13,20,22
27,39,13,-33,7,26,11,3,14,12,20,22
25,39,14,-32,5,26,11,2,14,11,20,23
24,39,15,-31,4,27,11,1,13,10,20,23
24,39,14,-31,4,27,11,0,11,8,18,22
24,39,14,-31,4,27,10,-3,10,6,17,21
24,39,15,-31,4,26,10,-5,8,4,16,20
25,38,13,-31,5,25,9,-8,7,2,15,19
27,37,10,-31,8,23,7,-11,4,-1,13,17
27,35,7,-31,9,21,5,-13,2,-3,11,16
26,35,7,-30,9,21,5,-14,2,-3,11,16
25,35,8,-30,8,21,6,-14,1,-3,11,16
24,35,9,-30,7,22,7,-14,1,-3,11,16
24,35,11,-30,6,23,6,-14,1,-3,11,17
24,35,12,-30,6,23,6,-15,1,-4,11,17
25,36,11,-30,7,23,6,-16,0,-4,11,17
26,36,11,-30,8,23,6,-16,0,-4,11,17
26,36,10,-30,8,23,7,-16,0,-4,11,18
28,35,8,-31,10,22,6,-17,-1,-5,10,17
29,35,6,-32,11,21,4,-17,-2,-6,9,16
30,36,6,-33,12,21,4,-15,-1,-6,9,16
30,37,7,-33,11,22,5,-14,-1,-5,10,17
29,38,8,-34,11,23,6,-14,-1,-5,10,17
28,37,9,-33,10,22,5,-14,-2,-6,9,16
26,35,10,-30,8,22,6,-14,-2,-6,9,16
23,35,12,-29,6,23,7,-13,-1,-5,10,17
23,35,13,-29,5,24,8,-12,0,-4,10,17
22,35,13,-29,5,24,7,-13,0,-4,10,17
20,33,13,-27,4,23,6,-14,-1,-5,10,17
20,32,12,-26,4,22,7,-14,-2,-6,10,17
24,33,9,-29,8,21,7,-14,-2,-6,9,17
27,33,7,-30,10,20,7,-14,-1,-7,9,17
27,33,7,-30,10,20,7,-14,-1,-7,9,17
27,33,6,-30,10,20,6,-15,-1,-7,9,17
27,33,5,-29,10,19,6,-16,-1,-8,9,16
26,32,6,-29,10,19,6,-17,-1,-8,9,16
26,33,7,-29,9,20,7,-17,-1,-7,9,16
26,32,7,-29,9,20,7,-18,-2,-7,9,16
