leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,-1,1,0,-1,0,0,-2,-2,-2,-1
-1,-3,-2,2,0,-3,1,-1,-6,-5,-5,-4
-3,-4,-1,3,0,-3,1,-1,-8,-7,-7,-6
-4,-5,0,4,-1,-3,1,0,-8,-7,-8,-7
-5,-5,0,4,-2,-3,2,0,-8,-7,-9,-7
-5,-6,0,5,-2,-4,2,2,-8,-7,-9,-7
-5,-7,-2,5,-1,-5,3,3,-8,-7,-9,-7
-4,-8,-4,6,0,-7,4,4,-8,-7,-8,-7
-3,-9,-5,6,0,-7,5,4,-8,-7,-8,-7
-4,-8,-5,6,0,-7,5,4,-8,-7,-9,-7
-4,-8,-4,6,0,-6,5,5,-8,-8,-9,-8
-4,-7,-3,6,-1,-5,5,5,-8,-8,-9,-8
-4,-7,-2,6,-1,-5,6,6,-7,-7,-9,-8
-4,-8,-2,6,-1,-5,6,7,-7,-7,-9,-8
-4,-8,-3,6,0,-6,6,8,-7,-7,-9,-8
-3,-8,-5,5,0,-7,6,8,-7,-7,-9,-8
-2,-8,-6,5,1,-7,7,9,-7,-6,-8,-7
-2,-8,-6,5,1,-7,7,9,-6,-6,-8,-7
-2,-7,-5,5,1,-6,7,9,-6,-6,-8,-7
-2,-7,-5,4,1,-6,7,10,-6,-6,-8,-7
-2,-6,-4,4,1,-6,7,11,-5,-5,-8,-7
-2,-6,-4,4,1,-6,7,13,-5,-5,-7,-7
-1,-6,-4,4,1,-6,7,13,-4,-4,-7,-7
0,-6,-5,3,2,-6,7,14,-4,-4,-7,-7
0,-6,-6,3,2,-6,7,14,-4,-4,-7,-7
0,-6,-6,3,2,-6,7,13,-4,-4,-7,-7
0,-6,-6,3,2,-6,7,13,-4,-4,-7,-7
0,-6,-6,3,2,-6,7,12,-3,-4,-7,-7
0,-6,-6,2,3,-6,7,12,-3,-4,-6,-6
0,-6,-6,2,3,-6,6,13,-3,-4,-6,-6
0,-6,-6,2,3,-6,6,13,-3,-4,-6,-6
1,-5,-6,2,3,-6,6,13,-2,-4,-6,-6
1,-4,-6,1,3,-6,6,13,-2,-3,-6,-6
2,-4,-6,1,3,-5,6,13,-1,-3,-5,-5
2,-3,-5,0,3,-5,6,12,-1,-3,-4,-5
2,-2,-4,0,3,-4,6,12,-1,-3,-4,-4
2,-1,-3,-1,2,-3,6,12,-1,-2,-3,-4
2,0,-2,-2,2,-2,7,12,0,-2,-3,-3
2,1,-1,-2,2,-1,7,12,0,-1,-3,-3
3,2,-1,-3,2,0,7,13,0,0,-2,-3
3,3,0,-3,2,0,8,13,1,0,-2,-2
4,4,0,-4,2,1,8,13,2,1,-1,-2
4,5,0,-4,2,2,8,13,3,1,0,-1
4,6,0,-5,2,2,8,13,3,2,0,0
5,6,0,-5,2,3,7,13,4,3,1,0
5,7,1,-6,2,3,6,13,5,4,2,1
6,7,1,-7,2,3,5,13,5,5,2,1
7,8,1,-7,2,3,4,12,6,5,3,2
7,8,1,-8,3,4,3,11,6,6,3,2
8,8,1,-8,4,4,2,11,7,6,4,3
8,8,0,-8,4,4,2,10,7,7,4,3
8,8,0,-8,4,4,1,10,8,7,5,4
8,8,0,-8,4,4,1,10,8,7,5,4
8,8,0,-8,5,3,2,10,9,8,6,5
8,8,0,-8,5,3,2,10,9,8,6,5
8,8,-1,-8,5,3,2,10,9,8,6,5
8,7,-1,-8,5,3,2,10,10,8,6,5
8,7,-2,-8,5,2,2,10,10,8,6,5
8,6,-2,-8,5,1,2,10,10,8,6,6
8,6,-2,-7,5,0,2,10,10,8,6,6
8,5,-3,-7,5,0,2,10,10,9,6,5
8,5,-3,-6,5,0,2,10,10,9,6,5
8,4,-3,-6,5,0,2,10,10,9,7,5
7,4,-3,-5,5,0,2,9,9,8,7,4
