leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,1,1,0,-1,1,0,0,0,-2,-10,0
-1,2,3,0,-2,2,0,-1,-2,-5,-28,0
-1,2,3,0,-2,3,0,-2,-3,-7,-39,0
0,3,2,-1,-1,3,0,-2,-3,-5,-45,0
0,3,2,-1,-1,3,0,-1,-2,0,-47,1
0,2,2,-1,-1,2,1,0,0,5,-48,3
1,1,0,-1,0,1,1,1,0,8,-49,3
1,0,-1,-1,1,0,1,1,0,7,-52,3
1,0,-1,0,0,0,1,0,0,3,-54,3
0,0,0,0,-1,0,1,-1,-1,0,-54,3
-2,0,1,1,-1,0,1,-1,-2,-3,-54,3
-2,-2,0,2,0,-1,1,0,-1,-2,-56,3
-1,-4,-3,2,1,-3,0,1,0,1,-60,4
-2,-4,-3,3,0,-4,1,3,0,6,-63,4
-3,-4,-2,3,0,-3,1,4,1,9,-65,4
-3,-4,-1,4,-1,-3,1,4,0,9,-68,3
-5,-5,-1,5,-2,-3,1,1,-1,5,-72,2
-6,-7,-1,6,-2,-4,0,-2,-2,0,-77,1
-4,-7,-4,5,0,-6,-1,-5,-4,-5,-83,0
-1,-7,-6,4,2,-6,-2,-7,-6,-8,-87,0
-1,-7,-5,4,2,-6,-2,-7,-7,-6,-88,0
-3,-8,-4,5,1,-6,-2,-7,-8,-3,-87,0
-2,-7,-5,5,1,-6,-2,-6,-8,0,-85,-1
-1,-7,-6,4,2,-6,-1,-5,-8,1,-84,-1
-1,-7,-7,4,3,-7,0,-4,-7,0,-84,0
-1,-8,-8,4,3,-8,0,-3,-7,-3,-83,0
-1,-9,-8,4,4,-8,1,-2,-7,-6,-82,0
-1,-9,-8,4,3,-8,1,-3,-7,-8,-80,0
-1,-9,-8,4,3,-8,1,-4,-8,-7,-77,0
0,-8,-8,3,4,-8,0,-4,-8,-5,-75,0
3,-7,-11,1,7,-9,-1,-6,-10,-3,-72,-1
4,-8,-13,1,9,-11,-3,-8,-12,-3,-71,-2
4,-9,-13,2,9,-11,-4,-9,-13,-4,-71,-2
3,-9,-12,3,8,-11,-4,-7,-12,-6,-70,-1
1,-10,-11,4,7,-11,-3,-3,-11,-7,-70,-1
0,-10,-10,4,5,-10,-2,0,-9,-8,-70,0
0,-10,-9,4,4,-9,-1,3,-7,-6,-68,0
0,-10,-9,5,4,-9,-1,4,-6,-3,-67,0
-1,-10,-9,6,4,-10,-1,3,-5,0,-65,0
-2,-10,-8,6,3,-9,-1,3,-5,1,-64,0
-2,-9,-7,6,2,-8,-1,2,-5,2,-65,0
-1,-8,-7,5,2,-8,-1,0,-6,1,-70,0
1,-6,-8,3,4,-7,-1,-2,-7,-1,-74,0
2,-6,-8,2,5,-7,-1,-3,-8,-4,-80,0
0,-7,-7,3,4,-7,0,-3,-8,-6,-89,0
-1,-7,-6,4,2,-6,0,-3,-8,-5,-97,-1
-2,-6,-4,4,1,-4,0,-2,-8,-3,-103,-2
-3,-6,-3,4,0,-4,0,-2,-8,-1,-108,-2
-4,-6,-2,5,0,-4,0,-3,-9,0,-112,-3
-4,-7,-3,5,0,-4,0,-4,-10,-2,-116,-3
-3,-7,-3,5,0,-5,0,-5,-10,-4,-119,-2
-3,-7,-4,5,0,-5,0,-4,-10,-6,-123,-2
-3,-8,-5,5,1,-7,0,-4,-10,-8,-127,-2
-2,-10,-7,5,2,-8,0,-4,-9,-8,-129,-3
-1,-10,-8,6,3,-9,0,-4,-9,-6,-131,-3
-1,-10,-9,6,4,-9,0,-5,-9,-4,-132,-3
-1,-10,-9,6,4,-9,0,-5,-9,-2,-131,-4
-2,-11,-9,7,3,-10,0,-6,-9,-2,-129,-4
-5,-13,-8,9,1,-10,0,-9,-9,-4,-129,-5
-6,-13,-6,10,0,-9,0,-11,-10,-6,-129,-6
-5,-10,-5,7,0,-7,0,-11,-10,-7,-129,-5
-4,-8,-4,6,0,-5,0,-9,-10,-8,-130,-5
-3,-8,-5,6,1,-6,0,-7,-10,-8,-131,-5
-1,-9,-8,5,4,-8,1,-5,-10,-5,-131,-4
2,-9,-11,3,6,-10,1,-5,-9,-3,-131,-3
3,-8,-11,3,7,-10,2,-5,-9,-2,-132,-2
1,-9,-10,4,5,-9,2,-3,-8,-2,-133,-2
-1,-10,-8,5,4,-9,3,-1,-7,-3,-135,-1
-1,-9,-8,5,3,-8,3,0,-6,-4,-138,-2
-2,-9,-7,5,3,-8,2,1,-6,-6,-142,-3
-3,-10,-7,6,2,-9,1,0,-7,-6,-146,-4
-4,-10,-6,7,1,-8,1,0,-8,-5,-148,-5
-4,-9,-4,7,0,-6,0,0,-8,-4,-149,-4
-5,-8,-2,6,0,-5,0,0,-8,-3,-150,-4
-5,-9,-3,7,0,-6,0,0,-8,-3,-153,-5
-5,-9,-3,7,0,-6,0,0,-8,-4,-157,-6
-6,-9,-3,7,-1,-6,1,0,-8,-5,-163,-5
-5,-9,-4,7,0,-7,0,-1,-8,-6,-170,-5
-4,-11,-6,7,1,-9,0,-4,-9,-8,-176,-6
-3,-12,-8,8,2,-10,-1,-7,-10,-8,-180,-7
-5,-12,-6,9,1,-9,0,-8,-9,-6,-181,-7
-8,-12,-4,10,-1,-8,1,-5,-8,-4,-182,-5
-7,-12,-5,9,0,-8,1,-3,-7,-3,-182,-4
-4,-11,-6,7,1,-8,2,-1,-7,-4,-184,-3
-3,-10,-6,6,2,-8,2,0,-7,-5,-185,-3
-4,-11,-7,7,1,-9,2,-1,-7,-6,-187,-4
-4,-11,-7,7,1,-9,2,-1,-8,-6,-189,-4
-3,-11,-7,6,2,-9,1,-1,-8,-6,-190,-4
-3,-10,-7,6,2,-9,0,-1,-8,-5,-193,-4
-3,-10,-7,6,2,-8,0,-1,-8,-5,-196,-5
-3,-9,-6,6,2,-7,0,-1,-8,-5,-199,-5
-2,-8,-5,6,1,-6,0,-2,-7,-5,-201,-5
