leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,-1,1,0,-1,0,1,-3,-2,-2,-2
0,-3,-3,2,1,-3,1,3,-8,-5,-5,-5
0,-4,-4,2,2,-4,1,5,-10,-7,-7,-7
0,-3,-4,1,2,-3,2,6,-11,-8,-7,-8
1,-2,-4,0,3,-3,3,7,-12,-9,-8,-10
1,-3,-4,1,3,-4,3,8,-12,-10,-9,-11
0,-4,-4,1,3,-4,4,9,-12,-10,-10,-12
2,-3,-5,0,4,-4,4,10,-12,-10,-11,-13
4,-3,-6,-1,5,-4,4,10,-11,-10,-12,-14
5,-2,-6,-2,5,-4,5,11,-11,-11,-13,-14
4,-2,-6,-2,5,-4,5,11,-10,-11,-14,-14
4,-3,-6,-1,5,-4,5,12,-10,-11,-16,-16
3,-4,-6,0,4,-5,5,12,-10,-12,-17,-17
3,-4,-6,0,4,-5,5,12,-10,-13,-17,-18
3,-3,-6,0,4,-4,5,12,-9,-13,-18,-19
3,-3,-6,0,4,-4,5,13,-8,-13,-18,-19
3,-3,-5,0,4,-4,5,14,-8,-13,-19,-19
2,-4,-5,0,4,-4,5,14,-7,-13,-19,-19
3,-4,-6,0,4,-5,5,15,-7,-13,-20,-19
4,-3,-6,-1,5,-4,5,16,-6,-12,-20,-19
4,-3,-6,-1,5,-4,5,17,-5,-12,-21,-19
3,-4,-6,0,5,-4,5,17,-4,-12,-22,-20
3,-4,-5,0,4,-4,5,18,-3,-12,-21,-20
2,-3,-5,0,3,-3,5,19,-2,-11,-21,-20
2,-3,-5,0,3,-3,5,20,-1,-11,-21,-20
3,-2,-5,0,4,-3,5,21,0,-11,-21,-20
4,-2,-5,-1,5,-3,5,22,0,-10,-21,-20
3,-2,-4,-1,4,-3,5,22,1,-9,-21,-20
3,-2,-4,-1,4,-2,5,22,2,-8,-20,-20
4,-1,-4,-2,4,-2,6,23,3,-7,-20,-19
4,0,-4,-2,4,-2,6,25,4,-6,-19,-19
3,0,-4,-2,4,-2,5,25,5,-6,-18,-19
2,-2,-4,-1,4,-3,4,25,5,-5,-18,-19
1,-4,-4,1,3,-3,3,25,4,-5,-17,-19
0,-4,-3,1,2,-3,3,25,4,-5,-16,-19
1,-3,-3,0,3,-2,2,25,4,-4,-15,-18
3,-2,-5,0,4,-3,1,24,4,-4,-15,-17
4,-1,-5,-1,5,-3,0,24,4,-4,-14,-16
3,-1,-4,0,3,-3,0,24,4,-3,-12,-15
1,-2,-3,0,2,-3,0,23,3,-3,-11,-14
2,-2,-3,0,3,-3,-1,22,3,-3,-9,-14
2,-1,-2,-1,3,-2,-1,21,2,-2,-8,-12
2,0,-1,-1,2,-1,0,21,2,0,-6,-11
3,1,-1,-2,3,0,0,20,2,1,-4,-9
4,2,-1,-4,3,0,0,20,2,2,-2,-7
5,4,-1,-5,3,1,-1,19,1,2,-1,-6
6,5,-1,-5,3,1,-1,17,0,2,0,-6
7,6,-1,-6,4,2,-2,16,-1,3,0,-5
9,7,-1,-8,5,3,-2,15,-1,4,2,-4
10,8,-1,-9,5,4,-1,14,-1,5,5,-2
10,8,0,-9,5,4,-1,13,-2,5,7,0
10,8,0,-9,5,4,-2,12,-3,6,8,1
10,8,0,-9,5,4,-3,11,-4,7,9,2
8,8,0,-9,4,4,-3,11,-5,8,10,3
7,9,1,-8,3,5,-3,10,-6,9,12,4
8,10,1,-9,3,6,-3,9,-7,9,13,6
8,11,2,-9,2,7,-3,8,-7,10,14,7
8,11,3,-9,2,7,-3,7,-8,10,15,8
9,11,3,-10,3,7,-3,6,-9,11,17,9
8,11,3,-10,2,7,-4,5,-9,11,19,10
7,11,4,-9,1,7,-4,4,-10,12,21,11
6,11,5,-9,1,7,-4,4,-10,13,22,12
7,11,4,-9,1,7,-4,3,-11,14,23,12
8,11,3,-9,2,7,-5,2,-12,14,23,13
8,11,3,-9,2,7,-5,1,-13,14,24,13
8,11,3,-9,2,8,-5,1,-13,14,25,14
8,12,4,-9,1,8,-5,1,-13,15,26,16
9,13,5,-11,2,9,-5,1,-13,15,26,16
11,15,5,-13,3,10,-5,1,-13,16,27,17
11,16,5,-14,3,10,-4,1,-13,17,28,19
11,16,5,-14,3,10,-4,1,-13,18,29,19
10,16,5,-13,3,10,-4,1,-13,18,29,20
10,15,6,-12,2,10,-4,1,-14,18,30,20
9,14,6,-11,1,10,-4,0,-14,18,30,21
7,13,7,-10,0,10,-4,0,-14,18,30,21
7,13,7,-10,0,10,-4,0,-14,18,30,21
6,12,7,-9,0,10,-4,0,-14,18,30,21
4,11,7,-8,-1,9,-4,0,-14,18,29,21
5,12,7,-9,-1,10,-4,0,-14,18,30,21
8,16,8,-13,0,12,-3,0,-13,20,32,22
11,20,9,-15,0,15,-2,1,-12,21,33,24
11,22,11,-16,0,16,-1,2,-11,22,34,25
10,22,12,-16,-1,17,-1,2,-10,23,35,26
10,21,11,-16,0,16,-1,2,-9,24,35,26
11,21,11,-16,0,16,-1,2,-9,24,35,26
10,20,11,-15,0,15,-1,3,-8,25,35,27
7,18,11,-13,-1,15,-2,3,-8,25,35,26
7,18,11,-13,-2,15,-4,3,-8,25,35,26
8,19,11,-14,-1,15,-4,3,-8,25,35,26
8,19,11,-14,-1,16,-5,3,-8,25,35,27
9,19,11,-14,-1,15,-6,2,-9,24,34,26
9,19,10,-15,-1,15,-6,2,-9,23,34,26
11,21,10,-16,0,15,-7,1,-10,23,34,26
13,22,10,-18,1,16,-7,1,-10,23,34,26
12,22,10,-18,1,16,-9,0,-12,22,33,26
10,21,11,-16,-1,16,-10,-1,-13,21,33,25
9,22,12,-16,-1,17,-10,-2,-13,21,33,25
11,24,12,-17,0,17,-10,-2,-14,21,33,25
13,25,11,-19,1,17,-10,-2,-15,20,33,24
13,24,11,-18,0,17,-10,-3,-16,18,31,24
11,22,11,-17,0,17,-11,-4,-17,17,30,23
11,22,12,-17,0,17,-11,-4,-17,17,30,23
10,23,12,-17,-1,17,-10,-4,-17,17,30,23
9,22,12,-16,-1,16,-10,-4,-17,17,29,23
9,21,11,-15,-1,15,-10,-4,-17,17,29,22
9,20,11,-15,0,15,-9,-3,-17,17,29,22
11,20,10,-16,1,14,-8,-2,-16,18,29,23
13,21,9,-17,2,14,-6,-1,-15,18,30,23
13,20,8,-16,3,14,-5,0,-14,18,30,24
11,17,7,-14,3,12,-5,0,-14,17,29,23
10,15,5,-12,2,10,-6,0,-15,17,28,23
10,14,4,-12,3,8,-6,0,-15,17,28,23
11,14,3,-12,4,8,-6,1,-15,17,28,23
11,14,2,-12,4,7,-6,1,-15,17,28,23
11,13,2,-12,4,7,-5,1,-15,16,28,23
12,13,2,-13,5,7,-4,1,-15,16,28,23
12,13,2,-13,5,7,-4,1,-15,16,28,23
11,12,2,-12,5,7,-4,1,-15,16,27,22
10,11,2,-11,5,6,-3,1,-16,15,27,22
9,10,1,-10,4,6,-3,1,-16,15,26,21
9,9,0,-9,5,5,-2,1,-16,14,25,20
10,9,-1,-10,6,4,-2,0,-17,14,24,19
10,8,-2,-10,7,2,-2,0,-18,13,22,17
9,7,-2,-8,6,1,-2,-1,-18,12,21,16
8,6,-1,-7,4,1,-1,-1,-19,11,20,16
8,6,-1,-7,5,2,-1,-1,-19,11,20,16
9,7,-2,-8,6,1,-1,-1,-20,10,20,16
9,6,-3,-8,6,1,-1,-1,-20,10,20,16
7,5,-3,-7,5,1,-1,-1,-20,10,20,16
8,6,-2,-7,5,1,0,0,-19,11,21,16
9,7,-2,-9,5,2,0,1,-18,11,22,17
9,6,-2,-8,5,1,0,1,-19,11,21,16
7,3,-3,-5,5,0,-1,0,-20,9,19,15
6,2,-4,-4,5,-1,-1,0,-20,9,19,15
5,1,-3,-3,5,-1,-1,0,-20,9,19,15
3,0,-2,-2,3,-1,-1,0,-20,10,20,15
2,1,0,-2,1,0,0,0,-20,11,20,15
4,3,0,-4,2,1,0,0,-19,12,21,16
7,5,-2,-6,4,1,1,1,-19,12,22,16
7,5,-3,-6,5,1,0,1,-19,12,22,16
7,4,-3,-6,6,0,0,1,-20,12,22,16
8,5,-3,-7,6,0,1,1,-20,12,22,15
9,4,-4,-7,7,0,1,1,-20,12,22,14
9,3,-6,-6,8,-1,1,1,-20,11,20,13
9,1,-8,-6,9,-3,1,2,-20,10,19,11
9,0,-9,-5,10,-5,2,5,-18,11,19,10
8,-2,-11,-3,10,-7,3,9,-15,12,19,9
8,-4,-12,-2,10,-8,5,14,-11,13,19,8
