leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,0,0,0,-1,0,117,1,-2,-5,0
-1,-2,-1,1,0,-2,-1,169,2,-4,-13,0
-1,-3,-2,2,0,-2,-2,-52,3,-6,-17,1
-1,-3,-2,2,0,-2,-3,-403,4,-7,-19,2
-3,-4,-1,3,-1,-2,-4,-804,5,-7,-19,3
-4,-5,-1,4,-2,-3,-5,-1211,5,-8,-20,3
-4,-5,-1,4,-2,-3,-7,-1599,5,-8,-21,3
-4,-6,-2,5,-1,-4,-8,-1959,4,-8,-22,3
-3,-6,-3,5,-1,-4,-10,-1450,4,-8,-23,3
-3,-7,-3,5,0,-4,-12,-410,3,-8,-23,3
-4,-7,-4,5,0,-5,-14,120,3,-8,-19,2
-4,-8,-4,6,-1,-5,-16,360,2,-8,-13,2
-5,-9,-4,6,-1,-6,-17,437,2,-8,-12,2
-5,-9,-3,7,-2,-6,-18,426,2,-8,-14,2
-6,-9,-3,7,-2,-6,-18,370,2,-8,-16,3
-6,-9,-3,7,-2,-6,-18,293,2,-8,-18,3
-6,-9,-3,7,-2,-6,-17,209,2,-8,-19,3
-6,-9,-3,7,-2,-6,-17,125,2,-9,-19,3
-6,-10,-3,7,-2,-6,-18,47,1,-9,-20,3
-6,-10,-4,7,-1,-6,-18,-25,1,-9,-23,3
-6,-10,-4,7,-1,-6,-18,-89,1,-9,-25,2
-6,-10,-4,7,-1,-7,-19,-146,1,-9,-26,2
-6,-10,-4,7,-1,-7,-20,-196,1,-8,-26,1
-6,-10,-3,7,-1,-7,-21,-236,1,-8,-26,1
-6,-9,-3,7,-1,-6,-21,-305,1,-8,-26,2
-5,-8,-3,6,-1,-5,-21,-307,2,-7,-25,2
-4,-7,-3,6,-1,-4,-21,-613,2,-7,-25,3
-4,-7,-3,5,-1,-4,-20,-922,3,-7,-24,4
-4,-7,-3,5,-1,-4,-19,-932,3,-6,-24,4
-4,-7,-3,5,-1,-4,-19,-1134,3,-6,-24,4
-4,-7,-3,5,-1,-4,-18,-1430,2,-6,-24,4
-3,-7,-3,4,0,-5,-18,-1745,2,-6,-24,4
-3,-7,-3,4,0,-5,-18,-1220,2,-6,-24,3
-3,-7,-3,4,-1,-5,-19,-182,2,-6,-23,3
-3,-7,-2,4,-1,-4,-19,338,2,-6,-23,3
-3,-6,-2,4,-1,-4,-20,565,2,-6,-24,3
-3,-6,-3,4,0,-4,-20,627,2,-6,-24,3
-3,-6,-3,4,0,-4,-19,602,2,-6,-24,3
-3,-6,-2,5,-1,-4,-19,532,2,-6,-24,3
-4,-6,-2,5,-1,-4,-18,442,2,-6,-24,3
-4,-6,-2,5,-2,-4,-18,347,2,-6,-24,3
-4,-6,-2,5,-2,-4,-17,253,2,-6,-25,3
