leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
4,4,0,-4,2,2,2,3,2,2,2,2
10,11,0,-10,5,5,6,8,6,6,6,5
13,15,1,-14,6,7,8,10,8,8,8,7
14,17,3,-15,5,9,9,11,9,9,9,8
13,18,4,-15,5,10,10,11,9,9,10,9
12,17,4,-14,4,10,9,10,9,9,11,9
10,15,5,-13,2,9,9,9,9,9,10,9
9,14,5,-12,2,9,8,8,8,8,10,9
9,14,4,-12,2,8,7,6,7,8,10,9
11,13,3,-12,4,8,6,4,5,6,9,8
12,13,1,-13,5,7,4,2,3,5,8,7
13,13,0,-13,6,6,3,1,2,4,7,7
12,13,1,-12,5,6,2,0,1,3,6,6
10,12,2,-11,3,6,2,0,1,3,6,6
8,12,3,-10,2,7,2,-1,1,3,6,6
7,12,4,-10,1,7,2,-1,1,3,6,6
6,11,5,-9,0,8,2,-2,1,3,6,7
6,11,5,-8,0,8,2,-3,0,3,6,6
6,11,5,-9,1,7,1,-4,0,2,5,6
6,12,5,-9,1,8,1,-4,0,2,5,6
6,12,6,-9,0,8,1,-4,0,2,5,6
6,11,6,-9,0,8,0,-5,-1,2,5,6
5,10,6,-8,0,8,0,-5,-1,1,5,5
4,10,6,-8,-1,8,0,-6,-1,1,5,5
3,10,6,-7,-2,8,0,-6,-1,1,4,5
3,10,6,-7,-2,8,0,-6,-1,1,4,5
3,10,6,-6,-2,7,0,-7,-2,1,4,5
3,9,6,-6,-2,7,0,-7,-2,0,3,5
4,9,6,-6,-1,7,0,-8,-3,0,3,4
3,8,6,-6,-1,6,0,-8,-3,0,3,4
3,8,6,-6,-1,6,0,-8,-3,0,3,4
4,8,5,-7,0,6,0,-8,-3,0,2,4
4,8,4,-7,0,6,0,-8,-3,-1,2,4
3,8,4,-6,0,6,0,-8,-3,-1,2,4
2,8,5,-5,-2,6,0,-8,-3,0,3,4
1,8,7,-4,-3,7,0,-7,-3,0,3,5
0,7,7,-4,-3,6,0,-7,-3,0,3,5
0,7,7,-4,-3,6,0,-8,-4,0,3,5
0,7,7,-4,-3,7,0,-8,-4,0,3,5
1,7,7,-4,-3,7,0,-8,-4,0,3,5
1,7,7,-4,-2,7,0,-8,-3,0,3,5
1,7,6,-4,-2,6,0,-8,-3,0,3,4
1,6,6,-4,-2,6,-1,-8,-3,0,2,4
1,6,5,-4,-2,5,-1,-8,-4,0,2,3
3,7,5,-5,-1,5,-1,-8,-4,0,2,3
4,8,4,-6,0,5,-1,-8,-4,0,2,3
4,8,4,-6,0,5,-1,-8,-4,0,2,3
4,8,4,-6,0,5,-1,-8,-4,0,2,3
3,8,5,-6,0,6,-1,-8,-4,0,2,4
2,7,6,-5,-1,6,0,-7,-3,0,3,4
0,7,6,-4,-2,6,0,-7,-3,0,3,4
1,7,6,-4,-2,6,0,-7,-3,0,3,4
1,8,6,-5,-2,6,0,-7,-3,0,3,4
1,7,6,-4,-3,6,0,-7,-4,0,3,4
0,6,6,-4,-3,6,0,-7,-4,0,3,4
0,6,6,-4,-3,6,0,-7,-4,0,3,4
1,6,5,-4,-2,6,-1,-7,-4,0,3,4
1,6,4,-4,-1,6,-1,-7,-4,0,3,4
1,6,4,-4,-1,5,-1,-7,-3,0,2,3
0,5,4,-3,-2,4,-1,-7,-3,0,2,3
0,5,5,-2,-2,4,-1,-8,-3,0,2,3
0,5,5,-2,-3,4,-1,-8,-3,0,2,3
0,5,4,-3,-2,4,-1,-8,-3,0,2,3
1,5,4,-3,-2,4,-1,-8,-3,0,2,3
1,5,4,-3,-2,4,-1,-8,-3,0,2,3
0,5,4,-2,-2,4,-1,-8,-3,0,2,3
0,4,4,-2,-2,4,-1,-8,-3,0,1,2
